9	4	-18.844286	0.105325	-14.731482	4.995144	-2.419728	-9.418067	-14.410458	0.011513	-8.662322	3.022603	5.953796	-15.307096	-20.437598	-10.925427	-5.905651	-0.571226	3.409521	11.301724	-5.688227	7.250613	8.303214	6.689765	2.075411	-1.667142	-8.058840	-10.429660	-9.418135	-2.612294	0.848388	-8.947380	3.333892	6.085225	12.054186	-5.688227	10.065938	8.322618	8.022617	5.712633	-1.654944	-8.085635	-10.429663	-9.389150	-2.612294	4.090993	-8.947494	3.310229	6.083955	12.034755	-5.688227	4.847602	8.322618	5.461078	5.712631	-5.491171	-7.471179	-10.429048	-9.553727	3.997111	4.090936	-4.730278
18	4	-13.582431	-0.772300	-23.559657	6.634897	-7.553847	-15.040989	-17.621658	2.474902	-2.986340	6.695274	6.963537	-20.538196	-18.567128	-9.952877	-12.572116	10.497874	5.514936	10.981401	-11.471023	8.374446	8.392565	10.755189	6.056788	9.728006	-5.472805	-14.182632	-2.738476	-1.278279	6.477487	-17.182886	6.458644	5.514936	2.094710	0.205336	-1.868055	2.979356	0.416028	6.056786	9.283794	1.596917	-5.834473	-8.966826	-9.376044	-0.298526	-21.795395	10.497874	5.514936	10.981385	-11.471023	8.374446	8.392565	10.755189	6.056788	8.879498	-5.472805	-14.182574	2.521659	-1.278279	6.477487	-17.182888
22	4	-24.195882	2.801444	-25.522129	5.890740	-9.479613	-19.349596	-15.767971	3.085243	-5.038546	7.797444	6.938700	-12.766059	-16.348041	-14.371136	-4.885074	7.996759	5.808895	12.666796	-6.556389	8.690323	3.651863	5.138817	8.663631	-1.300720	-3.958289	-9.526494	3.494386	-2.503995	6.232907	-5.921688	6.605275	5.808830	12.461225	-6.556389	8.678298	3.651864	4.594070	8.663631	-1.011479	-3.915440	-9.405800	2.535811	-2.503955	6.232907	-4.287393	8.483171	5.808896	12.695074	-6.556389	8.687585	3.651860	5.284023	8.663631	-0.866186	-3.967498	-9.588580	3.846818	-2.503992	6.232906	-7.050920
42	4	5.632804	4.627738	14.476385	-7.684032	9.744809	7.623200	8.976199	4.789207	5.760166	-10.583124	-15.298911	-2.775951	-3.287376	4.822608	-11.446738	-15.837405	-1.826200	-12.567256	4.601992	3.465091	-8.292138	-3.681861	-1.695905	-3.951819	-1.838236	-0.125795	-5.397451	-14.519564	-9.874549	-5.984857	-9.961328	-1.826057	-3.248779	-1.120917	3.430232	1.272025	-1.453264	-1.695904	-8.551231	-0.862116	-4.010231	-5.554878	-8.172140	-4.169965	-5.900561	-22.163105	-1.826200	-26.326068	6.506068	-6.774949	-11.375661	-13.319287	-1.695905	-10.248290	3.757650	6.451070	-15.876779	-20.285286	-15.258137	-7.095572
45	4	-16.382115	1.197844	-27.921081	6.590083	-6.141963	-15.981291	-13.018841	1.949691	0.044977	3.302143	6.616337	-13.505700	-24.015187	-7.740392	-7.416413	12.121875	4.756988	13.284658	-10.209385	9.820244	4.837698	10.607539	7.228160	8.941733	-12.820654	-15.145056	-3.636438	-6.478146	8.069592	-11.351364	-11.297695	1.197845	-15.355391	6.589984	-1.315682	-12.493048	-2.340570	1.949691	7.811134	-1.934633	-0.032984	-5.695085	-22.651066	-7.741050	-8.016661	-7.682458	1.197930	-5.052495	2.030445	3.581001	-5.535493	-0.986365	1.949691	7.534047	-5.336691	-5.080474	-3.857053	-17.619800	-5.722929	-9.802600
60	4	-10.847298	-0.179550	-26.203429	3.752494	-6.443116	-13.037427	-17.972968	-1.268408	-8.812892	8.322626	6.578930	-18.298118	-18.101008	-10.525403	-6.507327	3.790466	5.605945	14.280039	-13.251491	10.569293	8.014717	9.209033	3.067333	4.953145	-10.450880	-11.461439	4.023281	0.238981	4.218309	-10.882914	3.891999	5.617008	14.280108	-13.251491	10.570223	8.014722	9.209105	3.075189	6.764043	-10.491317	-12.169635	-0.321001	0.238981	4.230193	-12.141355	2.057830	5.272660	8.157356	-6.872240	10.466430	-2.545821	6.153501	2.823848	5.952819	-4.751899	-5.955826	-0.320332	-0.666706	-0.981866	-7.227998
73	4	-11.886403	1.621994	-12.130501	3.007616	2.129153	-6.564756	-14.499258	0.996265	-6.101209	1.176662	2.427178	-6.507036	-14.451964	-5.386277	-4.841193	-11.877037	1.621994	-6.439388	2.972664	3.803882	-5.645730	-9.206713	0.996265	-4.860392	-0.827909	-0.895490	-4.020261	-14.107486	-4.884905	-5.068150	10.765342	7.882525	13.254690	-8.532757	9.305208	8.030660	8.088208	6.443672	3.393439	-9.951055	-14.773836	4.772069	-2.027861	5.794255	-3.864324	-11.878871	1.621994	-6.447679	2.972667	3.803465	-5.684440	-9.206962	0.996265	-6.752848	-0.827310	-0.880808	2.481963	-14.129755	-4.885036	-5.067903
75	4	2.426911	6.535440	5.215323	-10.340843	7.192321	6.475028	2.165250	7.158014	-5.971780	-10.095977	-6.929046	-6.145843	7.511296	3.857930	-1.376229	-17.367682	2.066564	-19.643358	0.374047	1.944347	-8.793120	-13.597807	2.313544	-8.795774	5.721525	2.166624	-14.123968	-17.236493	-15.153899	-4.928416	9.491022	6.652113	14.915090	-10.342013	10.418383	6.475028	8.051281	7.283488	7.236586	-15.874863	-10.613903	-2.880763	-3.888425	3.859850	-12.718321	-14.016739	2.066564	-10.895601	-0.996862	1.880028	-0.459596	-13.727476	2.313544	-11.010130	6.150233	-2.227773	-12.567495	-8.726501	-10.419240	-1.597618
77	4	10.827000	7.846271	11.939586	-15.545938	6.987520	8.340309	10.523702	6.737170	3.673839	-11.811463	-16.396305	-2.213526	3.123547	6.964675	-10.564744	-17.417180	1.725093	-24.610386	3.667730	-2.675195	-15.401581	-14.238561	0.892246	-5.594327	3.770081	6.798782	-21.265056	-11.344542	-11.223066	-5.108502	-13.895860	1.725093	-12.716979	-2.818457	4.050506	-6.276161	-5.604328	0.892246	-9.076954	2.158515	0.921619	-14.483021	-10.891576	-6.913743	-5.019030	6.368710	7.846270	4.998382	-8.650369	-4.543644	2.776330	4.080205	6.737142	0.378453	-2.964374	-2.781493	-8.305354	5.160481	2.550529	0.414831
82	4	7.973953	7.130854	13.326138	-4.353402	8.277354	7.227900	10.651645	5.190337	4.490397	-5.576974	-13.595384	-0.322594	5.980730	6.104498	-6.527487	-17.914755	1.069040	-23.836884	8.997947	-7.245041	-14.339947	-16.479830	0.584092	-7.158052	5.710077	6.912933	-8.532073	-13.635695	-16.277403	-4.082355	-15.942501	1.069040	-23.819686	8.986772	-0.785065	-11.185056	-15.715583	0.584092	-7.170830	5.570921	6.903150	-5.822892	-13.384861	-16.214483	-4.559291	6.637175	7.130847	7.269977	-4.353402	6.415610	7.227900	8.312095	5.190337	-2.808778	-3.439838	-9.398157	3.501954	11.958205	6.104495	0.255183
