1	1	-20.405038	2.500368	-25.689205	6.906015	-5.721325	-13.740081	-17.126191	0.284504	-5.172257	4.153134	6.792469	-14.365065	-17.480415	-10.733031	-6.609833
2	1	-19.418462	3.001527	-18.958716	7.066074	-6.559302	-14.068669	-19.563075	-1.674569	0.399521	6.705154	6.987266	-19.432619	-15.289497	-12.959159	-5.495844
3	1	-21.423461	2.779728	-24.379427	7.244095	-10.091927	-18.056611	-17.229600	-2.074200	-12.777232	5.141997	7.239567	-8.163889	-12.906437	-16.415940	-1.165368
7	1	-21.958499	3.060736	-28.374191	6.609738	-8.838141	-9.443956	-20.550308	1.977035	-11.432973	3.027573	5.938050	-15.227997	-17.524780	-9.227761	-7.198918
21	1	-20.308352	6.094024	-12.910653	6.415352	-6.122327	-16.831839	-8.594171	-0.403930	1.471991	3.500425	2.017735	-9.257573	-12.324956	-15.759258	-8.677132
28	1	-17.814121	-2.296857	-10.840084	5.637107	-3.126588	-11.295278	-8.080593	-0.316658	9.527927	-5.875628	1.413172	-6.029314	-16.331291	-17.533813	-8.277933
40	1	-17.836456	-1.463006	-25.280207	6.667276	-4.457882	-11.903053	-19.343083	1.466558	-8.051286	2.144312	6.551408	-11.671970	-14.470747	-14.520483	-3.360406
48	1	-24.747652	3.284903	-17.723094	8.362258	-5.753303	-14.247506	-11.868659	1.950542	-1.543485	-0.081021	4.538868	-5.792816	-9.373196	-9.931166	3.166836
53	1	-15.851269	4.676751	-17.520917	7.020321	-13.673824	-8.885301	-18.362444	1.894527	-4.752411	1.828628	6.487305	-3.803318	-10.306712	-14.847750	-0.625452
55	1	-21.535731	2.171560	-26.515525	6.863299	-7.847227	-11.448548	-13.702795	1.595833	-5.345600	5.734396	7.232018	-18.700399	-18.344025	-15.399414	-4.324872
59	1	-12.528973	-0.399462	-20.243465	2.885312	-6.093273	2.045980	-13.657661	3.418139	-9.287936	6.595351	1.841039	-18.125103	-8.905393	-6.422177	-9.126685
61	1	-21.435804	1.839724	-19.540067	2.191691	3.516319	-9.318952	-14.072210	0.859702	-0.850093	3.025360	1.979783	-7.177750	-7.585789	-11.122289	-9.921158
69	1	-20.856352	-0.228201	-28.516753	5.753619	-6.497430	-21.916804	-10.945100	1.978490	-9.319313	2.315444	7.410012	-14.191369	-7.959312	-11.516410	-0.322573
80	1	-26.531840	-1.651375	-29.581531	7.337921	-6.425348	-13.150050	-13.852070	-4.421171	-8.439453	10.294516	6.880080	-14.371795	-20.965607	-10.242577	-5.566621
81	1	-23.081414	2.379744	-22.717505	6.941464	-6.182785	-18.006495	-11.040977	2.921228	-10.280116	3.823296	7.014674	-17.764574	-14.170932	-13.283579	-6.500864
83	1	-15.455602	2.596876	-14.489302	4.308676	-8.798384	-16.991420	-5.406214	-1.488394	4.071844	-3.124178	1.944411	-4.763004	-9.531415	-13.130710	-1.499472
84	1	-19.126484	0.365563	-26.831508	6.790008	-10.169358	-19.424007	-14.114276	-0.850165	-12.046213	3.414754	6.566891	-10.927360	-11.802795	-17.777950	-5.938536
85	1	-21.327066	0.293592	-19.097973	6.777185	-6.941532	-14.854356	-21.068408	-1.434959	-11.529411	8.996122	7.272068	-16.967148	-17.470904	-16.064265	-6.611652
91	1	-16.774409	3.389207	-22.109569	0.219248	4.848875	-7.976083	-12.569229	2.478689	-15.050315	5.138358	4.127165	-8.291859	-7.935540	-10.455563	-8.869552
97	1	-17.355295	-1.819625	-28.952545	8.890865	-3.231591	-14.197043	-8.863655	1.612740	-4.052324	5.949181	7.297896	-13.057186	-12.823570	-17.325502	-7.321132
