4	3	-17.599083	-0.201351	-23.520837	7.834463	-9.314833	-13.874340	-17.456996	3.479972	-3.763734	4.995908	3.675802	-17.549974	-16.582756	-15.215424	-6.115678	8.820679	4.955024	12.641529	-10.951105	9.415148	7.030828	9.011395	9.152065	13.197238	-10.733928	-16.529401	-2.289834	-4.025624	6.119848	-13.776753	-12.495909	-0.201351	-18.184899	7.834462	-9.314804	-13.860787	-13.491438	3.479972	2.151348	3.457606	2.629932	-13.987328	-17.595167	-15.215239	-8.827923
6	3	-22.359153	0.372673	-21.424382	6.211133	-0.646210	-11.275812	-11.759846	2.001734	-9.699316	5.074615	5.089982	-12.759795	-13.218218	-10.286822	-4.576728	-17.691755	0.372673	-21.430662	1.772400	3.090420	-4.252980	-5.205633	2.002045	-8.642307	1.616507	3.534514	-10.819025	-12.513794	-6.370883	-7.572842	0.260756	5.796113	2.536146	3.035898	0.738740	-3.725229	5.058445	6.668826	5.095304	-4.337314	-3.598290	9.716887	3.498781	1.579008	1.875648
14	3	-18.308438	0.137209	-21.182804	5.787734	-3.290767	-14.026920	-16.793000	1.037252	-6.121555	7.236367	5.968365	-16.969507	-6.774762	-15.524068	0.723285	5.683918	6.495300	8.933672	-6.995401	5.707422	5.422177	6.971875	6.929493	-2.882513	-7.490152	-11.447957	-4.058667	8.547484	6.196807	-0.926688	-11.177028	0.137216	-9.073968	2.114095	4.528387	-7.151926	-5.533128	1.037529	-6.514564	1.036437	-0.476045	-5.990467	1.733742	-11.300867	1.975575
16	3	5.045782	6.963377	8.249296	-10.875251	3.111904	6.669486	9.830850	6.400821	-0.416414	-8.878672	-6.163786	-8.784705	6.113168	6.619808	-4.656167	9.481290	6.969867	12.971350	-11.011150	3.270652	6.681904	9.849105	6.400821	4.934182	-12.847876	-11.124624	-4.579575	5.339133	6.628116	-10.281706	-20.026002	1.981279	-13.792189	2.198809	-2.652190	-10.161738	-16.302680	3.301264	-11.360940	5.728028	6.156379	-21.043833	-14.159157	-14.234782	-7.201714
24	3	-7.960694	3.817651	-3.615016	0.439042	3.970036	-11.657332	-6.573041	2.182955	6.009249	-2.795425	-0.320947	-0.413322	-6.359826	-11.251103	-5.623176	-19.324347	3.773115	-23.230447	4.892161	-7.297255	-14.114998	-20.624117	2.182955	-3.495640	4.430108	8.159508	-12.316122	-14.458747	-14.015596	-5.875633	-14.329490	3.773647	-12.525003	4.892156	-3.116404	-14.112107	-10.810787	2.182955	6.024210	-2.119079	4.260222	-6.913959	-11.988532	-14.015596	-8.122910
25	3	8.890643	5.664565	13.188253	-9.493112	7.042856	5.671269	10.927297	8.132906	3.611248	-7.889686	-11.020904	4.035269	4.195225	8.438345	-5.159413	4.589493	5.664565	12.732491	-3.131254	-1.431880	4.028872	5.123744	8.128257	7.273563	-4.440422	-7.598117	-2.549037	6.567118	1.988092	-2.380750	-16.513591	2.233612	-10.049345	6.876916	-0.645310	-9.573331	-5.205428	2.424612	8.633047	-2.713078	2.369792	-1.991738	-14.154170	-12.655740	-7.409451
26	3	-21.052178	-1.789224	-25.849879	4.917693	-8.953936	-15.701036	-11.340953	1.142085	-12.666798	4.874947	5.402021	-9.629315	-17.706398	-10.693123	-7.749562	-15.139081	-1.789224	-12.983971	2.595093	3.622965	-9.532556	-5.057345	1.142085	-13.240790	-0.197706	4.364301	4.214960	-10.460492	-4.637198	-2.990751	-15.139020	-1.789224	-12.969314	2.595093	3.622965	-9.532474	-5.057332	1.142085	-11.109056	-0.197707	4.364301	-0.651945	-10.461071	-4.636999	-2.990751
34	3	-17.915891	0.769215	-29.406615	7.433037	-7.559646	-18.382236	-15.861424	-0.197408	-9.552102	4.427277	6.578943	-13.477300	-11.014056	-11.566244	-7.202231	-12.563041	0.769215	-16.575097	4.047152	5.274989	-12.100502	-12.449725	-0.197408	-9.523732	0.573622	1.679096	-5.052635	-4.442545	-8.895533	-9.330900	3.844917	7.290434	2.123277	-1.483433	3.363239	5.244202	-0.170887	5.908571	-10.519483	0.509836	-5.911264	-2.395336	10.686741	6.647021	-1.005155
44	3	-22.159195	4.381236	-22.936348	4.118228	-8.622800	-18.490374	-23.163882	1.705388	-4.173248	7.096144	6.498485	-18.905590	-17.823899	-10.067098	-4.155385	8.206499	5.103640	11.582068	-3.381465	10.010488	4.942003	6.320454	8.230834	8.004751	-6.903675	-13.663976	-2.098081	-2.874259	5.938160	-5.229658	8.206435	5.103639	11.581992	-3.381464	9.989724	4.941940	6.320392	8.230834	6.818593	-6.374908	-13.663969	2.545930	-2.290887	5.938160	-4.739956
49	3	-10.962741	-0.923577	-20.911935	7.686808	-3.967278	-13.678761	-11.324453	0.061145	2.147397	3.410921	3.833526	-8.638843	-12.598105	-16.385830	-5.904884	-8.351339	-0.574251	-6.831283	4.754907	4.577625	-3.221125	-1.189304	0.203039	0.365423	-1.393242	-1.064076	3.834630	-7.689028	-11.533194	-5.103228	5.508291	5.258036	1.729580	4.438881	8.899373	-1.552078	3.617259	4.162689	5.792682	-13.460974	-9.223092	5.352144	-3.046195	-1.376070	-9.593756
50	3	-14.437878	0.957793	-19.115139	0.433957	1.659254	-8.253922	-7.230739	3.998299	-7.927131	8.614428	5.343871	-8.760073	-12.170086	-5.104121	-4.716124	4.889635	6.494401	6.294863	-12.280148	3.876265	5.790699	7.833643	8.412542	-4.527527	-2.787609	-3.275307	3.825388	5.102938	3.854807	-1.802957	9.474938	6.494401	12.546943	-12.525465	9.186989	5.795351	11.483867	8.412542	5.819174	-10.649167	-8.632476	0.733498	1.182056	3.854808	-5.883748
58	3	-13.974017	0.784183	-18.556755	7.520261	-8.770273	-14.194495	-14.807957	0.571499	-10.199849	5.957034	5.963653	-18.974157	-17.955663	-11.815860	-6.341583	5.061827	7.401393	9.105454	-2.827493	2.446747	4.598063	4.499734	6.645478	-11.283497	-3.288787	-7.519645	3.479054	10.234177	6.044590	-0.149624	5.066824	7.401393	9.297084	-3.042894	2.697880	4.609339	4.635272	6.645478	-1.799006	-5.773292	-11.313009	-1.684114	10.427439	6.133130	-0.084212
63	3	-12.360868	2.002638	-13.841854	-1.310218	6.711634	-6.778785	-4.785545	3.687297	-9.440640	-0.987071	0.639892	2.927036	-16.251712	-15.943419	-4.197440	4.359045	6.622062	10.124185	-12.555943	9.582296	6.668730	4.825005	7.687876	-1.023533	-11.056024	-10.060783	2.990312	-5.635635	3.046993	-7.143537	3.823047	6.621300	7.081924	-12.551799	6.178086	6.658750	4.249822	7.687664	-11.555095	-10.495794	-9.138880	5.219604	6.801210	3.042025	-0.010278
67	3	-21.458192	0.161133	-25.718006	6.549299	-6.665977	-14.540233	-16.715059	0.489740	-9.403133	5.298347	8.075500	-11.716174	-16.517450	-12.363566	-8.135437	6.360967	6.693606	6.345966	-9.296325	4.135339	7.992637	2.764307	6.792190	-10.534576	-2.290825	-4.258923	5.568119	5.003259	6.554089	-2.660972	-15.876529	0.161133	-17.651316	0.034628	4.457431	-9.402272	-6.876220	0.489740	-8.650996	0.750631	3.064369	-2.570536	-10.242489	-6.757109	-4.917748
68	3	-25.074297	1.487214	-23.216927	4.651004	-7.580997	-14.362176	-11.949789	0.149142	-9.776202	4.543793	6.890205	-22.108316	-17.350761	-12.324193	-6.469002	10.136804	7.947789	13.914448	-13.818790	9.410236	7.982330	11.413153	5.800010	6.977250	-12.903421	-10.952753	-2.138220	-4.284522	4.100136	-11.775890	10.136794	7.947789	13.914439	-13.818811	9.113788	7.981482	11.394605	5.800010	6.457591	-12.863482	-10.952753	-2.133177	2.206011	4.100131	-8.721998
71	3	-27.150599	-0.496663	-29.809420	5.763967	-4.639379	-10.263665	-13.123386	0.829127	-5.260266	3.893529	8.853668	-12.002571	-7.612923	-18.198318	-2.099410	4.100668	6.077828	13.782010	-11.080583	7.949949	7.399693	8.790155	6.881038	1.702948	-5.093384	-9.142625	-2.219857	4.569631	5.295236	-4.899851	-10.407069	-0.496663	-0.397692	3.300584	-0.829394	1.390363	2.503935	0.871269	6.036606	-7.620615	-0.727576	-1.209322	2.905163	-9.818166	-1.095455
96	3	3.641448	5.602775	9.737444	-12.934542	5.978795	9.688397	3.303449	9.537113	-2.419405	-16.574173	-14.215368	-2.902132	7.452304	4.313018	-2.323716	-9.734010	0.670828	-2.775791	-2.851293	5.775922	2.683422	-2.066772	3.154906	-3.813819	-6.129233	-4.246805	-5.044809	-4.101018	-1.374658	-7.418239	-16.010310	0.670817	-15.390621	0.303159	3.196681	-6.079528	-9.303491	3.154906	-9.358497	1.031789	2.681574	-6.339379	-9.293444	-6.083736	-3.699999
