9	3	4.183196	-10.967655	-14.911793	-5.750664	8.947306	-4.841648	-17.086142	-6.102450	-7.032540	-8.982941	-10.661369	8.018919	-5.549890	6.755603	0.124543	-0.771944	6.272368	9.882448	4.026905	-2.384251	-10.739845	-8.089016	-16.676820	-20.689142	-18.419273	-0.836717	0.909417	5.844930	-5.738708	4.183196	-10.967655	-14.917273	-5.755126	8.985419	-4.841648	-17.086142	-12.680377	-7.032575	7.070379	-10.661369	8.019363	-5.553379	6.755603	6.502146	5.720401	-3.682695	-21.650714	-20.572755	6.172507	5.105826	5.878941	9.896879	9.503647	10.239248	6.449761	7.597038	1.760846	7.778016	-11.622593	4.421601	9.355178	8.021112	-12.170868	6.854119	5.403051	6.429646	3.622463	-8.982941	6.721754	-19.415290	5.064255	6.755603	0.124543	-0.771944	6.272368	9.882448	4.026905	-2.384251	-10.739845	-8.089016	-16.676820	-20.689142	-18.419273	-0.836717	0.909417	5.844930	-5.738708
14	3	7.419311	-10.239634	-14.996449	-14.304421	12.684554	-9.338808	-12.577401	-3.999280	-2.471114	-14.868876	-10.557778	10.247235	-3.959764	6.331381	-1.288557	2.542806	4.616601	10.486496	6.528194	-3.504478	-9.110369	-9.792930	-13.611732	-15.655358	-20.469178	-3.289489	-4.928462	7.293896	-10.638931	7.419311	-10.239634	-14.996450	-14.304421	12.684559	-9.338772	-15.163152	-9.003772	-2.471114	6.056813	-10.557778	10.247412	-3.959764	6.331381	5.281117	6.546190	-4.852239	-21.554388	-14.483282	8.359446	3.781691	7.165054	10.638309	9.848561	11.225426	8.073467	7.143213	0.988054	4.305620	-6.695924	5.825433	10.384375	4.744082	-14.595322	8.233052	6.465178	7.778719	7.183104	-14.868876	3.736143	-9.990670	7.565159	6.331381	-1.288557	2.542806	4.616601	10.486496	6.528194	-3.504478	-9.110369	-9.792930	-13.611732	-15.655358	-20.469178	-3.289390	-4.928462	7.293896	-10.638931
20	3	6.353697	-10.979162	-19.022012	-11.633852	9.731144	-7.423229	-15.059899	-11.059869	-5.875995	5.649097	-6.662229	9.319189	-6.901474	7.329698	6.875945	6.981851	-4.988087	-20.055287	-11.286478	9.513206	8.863625	6.980508	10.612298	10.685842	9.906304	6.676025	4.955169	0.555504	7.700071	6.353697	-10.979162	-19.031289	-11.633852	9.731144	-7.423229	-15.059899	-4.642147	-5.875995	-10.531005	-6.662229	9.319171	-6.901474	7.329698	3.890340	5.761415	3.631933	6.763785	5.607345	3.865681	-3.114335	-9.341898	-4.890772	-16.579567	-22.497839	-5.695565	-6.951795	6.405525	-10.887706	-7.799750	5.152291	9.554686	6.756450	-9.475306	7.203416	5.914673	5.625719	6.566830	-10.531005	7.093106	-14.918948	3.882954	7.329698	3.890340	5.761415	3.631933	6.763785	5.607345	3.865680	-3.114335	-9.341898	-4.890772	-16.579567	-22.497839	-5.695565	-6.951795	6.405525	-10.887706
33	3	7.190641	-12.494047	-14.781439	-15.709812	10.364614	-5.461368	-10.990575	-2.876286	-3.478784	-12.420983	-11.049451	10.603551	-4.462622	7.742401	0.209170	1.597472	6.546778	11.823162	7.003572	-2.031350	-9.578353	-4.676153	-18.394556	-21.597721	-23.375544	-4.004204	-5.763938	6.224784	-8.019626	7.190641	-12.494047	-14.781439	-15.709813	10.367647	-5.461368	-14.132923	-7.102629	-3.478784	5.696215	-11.049490	10.603556	-4.462622	7.742401	6.751317	7.809125	-5.826490	-19.557918	-5.054416	6.946647	5.462723	8.370626	9.941934	7.848782	9.476245	5.461202	6.392730	0.445148	6.753326	-1.454288	4.696873	9.025675	2.858341	-11.784352	7.979605	6.907319	9.015715	6.223967	-12.420983	6.016488	-14.192602	6.692079	7.742401	0.209170	1.597472	6.546778	11.823162	7.003572	-2.031350	-9.578353	-4.676153	-18.394556	-21.597721	-23.375544	-4.004204	-5.763938	6.224784	-8.019626
37	3	5.229587	-8.448121	-17.763543	-10.349404	10.060068	-9.771947	-10.315022	-6.279593	-0.656211	-13.302965	-5.097640	11.549869	-4.694359	4.927401	3.649089	-0.768143	7.459983	8.310945	5.165420	1.584370	-7.524368	-10.034746	-16.349242	-19.400164	-18.638303	-2.701731	-3.576525	8.052023	-5.838323	-11.459323	6.303718	9.845395	5.569317	-13.146020	6.555478	8.074532	4.221854	7.431832	-13.302965	7.166016	-12.555077	5.511977	4.927401	3.649089	-0.768143	7.459983	8.310945	5.165420	1.584370	-7.524368	-10.034746	-16.349242	-19.400164	-18.640638	-2.701731	-3.576525	8.052023	-5.838323	-11.416955	6.217071	8.463089	4.885040	-9.526884	6.555423	-0.021180	-2.036408	7.431832	3.187820	3.267524	-1.622569	4.905638	4.927401	8.857123	5.746518	1.361367	-20.399837	-12.198858	7.760325	8.607173	4.434366	8.974225	10.366728	11.454024	6.694826	7.382762	2.811610	5.370715
40	3	7.568879	-10.690760	-17.266661	-5.416917	10.860928	-2.527781	-15.737722	-4.292849	-4.346371	-9.590784	-10.655384	10.264387	-4.214491	6.983838	1.850509	-0.214658	8.400157	9.103909	7.140603	-2.830365	-12.815291	-7.049525	-17.623126	-26.466152	-24.548523	-5.395774	-4.349714	8.341578	-8.808523	-2.633322	7.162942	8.366623	5.953630	-17.568300	6.798772	6.872998	5.872179	5.191838	-9.590784	5.708790	-14.713903	6.214667	6.983838	1.850509	-0.214658	8.400157	9.103909	7.140603	-2.830365	-12.815291	-7.049525	-17.623126	-26.466152	-24.548523	-5.395774	-4.349714	8.341578	-8.808523	7.568879	-10.690760	-17.266646	-5.416917	10.915450	-2.527781	-15.737988	-10.894886	-4.346372	7.065031	-10.655384	10.378896	-4.220896	6.983838	7.088681	5.324678	1.715207	-17.769784	-12.611289	7.662672	4.909496	6.361642	10.710890	8.698050	6.367059	4.485935	6.821554	2.866386	3.060303
61	3	6.511362	-12.347098	-16.712958	-13.474178	10.622297	-9.884571	-15.247206	-12.206436	-6.876921	8.813746	-11.028288	10.537716	-6.140614	6.314030	4.661822	7.425986	-9.824739	-19.601774	-14.154922	6.633598	7.102978	7.778797	9.883869	10.116411	10.272276	6.660154	5.165664	2.952033	6.037462	6.511362	-12.347098	-16.712958	-13.474178	10.613723	-9.884571	-15.247064	-5.811961	-6.876921	-9.929619	-11.028288	10.537716	-6.140614	6.314030	-1.758030	3.504105	-1.747572	4.628638	1.552218	-4.144318	-3.425474	-0.836280	-7.514838	-10.514796	-14.176471	-4.557695	-5.371401	8.468903	-5.436437	-9.216462	4.142848	12.148845	5.477461	-12.648165	7.188259	5.404203	4.239685	4.904577	-9.929621	6.108450	-14.417976	5.902446	6.314030	-1.758030	3.504105	-1.747572	4.628638	1.552218	-4.144318	-3.425474	-0.836280	-7.514838	-10.514796	-14.176471	-4.557695	-5.371401	8.468903	-5.436437
65	3	8.321792	-7.307068	-15.915971	-13.803384	11.065755	-10.748912	-8.711759	-6.367398	-5.396738	-9.076792	-12.290478	12.100261	-2.672851	7.509859	2.759869	1.607736	6.113415	10.622769	5.880205	2.297060	-10.168258	-8.227304	-14.331936	-23.414925	-17.905951	-2.545669	-4.405838	6.059387	-10.965481	8.321792	-7.307068	-15.915972	-13.803384	11.065808	-10.748912	-8.711762	-8.882187	-5.396738	2.925245	-12.290478	12.100261	-2.672851	7.509859	7.906782	5.877661	-2.022977	-21.660044	-10.524573	6.665533	6.472575	5.293515	5.486883	9.824141	10.215228	6.820647	5.611805	2.513346	6.318584	-0.726760	5.678543	10.195792	5.077994	-16.661488	5.558590	9.020968	5.214991	7.268635	-9.076792	4.757421	-10.030107	8.746346	7.509859	2.759869	1.607736	6.113415	10.622769	5.880205	2.297060	-10.168258	-8.227296	-14.331936	-23.414924	-17.905951	-2.545669	-4.405838	6.059387	-10.965481
83	3	8.446403	-4.971931	-16.357912	-10.844254	8.993656	-7.903101	-16.613264	-11.515869	-7.842723	2.874832	-9.363404	9.606362	-3.578026	7.335806	5.570775	7.121493	-3.177008	-17.665411	-11.553318	6.426141	4.645760	6.152955	8.588221	9.623945	10.731515	8.181932	0.727704	5.879116	1.440422	-7.539119	7.349467	9.174809	6.532443	-15.841311	8.836689	4.936320	2.628812	2.923159	-10.809468	6.100914	-17.763117	6.500042	7.335806	0.514387	1.315172	2.795898	9.256108	5.728856	0.593835	-7.768922	-4.915574	-11.277144	-20.914005	-18.696748	0.482478	-10.883569	5.879151	-3.570337	8.446403	-4.971931	-16.357912	-10.844254	8.993650	-7.903041	-16.607522	-5.673610	-7.842723	-10.809468	-9.363404	9.606362	-3.578026	7.335806	0.514387	1.315172	2.795898	9.256108	5.728856	0.593835	-7.768922	-4.915574	-11.277144	-20.914005	-18.696748	0.482478	-10.883569	5.879151	-3.570337
89	3	5.735002	-7.141561	-13.675139	-11.733041	9.387374	-9.962476	-15.433071	-10.391417	-3.509456	8.817325	-12.697071	9.550061	-3.947907	7.919890	9.442444	4.943052	-1.203283	-15.301111	-12.263134	8.031195	5.161536	6.569341	6.296961	6.982322	9.384284	7.078468	6.241989	1.743608	5.451495	-11.090542	7.496511	10.651962	4.343030	-12.027018	5.574366	5.544437	0.970745	5.296741	8.817325	6.166236	-14.449222	7.415971	7.919890	9.442444	4.943052	-1.203283	-15.301111	-12.263134	8.031195	5.161536	6.569341	6.296961	6.982322	9.384284	7.078468	6.241989	1.743608	5.451495	5.735002	-7.141561	-13.675139	-11.733041	9.387370	-9.962476	-15.433071	-5.324142	-3.509456	-3.851681	-12.697071	9.549338	-3.947907	7.919890	7.823336	-0.449486	8.256494	9.112719	3.226852	3.082836	-8.820939	-8.282674	-11.308353	-20.327347	-20.884151	-4.866404	-2.832474	7.985033	-4.709809
