5	2	7.511736	-13.270475	-18.906000	-9.195819	9.840703	-5.857158	-17.026772	-4.948864	-4.425960	-20.234151	-11.586803	5.902094	-3.430878	6.129071	-3.098159	0.258264	3.860461	10.317590	6.937513	-5.126800	-7.366098	-10.735702	-11.909659	-16.307137	-22.820633	-6.419490	-2.366536	6.561350	-8.238485	-9.355736	4.182087	10.324350	7.385090	-18.924454	9.354918	5.340507	7.507206	7.704896	-20.234151	5.829949	-20.705352	6.873279	6.129071	-3.098159	0.258264	3.860461	10.317590	6.937513	-5.126800	-7.366098	-10.735702	-11.909659	-16.307137	-22.820633	-6.419490	-2.366536	6.561350	-8.238485
7	2	-7.320095	6.086274	9.372084	6.189077	-15.822564	5.485264	7.631794	6.677556	5.326786	-17.126793	5.449783	-18.664215	4.321792	3.812988	-5.136776	-1.642831	4.695370	9.550579	7.277160	-5.492579	-7.809470	-8.211623	-13.776256	-14.582842	-14.143892	-4.840317	-5.915193	5.891623	-8.430025	6.684248	-10.643034	-19.258049	-7.855304	9.802014	-12.635448	-15.435931	-2.185201	-7.080151	-17.126793	-11.575615	9.179879	-5.809073	3.812988	-5.136776	-1.642831	4.695370	9.550579	7.277160	-5.492578	-7.809470	-8.211623	-13.776256	-14.582842	-14.143892	-4.840317	-5.914778	5.891623	-8.430025
13	2	7.172874	-10.043393	-13.149596	-10.045413	10.025333	-8.029036	-9.366373	-6.454620	-3.812155	-13.605794	-4.930654	6.576508	1.378186	6.037545	-4.199107	1.641643	4.289635	7.927087	5.997676	-3.134198	-6.391835	-4.436729	-19.749283	-20.814681	-20.186646	-3.765912	0.725525	6.619972	-15.064493	-8.125393	5.494785	11.232731	6.698318	-14.886748	6.416886	6.694311	5.397683	7.565087	-13.605794	6.560570	-21.932161	6.414997	6.037545	-4.199107	1.641643	4.289635	7.927087	5.997676	-3.134203	-6.391835	-4.436729	-19.749283	-20.814681	-20.186646	-3.765912	0.725525	6.619972	-15.064493
15	2	-12.572993	6.274959	10.625429	8.754024	-17.145549	5.474272	8.817919	7.022897	6.386038	-15.263991	8.116306	-15.189976	6.210028	5.765822	-3.905559	1.118689	6.240445	9.443742	7.405453	-4.068194	-9.841890	-11.598864	-12.657792	-24.783864	-15.577403	-3.332039	-5.147491	8.055903	-6.335408	3.291989	-11.846180	-13.802392	-4.980977	9.448059	-10.788572	-15.081492	-5.160647	-2.477952	-15.263991	-7.769257	9.530661	-2.421387	5.765822	-3.905559	1.118689	6.240445	9.443742	7.405453	-4.068194	-9.841890	-11.598864	-12.657791	-24.783864	-15.577403	-3.332039	-5.147491	8.055903	-6.335408
21	2	7.771718	-11.112850	-12.714107	-4.615592	-2.875456	-3.855050	-8.146807	1.919485	-0.820993	-7.479610	-5.819668	9.506109	-0.160507	4.057634	-4.427773	2.793759	6.273733	7.853818	4.913617	-3.780135	-8.701618	-6.203796	-18.121054	-23.870072	-19.484452	-0.881061	-6.643293	3.366541	-2.266523	-6.289201	7.129409	10.384324	6.648484	-22.408453	7.823440	6.689747	7.837593	5.316389	-7.479610	7.987526	-18.172631	6.336678	4.057634	-4.427773	2.793759	6.273733	7.853818	4.913617	-3.780135	-8.701618	-6.203796	-18.121054	-23.870072	-19.484452	-0.881061	-6.643293	3.366541	-2.266522
27	2	5.282818	-8.267314	-18.455196	-7.966676	8.665052	-11.346375	-13.659036	-6.196652	-1.698966	8.249125	-9.939373	10.276856	0.864074	7.127653	6.494865	5.915517	0.757079	-18.452686	-8.145615	6.781025	6.389461	0.407426	9.089595	0.124124	11.144119	6.292695	6.800960	-0.648122	6.975124	-12.348421	6.938058	9.044071	7.049260	-13.921108	3.784428	5.758498	-0.573257	7.954136	8.249125	5.709898	-11.401257	7.041604	7.127653	6.494865	5.915517	0.757079	-18.452686	-8.145615	6.781025	6.389461	0.407426	9.089595	0.124124	11.144119	6.292695	6.800960	-0.648122	6.975124
30	2	7.091001	-6.329066	-17.008748	-10.486592	10.896253	-12.692977	-18.423590	-12.482002	-10.160873	8.454077	-9.564493	8.649138	-5.104967	5.992790	6.827142	5.346657	1.278414	-14.791437	-12.409057	6.902790	5.264816	7.179751	7.499339	5.683543	9.014524	8.125623	7.285516	3.774256	9.591509	7.091001	-6.329066	-16.972967	-10.486592	10.896253	-12.692977	-18.423590	-7.542566	-10.160873	-4.393478	-9.564493	8.649138	-5.104967	5.992790	0.944741	-0.089610	6.993746	10.781714	6.074023	-0.728259	-11.563945	-10.617051	-16.113383	-27.221994	-22.620933	-2.676888	1.086471	6.488800	-1.384796
32	2	-8.405504	6.793539	9.863604	6.651939	-14.208243	9.505605	6.451626	8.150428	4.888418	-14.584216	6.375305	-16.950981	6.458694	6.168683	-4.074181	1.218293	4.261536	10.818295	4.487200	-2.982478	-11.695997	-7.654278	-14.797842	-19.673276	-20.307303	-4.538689	-5.829978	5.909395	-8.481188	6.194827	-11.591821	-13.745946	-7.471529	9.355613	-5.654275	-14.377893	-4.674020	-5.463347	-14.584216	-9.415957	9.365715	-3.552259	6.168683	-4.074181	1.218293	4.261536	10.818295	4.487200	-2.982478	-11.695997	-7.654278	-14.797842	-19.673276	-20.307303	-4.538689	-5.829978	5.909395	-8.481188
36	2	5.007399	-11.798894	-19.737689	-12.723259	9.406830	-11.821124	-9.668522	1.244630	-6.277379	-6.077189	-10.143429	7.769563	-1.992816	6.457100	-5.310431	1.238184	6.372476	9.954028	6.571040	-7.028762	-7.664563	-10.259508	-17.350129	-22.536621	-18.193420	-3.719972	-5.144967	5.197900	-9.267256	-7.307146	6.518267	8.514287	3.364204	-9.921124	5.059290	6.736448	8.897010	5.994582	-6.077189	5.933933	-16.115405	7.487053	6.457100	-5.310431	1.238184	6.372476	9.954028	6.571040	-7.028762	-7.664563	-10.259509	-17.350129	-16.960625	-18.193420	-3.719972	-5.144967	5.197900	-9.267256
38	2	8.709033	-9.894124	-16.294243	-11.098820	6.201409	-10.243971	-12.812855	-12.179027	-1.918199	9.347619	-5.394741	9.890025	-4.011085	5.920059	4.884204	6.568188	-8.353037	-20.913690	-8.976516	3.817770	5.033018	7.795158	9.278536	11.632059	9.159003	5.553815	6.159020	2.431083	5.769531	-5.959063	6.501914	11.290953	2.879890	-12.300865	4.999184	8.678323	0.654222	6.625148	9.347619	5.865988	-11.468537	7.733692	5.920059	4.884204	6.568188	-8.353037	-20.913690	-8.976516	3.817770	5.033018	7.795158	9.278536	11.632059	9.159003	5.553815	6.159020	2.431083	5.769531
