point_label,module,module_T_s,network_T_s,pheno_score,basin_size,network_name,pc1_variance
AS(E_PS_RS_AS_C_M),AS,0.6319972768889177,0.3989463442214569,17.762943066080716,0.01814,Comb_E_PS_RS_AS_C_M,19.38926714743744
C(E_PS_RS_AS_C_M),C,0.4573232323232323,0.3989463442214569,4.880555555555555,0.01814,Comb_E_PS_RS_AS_C_M,19.38926714743744
PS(E_PS_RS_AS_C_M),PS,0.2315091601724208,0.3989463442214569,7.6008056159488815,0.01814,Comb_E_PS_RS_AS_C_M,19.38926714743744
M(E_PS_RS_AS_C_M),M,0.4541666666666665,0.3989463442214569,11.666666666666666,0.01814,Comb_E_PS_RS_AS_C_M,19.38926714743744
E(E_PS_RS_AS_C_M),E,0.7292318727177881,0.3989463442214569,18.666666666666664,0.01814,Comb_E_PS_RS_AS_C_M,19.38926714743744
RS(E_RS),RS,0.7413194444444445,0.4876657154014761,10.333333333333332,0.1993666666666667,Comb_E_RS,11.008274544704703
E(E_RS),E,0.7292318727177881,0.4876657154014761,13.22222222222222,0.1993666666666667,Comb_E_RS,11.008274544704703
PS(M_PS),PS,0.2336783610562816,0.3480010932642729,6.756355141398846,0.1124,Comb_M_PS,10.711258780016118
M(M_PS),M,0.3728070175438596,0.3480010932642729,4.066666666666666,0.1124,Comb_M_PS,10.711258780016118
RS(M_RS),RS,0.7413194444444445,0.652945788530466,10.22222222222222,0.147,Comb_M_RS,6.178876157123983
M(M_RS),M,0.3728070175438596,0.652945788530466,4.066666666666666,0.147,Comb_M_RS,6.178876157123983
RS(PS_RS),RS,0.7385969065656566,0.4284362212435386,21.87361111111111,0.167,Comb_PS_RS,14.16922317516859
PS(PS_RS),PS,0.2315091601724208,0.4284362212435386,6.638226051307846,0.167,Comb_PS_RS,14.16922317516859
