point_label,module,module_T_s,network_T_s,pheno_score,basin_size,network_name,pc1_variance
AS(AS),AS,0.633090189823936,0.6408327698895651,13.98076923076923,0.2935,Single_AS,13.480045978106485
C(C),C,0.4474999999999999,0.4798055974526562,6.263888888888889,0.5012800000000001,Single_C,8.508209610685903
E(E),E,0.7292318727177881,0.7305720899470898,13.22222222222222,0.50018,Single_E,11.247542505566743
M(M),M,0.3728070175438596,0.3722222222222222,4.066666666666666,0.37314,Single_M,4.446624938599673
PS(PS),PS,0.2336783610562816,0.3449461423958545,6.756355141398846,0.29494,Single_PS,10.742848152169978
RS(RS),RS,0.7413194444444445,0.7413194444444445,10.22222222222222,0.39084,Single_RS,6.2669383731403405
C(AS_C),C,0.4474999999999999,0.5051184841752794,6.263888888888888,0.1467333333333333,Comb_AS_C,14.065476441285487
AS(AS_C),AS,0.633090189823936,0.5051184841752794,14.403846153846157,0.1467333333333333,Comb_AS_C,14.065476441285487
E(AS_E),E,0.7292318727177881,0.6501350849052425,13.22222222222222,0.1516333333333333,Comb_AS_E,13.852131456670355
AS(AS_E),AS,0.633090189823936,0.6501350849052425,15.115384615384617,0.1516333333333333,Comb_AS_E,13.852131456670355
M(AS_M),M,0.3728070175438596,0.5946349378200868,4.066666666666666,0.1519333333333333,Comb_AS_M,14.141183775540359
AS(AS_M),AS,0.633090189823936,0.5946349378200868,14.852564102564102,0.1519333333333333,Comb_AS_M,14.141183775540359
PS(AS_PS),PS,0.2336783610562816,0.3964718319458073,7.393610030715203,0.092,Comb_AS_PS,15.357968824291204
AS(AS_PS),AS,0.6319972768889177,0.3964718319458073,14.115151043288694,0.092,Comb_AS_PS,15.357968824291204
RS(AS_RS),RS,0.7413194444444445,0.5981766097334573,13.833333333333332,0.14654,Comb_AS_RS,14.445216936692923
AS(AS_RS),AS,0.633090189823936,0.5981766097334573,15.175712250712248,0.14654,Comb_AS_RS,14.445216936692923
RS(C_AS_RS),RS,0.7413194444444445,0.544249908886105,13.833333333333332,0.06584,Comb_C_AS_RS,15.002963032901695
C(C_AS_RS),C,0.4474999999999999,0.544249908886105,9.75,0.06584,Comb_C_AS_RS,15.002963032901695
AS(C_AS_RS),AS,0.633090189823936,0.544249908886105,15.598789173789172,0.06584,Comb_C_AS_RS,15.002963032901695
M(C_M),M,0.4499999999999999,0.4835482226107227,16.666666666666664,0.4564000000000001,Comb_C_M,14.458525048349468
C(C_M),C,0.4589572192513369,0.4835482226107227,10.48611111111111,0.4564000000000001,Comb_C_M,14.458525048349468
PS(C_PS),PS,0.2336783610562816,0.3428651125806423,6.756355141398846,0.1546,Comb_C_PS,10.559159110946
C(C_PS),C,0.4474999999999999,0.3428651125806423,8.76388888888889,0.1546,Comb_C_PS,10.559159110946
RS(C_RS),RS,0.7413194444444445,0.5683455212958692,10.22222222222222,0.26668,Comb_C_RS,9.761581771588506
C(C_RS),C,0.4474999999999999,0.5683455212958692,9.513888888888888,0.26668,Comb_C_RS,9.761581771588506
E(E_AS),E,0.7292318727177881,0.6501350849052425,13.22222222222222,0.15184,Comb_E_AS,13.866386277232918
AS(E_AS),AS,0.633090189823936,0.6501350849052425,15.115384615384617,0.15184,Comb_E_AS,13.866386277232918
E(E_C),E,0.7292318727177881,0.5641386822928405,14.777777777777777,0.27922,Comb_E_C,12.489875607229058
C(E_C),C,0.4455158730158729,0.5641386822928405,7.513888888888888,0.27922,Comb_E_C,12.489875607229058
RS(E_C_AS_RS),RS,0.7413194444444445,0.4959834096132217,13.944444444444445,0.04256,Comb_E_C_AS_RS,16.382028683262583
C(E_C_AS_RS),C,0.4455158730158729,0.4959834096132217,8.624999999999998,0.04256,Comb_E_C_AS_RS,16.382028683262583
E(E_C_AS_RS),E,0.7292318727177881,0.4959834096132217,11.88888888888889,0.04256,Comb_E_C_AS_RS,16.382028683262583
AS(E_C_AS_RS),AS,0.633090189823936,0.4959834096132217,16.40733618233618,0.04256,Comb_E_C_AS_RS,16.382028683262583
M(E_M),M,0.3771929824561403,0.6031246506126988,6.0,0.26274,Comb_E_M,13.038587633803669
E(E_M),E,0.7292318727177881,0.6031246506126988,15.851851851851851,0.26274,Comb_E_M,13.038587633803669
PS(E_PS),PS,0.2336783610562816,0.4702664741266975,7.079503289546993,0.1557,Comb_E_PS,11.538764212525551
E(E_PS),E,0.7292318727177881,0.4702664741266975,13.22222222222222,0.1557,Comb_E_PS,11.538764212525551
RS(E_PS_RS_AS_C_M),RS,0.7385969065656566,0.3989463442214569,24.77083333333333,0.01814,Comb_E_PS_RS_AS_C_M,19.38926714743744
