8	1	-10.951796	-0.487274	0.975831	7.303954	6.022989	8.110854	2.460099	2.400301	-3.512717	6.407731	4.964962	6.698972	2.762985	3.582881	-10.242964	5.968152	8.170481	6.316533	-14.566482	-9.600185	-7.808707
12	1	-7.728085	1.909692	2.343361	7.576128	2.966750	5.108995	0.975958	-3.193351	-5.802026	5.831859	6.525193	0.092336	7.073454	2.020576	-9.508620	7.539303	6.238249	6.521806	-22.556776	-7.277331	-16.860967
22	1	1.604860	5.559122	0.119140	4.030403	5.285212	6.111736	4.753079	8.833300	-6.177693	0.719315	5.540457	7.280223	0.103631	6.010057	-3.549220	6.843983	2.724587	7.113569	-15.776066	-7.314766	-19.140851
34	1	-14.896300	1.165878	0.034254	9.001838	6.958931	8.608248	-1.834589	0.509274	-11.235095	7.538608	7.048350	0.111790	6.268236	1.134029	-9.898133	9.139182	7.873956	7.797915	-24.115007	-9.419774	-16.234914
39	1	-21.944747	-2.360527	-0.821196	5.985291	8.277493	8.623792	1.313584	1.531732	-15.939837	5.985443	5.716221	3.831106	2.778655	4.359301	-10.752530	6.748757	9.549851	6.262897	-19.092520	-2.446596	-15.750645
40	1	-6.037311	3.040402	4.190497	4.213020	7.223677	4.896636	0.638589	4.095966	-3.755546	4.686679	3.603197	-1.519344	7.946998	7.656867	-10.275298	7.659054	7.405691	6.945519	-19.262321	-5.433079	-15.680465
41	1	10.795086	7.739587	5.441674	1.200610	1.990041	-0.492816	6.215343	5.996506	0.899325	-0.014822	1.273468	7.522600	0.075620	5.300547	-9.641164	7.621405	6.079224	6.989746	-12.917606	-2.078956	-13.427388
52	1	-5.385696	0.150711	0.558942	7.739007	-1.435994	2.304389	1.937094	2.735209	-2.471910	6.926802	2.625584	1.500701	5.514336	0.973276	-5.429230	8.044912	3.280029	6.335576	-20.870021	-12.791939	-15.989432
55	1	-8.517570	0.870607	4.281512	6.929823	6.266332	6.831149	2.242182	4.666750	-9.460395	7.938911	5.810316	0.710693	9.125314	7.035196	-6.386232	3.440008	5.464785	6.464329	-18.592105	-5.577764	-17.559422
58	1	-14.812511	-0.651381	0.388694	6.538064	7.620654	8.521098	-2.055595	1.847715	-21.656043	7.318103	7.078899	-0.703257	6.708336	4.241004	-8.120100	5.026171	6.367749	5.790233	-15.806262	-10.806322	-17.031753
63	1	-11.663667	3.667673	2.726315	6.775726	5.427471	6.594826	0.797055	0.520570	-10.458431	4.105488	5.399460	-5.079723	8.123938	3.862941	-2.488131	5.420207	2.850333	4.304054	-16.933687	-7.300722	-14.648209
86	1	-14.034824	-2.465517	0.381075	7.453246	9.061131	6.053651	1.153593	0.173109	-7.584523	7.030714	6.803693	2.526803	3.759639	3.783152	-9.828998	7.293012	8.310989	6.422579	-22.330779	-10.527148	-16.525011
87	1	-6.795085	-0.789916	0.984174	5.869007	8.617503	7.675786	1.121455	1.599302	-15.851331	5.619711	5.507570	0.543820	5.687875	2.360613	-9.189639	7.608232	8.052132	7.458947	-24.840394	-10.911607	-13.078566
89	1	-3.531471	0.701912	-0.100306	5.127195	1.570910	1.122863	0.622456	1.051043	-8.276435	5.606000	-0.091564	6.017200	5.860790	4.541869	-12.836756	4.131821	7.705746	5.245506	-13.694133	-8.412800	-16.612354
91	1	-2.425851	2.453940	-1.482762	5.231156	6.019125	7.709337	1.537827	2.516520	-8.887976	5.479423	6.607711	3.026402	5.588274	7.607645	-5.072287	4.738100	3.612714	6.565432	-18.739739	-9.667850	-16.653812
95	1	-17.225587	-0.157834	0.709711	6.702195	7.309261	7.249026	1.605074	0.590621	-9.389865	5.420153	6.832875	1.193262	7.354267	2.260021	-13.538792	7.952326	6.341596	5.404136	-20.496713	-9.314086	-13.217423
100	1	-7.946231	0.585153	-0.178908	5.063813	6.858586	4.349061	-0.751453	-1.630018	-4.139998	7.456445	5.508356	3.518176	4.114943	5.808880	-4.927506	5.103677	6.623421	5.745463	-23.637358	-7.024272	-18.613924
