9	4	5.336180	4.574585	6.406270	-0.496967	6.555513	6.589793	8.246721	6.035850	2.069069	-3.570026	3.853235	6.306773	3.312133	7.666745	6.811759	3.318914	-5.253235	-9.773391	11.150954	7.013025	5.854494	5.336179	4.574585	6.406270	-0.496967	6.555513	6.589793	8.246721	6.035850	2.069068	-3.570026	3.853235	6.306773	3.312133	7.666745	-5.795315	4.997225	6.433822	7.762340	-5.201970	-1.486539	-6.940286	-11.136605	1.625421	0.759346	4.783061	7.402940	6.821020	3.028040	0.887168	-2.753670	5.915415	6.117191	-0.297554	7.142665	7.101563	6.810747	3.318914	-5.132661	-9.696680	5.545789	2.864286	0.655071	-11.136605	1.625421	0.759346	4.783061	7.402940	6.821020	3.028040	0.887168	-2.753670	5.915415	6.117191	-0.297554	7.142665	7.101563	-6.402019	4.997225	6.434232	7.762764	-14.448751	-5.549002	-12.648115
14	4	-4.474265	-0.890226	-0.730368	8.178056	3.002338	2.024761	2.133627	3.251056	-10.222538	5.733125	6.162162	4.780578	4.408516	0.616173	2.864116	3.861231	0.614418	0.323197	-7.180730	-1.312424	-6.136513	-4.474265	-0.890226	-0.730368	8.178056	3.002338	2.024761	2.133627	3.251055	-10.222538	5.733125	6.162162	4.780578	4.408516	0.616173	6.544662	2.010548	-7.349201	-4.440350	3.819097	3.941434	2.193700	5.302976	5.514042	4.658400	2.613541	-0.316573	2.024725	7.032643	7.716714	-1.633463	-5.425189	0.897744	7.892009	1.243889	6.465407	6.545159	2.010425	-8.850699	-4.441978	10.428640	7.550471	8.438133	-4.474265	-0.890226	-0.730368	8.178056	3.002338	2.024761	2.133627	3.251055	-10.222538	5.733125	6.162162	4.780578	4.408516	0.616173	6.222335	2.097204	-6.712718	-4.426221	3.013576	0.492340	-0.986962
18	4	10.090412	6.918064	6.571168	2.525534	3.473826	1.031969	8.952657	6.933386	6.792980	-0.162444	6.140772	7.671291	3.313769	4.925042	7.029834	0.993876	-6.537746	-12.323467	9.831094	7.301899	6.279561	10.090412	6.918064	6.571168	2.525535	3.473826	1.031969	8.952657	6.933386	6.792980	-0.162444	6.140772	7.671291	3.313769	4.925042	-9.509004	7.198024	6.058604	4.106141	-12.675925	-5.739407	-9.019378	-5.579814	0.674586	0.257662	8.569298	3.473826	1.031970	3.372426	1.135709	1.599708	6.991798	7.301709	4.002872	6.411292	4.678457	-9.510218	7.198024	6.058604	4.106982	-18.543127	-10.914809	-13.433420	-5.579814	0.674586	0.257662	8.569298	3.473826	1.031970	3.372426	1.135709	1.599708	6.991798	7.301709	4.002872	6.411292	4.678457	7.004089	0.993876	-6.475960	-11.247321	2.235216	2.126060	1.065812
21	4	3.376513	6.572949	7.885830	3.128943	5.704584	5.847464	6.972240	8.900921	3.717857	-7.724767	6.862373	3.588168	5.051927	5.996836	6.736137	-0.223343	-3.474253	-9.971864	9.924376	6.759047	7.459281	-10.585189	0.326346	2.765773	6.645884	5.893804	6.326124	1.964388	3.060324	-7.265315	3.282775	7.726843	-2.791035	7.375237	-0.071720	-8.255359	6.416370	7.764147	6.943382	-17.944017	-9.652519	-7.606077	3.376513	6.572949	7.885830	3.128943	5.704584	5.847464	6.972240	8.900921	3.717857	-7.724767	6.862373	3.588168	5.051927	5.996836	-8.255359	6.416370	7.764147	6.943382	-14.184497	-5.368163	-5.174817	-10.585189	0.326346	2.765773	6.645884	5.893804	6.326124	1.964388	3.060324	-7.265259	3.282775	7.726843	-2.791035	7.375237	-0.071720	6.736137	-0.223343	-3.464608	-9.971562	6.563091	2.481191	4.637278
23	4	7.239774	6.769186	5.527574	0.222398	6.316885	3.064687	7.830050	5.957243	1.202420	1.091655	5.356964	7.120281	2.284902	5.769799	-9.411705	7.203742	6.713825	6.583252	-17.383144	-9.233734	-10.244374	-4.635160	0.969518	0.274807	4.858536	6.357772	3.083062	1.255830	0.106178	-4.175147	8.319844	5.386290	1.015359	8.028622	5.196314	-9.411705	7.203742	6.713825	6.583252	-19.218741	-13.852642	-12.706807	7.239774	6.769186	5.527574	0.222398	6.316885	3.064687	7.830050	5.957243	1.202420	1.091655	5.356964	7.120281	2.284902	5.769799	3.413266	3.926970	-1.122711	-6.152819	10.720315	3.275905	8.174704	-4.635278	0.969517	0.274807	4.858536	6.357772	3.083062	1.255830	0.106178	-4.175142	8.319844	5.386290	1.015357	8.028622	5.196314	3.336394	4.088626	-0.473490	-5.575228	2.913442	-7.096769	-0.861984
29	4	-5.270959	-0.100959	1.909689	6.558076	6.634235	5.725005	0.519090	3.359227	-3.677812	6.221211	6.745508	0.142679	6.235609	2.902493	-9.238146	8.267830	6.664979	7.979031	-15.733136	-9.550199	-16.034315	9.260558	5.889749	7.620429	1.854848	3.808214	2.226957	5.805073	6.632144	7.408961	-3.697570	1.642803	5.438127	5.912773	7.419622	-9.238315	8.267830	6.664979	7.977510	-9.017280	-3.641026	-12.119382	9.260558	5.889749	7.620429	1.854848	3.808214	2.226957	5.805073	6.632144	7.408961	-3.697570	1.642803	5.438127	5.912773	7.419622	9.155075	2.870071	-4.628511	-8.188721	10.115649	7.952627	6.645864	-5.270959	-0.100959	1.909689	6.558076	6.634235	5.725005	0.519090	3.359227	-3.677812	6.221211	6.745508	0.142679	6.235609	2.902493	9.154003	2.870071	-4.624368	-5.341922	3.556897	2.042271	2.680065
32	4	-5.122090	-5.088159	3.106329	6.598622	4.041214	6.277878	1.654004	2.310146	-0.097489	3.859352	3.453830	2.363235	8.237147	-1.368169	-9.521398	6.106978	4.378280	6.351194	-23.198705	-11.079406	-8.544357	2.525055	0.460649	3.231287	3.595503	0.846444	2.540559	5.163895	5.850581	3.764491	-3.545002	-0.372040	5.966440	7.004783	3.441964	-5.717114	6.101604	4.378280	6.351191	-19.890779	-4.026542	-3.244585	2.525055	0.460649	3.231287	3.595503	0.846444	2.540559	5.163895	5.850581	3.764491	-3.545002	-0.372040	5.966440	7.004783	3.441964	5.508084	2.822329	-3.723184	-6.128602	9.072110	4.691878	7.089750	-5.122090	-5.088159	3.106329	6.598622	4.041214	6.277878	1.654004	2.310146	-0.097489	3.859352	3.453830	2.363235	8.237147	-1.368169	4.588370	3.563437	1.215156	0.439742	-12.578736	-2.608485	-2.174784
43	4	11.151325	6.473578	5.973004	3.800741	4.409037	2.910631	7.170083	8.174674	7.515313	0.555566	4.156807	7.413772	3.368609	7.043304	6.804777	3.992558	-3.772191	-10.614882	9.162633	6.036076	7.323158	11.151325	6.473578	5.973004	3.800741	4.409037	2.910631	7.170083	8.174674	7.515313	0.555566	4.156807	7.413772	3.368609	7.043304	-5.672688	9.179925	7.568799	6.367179	-15.011015	-5.916926	-7.655547	-0.369976	3.250140	0.123369	6.934922	4.635622	3.436280	0.877043	8.174357	0.929159	4.350394	6.295298	2.278915	8.054979	4.282018	6.804776	3.992558	-3.668877	-10.614645	6.920895	5.800796	5.554775	-0.369976	3.250140	0.123369	6.934922	4.635622	3.436280	0.877043	8.174357	0.929159	4.350394	6.295298	2.278915	8.054979	4.282018	-5.672688	9.179925	7.568932	6.367179	-17.239596	-6.152242	-9.423676
44	4	3.976847	7.706310	3.118805	-0.422986	3.066550	-1.015322	7.465515	3.438422	1.569323	-6.016650	3.432618	8.951795	-0.437809	6.976939	-7.668942	6.887735	8.407387	7.684307	-20.895963	-5.401119	-11.762117	-5.631777	3.372310	-1.009184	5.709468	5.314517	3.513361	3.632974	-2.281141	-2.277436	5.102326	7.415036	3.331231	5.700584	6.354474	-7.668942	6.887735	8.407387	7.684307	-25.292455	-11.938736	-16.710586	-1.776079	3.384333	-1.008703	-0.347003	3.066550	-1.015322	3.754189	3.259978	0.716582	-0.023002	3.432618	3.367224	5.700378	6.976939	-7.668942	6.887735	8.407387	7.684307	-24.975045	-11.165215	-14.990972	3.976847	7.706310	3.118805	-0.422986	3.066550	-1.015322	7.465515	3.438422	1.569323	-6.016650	3.432618	8.951795	-0.437809	6.976939	6.668825	0.792078	-1.982926	-5.020634	7.377036	5.993686	6.745024
50	4	-6.304271	2.210222	0.921293	5.289264	5.790150	7.385371	0.151633	2.375015	-9.697029	6.542011	4.766880	3.532064	7.577749	2.326761	9.004159	1.818075	1.054447	-2.879725	-6.697270	-0.784728	4.438418	9.925656	8.710565	5.469124	-0.103691	3.762585	3.734488	5.907894	8.046784	-1.270374	-5.190613	2.340599	8.291121	2.855548	6.167642	9.020983	1.818075	-5.260928	-14.787743	10.236103	4.750916	8.148569	9.925656	8.710564	5.469124	-0.103691	3.762585	3.734488	5.907894	8.046784	-1.270374	-5.190613	2.340599	8.291121	2.855548	6.167642	-8.738654	6.070691	6.985477	4.058967	-14.864137	-3.865359	-3.477299	-6.304271	2.210224	0.921293	5.289264	5.790150	7.385371	0.151633	2.375015	-9.697029	6.542011	4.766880	3.532064	7.577749	2.326761	-8.768309	6.070691	6.985477	4.058967	-20.801965	-9.285679	-5.386229
