2	3	9.855837	7.887961	7.234834	0.515967	2.893228	1.372456	6.701176	7.538048	5.408836	-3.028695	0.880730	4.192120	8.506430	8.663422	-8.351881	6.415019	6.226672	8.235223	-18.755821	-8.198383	-10.327159	9.855837	7.887961	7.234834	0.515967	2.893228	1.372456	6.701176	7.538048	5.408836	-3.028695	0.880730	4.192120	8.506430	8.663422	7.426580	-0.168389	-5.198581	-1.195579	7.301095	3.748994	5.356308	-8.563132	1.869894	2.431968	5.339339	8.235892	5.014492	2.135766	1.064300	-9.134508	4.005537	4.281226	-0.219164	8.506756	7.367295	-8.351881	6.415019	6.226672	8.235223	-22.070867	-12.279205	-15.214567
3	3	1.695746	0.187290	3.785087	4.651082	3.823630	5.747189	3.428237	5.208214	3.491267	2.802512	1.280500	1.536954	4.700741	3.298087	-8.036291	6.783017	5.909334	7.218970	-14.774042	-5.044914	-10.806173	1.695746	0.187290	3.785087	4.651082	3.823630	5.747189	3.428237	5.208214	3.491267	2.802512	1.280500	1.536954	4.700741	3.298087	-2.904981	6.781868	5.899872	7.217792	-7.198531	1.321374	0.959343	1.695746	0.187290	3.785087	4.651082	3.823630	5.747189	3.428237	5.208214	3.491267	2.802512	1.280500	1.536954	4.700741	3.298087	7.390038	0.514213	-6.300211	-5.561464	10.874994	5.520461	3.602146
5	3	-11.472521	-0.027585	0.183566	8.229236	6.437366	7.823396	-1.586913	0.433276	-10.657893	7.471975	8.742865	2.083408	6.639824	2.536662	-12.500496	4.795432	4.774675	6.633553	-18.768196	-10.864701	-15.565102	9.610120	6.157547	6.586516	2.109458	0.875114	3.597801	4.241628	6.503822	6.302287	1.450117	2.795457	7.721065	4.549116	7.839664	4.298651	2.931343	-2.749816	-3.106056	10.247997	6.239399	7.166159	9.610120	6.157547	6.586516	2.109458	0.875114	3.597801	4.241628	6.503822	6.302287	1.450117	2.795457	7.721065	4.549116	7.839664	-12.500487	4.795432	4.774675	6.628494	-12.120014	-6.280803	-9.172249
13	3	8.270892	8.227086	4.278522	4.235632	-0.144905	3.285372	6.603856	6.045105	-4.379715	1.213485	0.531149	6.320055	4.771220	3.834554	6.655323	3.258000	-4.441378	-6.887443	7.480273	3.810899	5.179269	8.270892	8.227086	4.278522	4.235632	-0.144905	3.285372	6.603856	6.045105	-4.379715	1.213485	0.531149	6.320055	4.771220	3.834554	-9.650397	8.223286	6.385315	6.447680	-15.347515	-8.592449	-9.540521	-2.828034	3.121533	0.238486	7.883491	0.065393	3.285423	0.431267	1.818232	-7.265379	6.985069	2.970236	0.667419	7.024281	-1.766413	-9.901888	8.223286	6.385628	6.447821	-21.328694	-12.410131	-12.342172
17	3	9.538247	7.940541	4.516651	3.781056	3.631411	1.815751	5.651861	4.699581	3.768289	3.832099	3.500064	5.512921	4.431651	4.323579	4.374269	0.968257	-8.380809	-11.010920	11.487837	8.533174	7.415205	9.538247	7.940541	4.516651	3.781056	3.631411	1.815751	5.651861	4.699581	3.768289	3.832099	3.500064	5.512921	4.431651	4.323579	-11.707505	6.600315	3.714581	5.486107	-15.468117	-4.012851	-7.966624	9.538247	7.940541	4.516651	3.781056	3.631411	1.815751	5.651861	4.699581	3.768289	3.832099	3.500064	5.512921	4.431651	4.323579	-5.089333	6.600315	3.690196	5.485598	-5.256162	2.328846	1.165540
26	3	8.095544	6.448497	7.744248	2.056034	1.904218	1.100154	5.143331	6.788505	5.579189	-6.493691	1.116790	6.568619	-0.819664	7.217389	-9.839460	5.289716	7.514373	6.039149	-13.327270	-1.197724	-4.943093	-19.258225	0.129725	2.904220	8.381277	6.918862	4.392588	0.137636	0.369186	-9.684766	4.489335	6.998601	1.742989	5.784574	0.916952	-9.873346	5.289750	7.514373	6.039149	-19.917634	-6.344226	-16.114973	8.095544	6.448497	7.744248	2.056034	1.904218	1.100154	5.143331	6.788505	5.579189	-6.493691	1.116790	6.568619	-0.819664	7.217389	8.243067	0.560810	3.267396	-6.206727	10.451736	4.380331	5.848585
27	3	4.962639	4.012945	6.847111	1.804865	-0.624525	2.362320	5.382179	6.722040	6.583734	-1.217870	1.368645	6.509110	2.792904	7.300629	7.500979	4.003702	-7.573860	-8.276383	8.053171	6.296892	6.209315	4.962639	4.012945	6.847111	1.804865	-0.624525	2.362320	5.382179	6.722040	6.583734	-1.217870	1.368645	6.509110	2.792904	7.300629	-8.667771	7.838608	4.250463	7.436527	-15.853815	-4.690250	-8.476252	4.962639	4.012945	6.847111	1.804865	-0.624525	2.362320	5.382179	6.722040	6.583734	-1.217870	1.368645	6.509110	2.792904	7.300629	-3.597484	7.838608	4.246372	7.436074	-8.905689	0.006413	0.874268
31	3	-13.975060	4.880626	1.492048	6.827842	7.096240	8.061911	0.548379	-0.347200	-12.351686	7.265179	7.005193	-3.012895	6.723137	4.483107	-10.249468	5.659601	5.384697	4.818084	-19.336957	-13.089695	-16.121974	3.423757	6.521232	5.864947	1.888954	1.113669	6.866749	6.325721	4.649802	1.106537	-0.962283	3.088116	3.453713	6.722582	7.364452	6.633185	0.820045	-5.345019	-7.625214	7.312126	5.919912	7.454634	3.423757	6.521232	5.864947	1.888954	1.113669	6.866749	6.325721	4.649802	1.106537	-0.962283	3.088116	3.453713	6.722582	7.364452	-10.219106	5.659601	5.384513	4.818084	-12.763987	-6.608639	-11.130564
33	3	9.698257	7.269638	7.594351	1.062483	1.493760	1.389457	5.605349	7.605527	8.103524	-3.964063	-0.180286	7.794157	6.074801	2.887707	-10.292060	4.571126	4.959781	6.548401	-14.698241	-6.216952	-8.278705	9.698257	7.269638	7.594351	1.062483	1.493760	1.389457	5.605349	7.605527	8.103524	-3.964063	-0.180286	7.794157	6.074801	2.887707	5.039438	-1.936707	-4.327523	-7.373961	9.761077	4.599098	6.918924	-4.192379	2.076181	1.668429	7.187838	6.043897	6.854048	2.814370	4.737899	-3.777594	4.817930	5.162943	2.882828	8.567971	0.183541	-10.292206	4.571126	4.959844	6.548402	-21.289087	-10.593797	-12.700285
35	3	12.729241	6.390467	7.371315	2.835481	2.078264	3.640574	7.292318	6.277444	3.444249	-0.598969	2.556691	4.839634	3.886643	1.438800	-10.348828	5.645916	6.788179	7.832162	-12.411384	-7.558789	-11.730182	-4.807943	1.312296	1.150227	6.427853	7.025030	6.856863	5.097088	0.943597	-15.741072	5.427334	6.288993	0.630819	4.554359	1.306883	-10.352555	5.645916	6.788179	7.832162	-16.345840	-13.951031	-16.955949	12.729241	6.390467	7.371315	2.835481	2.078264	3.640574	7.292318	6.277444	3.444249	-0.598969	2.556691	4.839634	3.886643	1.438800	4.535615	1.455265	-4.052016	-9.560615	6.204438	2.217295	5.805635
