state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,-0.3638,0.4809,0.5199,0.4328,0.6789,0.3559,-0.2397,-0.1664,-0.351,0.0633
top30_module,-0.3638,0.4754,0.5199,0.4328,0.6789,0.3573,-0.2397,-0.1664,-0.351,0.0633
top60_module,-0.337,0.4916,0.5372,0.4089,0.6402,0.3126,-0.3347,-0.1898,-0.3508,0.0633
dominant_network,-0.4168,0.2244,0.1429,0.5214,0.6613,0.5191,-0.2458,0.0339,-0.4056,0.5287
top30_network,-0.2106,0.2215,0.2548,0.4298,0.5965,0.4279,-0.3564,0.1694,-0.1755,0.4462
top60_network,-0.2723,-0.0026,-0.0486,0.7159,0.2281,0.6746,-0.218,0.44,-0.0074,0.5636
PC1_var,-0.1663,0.0652,0.1634,0.6745,0.287,0.5644,-0.5649,0.2517,0.0044,0.3988
NumPC_90,-0.3736,-0.323,-0.6734,-0.3007,-0.6945,-0.2451,-0.1116,-0.4745,-0.0596,-0.5167
