state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,-0.2555,-0.1965,-0.1498,-0.5086,0.0754,-0.2603,0.1157,0.0664,0.102,-0.0968
top30_module,-0.4832,-0.3062,-0.2536,-0.5192,-0.2139,-0.1786,0.2932,0.0997,0.17,-0.1268
top60_module,-0.2105,0.0083,0.0633,0.0707,0.3887,-0.084,0.3906,0.1166,0.4864,-0.312
dominant_network,0.4238,0.2659,0.1937,-0.2553,0.4138,-0.1987,-0.4554,-0.2086,-0.1642,-0.1156
top30_network,0.1895,0.0936,0.0227,-0.3254,0.1457,-0.2533,-0.3765,-0.325,-0.183,-0.2208
top60_network,0.4122,0.0113,-0.1255,0.2842,0.0176,0.2213,-0.1053,0.1879,0.3653,-0.1474
PC1_var,0.7132,0.1617,0.0965,0.8486,0.2516,0.6606,-0.3312,0.5019,0.1152,0.5648
NumPC_90,-0.3949,-0.3983,-0.399,-0.4969,-0.6198,-0.3868,-0.0733,-0.4914,-0.3253,-0.2928
PCA_entropy,-0.6015,-0.3862,-0.3411,-0.7193,-0.6011,-0.56,0.0779,-0.5093,-0.3254,-0.3288
