state_type,network_T_s,intra_module_T_s,raw_module_T_s,inter_module_sum_T_s,intra_module_sum_T_s,inter_module_T_s,impurity,density,intra_density,inter_density
dominant_module,0.3147,-0.1462,-0.1462,-0.2274,0.2406,-0.0312,0.0467,0.0262,-0.0209,0.0941
top30_module,0.3229,-0.217,-0.217,-0.0879,0.2645,0.0551,0.0882,0.143,0.0054,0.2445
top60_module,-0.0487,-0.1165,-0.1165,-0.416,-0.1137,-0.1879,0.2895,0.276,0.5543,-0.2494
dominant_network,0.2594,-0.0107,-0.0107,0.0746,-0.0137,0.0396,-0.2532,-0.1471,-0.079,-0.1471
top30_network,0.2175,-0.0969,-0.0969,0.0566,-0.1558,0.0259,-0.2732,-0.1799,-0.0859,-0.1347
top60_network,0.2119,-0.0651,-0.0651,-0.2007,-0.0883,-0.1471,-0.0123,0.2472,0.4982,-0.2737
PC1_var,0.5887,0.0476,0.0476,0.5697,0.1177,0.5089,-0.2948,0.4827,0.0855,0.5416
NumPC_90,-0.3574,-0.4794,-0.4794,0.0314,-0.7357,0.0031,0.0373,-0.3455,-0.1782,-0.2249
PCA_entropy,-0.4857,-0.2859,-0.2859,-0.2657,-0.4533,-0.2585,0.2364,-0.3974,-0.2093,-0.2325
