3	4	-5.290809	7.219905	8.443634	7.166229	-9.369341	-10.075086	1.135707	-8.406962	1.067472	1.357533	-1.609084	-24.970111	0.364384	-20.018367	-18.607861	-4.392205	9.050025	4.740649	-9.536744	-11.972873	-9.793724	2.770394	6.492396	0.602874	-14.711183	-11.017382	4.029197	3.052174	12.829481	8.376599	6.701584	4.107338	7.109068	12.883038	-2.380220	13.547995	12.205116	2.243401	-10.453176	-14.915151	4.858766	-3.036006	0.465903	-6.981438	6.392639	0.603054	-11.785740	-13.466347	3.860537	7.202898	12.857644	-2.189152	6.656392	2.532618	7.109664	7.642980	4.065197	7.083496	7.966564	2.243401	-9.539647	-8.528524	5.213561	-9.615339	-4.266508	-8.263531	6.538143	0.602803	-11.076667	-9.363398	4.108727	-7.690894	4.506888	8.376023	6.721750	6.956992	7.104806	11.890548	-2.369124	11.884378	6.041107	2.243401	-5.870206	-10.620072	3.301209	5.772250	0.464517	2.707198
6	4	-11.463076	8.543569	11.249802	5.801921	-13.329768	-10.063084	-18.620367	-12.104794	-5.300728	-10.023162	-3.892643	-33.900004	-4.325746	-26.101628	-32.678471	1.417574	9.180271	8.487759	-15.345308	-14.586314	-16.218202	3.958186	5.187275	3.526441	-16.071866	-18.804492	10.540239	11.403688	4.138511	7.883318	4.583250	4.526734	8.140635	11.886234	-8.234046	14.028288	10.870887	7.137247	-4.684149	-12.541236	-1.608926	-7.422470	8.642436	-6.230210	-1.871613	8.539257	5.500501	-0.534100	4.273016	-1.321705	-12.856701	-12.104783	3.652125	5.596708	5.444688	-25.763813	4.925523	-24.619230	-24.017583	1.417574	6.716173	8.459161	-17.342173	-17.047538	-16.218202	-0.750899	5.187272	3.526441	-4.830265	-17.754234	10.540229	7.688114	-7.641210	-12.085577	4.583245	4.526728	5.579314	-18.173334	10.868407	-13.858016	-4.436677	1.417574	-1.874370	3.244592	-4.127352	-15.989421	-16.218202	0.659347
7	4	-6.573609	5.487246	8.406738	5.186866	-6.447177	-10.623050	-7.303448	-13.670021	4.727480	2.513590	-6.499212	-23.745986	3.638434	-22.932256	-29.423483	3.949146	7.681392	7.704170	-16.049248	-11.387624	-11.200165	-0.759588	-13.061794	5.487246	8.416054	5.275913	-17.974468	-13.658674	-11.910147	-13.670031	0.108813	-8.029726	-10.936979	-29.765578	-1.972757	-22.940750	-35.278189	3.949146	10.428949	7.704190	-13.331732	-6.738594	-11.200172	4.123818	6.210144	0.761026	-9.508651	-4.293486	8.431021	9.679381	-0.755256	5.793468	8.458196	3.391991	3.694762	10.188135	6.605879	7.526018	9.986594	8.239824	-8.796701	-7.280513	-5.509395	-0.383088	1.439665	-5.401509	6.210144	0.761026	-9.510710	-4.293488	8.431021	10.063548	-0.754219	5.795917	8.458196	3.391991	3.694762	10.188541	6.605879	7.527967	9.990502	8.239824	-8.797176	-7.280850	-5.569341	-2.189344	1.442028	-5.881214
9	4	-4.736064	6.148419	3.801407	3.444555	5.853337	-7.401820	-6.578782	-14.207974	5.844435	2.070983	-6.004094	-24.782169	3.724600	-17.119060	-18.943247	-1.037734	6.142568	6.051566	-17.958054	-15.001848	-11.483927	0.031443	-11.283536	6.148736	9.704444	8.291211	-10.474984	-7.452816	-6.962702	-14.359685	0.330066	-10.649276	-9.442331	-26.421407	3.630241	-26.447049	-25.840284	-1.037734	6.410450	6.052393	-17.952462	-14.966997	-11.483927	0.274532	-11.283536	6.148736	7.665783	8.291042	-10.475410	-12.216356	3.480861	-6.135266	0.330066	-10.649276	-9.442331	-22.517275	0.592258	-17.196501	-19.267239	-1.037734	7.422690	1.267412	-11.794565	-9.767601	-6.691249	-1.406314	-4.730466	6.148416	1.763150	2.952903	6.285335	-12.212993	3.481780	-6.134617	5.844506	2.071044	-5.996832	-20.878193	0.695552	-17.429321	-12.468085	-1.037734	7.420379	1.267086	-11.794558	-9.767622	-6.691114	-1.406765
13	4	-2.495757	6.948424	9.692288	6.812487	-10.225496	-8.006983	-5.460492	-18.909886	3.160764	0.813136	-3.228067	-25.491744	1.907189	-18.060721	-27.585137	2.765565	9.470715	8.369482	-17.665909	-18.994007	-11.405705	-1.821316	4.367750	1.487088	1.089307	-6.948304	8.072660	-6.092150	-5.455406	-18.909881	8.842125	6.102233	2.263578	-18.415670	9.198109	-17.851157	-16.192876	2.765564	3.648324	8.369482	-14.248486	-18.994005	-11.405705	-6.193350	7.181079	1.487087	-10.443643	-9.959342	8.072926	-2.725751	9.650971	4.929006	8.852573	6.114772	4.733938	12.412238	-8.165213	6.878811	6.722097	7.546930	-8.002728	-8.787016	3.344490	-6.200760	6.513649	-6.705673	7.181079	1.487087	-10.443763	-9.959342	8.072926	-2.362403	6.194802	4.928994	8.852573	6.114763	4.733938	12.505266	-8.165203	6.879453	6.724795	7.546930	-7.705565	-8.787016	-1.874856	0.308649	6.513648	-0.502227
40	4	-10.467668	5.723038	9.637699	4.332208	-15.028267	-14.548397	-4.265425	-7.656005	-3.077012	-15.809690	-8.608754	-23.719874	-0.853983	-23.878773	-34.079583	1.297378	10.635089	8.215663	-11.658530	-9.930413	-6.416689	3.476996	1.872495	3.317094	-8.816535	-8.102900	2.870850	-3.009376	7.330949	6.314432	3.132949	-8.146490	1.901626	9.180911	-8.234091	7.562814	2.237552	6.592958	-3.084809	-6.814020	1.958767	-5.147144	7.986001	-1.354394	7.773524	-0.783318	-11.118009	-12.427225	10.015664	-2.694879	7.330951	6.314432	6.634711	3.324186	7.371138	9.292167	-1.606058	7.614374	6.759479	6.592958	-3.100947	-6.814031	2.718547	-5.147262	7.986001	-1.357264	2.036409	2.929978	1.465085	-4.240759	9.937144	-7.374147	-2.274204	-6.389886	6.634653	3.324177	0.954393	-12.874749	11.731210	-23.416484	-19.622945	1.297378	4.419437	8.154151	-18.112912	-14.891740	-4.828711	-3.013886
44	4	-10.766504	7.935053	9.628507	5.744302	-0.653338	-13.098635	-9.320490	-12.773583	-3.628367	-4.505888	-11.656689	-24.719535	-0.799849	-30.130058	-27.872830	1.395004	11.485845	6.123165	-12.820584	-15.938291	-13.229363	2.658778	5.004192	2.370964	-13.055162	-11.305733	12.572195	3.690794	9.864278	9.350598	6.896452	5.623628	5.532329	13.047299	0.058768	10.427331	12.977665	6.721597	-8.107994	-16.739305	-1.482136	0.277195	7.686269	-5.976891	5.004255	2.370959	-9.896935	-5.506543	12.572196	-2.695661	7.606113	9.350598	6.896482	8.720096	5.532324	8.956898	-0.006344	7.367314	6.936326	6.721597	-6.149554	-9.959314	-2.926416	4.931350	7.686265	-0.591032	4.998147	2.371413	-3.505916	-5.488648	12.572082	-6.293496	7.152193	-6.446967	6.896481	8.721764	-0.980083	-6.783492	11.698426	-17.038213	-2.909087	1.395004	0.042877	0.727967	-9.725512	-13.718231	-6.129672	-3.155711
46	4	6.789244	4.110866	-1.860901	-11.333512	7.384048	-6.082586	-12.765280	-19.892022	6.592904	7.570967	0.254380	-18.061874	7.582824	-29.033985	-7.390603	1.316387	5.299248	7.904233	-14.955439	-16.502078	-16.570611	-3.518682	-10.648585	8.038884	10.179496	4.502361	-21.039520	-14.929500	-13.484350	-19.892022	-3.416082	-8.047902	-12.314612	-29.739868	-2.812441	-29.279016	-23.301379	1.316387	11.705890	7.904235	-13.225424	-15.727797	-16.572018	2.516103	-6.126854	8.038884	10.179496	4.495236	-14.778767	-14.901131	-13.464762	-19.892022	1.580332	1.630880	-6.030256	-26.185481	-0.449229	-29.279016	-17.295522	1.316387	11.705869	7.904235	-13.332360	-15.852519	-16.571988	2.465880	6.813319	4.110866	-4.140310	-17.242492	7.383249	8.350197	-8.033894	-19.892020	6.475395	1.716041	0.117488	-10.110331	7.494587	-15.836691	-0.258029	1.316387	-1.943959	2.491522	-3.482094	-18.586159	-16.481916	-4.002381
47	4	-7.501492	7.561328	10.344977	5.981979	-15.726369	-9.513256	-4.215270	-14.527655	-6.755061	-9.513112	-9.358198	-31.754787	1.042052	-16.741206	-35.324887	0.668872	9.818349	7.180341	-9.593742	-23.195532	-16.784571	0.205822	-7.501492	7.561328	9.544321	5.981979	-15.726436	-11.137295	1.821547	-9.877450	-6.755061	-9.513112	-9.358200	-25.769526	-3.557615	-13.872834	-29.267478	0.668872	9.001316	3.115063	-5.666141	-20.448055	-12.521104	-2.200737	7.654573	4.392521	-8.480783	-13.647902	10.055045	8.297110	11.337742	-2.608995	5.284242	2.970471	8.916399	10.942282	5.631923	7.931241	6.575590	6.331748	-13.930502	-8.685152	4.014309	-12.917573	0.748826	-9.580549	7.654573	4.392521	-12.594843	-13.647319	10.055045	7.856651	11.337742	5.412182	5.284242	2.970471	8.916399	13.596110	1.861998	11.839810	12.174997	6.331748	-12.469534	-15.183720	4.014238	-7.085339	5.529559	-10.106516
54	4	8.082131	0.027375	-2.291510	-11.826731	9.722128	-4.001129	-7.131229	-15.923774	6.776917	3.229828	-2.059644	-16.035732	13.273578	-24.429898	-15.480481	-1.643325	2.885785	6.138693	-6.137079	-11.965779	-17.300152	3.840136	-6.124599	6.213475	8.806055	4.452961	-9.392249	-7.883798	-7.174444	-15.923774	-5.430086	-12.883224	-12.081211	-27.318240	0.392061	-25.557619	-28.616815	-1.643325	8.921778	6.139310	-9.594380	-11.928198	-17.300340	4.813999	8.082135	0.027375	-6.414915	-11.950033	9.722123	-1.479262	4.622534	-3.811826	6.776917	3.229681	-2.037400	-12.300708	7.787060	-13.999519	-3.325921	-1.643325	-1.678553	-0.156520	1.595777	-6.983991	-9.006413	1.271826	8.082135	0.027375	-5.900303	-11.949997	9.722117	-1.178557	2.373333	2.452189	6.776917	3.229489	4.113798	3.496448	1.820927	5.731816	6.239768	3.686526	-3.727840	-6.654622	6.122626	5.256754	1.150850	5.030710
