1	6	57	-11.490013	-0.105133	-3.241793	5.697418	-1.605235	-11.277882	-8.614928	4.267664	6.761071	-4.511480	0.663958	7.684657	-10.440270	-21.751538	-13.664649	-10.386574	7.172179	6.177251	7.001446	-6.072208	-16.906375	-18.758789	6.776676	2.204759	6.955416	9.588832	9.684013	4.847372	6.299847	5.327403	-2.405784	2.775564
1	6	4	3.791399	6.396669	8.067498	-3.100728	9.806263	-4.106889	8.416513	6.858292	5.474555	-8.438072	-12.174992	7.684657	3.491631	-8.496949	-1.506476	-7.762600	7.172179	6.177251	6.254111	-12.233430	-17.177315	-18.110649	6.776676	2.206100	6.955416	9.588832	9.684997	4.853699	6.299848	5.327403	-2.405784	2.775564
1	6	19	7.249286	6.422205	13.009626	-5.028437	9.798787	7.796345	10.055933	7.001317	7.932301	-14.033647	-18.777240	7.684657	-2.283762	-4.679346	3.704926	-13.942125	7.172179	6.177251	1.089887	-13.174806	-23.096887	-23.913232	6.776676	2.206100	6.955416	9.472846	9.685020	4.853700	6.299848	5.327403	-2.405784	2.775564
1	6	4	7.249286	6.422205	13.009626	-5.028437	9.798781	7.796345	10.055882	7.001317	5.479109	-14.033182	-18.777239	7.684657	3.491631	-4.678197	3.704926	-13.928335	7.172179	6.177251	1.089887	-13.174806	-23.096887	-23.912921	6.776676	2.206100	6.955416	9.472846	9.685020	4.853700	6.299848	5.327403	-2.405784	2.775564
1	6	14	3.791399	6.396669	8.067498	-3.100728	9.806267	-4.106889	8.416565	6.858292	7.927746	-8.438544	-12.174993	7.684657	-2.283762	-8.508107	-1.506476	-7.776513	7.172179	6.177251	6.254111	-12.233430	-17.177315	-18.110647	6.776676	2.206100	6.955416	9.588832	9.684997	4.853699	6.299848	5.327403	-2.405784	2.775564
1	6	2	1.153150	5.662916	12.777926	-5.028434	5.262039	7.796142	8.418953	6.291130	0.183459	-7.476099	-13.590993	7.684657	-8.773521	7.622911	3.666481	-3.178400	7.172179	6.177251	1.089901	-13.167584	-23.096885	-23.913058	6.776676	2.206100	6.955416	9.472849	9.685020	4.853700	6.299848	5.327403	-2.405784	2.775564
2	8	15	-22.425891	-2.125824	-13.666043	7.837290	-0.127768	-10.275274	-10.998130	0.116449	-5.378560	0.535316	2.109942	7.218790	-9.800039	-13.069624	-11.857894	-7.358329	9.148271	5.968970	4.258369	-2.982653	-13.808591	-17.094205	8.047644	1.254054	5.823756	10.227419	8.404873	5.147859	3.988118	5.838971	2.126799	4.143370
2	8	28	-22.433870	-2.125824	-14.686392	7.837302	-0.128959	-14.015918	-10.999506	0.116449	-5.379510	0.536296	8.587920	-7.789796	-9.800690	-13.070405	-11.858026	-7.360226	9.148271	1.230930	-0.322609	6.350085	9.959127	10.133887	-1.217893	-9.611354	-12.397385	-19.213973	-20.249385	-26.670911	-5.720139	-0.301836	5.567146	-6.293912
2	8	17	-14.017114	-2.125824	-3.403604	2.207852	4.992647	-5.547988	-6.651871	0.116449	-4.666297	-3.809843	-2.324508	7.218792	-5.320906	-12.249098	-11.807613	-3.829446	9.148271	5.968970	-1.331218	-3.759745	-16.214361	-20.389625	8.047644	2.364594	6.167868	4.949176	8.698028	5.631317	3.988118	5.839846	2.126794	4.143373
2	8	21	-16.928163	-2.125824	-8.265219	2.487174	4.998772	-8.350139	-6.660896	0.116449	-4.508265	-3.957819	4.241123	-7.789796	-5.315307	-12.658430	-11.830972	-4.366212	9.148271	1.230930	-5.912203	1.443866	4.549858	5.646860	-1.217893	-9.330210	-11.989672	-17.002313	-16.620445	-24.831593	-5.720128	-0.301394	5.567146	-6.293912
2	8	10	3.555748	3.235524	9.075090	-6.195077	10.841755	5.601309	4.119515	4.947515	-4.115066	-5.096145	-14.812971	7.218792	-5.276724	-3.092820	3.070630	-5.352480	9.148271	5.968970	-7.704055	-10.238662	-21.457342	-25.953113	8.047644	7.431856	6.385416	4.925600	8.837237	5.789178	3.988118	5.840203	2.126792	4.143374
2	8	4	-8.314374	-2.125824	0.759746	-2.325287	4.240130	-0.301005	-7.278316	0.116449	-12.356887	1.392914	-1.871909	-7.789796	-6.900551	-9.258934	-2.847993	-4.733874	9.148271	1.230930	-6.028718	1.460775	8.218183	10.545570	-1.217893	-9.611615	-11.997975	-19.910971	-16.633086	-26.644354	-5.720139	-0.301398	5.567146	-6.293912
2	8	3	-8.109787	-2.125824	0.896978	-3.023317	4.297289	-0.148331	-7.097907	0.116449	-12.253409	1.319820	-8.459439	7.218792	-6.723452	-8.728861	-2.652827	-4.923774	9.148271	5.968970	-1.489293	-3.765336	-16.027193	-17.700040	8.047644	2.377992	6.169424	4.928396	8.699186	5.634049	3.988118	5.839849	2.126794	4.143373
2	8	2	-16.928163	-2.125824	-8.265219	2.487174	4.998772	-8.350129	-6.660896	0.116449	-4.508265	-3.957819	4.241110	-5.859472	-5.315307	-12.658430	-11.830972	-4.366212	9.148271	1.241477	-5.872814	1.436911	-0.868151	-3.397891	-1.216754	0.897076	0.572524	-8.194694	0.316401	-9.764140	-2.198958	4.097938	2.362539	-2.111519
3	6	47	-15.742306	1.665681	-16.552043	0.236179	3.220690	-13.642797	-7.311616	-1.018982	-9.457128	4.936801	3.203245	7.447295	-10.748484	-11.027115	-9.154763	-8.191538	8.324209	8.056175	1.124052	-7.594793	-14.593764	-18.366898	5.372776	5.912667	8.897691	12.658149	9.700420	8.298942	7.407875	5.038620	1.702373	4.801014
3	6	7	5.688239	6.486336	1.232278	-1.233245	10.881075	-7.867753	8.999876	5.403810	2.110326	-2.844214	7.428184	-6.712057	7.530902	-5.812159	2.614435	-3.301810	8.324209	1.493121	-4.842508	-1.883177	-4.360501	-8.990993	0.110913	5.899886	7.354027	3.123827	8.803769	7.469835	7.407875	5.038593	1.702430	-0.782804
