9	2	-21.385051	4.829108	-24.729737	6.710976	-4.436418	-12.474376	-17.310466	-2.639602	-8.984052	5.103032	8.247956	-8.526081	-13.761039	-10.216982	-19.148776	-3.176286	6.900121	0.109438	0.682170	5.918159	10.059986	12.383311	-1.345585	-13.277764	-9.660448	-10.985735	-16.661541	-27.732765	-1.227570	-4.913954	9.099546	-14.494121	-21.385051	4.829108	-24.729733	6.710976	-4.436418	-12.467541	-17.310464	-2.639602	-8.984052	5.103032	5.016748	5.864765	-13.761039	-10.216956	-19.148776	-3.176286	6.900121	5.077402	6.052344	-3.897283	-13.349184	-10.982987	5.359910	5.726247	6.145738	8.430803	9.468123	7.713917	7.494083	5.457927	4.269597	1.843902
24	2	-19.898724	-0.397029	-27.033698	4.930169	-6.970250	-12.570265	-17.961113	-3.133905	-10.694738	3.886464	9.685860	-6.805756	-14.578609	-15.959767	-9.948621	-6.692043	8.022659	5.499820	1.478110	6.758396	4.611775	12.025197	-2.169764	-11.858006	-11.957966	-5.558103	-18.965109	-21.358891	-6.429402	-5.884520	7.838555	-7.592253	-19.898724	-0.397029	-24.881960	4.930169	-6.970250	-12.569043	-17.961113	-3.133905	-10.694738	3.886464	4.877156	4.953214	-14.578609	-15.959767	-9.948620	-6.692043	8.022659	9.097309	6.732951	-1.274067	-8.885394	-10.404055	4.112494	4.210995	0.279876	7.883310	5.777452	9.532108	3.833855	7.089237	5.084195	1.792565
33	2	-21.670119	-2.479356	-19.546355	7.463904	-3.556745	-20.026682	-12.667454	1.491146	-8.610339	6.006732	3.589097	7.578179	-14.955394	-10.825614	-11.642367	-8.374622	4.533450	7.003182	7.967250	-7.239005	-10.911467	-8.875609	5.728073	4.095962	6.450547	10.011547	9.103889	9.581674	7.049367	8.782570	1.916122	6.847271	-21.670119	-2.479356	-19.602105	7.463904	-3.556745	-20.026682	-12.667454	1.491146	-8.610339	6.006732	10.227459	-12.630932	-14.844970	-10.825614	-11.642367	-8.374622	4.533450	0.763154	2.847874	1.164849	4.345863	12.129177	-1.546843	-9.051113	-12.727402	-12.010545	-13.740788	-16.810722	-3.346495	-2.893450	7.043754	-9.243484
35	2	-23.181361	4.117046	-20.826978	5.665386	-8.854807	-17.653048	-14.712644	0.737195	-4.287157	6.598898	3.395298	7.765638	-13.943611	-19.400145	-14.864964	-4.781290	6.765707	6.485624	7.800273	-3.528178	-8.431360	-13.562669	5.553624	5.351572	5.997666	8.954720	9.056356	7.131243	8.559677	7.718910	2.728798	1.204157	-23.182334	4.117046	-20.830003	5.665387	-8.854807	-18.466417	-14.712639	0.737195	-4.287154	6.598900	8.601529	-10.046384	-13.943612	-19.400145	-14.864964	-4.781290	6.765707	-0.054640	1.520877	2.987723	8.679044	13.686024	-4.746264	-9.190784	-8.148326	-6.059945	-21.942666	-19.188619	-3.170314	-3.959432	6.344461	-13.583698
41	2	-19.917653	1.100261	-19.349403	8.221439	-7.281152	-7.693920	-12.539182	2.933088	-7.286529	5.363818	11.307520	-15.973492	-10.351192	-14.066282	-13.343180	-4.925961	6.066096	4.458957	-0.859284	7.329812	7.784116	12.865791	1.032507	-6.028896	-9.710970	-9.798362	-20.504455	-27.824860	-10.366938	-1.150526	6.415792	-9.501999	-19.917653	1.100261	-19.349403	8.221439	-7.281152	-7.693920	-12.539182	2.933088	-7.286529	5.363818	7.530687	2.193398	-10.351190	-14.018274	-13.343180	-4.925681	6.066096	9.049768	5.755558	-3.164371	-9.724563	-10.907313	7.243590	5.716978	7.274696	9.395281	9.213863	7.354707	1.707906	7.445703	0.810821	2.386870
67	2	-18.661364	1.041087	-21.851114	5.470895	-4.493854	-13.636073	-12.729720	-0.378954	-11.226687	3.530336	9.879218	-10.603337	-16.428336	-11.094235	-16.719770	-3.506169	8.063361	-3.880167	1.218881	4.548624	7.574564	7.900850	-4.302249	-8.536885	-8.041292	-16.806233	-19.807397	-21.635018	-4.015000	-3.633799	6.297571	-10.231025	-18.661364	1.041087	-21.425815	5.470895	-4.493851	-13.562026	-12.788517	-0.378954	-11.226946	3.530333	4.560999	6.578961	-16.428336	-11.094362	-16.719770	-3.506171	8.063361	2.406857	6.308429	-3.769389	-6.445704	-25.385234	4.939277	4.558397	7.193208	9.530699	9.027581	11.331680	6.268551	7.497200	3.281685	5.862466
71	2	-25.765001	0.697924	-22.553434	7.712868	-7.950194	-12.648200	-11.365627	-1.177955	-4.944426	1.396553	9.162887	-6.999524	-5.712208	-13.049715	-17.356403	0.788360	7.883550	-0.342570	2.411467	3.777031	6.419039	8.467347	-1.698933	-10.459776	-6.560092	-12.462748	-26.173375	-21.461227	-6.419591	-1.882068	2.894344	-5.226318	-25.762226	0.697924	-22.485797	7.712868	-7.950194	-12.288594	-11.365627	-1.177955	-4.944426	1.396553	4.452845	5.467444	-5.712208	-13.049710	-17.354779	0.788359	7.883550	6.249243	7.836476	-2.715585	-6.743750	-13.150983	7.775622	7.508618	8.476516	8.516288	5.518600	11.736325	5.153058	7.809324	-3.716470	6.323801
73	2	-23.495446	-0.174775	-23.817267	7.814707	-9.248892	-13.199748	-15.870966	0.693574	-8.425875	4.086630	8.569802	-14.333940	-19.788558	-16.285677	-14.766029	-6.412775	8.055165	2.362981	-0.085093	4.516160	9.173418	11.105110	-3.234845	-10.597017	-9.958219	-7.576640	-16.469812	-20.613836	-4.826847	-3.720270	6.247802	-11.837527	8.149362	6.453108	14.624309	-9.266147	3.606916	6.446859	8.421976	5.642384	2.238559	-2.271688	-9.741111	-9.872364	2.271864	5.305035	6.356637	-7.139097	8.055165	2.362981	-9.466017	-4.287630	-6.512951	-10.734805	-3.234780	6.695032	7.345386	7.550859	9.758806	9.470243	7.414769	7.006891	0.954208	0.100929
75	2	-19.614482	0.174160	-22.141110	6.866304	-8.190705	-13.213822	-16.568910	-0.173150	-7.141796	5.826798	10.069784	-13.276345	-16.106236	-19.840513	-16.178995	-8.206532	7.054716	0.912076	2.182863	6.842179	4.837703	10.185372	-5.965137	-7.642257	-11.843046	-12.615815	-23.068432	-22.569181	-3.518457	-2.021109	6.600579	-11.450902	7.207927	6.071341	14.673797	-10.412815	8.695047	5.801214	9.914236	5.580147	5.959214	-12.878817	-11.027433	-11.761221	-2.672883	-4.453362	5.492639	-15.800984	7.054716	0.912076	-7.153416	-2.464550	-5.338086	-10.549449	-5.965132	7.055463	-2.495039	-2.827763	-3.647012	1.332786	2.734589	2.900052	5.971137	-10.000450
92	2	-26.816720	1.292786	-23.942261	5.212928	-6.644520	-12.943521	-12.193181	2.886833	-10.338194	6.998590	8.317866	-11.277740	-12.544854	-16.546488	-8.912288	-5.401719	6.493556	1.522249	3.226997	3.931297	5.533002	13.124775	-3.756638	-10.035292	-10.343637	-12.924995	-18.544518	-20.505863	-4.591580	-3.848364	6.416905	-10.223388	-26.816720	1.292786	-23.925865	5.212928	-6.644520	-12.941254	-12.193181	2.886833	-10.338198	6.998590	4.067037	6.627121	-12.475012	-16.546488	-8.912286	-5.401719	6.493556	7.136730	8.232714	-3.174253	-8.008829	-15.691443	4.093336	7.295468	5.982314	9.262106	9.188919	10.613585	8.411962	8.079776	0.137333	3.620707
