1	2	6.624539	1.622521	-4.563441	-12.041885	9.359767	5.893523	6.751148	-12.822847	7.664960	6.955104	6.767368	-16.379035	-5.854214	-7.230168
2	2	-4.693036	5.568911	1.438422	6.174297	-4.598383	4.042843	4.985800	6.331667	-0.951079	-9.134775	-8.321960	10.079765	6.911347	7.074711
4	2	6.386819	0.511458	-3.530489	-8.202808	9.286964	6.934420	5.771067	-9.328628	4.707812	8.083741	5.834605	-14.842294	-5.049896	-9.070338
5	2	5.420739	2.457128	-2.794355	-9.347662	11.030420	6.601848	7.015359	-6.701214	7.397153	5.111095	6.695832	-17.399744	-4.416043	-6.903653
6	2	-11.747951	3.955793	6.751447	6.143150	-12.459181	-7.764654	-7.486328	5.221370	-0.315772	-5.449331	-13.174314	8.753803	4.545475	6.238802
8	2	-8.503289	5.326071	8.539340	8.202762	-9.711443	-6.667265	-8.538708	8.729525	-0.621973	-0.427172	-4.953210	10.765214	5.559457	6.718859
9	2	6.687567	-0.623506	-4.919490	-3.508540	8.493554	3.911023	8.462849	-7.926679	3.685193	6.648700	8.227213	-9.064889	-5.208764	-9.462742
14	2	-9.296669	3.438937	5.351276	5.831334	-15.672342	-5.557500	-12.396750	6.224504	-2.861456	-6.553528	-5.100013	10.181564	6.456618	6.446616
15	2	-10.084248	6.919417	4.450540	6.657828	-14.305631	-5.534743	-5.653915	7.996016	1.222787	-5.419190	-6.086214	8.792668	3.773563	7.233816
16	2	5.950436	-0.634320	-9.348140	-8.077435	9.763371	6.304442	6.706791	-7.768838	5.646929	2.883059	5.546470	-15.846446	-4.539314	-6.342797
17	2	5.818307	-0.174446	-4.885172	-10.772018	9.882706	6.123777	5.674962	-9.261537	6.374450	6.089150	6.234852	-15.514653	-1.783407	-10.120568
18	2	-6.435305	6.651984	3.604461	5.970166	-16.992033	-3.023868	-6.122398	5.435399	3.994126	-9.012230	-13.045752	9.834057	7.642285	5.126731
19	2	8.052599	3.806979	-5.476651	-10.570783	11.376961	4.213137	5.627854	-7.516636	5.067429	6.827476	6.978875	-10.557336	-5.830358	-9.242354
23	2	-6.870488	8.294893	5.599731	6.120235	-16.759985	-7.252123	-11.665592	6.961912	3.825202	-3.993662	-10.134782	10.493474	4.543495	4.604988
24	2	-11.032861	6.620250	8.774589	5.848943	-14.902034	-1.926825	-8.844800	5.417177	5.999937	-3.476028	-13.611097	4.923587	5.667872	5.358581
25	2	-12.935778	6.397938	5.968540	6.858939	-12.603546	-5.472174	-9.288704	3.702334	0.218381	-3.056254	-10.310437	10.693437	4.762412	7.451633
26	2	5.994871	5.853747	-5.793232	-7.162937	5.399033	5.868264	7.769433	-9.598645	6.353522	6.797221	6.312503	-8.461310	-0.714870	-5.343187
28	2	-6.195593	8.103910	8.161508	6.700942	-20.210621	-2.153992	-8.930715	6.364350	2.225651	-3.035110	-9.172008	9.083034	6.132737	6.363492
30	2	-11.386649	6.916521	8.613829	4.651214	-12.250649	-4.555343	-13.132223	6.135341	5.796936	0.166844	-11.154167	6.514920	6.976617	5.692330
31	2	6.867758	-1.683900	-3.866087	-8.902747	10.254022	4.962537	6.705243	-6.563935	3.591204	6.427960	6.630538	-10.082100	-4.268842	-5.704352
