7	3	-12.641072	5.162105	6.035232	4.227415	-14.190102	-7.214495	-11.121850	4.974351	-0.583867	-3.408542	-11.464513	10.367431	4.590850	5.568076	0.662987	5.127219	-0.289302	-3.778453	1.147292	-0.060787	-0.409387
10	3	7.613535	-0.553563	-3.976982	-10.510687	10.964308	6.887366	6.321846	-0.857288	5.809369	6.611879	7.820490	-6.711574	1.310017	2.637244	-7.118252	5.992784	6.983710	7.828580	-12.970149	-0.315002	-3.828291
11	3	-10.370896	6.207780	5.657961	7.962119	-15.712685	-7.882129	-10.890239	4.857670	-0.085483	1.051564	1.659641	-7.148814	2.399561	3.731154	6.663453	-0.088134	-4.045295	-7.716671	5.956485	3.192752	6.750097
12	3	-16.022438	8.336171	7.340785	3.818000	-17.281039	0.222755	0.279462	-16.550082	8.336173	7.340785	3.818000	-19.127441	-5.413900	-11.328576	2.788001	6.985471	-3.447547	-11.446443	5.501105	7.361166	5.509625
13	3	6.253903	3.296081	-2.430365	-8.857951	9.259780	5.204538	8.057751	-9.610059	6.278809	5.413340	5.580150	-15.656970	-6.428690	-7.533328	2.430501	3.387686	0.264679	-3.883959	2.736212	-0.904633	-1.123843
21	3	7.862142	1.476266	-2.310195	-9.633576	9.113638	9.141452	7.226848	-1.711656	3.245827	2.124772	7.051665	-9.109545	-3.428652	-6.025440	-5.487576	5.676522	8.549423	7.291754	-10.060266	-3.428656	-6.025442
22	3	6.849297	-0.143945	-4.317087	-9.892724	8.646662	6.734537	6.404020	-4.390712	4.850641	6.653954	6.587784	-1.817197	-3.822236	-11.186434	6.501053	-0.143927	-2.412788	-9.122590	3.204594	1.080190	-5.273567
27	3	2.177748	4.704500	-6.780722	-4.589842	4.051788	2.374845	-3.186400	-9.143719	6.071134	3.470058	5.529947	-10.721605	-3.346530	-8.302479	8.576510	-0.194070	-8.807471	-8.569017	11.856938	8.022174	4.757008
37	3	2.929186	2.616700	-3.675149	-9.758823	3.547531	1.696398	-6.935850	2.886201	2.635388	-1.985065	-4.194298	-2.444896	1.695966	-6.936162	-2.508714	6.358927	3.917105	6.266994	-17.132678	-3.650964	-14.752636
42	3	-7.555706	6.219510	5.966441	6.390946	-18.604177	-2.600801	-9.981324	7.038979	-0.283113	-5.892303	-9.380511	6.474433	5.988559	6.492135	6.396683	-0.283111	-5.573927	-6.165967	2.484164	2.509157	0.404821
52	3	5.268122	0.115475	-3.065460	-11.402699	9.618459	5.405721	7.025118	-10.213135	4.858141	5.558529	6.749824	-13.739982	-7.032640	-4.453434	-4.824241	4.858034	5.557842	6.749793	-7.573465	-1.289468	3.212495
59	3	5.396572	-0.510848	-0.820091	-9.015001	10.869682	6.522326	7.079496	-7.813095	5.533229	6.947232	5.531855	-10.423447	-5.535164	-4.594750	-5.093344	5.533229	6.947153	5.513310	-6.094144	-0.103985	0.350423
60	3	-8.155823	4.541221	6.687459	7.275144	-7.757477	-2.032388	-7.579482	4.633449	1.411164	-2.221627	-11.424489	8.148819	7.538665	6.790145	-0.804546	4.364552	4.148856	1.333734	4.409090	7.357770	5.393462
64	3	6.985915	3.446045	-5.058878	-10.410342	5.917051	6.490215	4.280644	1.627219	8.502761	0.838493	-1.369044	-13.569658	0.626407	-8.203200	-10.490817	9.742297	6.537181	6.820384	-21.452617	-5.803365	-14.594018
65	3	5.433164	-0.348246	-0.637995	-8.488122	8.879240	6.635685	6.072443	-8.661420	5.666682	7.390532	4.853171	-12.794826	-4.886263	-7.841710	2.965888	0.861991	0.263456	-4.428147	4.303800	4.404270	-0.629069
70	3	-6.837073	5.760874	5.198453	5.380461	-12.634030	-1.926735	-11.654651	7.915463	-0.460155	-7.077790	-10.978634	9.915922	7.583683	6.403459	3.970764	-0.458775	-3.671469	-10.411372	5.052650	3.203716	-2.073081
74	3	5.008331	2.142484	2.925136	0.704925	0.564099	0.820275	-1.668213	8.455134	2.047703	-3.064496	-2.623113	10.742032	8.015765	6.094894	3.938170	2.424804	2.956187	0.976654	-6.050089	-0.309978	-2.543579
78	3	5.233233	0.050882	-5.864976	-7.721416	10.636230	9.158911	8.382541	-9.355005	6.429715	3.940985	7.544921	-15.561551	0.381454	-8.458488	-3.821925	6.429715	3.653789	7.122738	-4.852451	5.940617	2.581225
82	3	-8.781607	4.394996	8.252882	5.841684	-13.989513	-4.448062	-6.355664	7.021479	0.935804	-4.138226	-10.259710	8.472367	4.401366	7.833211	2.300750	3.250159	-2.136256	-2.751746	2.496332	1.577013	-2.628862
86	3	-4.125960	4.587499	3.888869	7.248729	-13.350937	-6.229684	-9.251553	4.136688	-1.378765	-8.109968	-9.216349	10.160092	6.176168	6.588682	3.215426	-1.377164	-3.395747	-7.138929	3.219936	-0.293808	-0.130895
97	3	6.054471	2.011316	-4.671934	-9.453149	11.117898	8.356593	6.013455	1.489679	4.853602	0.734830	-9.222936	5.192993	1.746351	-6.688463	-7.582448	5.689657	4.258972	5.344958	-6.795711	-2.296255	-11.876139
