3	1	-9.665809	4.618242	5.431079	8.078484	-12.765908	-4.059471	-13.937993
20	1	-3.612803	3.229970	5.322499	6.224019	-13.263387	-6.912666	-14.252396
29	1	-7.981203	4.967569	8.271657	7.240485	-16.339461	-9.535712	-12.559271
40	1	-9.773818	8.246958	5.328935	7.377250	-14.548306	-5.567960	-14.662038
49	1	5.102878	2.723471	-10.166317	-13.903746	7.422462	6.734567	6.617086
54	1	-9.892071	6.297781	8.772519	5.699395	-14.846062	-5.579615	-10.359125
75	1	-10.740371	6.655584	5.850940	6.095664	-13.344354	-6.313767	-16.502272
87	1	-13.551849	6.717149	9.213180	7.416865	-17.801030	-6.998315	-9.242785
88	1	-7.221422	5.909405	6.288733	7.746926	-17.895308	-2.954246	-10.793211
98	1	-8.915892	7.206473	6.556384	5.134018	-5.749393	-9.400737	-13.941751
99	1	-7.284927	6.980151	7.078698	7.243149	-17.094398	-6.268720	-11.880504
