1	2	50	6.624539	1.622521	-4.563441	-12.041885	9.359767	5.893523	6.751148
1	2	50	-12.822847	7.664960	6.955104	6.767368	-16.379035	-5.854214	-7.230168
2	2	41	-4.693036	5.568911	1.438422	6.174297	-4.598383	4.042843	4.985800
2	2	59	6.331667	-0.951079	-9.134775	-8.321960	10.079765	6.911347	7.074711
3	1	100	-9.665809	4.618242	5.431079	8.078484	-12.765908	-4.059471	-13.937993
4	2	26	6.386819	0.511458	-3.530489	-8.202808	9.286964	6.934420	5.771067
4	2	74	-9.328628	4.707812	8.083741	5.834605	-14.842294	-5.049896	-9.070338
5	2	45	5.420739	2.457128	-2.794355	-9.347662	11.030420	6.601848	7.015359
5	2	55	-6.701214	7.397153	5.111095	6.695832	-17.399744	-4.416043	-6.903653
6	2	87	-11.747951	3.955793	6.751447	6.143150	-12.459181	-7.764654	-7.486328
6	2	13	5.221370	-0.315772	-5.449331	-13.174314	8.753803	4.545475	6.238802
7	3	71	-12.641072	5.162105	6.035232	4.227415	-14.190102	-7.214495	-11.121850
7	3	18	4.974351	-0.583867	-3.408542	-11.464513	10.367431	4.590850	5.568076
7	3	11	0.662987	5.127219	-0.289302	-3.778453	1.147292	-0.060787	-0.409387
8	2	77	-8.503289	5.326071	8.539340	8.202762	-9.711443	-6.667265	-8.538708
8	2	23	8.729525	-0.621973	-0.427172	-4.953210	10.765214	5.559457	6.718859
9	2	16	6.687567	-0.623506	-4.919490	-3.508540	8.493554	3.911023	8.462849
9	2	84	-7.926679	3.685193	6.648700	8.227213	-9.064889	-5.208764	-9.462742
10	3	50	7.613535	-0.553563	-3.976982	-10.510687	10.964308	6.887366	6.321846
10	3	7	-0.857288	5.809369	6.611879	7.820490	-6.711574	1.310017	2.637244
10	3	43	-7.118252	5.992784	6.983710	7.828580	-12.970149	-0.315002	-3.828291
11	3	88	-10.370896	6.207780	5.657961	7.962119	-15.712685	-7.882129	-10.890239
11	3	7	4.857670	-0.085483	1.051564	1.659641	-7.148814	2.399561	3.731154
11	3	5	6.663453	-0.088134	-4.045295	-7.716671	5.956485	3.192752	6.750097
12	3	75	-16.022438	8.336171	7.340785	3.818000	-17.281039	0.222755	0.279462
12	3	4	-16.550082	8.336173	7.340785	3.818000	-19.127441	-5.413900	-11.328576
12	3	21	2.788001	6.985471	-3.447547	-11.446443	5.501105	7.361166	5.509625
13	3	27	6.253903	3.296081	-2.430365	-8.857951	9.259780	5.204538	8.057751
13	3	70	-9.610059	6.278809	5.413340	5.580150	-15.656970	-6.428690	-7.533328
13	3	3	2.430501	3.387686	0.264679	-3.883959	2.736212	-0.904633	-1.123843
14	2	86	-9.296669	3.438937	5.351276	5.831334	-15.672342	-5.557500	-12.396750
14	2	14	6.224504	-2.861456	-6.553528	-5.100013	10.181564	6.456618	6.446616
15	2	34	-10.084248	6.919417	4.450540	6.657828	-14.305631	-5.534743	-5.653915
15	2	66	7.996016	1.222787	-5.419190	-6.086214	8.792668	3.773563	7.233816
16	2	88	5.950436	-0.634320	-9.348140	-8.077435	9.763371	6.304442	6.706791
16	2	12	-7.768838	5.646929	2.883059	5.546470	-15.846446	-4.539314	-6.342797
17	2	30	5.818307	-0.174446	-4.885172	-10.772018	9.882706	6.123777	5.674962
17	2	70	-9.261537	6.374450	6.089150	6.234852	-15.514653	-1.783407	-10.120568
18	2	51	-6.435305	6.651984	3.604461	5.970166	-16.992033	-3.023868	-6.122398
18	2	49	5.435399	3.994126	-9.012230	-13.045752	9.834057	7.642285	5.126731
19	2	34	8.052599	3.806979	-5.476651	-10.570783	11.376961	4.213137	5.627854
