Source,ZEB1_H,ZEB1,U_Kinetochores,Twist,SNAI2,SNAI1,SMAC,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,MCL_1,Mad2,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,f4N_DNA,Ect2,E2F1,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CHK1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ATR,A_Kinetochores
ZEB1_H,0.9,0.9,0,0.9,0.9,1,0,0,0.9,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,0,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
ZEB1,1,0.9,0,0.9,0.9,1,0,0,0.9,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,0,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
U_Kinetochores,-0.023236559051023186,-0.08636680350232118,-0.003585380904208581,-0.43683249178097344,-0.2757045951752058,-0.1956495144888753,0.5087397548531233,-0.3295282127511764,-0.40855090473969147,-0.3361724177621889,0,-0.35548260708423784,-0.3274081049888022,-0.31369640752241307,0.1639626581614683,0.30205331031361277,0.048935666982024596,0.024427662575771232,0.2871657754010695,-0.42397857545847295,-0.03235966809890255,-0.020537313432835817,-0.35777753279682506,-0.45944467694068203,-0.28756476683937826,0.17032572441560895,-0.217158069232602,0.3077419546931646,-0.21867475275130777,0.5087397548531233,-0.18072221295253682,0.30531758047484675,-0.3345526057030482,0.5207847469821842,0.4379788574035989,0.4932063115137346,0.3271363600317171,0.5460213064322816,0.5460213064322816,0.5237878837277128,-0.6095381467488628,-0.6402555494311688,0.5651637417886746,0.5651637417886746,0.44599351455591735,-0.034162389229117254,-0.339027491547797,0.2539549866383892
Twist,0.9,0.9,0,0.7,1,0.8,0,0,0.9,0,0,0.8,0,0,0.9,0,-0.8,-1,-0.7,0,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
SNAI2,1,1,0,0.8,1,0.9,0,0,0.8,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SNAI1,0.9,0.9,0,1,0.9,0.9,0,0,0.9,0,0,0.8,0,0,0.9,0,-0.9,-1,-0.7,0,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
SMAC,-0.09355450021986872,-0.1396829972217696,-0.06612046691394804,-0.6038262471976454,-0.29945559574227776,-0.2267217254329736,0.5870461660085261,0.042591182265132844,-0.48853768498042865,-0.4643504183875498,0,-0.45238045014477973,-0.4519840940031262,-0.42962430968997556,0.009624263093859128,0.4297472092273322,0.1099737426235721,0.08033113518404064,0.41513555218559606,-0.6655557761932613,0.01711111111111111,-0.08191127785453449,-0.467207277464475,-0.5955914355914357,-0.4291458117434348,-0.015040744216964668,-0.054008859293008936,0.43797726814407534,-0.060499508357915434,0.5870461660085261,0.04188277133185685,0.4296872992470818,-0.01589794964269018,0.8973902833234895,0.8,0.8996399639963997,0.7135715838441807,0.6647370082754775,0.6647370082754775,0.6651191707155619,-0.7569223338631994,-0.7641998423919555,0.6732292402745019,0.6732292402745019,0.8,-0.12360521643865678,0.01509187459412758,-0.09154180904816143
Replication,0.2336692659977868,0.14448660293863325,0.09516256080999136,5.274725274725222e-4,0.32080643247092333,0.22172257131999676,0.23122944714214172,-0.11894866665433887,-0.2024655658698212,0.42408810325476987,0,-0.17196911196911197,0.4059091247687282,0.3327011160118396,0.4024468327078357,-0.4526689170050043,-0.2293990745381179,0.12801453071144533,0.13142857142857142,-0.10976253060126595,-0.07682086093501506,0.05982282668189713,-0.17315634218289083,-0.2382032691316705,-0.13333333333333333,0.1657848776558108,0.05387341397472142,-0.46644903135287735,0.05638345413536398,0.23122944714214172,-0.5269597050880493,-0.5395518895250061,0.02675053204017207,0.27157378116358394,0.23657035848047087,0.2696893295415641,0.08989074167123758,0.18872543842198958,0.18872543842198958,0.16497274050281946,-0.20148455765395049,-0.232751610811658,0.22747674923780417,0.22747674923780417,0.2420359032894054,0.37330459991277354,0.00372281349006546,0.2456918328808247
Rac1,0.7,0.7,0,0.8,0.7,0.8,0,0,0.8,0,0,0.8,0,0,0.7,0,-0.7,-0.8,-0.7,0,0,0.7,0.9,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0
pRB,0.3312124183601991,0.22292594919087771,-0.2565482150098445,0.3078109163898981,0.49596747227887883,0.3050249792547008,-0.6572435298408587,-0.6304756894314107,-0.027883287446014777,0.8550372835691471,0,-0.05254985640395117,0.8515196796320851,0.841244381291227,0.6161449280508398,-0.9772876645029364,-0.3120193439173119,0.13447332801695883,0.07521193328289552,0.7671133238718063,0.09643452908863097,0.10608808707127229,-0.05903843057015923,0.5824150462827796,-0.0810081275398562,-0.5715408436525276,-0.14479481814231657,-0.9795192073859363,-0.14031937495719596,-0.6572435298408587,-0.9112964884685155,-0.94474761039772,-0.5234967510883857,-0.5878851801739414,-0.4,-0.4979609175870858,-0.21575593237814844,-0.7083304781297384,-0.7083304781297384,-0.6872995311050618,0.6511493421654454,0.6767048258802562,-0.7227846440724568,-0.7227846440724568,-0.4,0.5388766057452692,-0.578257259397281,-0.4746715597317156
