Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,U_Kinetochores,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,Rac1,PTEN_c,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_29c,miR_200,Merlin,Mad2,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Fast_Migration,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8997531906399902,0.899923435207044,0.7,0.6,-0.3164835164835165,0.28078630557761663,0.23628569258355542,0.9,0.6,0.8999458483754512,0.7,0.7,0.8996187322003173,0.999965512286248,0.32366453717547916,0.9,-0.5,0.49541573033707864,0.47057597512158,0.3364743741302771,0.8,0.8966092958561214,0.7,-0.7,-0.999963388961772,0.6,-0.9999773486607395,-0.7,-0.08965220067713142,0.9999683394016147,-0.6,0.8,0.7,0.5850651604152218,0.8,0.7,0.1970489604292421,-0.36324656254171667,0.10117837192829415,-0.9,-0.9999492310621285,0.10664460987041632,0.4062619656952978,0.49620596205962053,0.1727280496694568,0.2,0.3706146926536732,-0.26518835104907923,0.38023472590401725,0.4934508816120907,0.46274834900772427,-0.10553950235064788,0.8995186288902467,0.27142857142857146,-0.8,-0.6,0.2923799192780928
ZEB1,0.9997888026331168,0.8999402360675333,0.7,0.6,-0.32197211818560134,0.28710922164141245,0.2433631295655517,0.9,0.6,0.8999577315956323,0.7,0.7,0.8996737009382307,0.9999730700179533,0.3296178921462804,0.9,-0.5,0.4961869158878505,0.47374834687322875,0.3404228380315336,0.8,0.8969970018793874,0.7,-0.7,-0.999971419725153,0.6,-0.9999823183579648,-0.7,-0.09050853361198188,0.9999752903385224,-0.6,0.8,0.7,0.587089040428787,0.8,0.7,0.2031990362735912,-0.3666069484913837,0.11085685180555235,-0.9,-0.9999603698811097,0.11516093229744728,0.41347852653810263,0.4968680089485458,0.18333445823264694,0.2,0.3734214656867468,-0.2733088573595418,0.38261383864982856,0.4945606694560669,0.466742463711725,-0.11411793585852523,0.8995879918154503,0.27473684210526317,-0.8,-0.6,0.2980722265306396
YAP,0.13184170066500456,0.273155216651368,0.8943981505197944,0.8984236453201971,-0.29699891487622215,0.2416573157861786,0.19219990824036295,0.39250237195747184,0.8984236453201971,0.18352612684709613,0.7950565376652333,0.7936261176144909,0.2779958441179724,0.4482991480743622,0.27645113464202803,0.8337729092801434,-0.8,0.6073084174910672,0.4831156537378571,0.3829893390303171,0.7643054928064417,0.05057130996708266,0.7913832199546486,-0.7913832199546486,-0.28090025276428254,0.8984236453201971,-0.3217682258061002,-0.6842577030812326,-0.1050049498581874,0.1830284888702896,-0.6961904761904762,0.8845952969335915,0.8940451258867904,0.4921054563074079,0.8836670124906034,0.8947265263491897,0.14360490227342698,-0.388482081624011,0.0426529933071972,-0.9087657541577464,-0.288920080772038,0.04049583176865253,0.2936859799299532,0.4896975699182614,0.05331529326406237,0.2774314711343615,0.41425680783701446,-0.18683453609362247,0.42618686244367804,0.4518918901887294,0.43660945736705853,-0.013666100542499152,0.15167786770370303,0.2774401864908196,-0.8803845397962675,-0.5974193548387097,0.26407079675903844
WT1,0.5732057093177348,0.5869269722814499,0.7,0.6,-0.29499564791643995,0.2491624043582751,0.19855193555889133,0.3969811320754717,0.6,0.48977631201605965,0.7,0.6,0.6663018411753766,0.49231713688610246,0.2887423496517287,0.6990062111801242,-0.5,0.548779200022832,0.4715081387978584,0.34713692316667644,0.6,0.45079435423001446,0.7,-0.7,-0.4911929824561404,0.6,-0.4939893048128342,-0.5,-0.09783909440064684,0.4921957888980038,-0.6,0.7,0.8,0.4873853577282053,0.7,0.7,0.16247775040504248,-0.37187994420676945,0.042778477680974265,-0.7978779840848806,-0.5899378881987578,0.044693057946069994,0.33213338084813937,0.44480108806528396,0.08666765032160051,0.24666666666666667,0.38808626716412564,-0.2067174800897072,0.4024000916065499,0.4266010993408167,0.44189156674761926,-0.04325458588104503,0.5577467693790904,0.2749685534591195,-0.8,-0.5,0.2693471827147756
Wee1,-0.10766118670443618,-0.10100321722882163,-0.05747126436781609,-0.03333333333333333,0.2670068891712988,-0.012432973037587147,-0.1272692327866864,-0.09547504964171631,-0.03333333333333333,-0.10413387465249402,-0.05696969696969697,-0.05792349726775956,-0.10380207039063505,-0.10923225752886682,-0.1298324050110854,-0.09740775514462088,0,-0.4249087013259235,-0.39753033415545647,-0.3142261351232683,-0.07910710154984965,-0.09642721837639642,-0.05426356589147287,0.05426356589147287,0.10907028221701635,-0.03333333333333333,0.11300681353350864,0.05696969696969697,0.07687306341473284,-0.10988628095505555,0.03333333333333333,-0.08080485319996296,-0.05730994152046783,-0.2975365055025405,-0.08067027838363938,-0.059047619047619036,0.04028219319727177,0.30492053457218393,0.057236021911762136,0.09255927373182884,0.10535831215546639,0.05888819565330354,0.009773839712126565,-0.30019509060670796,0.09509820931080717,-0.13333193590366896,-0.4388332312596657,0.09265101369182178,-0.3379328493764769,-0.26788315142250946,-0.24954400880301342,-0.03156343471076118,-0.10301937162069001,-0.1312571290835119,0.07663198694410445,0.03333333333333333,-0.18198037197859432
UbcH10,0.4665744636093042,0.4600415776057513,0.3828481012658228,0.29500000000000004,0.31873197554554566,-0.06820732401566391,-0.19918153732096192,0.47745916402023053,0.29500000000000004,0.4862893729126533,0.38313710099424386,0.38255913714916046,0.42221076667824287,0.5075884025736295,-0.24999881040043936,0.4993552647530943,-0.2,-0.4909852326217604,-0.46752865637097696,-0.2511802499379695,0.44658737870582976,0.3106617258759655,0.37263986013986017,-0.37263986013986017,-0.5041361407448057,0.29500000000000004,-0.5337037048311437,-0.37756687756687757,0.12036495254986505,0.5153265267732958,-0.2925233644859813,0.45876135037723753,0.38162706829846677,-0.47634212478495075,0.4578507596306027,0.3846953302245094,-0.33551666022002813,0.3964060429677609,0.06193693687133363,-0.46810296979760196,-0.4879702937331295,0.0639155763267186,-0.22876820930143388,-0.47421033408609786,-0.26481369348542716,-0.25121018596797673,-0.38754864246990756,0.3210201306765847,-0.4185793611958166,-0.4278721171946547,-0.43457363037145197,0.0955839536487144,0.40504950776255233,-0.251156199159536,-0.43957372787533106,-0.2952941176470588,-0.3016270801859246
U_Kinetochores,0.34605125151866106,0.34375436010367744,0.2841269841269841,0.2,0.2617191674936292,-0.1613953358906113,-0.04223233734944424,0.3651573086158908,0.2,0.3638338414604312,0.2836065573770492,0.2846153846153846,0.31785909120536393,0.3857815933445132,-0.2589160753596477,0.38082887584842395,-0.1,-0.3607294189197649,-0.34866593244157695,-0.13145434236068682,0.3403918809367209,0.25673559246302613,0.275,-0.275,-0.3839335615608425,0.2,-0.40883735926294057,-0.28130841121495326,0.06496035846536082,0.3913720610503571,-0.2,0.3508434470651095,0.2832869080779944,-0.3444898913669345,0.3499555643329713,0.28705501618122975,-0.11795665152081243,-0.07066981451970775,-0.13761532430382004,-0.3521880615612755,-0.36748870624477636,-0.1367591261572729,-0.1507772408665496,-0.34092402571046343,-0.23898187788326627,-0.25840394518212645,-0.21769675329659996,0.3259753937629163,-0.22525466576550252,-0.22748333195554168,-0.3170175269758395,0.040033435038269415,0.31065942730813145,-0.25925838889113423,-0.3292483660130719,-0.2,0.08032578458220795
Twist,0.8997821392276789,0.8999265347352955,0.7,0.6,-0.3132894848163935,0.27667302209773664,0.23155324722003257,0.7,0.6,0.8999480890273182,0.7,0.7,0.9996633921221422,0.7999668558644405,0.3204271379913468,0.9,-0.5,0.4951114306254493,0.46959953936698123,0.3339776295133438,0.8,0.8970547764086408,0.7,-0.7,-0.7999648413465764,0.6,-0.9999782880095532,-0.7,-0.08889995848899958,0.8999696152531429,-0.6,0.8,0.7,0.5851826085379072,0.8,0.7,0.19180128009753122,-0.3612689210950081,0.0949394763504506,-0.9,-0.9999512878280461,0.09970138111235535,0.4057681466675896,0.49605077574047957,0.16616181051859996,0.2,0.36879687401525174,-0.2602332379363646,0.3790717764716482,0.49315789473684213,0.4618811396814214,-0.10006142222533143,0.8995749344271591,0.2686274509803922,-0.8,-0.6,0.28866354175064396
TRIO,0.5802778290067961,0.5913062263714219,0.8,0.7,-0.33522297888435837,0.287150767829215,0.23602093103689686,0.6986394557823129,0.7,0.5932632796028021,0.7,0.8,0.5752890158454166,0.6955154431560426,0.3295145882440479,0.899637516991391,-0.6,0.5687183732880057,0.5069331536376193,0.37779327818764435,0.8,0.4727996584800157,0.6,-0.6,-0.5946924367977,0.7,-0.6963904788054154,-0.7,-0.10597670381063637,0.595124396011103,-0.6,0.9,0.8,0.623701754361938,0.9,0.8,0.202709705753184,-0.4024017466454288,0.07883034808187767,-0.6992263056092843,-0.6936568746835963,0.08397271952259164,0.38478056081227885,0.5674499242008838,0.14137794376939164,0.26595744680851063,0.4178327531434876,-0.2598698428942331,0.4311417326499337,0.5537855020961159,0.4843443853326407,-0.07606189933406013,0.5686117823405379,0.30661678746785126,-0.7,-0.7,0.30620015808772016
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
