Source,YAP,WT1,Wee1,UbcH10,U_Kinetochores,TRIO,TAZ,Stress_Fibers,SMAC,Replication,Rac1,PTEN_c,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin,Mst1_2,miR_29c,Merlin,MCL_1,Mad2,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,FocalAdhesions,Fast_Migration,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,DR4_5,Cytokinesis,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
YAP,0.8991195891415995,0.9,-0.297200908723445,0.2416573157861786,0.1922017385336528,0.9,0.8,0.7980784627702162,0.07591185362335895,0.27645113464202803,0.8454025727621766,-0.8,0.6073045749220122,0.48312844167533087,0.38299204139232396,0.7776154579162382,0.6526641224482952,-0.8,0.9,-0.6942168674698795,-0.2588432246947644,-0.1050049498581874,-0.7,0.8921525743769477,-0.07246319384102254,0.8987247608926674,0.49208034455413935,0.8915083068682117,0.89862148190695,0.14360490227342698,-0.3884852415856551,0.0426529933071972,-1,0,0.04049583176865253,0.07591185362335895,0.2936822463507681,0.4896812190929568,0.05331529326406237,0.2774314711343615,0.41428571434132405,-0.18683698341265387,0.42619149766418296,0.45188010150421254,0.4366078063211378,-0.013668109049584778,0.07517250794536885,0.0535819620793714,0.0670468489046761,-0.2236406850526862,0.07620152065042776,0.07620152065042776,0.029442020896980746,-0.02710814240578042,-0.03482202923995521,0.07690683681337979,0.07690683681337979,0.05384660854145116,0.2774401864908196,-0.9,-0.6,0.2640731716555466
WT1,0.7,0.6,-0.29499564791643995,0.2491624043582751,0.19855193555889133,0.6,0.7,0.6,0.05312280701754386,0.2887423496517287,0.7,-0.5,0.5487434410383872,0.47147937156651876,0.34713692316667644,0.6,0.7,-0.7,0.6,-0.5,-0.25921524590697526,-0.09783909440064684,-0.6,0.7,-0.035789473684210524,0.8,0.48691607908678264,0.7,0.7,0.16247775040504248,-0.37187994420676945,0.042778477680974265,-0.8,0,0.044693057946069994,0.05312280701754386,0.3320713194090678,0.444688832054561,0.08666765032160051,0.24666666666666667,0.38808626716412564,-0.2067174800897072,0.4024000916065499,0.42649641198818067,0.4418407534897818,-0.04325458588104503,0.036279069767441864,0,0.02,-0.2210016977928692,0.06753509795526602,0.06753509795526602,0.025599756214357235,-0.02777180339720341,-0.03283215342038871,0.0655195012324199,0.0655195012324199,0,0.2749685534591195,-0.8,-0.5,0.2693471827147756
Wee1,0.041495327102803736,0.02,0.26768236498594,-0.012433093590631649,-0.12727940446150857,0.02,0.02,0.04183908045977012,-0.07470032254478463,-0.12983369287966234,0.07778181062023856,0,-0.42493332188017474,-0.39761245324758654,-0.31424963361514785,0.06398268398268399,0.07742076607239975,0,0.02,-0.04207792207792208,0.1831133156883715,0.07687467774257034,-0.02,0.063660712338328,0.07607556422838982,0.04183908045977012,-0.2975590812647287,0.06369594699748772,0.04164948453608248,0.04028219319727177,0.3049444522122775,0.05723871396324046,-0.02,0,0.05888819565330354,-0.07470032254478463,0.00977182183283647,-0.3002037295300978,0.09509933362590933,-0.13333193590366896,-0.43900936328282525,0.092663247020675,-0.3379674876662498,-0.2678891666468818,-0.24956027861939578,-0.03155720892806084,-0.08292600981384904,-0.07742076607239975,-0.08409343604088243,0.15466982680723984,-0.07375576036046749,-0.07375576036046749,-0.03724688048684754,0.04000050153967024,0.05006479139133056,-0.0733039186803707,-0.0733039186803707,-0.07856062338655169,-0.1312571290835119,-0.02,-0.02,-0.18199543822146028
UbcH10,-0.1,0,0.31865943468163654,-0.06820838674523352,-0.19918057731239763,0,0,-0.1,0.0611377904789806,-0.2500005799499402,-0.10209411185020942,0,-0.4910124899866011,-0.46752581635659685,-0.25117786979509243,-0.11219512195121953,-0.10153522347406216,0,0,0.1,0.21341337813454703,0.12036495254986505,0,-0.11627906976744187,-0.06578916358361389,-0.1,-0.4764599965006539,-0.11627906976744187,-0.1,-0.33551666022002813,0.3964040490373815,0.0619357455425257,0,0,0.0639155763267186,0.0611377904789806,-0.22878236783106373,-0.4742867389089275,-0.26481541357342747,-0.25121018596797673,-0.38751414410747703,0.3210201306765847,-0.4185777687578531,-0.4279222200783385,-0.43458733728027443,0.0955830999964622,0.07380267034981673,0.10153522347406216,0.08831745532671656,0.11486233874801237,0.04271682374513637,0.04271682374513637,0.07141337514240503,-0.08222530435350978,-0.08118935011770345,0.05955268301118695,0.05955268301118695,0.10777332264100507,-0.251156199159536,0,0,-0.30162588892432135
U_Kinetochores,-0.2966480446927374,-0.2,0.24406410750915408,-0.16137777945544965,-0.04181708597166138,-0.2,-0.2,-0.2949579831932773,0.36977857168306827,-0.2588074735614617,-0.42727083689890444,0.1,-0.3593032753621015,-0.3458791872373578,-0.13023086188488447,-0.37040504946678654,-0.41759507914713134,0.1,-0.2,0.29337016574585634,-0.14575864458885499,0.06482456447623165,0.2,-0.37854500223257,-0.367467617619464,-0.29525691699604745,-0.34346525715459086,-0.37787255605759895,-0.2958041958041958,-0.11796726585217898,-0.07179395032075901,-0.13779595620569182,0.2,0,-0.13683089067048132,0.36977857168306827,-0.1506915720839347,-0.3402580688552533,-0.2391014601793255,-0.25840394518212645,-0.21170780837056086,0.32553000768544077,-0.22371750020774406,-0.22704682174113397,-0.31627498319172204,0.039936262407781954,0.42984852420218217,0.4173206059640971,0.4442391696815343,0.21965985406908609,0.3277328358194692,0.3277328358194692,0.3161789960863895,-0.33926093999641244,-0.3877531584426857,0.3725343132415232,0.3725343132415232,0.42830237341847044,-0.2592219902949084,0.2,0.2,0.08096979011492997
TRIO,0.8,0.7,-0.33506304273112614,0.28705694452976227,0.2359276510324079,0.7,0.7,0.8,0.054014099108438726,0.32936468118139633,0.9,-0.6,0.5684794625814928,0.5065921432894747,0.3776830744426968,0.8,0.6,-0.6,0.7,-0.7,-0.30180399624295373,-0.10597670381063637,-0.6,0.9,-0.0369811320754717,0.8,0.6225061068932926,0.9,0.8,0.202709705753184,-0.4022958291943519,0.0786961237779108,-0.7,0,0.08397271952259164,0.054014099108438726,0.3840394624914455,0.5669968752077654,0.14117476891475522,0.26595744680851063,0.41775314798507335,-0.2596626678632428,0.4309581438579643,0.5532525510204082,0.4838466328192356,-0.07595194753340648,0.03724137931034483,0,0.02,-0.27214022501862084,0.07132342639790505,0.07132342639790505,0.02178317912203167,-0.0257032114616547,-0.029826208393695663,0.06827402690627267,0.06827402690627267,0,0.30661678746785126,-0.7,-0.7,0.3061041429315624
TAZ,0.8,0.7,-0.33202182365483507,0.28305030928779534,0.23104399364837241,0.7,0.7,0.7,0.05384458077709612,0.3268460331181323,0.8,-0.6,0.5676850585195319,0.5054447205598838,0.3747986639497617,0.7,0.7,-0.7,0.7,-0.6,-0.2971140321593378,-0.10489826840719393,-0.7,0.9,-0.03666666666666667,0.9,0.6227174551369535,0.8,0.8,0.19707375137460575,-0.40003967077957003,0.07235892149777659,-0.7,0,0.0771431616478704,0.05384458077709612,0.38442034807173786,0.5666309197801567,0.13495022463371603,0.26279069767441865,0.41564327950285607,-0.25491331810406953,0.4294971489304271,0.5525824840214199,0.48269983699267227,-0.07075638296479583,0.0369811320754717,0,0.02,-0.2663386295433415,0.07079461604461604,0.07079461604461604,0.022345757024920688,-0.026083806714161672,-0.030312820225984083,0.06781772846481368,0.06781772846481368,0,0.30368138593352795,-0.8,-0.6,0.3021471554886602
Stress_Fibers,0.9,0.8,-0.29856125310767223,0.24427988863706526,0.1938590590624188,0.8,0.8,0.7,0.07256134437347714,0.2796558716696066,0.783851331200917,-0.7,0.600900074917877,0.48434983764341755,0.3781977725570777,0.6958762886597938,0.6434149813781445,-0.7,0.8,-0.6,-0.26041615363668724,-0.10518374591081636,-0.6,0.798750650702759,-0.06509555020334032,0.9,0.4964581756664204,0.7986516853932584,0.9,0.1489993449296923,-0.38836071300535935,0.040764407713090554,-0.9,0,0.03865294265515917,0.07256134437347714,0.3026081071379582,0.4873477416221669,0.05888093439862237,0.27561006693036033,0.412630936447164,-0.1914934109073272,0.42577889525179946,0.45281201757082,0.441121158314777,-0.01852975217330924,0.06645531264123858,0.036483516483516484,0.0535819620793714,-0.2243735167115028,0.07602271358336583,0.07602271358336583,0.029675726864395825,-0.028140641536301088,-0.03545730474215943,0.07613346254300793,0.07613346254300793,0.03683168316831683,0.2792118104495161,-0.8,-0.5,0.2670968690996483
SMAC,-0.6,-0.5,-0.5651928676033755,0.021452214477394475,0.17432010983308158,-0.5,-0.5,-0.6,0.5283996586179428,0.15928460560429653,-0.7987012987012987,0.4,0.4352723200898486,0.45240467231164105,0.36032580202864856,-0.7,-0.7979247730220493,0.4,-0.5,0.6,-0.5573152742458634,-0.09700081067990385,0.5,-0.7,-0.5645058533082083,-0.6,0.2871678384422023,-0.7,-0.6,-0.02994615657485817,-0.3605262713478472,-0.09652490157422255,0.5,0,-0.09849613226148947,0.5283996586179428,0.014515473659617728,0.2810728920409772,-0.10134791742737204,0.15598731165741475,0.5103790734619629,-0.1514830089830564,0.3897161187130668,0.25888110611287485,0.29659810291406075,-0.008539540284810835,0.8750712586560754,0.7976261127596439,0.8912017678737605,0.347130668049011,0.5472250762016232,0.5472250762016232,0.5317826169363399,-0.5541157167795664,-0.590941469314024,0.5741575232509266,0.5741575232509266,0.7981220657276995,0.16022183934471118,0.5,0.5,0.24173750557363566
Replication,-0.025,0,0.33150147090343907,-0.0322920713911475,0.0819508324888755,0,0,-0.025,0.04786446531826899,-0.05655234363968421,-0.054820200513712815,0,-0.3146695237598055,-0.34378954345797935,-0.2456721801632956,-0.044753086419753084,-0.0545875557478933,0,0,0.025,0.023160541101385657,-0.006992974207824802,0,-0.04522471910112359,-0.04879951926368892,-0.025,-0.15180264577900607,-0.04522471910112359,-0.025,0.196862083959721,0.06947284794889727,0.09933892513954805,0,0,0.10028997976128569,0.04786446531826899,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.2546966738333949,0.16421284245522566,0.00923051230373487,0.12079645459883533,-0.21503368680033552,0.0685161630639713,0.0553808431527897,0.0545875557478933,0.05814939573357435,0.13929270477092356,0.035501448283928976,0.035501448283928976,0.05592996260297426,-0.05167655352324234,-0.05555020402385541,0.04778471819515678,0.04778471819515678,0.05641058958051805,0.04270224002873732,0,0,0.10445678855827405
