Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,U_Kinetochores,Twist,Stress_Fibers,SNAI2,SNAI1,Replication,pRB,Plk1_H,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,Mad2,LEF1,Lats1_2,FoxM1,FocalAdhesions,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cytokinesis,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8995050067626071,0.8997993403741038,0.7,0.6,-0.13989391557016745,0.28192801648961474,0.25266666666666665,0.8999772649766966,0.5,0.8992463372474393,0.9998871371883681,0.4423548531526903,-0.4793103448275862,0.4916783216783217,0.46032521225281764,0.2972854699335806,-0.47110483646190576,-0.3911764705882353,0.8944172684478857,0.7,0.5861739463827529,-0.7,-0.9998871371883681,-0.9999263502083645,-0.08774509803921568,0.999904022105904,-0.6,0.5813232592986441,0.6,0.354346002181391,0.14440142151950414,0.06551493869956032,-0.8999696578927405,-0.9998570658509376,0.5289620647290131,0.0781786941580756,0.47507739938080495,0.5886787280701754,0.41109467271233263,0.4831085420680797,0.26582059561671106,0.2951219512195122,0.3122310545839958,-0.3128626954713911,0.3718353212774144,0.492967032967033,0.4688110777305846,-0.15380565724127887,0.8990341351606703,0.37478296816866474,-0.8,-0.5,0.3052208092417114
ZEB1,0.999567673260483,0.8998332838901867,0.7,0.6,-0.13987798842526367,0.28652225742186227,0.2586097801782966,0.8999822726466938,0.5,0.8993401013142076,0.9999070167767359,0.44727203912891583,-0.4818053493189609,0.4927563571474094,0.46348056561619694,0.3025461768651326,-0.47428752591983275,-0.39263803680981596,0.8949753360777286,0.7,0.5879234572422634,-0.7,-0.9999070167767359,-0.9999395131002122,-0.08851760851760851,0.999920944988743,-0.6,0.5836247375995073,0.6,0.35828346456692917,0.16040257996818438,0.07415098008151744,-0.8999763523499853,-0.9998816790695224,0.5352283806198195,0.08588567395906846,0.4778042772190231,0.5901983827493262,0.41685485053390325,0.4850708533172988,0.27407083786150266,0.29583333333333334,0.3162604518768902,-0.31904538108901426,0.37428081651954603,0.49406307977736547,0.4720336134453781,-0.1625625833320152,0.8991541513306389,0.37778279181708785,-0.8,-0.5,0.30978021978021975
YAP,-0.3097932921560695,-0.16006882581225984,0.7153809173264426,0.8235521235521235,-0.20648276638962929,0.3303118180825021,0.27315007900809196,-0.26387396285578435,0.7857142857142857,-0.23493531425212585,-0.2894185173112299,0.4832296840880077,-0.5630342390441531,0.6808459218717086,0.5678613852920906,0.3994680684283719,-0.5455744288875105,-0.5538017049590452,-0.36522091470192064,0.524114411441144,0.6563971253894415,-0.524114411441144,0.2894185173112299,-0.166217422012022,-0.13350782990137858,-0.10969553779651933,-0.5577777777777777,0.6928199064666232,0.8235521235521235,0.4186620890812523,-0.018045840031343123,0.023181538520699575,-0.45257231465417574,0.2356761040510674,0.45567296698422455,0.024507201045945917,0.568187427270095,0.6912749417918348,0.41821941865190054,0.6148545616095682,0.24256993906967367,0.46080002833012995,0.4198346705987722,-0.34195264859623425,0.5069470951659527,0.6564881590015866,0.5547867098366243,-0.10060682163396568,-0.35905614696314603,0.4746201273874873,-0.48533890123706247,-0.5599999999999999,0.3651533573366751
WT1,0.4425458543527655,0.5076698745990085,0.7,0.6,-0.16655567360851697,0.29774377867743523,0.25491353091353086,0.3699099099099099,0.5,0.49113359806122,0.43259971468214414,0.4451060257212318,-0.5100586518070951,0.5587704501935291,0.4955239061127661,0.326341393666776,-0.4942937404454841,-0.45088455772113945,-0.0483126794843694,0.6,0.596718896310631,-0.6,-0.43259971468214414,-0.45505874196932183,-0.10546598010834465,0.44327944043114326,-0.5,0.6170918412457601,0.6,0.3792613559630543,0.0393222116585965,0.03540196221833877,-0.7694949494949495,-0.5238553986611839,0.44183368487787716,0.0455868361679186,0.5024411256786185,0.6173323679878487,0.40123160974558275,0.5246376832602337,0.2462189197780293,0.3606893106893107,0.346007743591124,-0.3171303976520067,0.42015175300889585,0.5549615323393644,0.4949892340322711,-0.12332101239973599,0.35339945807542195,0.4106893106893107,-0.6927272727272727,-0.4,0.32586082334587435
Wee1,-0.056933708284722995,-0.05965440928749548,-0.025625920471281295,-0.014285714285714285,0.2686209429259853,-0.01777901434188208,-0.13060384217965912,-0.050616714593167314,0,-0.050323099392290696,-0.05818811578158978,-0.16311943523428937,0.10217939326796317,-0.43427360575623714,-0.4071599775761567,-0.31760612837091323,0.24306756854162548,0.24579579661076703,-0.046037020503471304,-0.025625920471281295,-0.14611296000372911,0.025625920471281295,0.05818811578158978,0.19057312864277137,0.0784504908367254,-0.07527845720844169,0.014285714285714285,-0.3123717800333312,-0.014285714285714285,0.021973480244724695,0.2949804901936436,0.059047590725277724,0.04733755849139554,0.054378398964974164,-0.09435990434704836,0.060315480440132054,-0.2453328096836774,-0.16856133871007334,0.002215318582247933,-0.28963457814258364,0.08425317679554226,-0.16305728962674615,-0.4427421213468947,0.10380533690474772,-0.34605161037995436,-0.28299625153503793,-0.269872536643489,-0.02849006569952381,-0.049206572867247764,-0.16326110417695963,0.03803467959536889,0,-0.1872828845286366
UbcH10,0.4168945856834072,0.39474718158448735,0.34971988795518205,0.2833333333333333,0.30505666762395556,-0.06335252211691682,-0.19855217410690246,0.42883496352532546,0.2,0.3915506071842171,0.44963649024288277,-0.2022634758759146,0.3233253440798013,-0.45113752591629597,-0.44022525700375403,-0.2333407918791674,0.3589359841494582,0.15128923733006683,0.31602567555106326,0.3447811447811448,-0.07286859324882697,-0.3447811447811448,-0.44963649024288277,-0.34916999617350203,0.11690908130217367,0.4301548124363378,-0.28181818181818186,-0.42954354295585373,0.2833333333333333,-0.3187658525572904,0.2362116871288023,0.06212285508145413,-0.42032460625227525,-0.4383009106193401,0.1462781935254793,0.0631431690142908,-0.15466608372849983,-0.06785974036136083,-0.23206257147568987,-0.22491760776363834,-0.28183712776439424,-0.1965232402263389,-0.3746482662624173,0.31097323314514175,-0.3983375625278262,-0.38957650363484725,-0.3475918223178872,0.1087945276923098,0.38105060124060297,-0.20024309847024863,-0.3895766838146021,-0.2,-0.2962820351837815
U_Kinetochores,0.33741985192203583,0.3251168665978651,0.27142857142857146,0.2,0.2605228183079569,-0.16202138263162985,-0.04277769004805489,0.353081560051507,0.1,0.31819172459321754,0.3700487645226659,-0.225025469964459,0.28947560164895547,-0.3526276166636323,-0.3445922502306387,-0.12895293049209974,0.27529247152012803,0.12306359334802748,0.27186276881831384,0.27,-0.046307484514049854,-0.27,-0.3700487645226659,-0.2887662928901337,0.06454155867847435,0.35910874886919425,-0.2,-0.3353446893050166,0.2,-0.11285208854044382,-0.10088766218809306,-0.13702846682263028,-0.3413299689575638,-0.35635851436891985,0.17642412406932723,-0.13651704212051768,-0.1265431824973559,-0.0439428676069471,-0.15369414941321274,-0.17698756306581293,-0.24730694326999386,-0.21968733550715477,-0.21632310670397353,0.32836572617420223,-0.22189931774955224,-0.2188736265581742,-0.29107973727654474,0.04417411155099269,0.31314161324294326,-0.2230696741304631,-0.3141860465116279,-0.1,0.08031228981560565
Twist,0.8993042513179461,0.8997129353670127,0.7,0.6,-0.13990007497061918,0.27993927125506074,0.25030772084239633,0.6999676008423781,0.5,0.998941071427582,0.7998386814630327,0.43711368133125167,-0.47659256538471173,0.49073621657312644,0.45755121816168326,0.2950607553366174,-0.46765703432370104,-0.39008264462809916,0.8924298234285202,0.7,0.5824600329976674,-0.7,-0.7998386814630327,-0.9998948458483387,-0.08757268424611224,0.8998627251263723,-0.6,0.5784141334633743,0.6,0.35219478894072137,0.13125845858765112,0.06259105209833093,-0.8999566489649939,-0.9997957343885959,0.5154223510522723,0.07596491228070176,0.4715112160566706,0.5858639484674737,0.4046663416321973,0.4803831331612227,0.2609360468894042,0.2948717948717949,0.3102691867124857,-0.3091755724028742,0.3701035530655452,0.4920398009950249,0.4653646660315444,-0.14986667364653303,0.8986436852028538,0.37275197920359215,-0.8,-0.5,0.30323981338069267
Stress_Fibers,-0.29506215053361995,-0.1398091534525526,0.8235521235521235,0.7857142857142857,-0.19837891841703298,0.32419154252033977,0.26956870006558453,-0.22999830916606903,0.7,-0.2203920870907678,-0.26387396285578435,0.4746201273874873,-0.5528961654859649,0.6532097933472658,0.5524386424687731,0.38254406785919,-0.5353372772454474,-0.531034482521408,-0.36012539953186423,0.5577777777777777,0.6425215883610694,-0.5577777777777777,0.26387396285578435,-0.17834906662211011,-0.12795324868723781,-0.08937291069008117,-0.5599999999999999,0.6767851393758575,0.7857142857142857,0.4117661021852654,-0.0078117523139559775,0.024507201045945917,-0.48533890123706247,0.21022557338649017,0.4485223948639655,0.02772171374009334,0.5538017049590452,0.6742678965158673,0.41570068672949523,0.5946135257813274,0.24393246268798463,0.4391708315980648,0.4036262165829777,-0.33733086668798823,0.4883880628771829,0.6350217729642644,0.5423820646983298,-0.10605749500110781,-0.3447261207343856,0.46080002833012995,-0.524114411441144,-0.5,0.3578393761659208
SNAI2,0.9994233623397243,0.9997838989236241,0.7,0.6,-0.13990883941428786,0.28857696304328184,0.2613931675019541,0.7999783830523131,0.5,0.9991190149306559,0.8998803228065496,0.4462668144073305,-0.4813641065370356,0.4927647079717266,0.4633960814660297,0.30449826932558943,-0.47366081759350137,-0.3928994082840237,0.7933784485703865,0.7,0.5858679750223015,-0.7,-0.8998803228065496,-0.8999224748544735,-0.08903165735567971,0.8998982565505298,-0.6,0.5827139208173692,0.6,0.35965016111001513,0.15935462857166643,0.07846315831297059,-0.899971160778659,-0.9998471651928262,0.5263093192211992,0.0907563025210084,0.476696876638454,0.5888413183826027,0.4151190476190476,0.48408123157549954,0.27594909053907246,0.2962264150943396,0.31775188960543654,-0.3204301075268817,0.3746891768093182,0.49413919413919416,0.47136665312203707,-0.16601072975946324,0.9988709749254646,0.3784789748213021,-0.8,-0.5,0.3117481515977757
