Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,SMAC,Replication,PTEN_c,pRB,Plk1_H,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_29c,miR_200,MCL_1,Mad2,LEF1,Lats1_2,IAPs,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,DR4_5,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CHK1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8997132870163966,0.899866087114631,0.7,0.6,0.23333333333333334,0.8999772649766966,0.6,0.8999003649531041,0.7,0.5,0.8995715554215776,0.9999193163578053,0.3,0.4653768377740981,-0.5,-0.4992792792792793,0,-0.49910514541387024,-0.39827586206896554,0.8973154486670987,0.7,0.6,-0.7,-0.9999193163578053,0.6,-0.9999462186773931,-0.4992063492063492,-0.0125,0.9999313938666073,-0.6,-0.2,0.6,0.38198529411764703,0.18333333333333332,-0.8999696578927405,-0.999901639054128,0.6,0,0.15,0.3,0.4962266817410967,0.5984712711631652,0.2923076923076923,0.2,0,0.1,0.16,0.4,0.4,0.4,-0.39801980198019804,-0.3986013986013986,0.4,0.4,0,0.8994507461149158,0.38064102564102564,-0.8,-0.5,0.29166666666666663
ZEB1,0.9997459994737803,0.8998852819010675,0.7,0.6,0.23849206349206348,0.8999822726466938,0.6,0.8999150108439216,0.7,0.5,0.8996185023085917,0.9999320957732148,0.3,0.4680094512914641,-0.5,-0.4994177583697234,0,-0.4992792792792793,-0.39859154929577467,0.897535780565377,0.7,0.6,-0.7,-0.9999320957732148,0.6,-0.9999549960432599,-0.49936507936507935,-0.01111111111111111,0.9999422724058162,-0.6,-0.2,0.6,0.3839260312944523,0.19126984126984128,-0.8999763523499853,-0.9999164103315342,0.6,0,0.15555555555555556,0.3,0.49660479432888727,0.5986563155399188,0.2935483870967742,0.2,0,0.1,0.16363636363636364,0.4,0.4,0.4,-0.3983739837398374,-0.3988439306358381,0.4,0.4,0,0.8995108448953764,0.38258948298718515,-0.8,-0.5,0.29285714285714287
YAP,-0.2383875697486814,-0.07363421954993596,0.7678165584415584,0.8450892857142858,0.295588864229534,-0.24133492561078765,0.8450892857142858,-0.015073091766648918,0.6387777870750007,0.7857142857142857,-0.23416575766509368,-0.20352319279752257,0.6718609253257004,0.6669087629419935,-0.7857142857142857,-0.8650157004591754,0,-0.8619231739105986,-0.7515597133627665,-0.5186434168946042,0.17499536081769412,0.9835329464912157,-0.5799291617473435,0.20352319279752257,0.8450892857142858,-0.2675147206991976,-0.7999589739833423,-0.09274167099249606,-2.691720179110929e-4,-0.5857142857142856,-0.5894263284223368,0.8450892857142858,0.606852031155075,0.1783257334115791,-0.5402740039940264,0.165887376528857,0.985375609968143,0,0.17383135138910716,0.6718609253257004,0.823994794958929,0.9569036821153224,0.5548479769266197,0.5929115429312721,0.4,0.49893711248892825,0.2559462692906231,0.7342260574106698,0.7342260574106698,0.7173244908747849,-0.6863847720008839,-0.707866445242716,0.745681991874841,0.745681991874841,0.4,-0.39336511062937374,0.6123094530012344,-0.5622576440758259,-0.5599999999999999,0.5099552200942353
WT1,0.5108146682373389,0.5427706552706553,0.7,0.6,0.24995592642651468,0.3748148148148148,0.6,0.4553658536585366,0.7,0.5,0.5760709439813917,0.45741574915863376,0.4,0.5009109837935333,-0.5,-0.5938824175932014,0,-0.5928549398581269,-0.4910617283950617,0.10489906378619747,0.5636363636363637,0.6988795518207283,-0.6,-0.45741574915863376,0.6,-0.4717451928036886,-0.5859896041583367,-0.034873949579831934,0.4642800742730436,-0.5,-0.3,0.6,0.43855083655083654,0.16959511077158135,-0.7788974854932302,-0.5527304242774415,0.6991596638655462,0,0.16050420168067228,0.4,0.5820478199718706,0.6884474321280918,0.36444444444444446,0.3,0.1,0.2,0.19017094017094016,0.49653179190751445,0.49653179190751445,0.4945054945054945,-0.4823025435073628,-0.48799853193051135,0.4981481481481482,0.4981481481481482,0.1,0.4482857142857143,0.4350659133709981,-0.6927272727272727,-0.4,0.36166186754422047
U_Kinetochores,-0.10376916989150824,-0.14306159214335062,-0.1,0,-0.003585380904208581,-0.4363356946510632,0,-0.03565128900949797,-0.1,0,-0.3238560428300208,-0.08075165806927045,0.5087397548531233,-0.3295282127511764,0,-0.3361724177621889,0,-0.3274081049888022,-0.31369640752241307,-0.04747072077991239,-0.43809626327980855,0.30205331031361277,0.1,0.08075165806927045,0,0.031494750377590155,-0.42397857545847295,-0.03235966809890255,-0.04423905240488155,0,-0.45944467694068203,0,0.17032572441560895,-0.217158069232602,0.28280802292263607,0.3464933677502223,0.3077419546931646,0,-0.21867475275130777,0.5087397548531233,-0.18072221295253682,0.30531758047484675,-0.3345526057030482,0.5207847469821842,0.4379788574035989,0.4932063115137346,0.3271363600317171,0.5460213064322816,0.5460213064322816,0.5237878837277128,-0.6095381467488628,-0.6402555494311688,0.5651637417886746,0.5651637417886746,0.44599351455591735,-0.14604652638106205,-0.339027491547797,0.2,0,0.2539549866383892
Twist,0.8996019315384982,0.8998083096463534,0.7,0.6,0.23152173913043478,0.6999676008423781,0.6,0.899857541670831,0.7,0.5,0.9994052437471534,0.7998847050148015,0.3,0.46100312256049963,-0.5,-0.49913043478260877,0,-0.49891008174386925,-0.39801980198019804,0.8964269864237485,0.7,0.6,-0.7,-0.7998847050148015,0.6,-0.9999232122235705,-0.499,-0.0125,0.8999018763207459,-0.6,-0.2,0.6,0.3800980392156863,0.18043478260869567,-0.8999566489649939,-0.9998594205189788,0.6,0,0.15,0.3,0.4955445544554456,0.5980623495497637,0.29166666666666663,0.2,0,0.1,0.16,0.4,0.4,0.4,-0.39772727272727276,-0.39841269841269844,0.4,0.4,0,0.8992380856764637,0.3783333333333333,-0.8,-0.5,0.29130434782608694
TRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stress_Fibers,-0.21849195388229306,-0.05545563541617573,0.8450892857142858,0.7857142857142857,0.2817091550424884,-0.20558889386475593,0.7857142857142857,-0.005210356637009876,0.7279669762641899,0.7,-0.19923258634067081,-0.18391305634528082,0.5894263284223368,0.6123094530012344,-0.7,-0.7770731038926519,0,-0.7746269301118744,-0.66797546918871,-0.4745386134011545,0.2594002855782961,0.890967195468422,-0.5857142857142856,0.18391305634528082,0.7857142857142857,-0.26509479902031413,-0.7340087960473991,-0.07618723777139617,0.008100596876529882,-0.5599999999999999,-0.49794520547945204,0.7857142857142857,0.5533378355714789,0.17383135138910716,-0.5622576440758259,0.1405579089484669,0.8921821696577921,0,0.16922978012086926,0.5894263284223368,0.7468385473211634,0.8692067124183527,0.49406366320112954,0.49867841409691627,0.3,0.4,0.23537013760338027,0.6632255076580585,0.6632255076580585,0.6513075113219928,-0.6242170032986928,-0.6413865113644903,0.6718609253257004,0.6718609253257004,0.3,-0.35488615233535603,0.5548479769266197,-0.5799291617473435,-0.5,0.4671924970274805
