Source,YAP,WT1,U_Kinetochores,TRIO,TAZ,Stress_Fibers,SMAC,Replication,Rac1,PTEN_c,pRB,Plk1_H,PAK1,p27Kip1,p21,N_bcatenin,Myc,Mst1_2,miR_29c,Merlin,MCL_1,Mad2,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FocalAdhesions,Fast_Migration,f4N_DNA,Ect2,Ecadherin_mRNA_H,E2F1,DR4_5,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CHK1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
YAP,0.8958381435814429,0.899181166837257,0.29942314665180114,0.899181166837257,0.7989225589225589,0.7922355741169542,0.6731394598915886,0.6789687629549075,0.8184725196455227,-0.8,-0.8687031056513493,0,0.7535229710528515,-0.8661089149507102,-0.7548320203314006,0.5424045029816217,0.9873614084266279,-0.8,0.899181166837257,-0.679020979020979,-0.811384321160949,-0.09245584113701008,-0.6979695431472082,0.8821852016654603,-0.5897640177490924,0.8948380537400145,0.8809883580813194,0.893944030211179,0.6142544211352153,0.1814638220795672,-0.9993998499624906,0.9887043430478222,0,0.17574590594233724,0.6731394598915886,0.8309732688678622,0.9634084354330037,0.5600546014886691,0.5930713071985843,0.4,0.4989445910290238,0.256901050958816,0.7382044492161809,0.7382044492161809,0.7217062107754634,-0.6914054432155007,-0.7120039660689155,0.748663118980937,0.748663118980937,0.4,0.6207293702171292,-0.8991379310344827,-0.5972508591065292,0.5133373702218823
WT1,0.7,0.6,0.254640522875817,0.6,0.7,0.6,0.4,0.5143714930135328,0.6981481481481482,-0.5,-0.595331289239305,0,0.6,-0.5946347099022891,-0.49251112856768786,0.6910112359550562,0.699341021416804,-0.7,0.6,-0.5,-0.590239651416122,-0.03428571428571429,-0.6,0.7,-0.3,0.8,0.7,0.7,0.4450552911927823,0.17527544351073762,-0.8,0.6994981179422836,0,0.16285714285714287,0.4,0.5855440868196815,0.6920375043333031,0.367827868852459,0.3,0.1,0.2,0.19140461215932913,0.4971563981042654,0.4971563981042654,0.4954545454545455,-0.4850231549906395,-0.48972087658592856,0.4984334203655353,0.4984334203655353,0.1,0.442827868852459,-0.8,-0.5,0.363734827264239
U_Kinetochores,-0.2966480446927374,-0.2,-0.003585380904208581,-0.2,-0.2,-0.2949579831932773,0.5087397548531233,-0.3297983034696881,-0.44610780551721196,0.1,-0.33599110739137916,0,-0.37477260477024654,-0.3271803841550013,-0.31369640752241307,-0.4382128700235651,0.2932568978703716,0.1,-0.2,0.29337016574585634,-0.42370635672668505,-0.03235966809890255,0.2,-0.38162815195207056,-0.45944467694068203,-0.29525691699604745,-0.38104313376440924,-0.2958041958041958,0.17032572441560895,-0.217158069232602,0.2,0.2998695841175608,0,-0.21867475275130777,0.5087397548531233,-0.1808652817199079,0.30077304281510175,-0.3345526057030482,0.5207847469821842,0.4379788574035989,0.4932063115137346,0.3271363600317171,0.5460213064322816,0.5460213064322816,0.5237878837277128,-0.6095381467488628,-0.6402555494311688,0.5651637417886746,0.5651637417886746,0.44599351455591735,-0.339027491547797,0.2,0.2,0.2539549866383892
TRIO,0.8,0.7,0.2854368824860628,0.7,0.7,0.8,0.4,0.535984131980378,0.8994069681245367,-0.6,-0.5974485323074428,0,0.8,-0.5969956354634878,-0.4955022439820482,0.5973597359735974,0.6997536945812808,-0.6,0.7,-0.7,-0.5952277009030078,-0.02639344262295082,-0.6,0.9,-0.3,0.8,0.9,0.8,0.46246318640354217,0.2142915493735166,-0.7,0.6998118532455315,0,0.1944262295081967,0.4,0.5906287284038727,0.6950656866166595,0.38040555935292775,0.3,0.1,0.2,0.21254901960784314,0.49874999999999997,0.49874999999999997,0.4979674796747967,-0.491743119266055,-0.4943552482518848,0.49930151338766005,0.49930151338766005,0.1,0.46048524062782814,-0.7,-0.7,0.37660760611580285
TAZ,0.8,0.7,0.2821498189919242,0.7,0.7,0.7,0.4,0.5370372981470861,0.7994113318616629,-0.6,-0.5974776334776335,0,0.7,-0.597060114749383,-0.4955446028672573,0.6972413793103448,0.6997397527651269,-0.7,0.7,-0.6,-0.5952005220692927,-0.02777777777777778,-0.7,0.9,-0.3,0.9,0.8,0.8,0.4623284813491343,0.20994152046783626,-0.7,0.6998012916045703,0,0.18888888888888888,0.4,0.5908286819580649,0.6952841470700962,0.37988030777999426,0.3,0.1,0.2,0.20837320574162677,0.4986425339366516,0.4986425339366516,0.49779249448123625,-0.4915,-0.49417808219178083,0.49923857868020305,0.49923857868020305,0.1,0.4607498729973856,-0.8,-0.6,0.3752993595098858
Stress_Fibers,0.8994285714285715,0.8,0.28642316987728755,0.8,0.8,0.6987748851454824,0.5901615883163729,0.6268013636454779,0.7666548072306238,-0.7,-0.7805200369082531,0,0.68503504847129,-0.7786148412199948,-0.6711387495897719,0.5762453806356246,0.8937072695834534,-0.7,0.8,-0.5964444444444444,-0.7454528043592101,-0.07574028382851912,-0.6,0.7949210335523316,-0.49803278688524594,0.8991902834008098,0.7945479663468171,0.8991041433370661,0.56182193791217,0.1780992053627348,-0.9,0.8944993301248247,0,0.1715392053627348,0.5901615883163729,0.7537687800512054,0.8756243447503049,0.49962848689771766,0.4987179487179487,0.3,0.4,0.23651134920350528,0.6668087875185444,0.6668087875185444,0.6555605771753862,-0.629778246416475,-0.6456723629652489,0.6743328656798562,0.6743328656798562,0.3,0.5645713284872659,-0.8,-0.5,0.47075707086765917
SMAC,-0.6,-0.5,-0.06792397971304256,-0.5,-0.5,-0.6,0.5856104101829427,0.02463819889450864,-0.8,0.4,-0.44441293223902745,0,-0.7,-0.4299255837344873,-0.4219685778793611,-0.8,0.3522043830495998,0.4,-0.5,0.6,-0.6360723794851568,0.01711111111111111,0.5,-0.7,-0.5953171847026596,-0.6,-0.7,-0.6,-0.02349671075147003,-0.055457156477747946,0.5,0.36489684500455133,0,-0.06099461576113557,0.5856104101829427,0.025332414200859715,0.3757610080997012,-0.02090763000578518,0.8972385570099799,0.8,0.8996399639963997,0.7133974267726608,0.6592299547704766,0.6592299547704766,0.660226117821767,-0.7521620278467064,-0.7600599484750801,0.6693499704352011,0.6693499704352011,0.8,0.004357387662059342,0.5,0.5,-0.09367714656067193
Replication,-0.1,0,0.09516256080999136,0,0,-0.1,0.23122944714214172,-0.11894866665433887,-0.23730597211260193,0,0.42408810325476987,0,-0.18095238095238095,0.4059091247687282,0.3327011160118396,-0.23657035848047087,-0.4526689170050043,0,0,0.1,-0.10976253060126595,-0.07682086093501506,0,-0.1826086956521739,-0.2382032691316705,-0.1,-0.1826086956521739,-0.1,0.1657848776558108,0.05387341397472142,0,-0.46644903135287735,0,0.05638345413536398,0.23122944714214172,-0.5269597050880493,-0.5395518895250061,0.02675053204017207,0.27157378116358394,0.23657035848047087,0.2696893295415641,0.08989074167123758,0.18872543842198958,0.18872543842198958,0.16497274050281946,-0.20148455765395049,-0.232751610811658,0.22747674923780417,0.22747674923780417,0.2420359032894054,0.00372281349006546,0,0,0.2456918328808247
Rac1,0.9,0.8,0.3193947279193181,0.8,0.8,0.9,0.49930151338766005,0.6078686062104721,0.8970092615829678,-0.7,-0.6944017423183241,0,0.8994069681245367,-0.6936562671271369,-0.5907852628499727,0.6865106793698238,0.7990251669739188,-0.7,0.8,-0.8,-0.6868486875905567,-0.04558536181487001,-0.7,0.9998236720299758,-0.4,0.9,0.99980893240984,0.9,0.5365227475320689,0.22748436748436748,-0.8,0.7991978181578122,0,0.2142915493735166,0.49930151338766005,0.6834062111441808,0.7914286447440493,0.46048524062782814,0.4,0.2,0.3,0.2467425679949399,0.5940962603878116,0.5940962603878116,0.5911036993157682,-0.5789226064455422,-0.5849852967171514,0.5960469846802605,0.5960469846802605,0.2,0.535984131980378,-0.8,-0.8,0.44912907371923766
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
