Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
SNAI1,0.8987683620004023,0.899479938797537,0.7,0.6,0.24417910447761196,0.9999287580147234,0.6,0.7,0.7,0.8981593990661925,0.8997169859384782,0.4721650146287651,0.8999596204320615,-0.4995695839311335,0,0.8,-0.4994713656387665,-0.3989169675090253,0.8876677756026939,0.7,0.6,-0.7,-0.8996996555410449,-0.9998019150482538,-0.7,0.8997403724670141,-0.6,0.8,0.7,0.8,0.3864489062031765,0.20029850746268657,-0.8999179094267342,-0.9996264062779281,0.6,0.16,0.49720895612228266,0.5989694019982005,0.2948717948717949,0.8976779455189539,0.38533115882939206,-0.8,-0.6,0.29402985074626864
Replication,0.23480249241761655,0.14783751377276558,-0.11495726495726497,-0.11111111111111112,0.09516256080999136,0.20242621763534313,-0.11111111111111112,0,-0.12666666666666665,0.3494493358878866,0.22417983840817515,-0.11649649414305478,-0.07882716891861154,0.5085309742750688,0,-0.09019607843137255,0.49931252839570794,0.4859241777777874,0.39769932076568226,0.12727272727272726,-0.48209374999999993,-0.12727272727272726,-0.2293990745381179,0.12422119672091345,0.1,0.060455169919298654,0.06666666666666668,-0.12412186379928314,-0.10263157894736843,-0.12244131455399061,0.1662025705270213,0.05387341397472142,-0.2211683848797251,-0.25426925550858914,-0.49114718614718617,0.05638345413536398,-0.5389496554847938,-0.5638928642153241,0.02675053204017207,0.3747784484685893,0.004720294459178551,-0.15709728867623604,0.12,0.2456918328808247
Rac1,0.6073226436151558,0.6428611289594358,0.8998033431661749,0.8,0.3195490320187731,0.7777474889062177,0.8,0.7998163452708907,0.8997883597883598,0.5883889427925482,0.763103326524101,0.6088111596501876,0.8930276619569305,-0.6945855757556061,0,0.8974289040252443,-0.6938879421928813,-0.5911768897324451,0.3120259540298035,0.6995930824008139,0.7990703466910904,-0.6995930824008139,-0.6570731876608189,-0.769490647032742,-0.7994535519125683,0.6610427364411191,-0.7,0.9989772968781365,0.8997873094647287,0.9989063700194413,0.5368517648841085,0.2276871880028001,-0.788373901562459,-0.7526153682501899,0.7992328169761393,0.2142915493735166,0.6856475808960496,0.7916761723337128,0.460603579154908,0.5626732208829088,0.5363844010727161,-0.7983079961647638,-0.8,0.44919327589773433
pRB,0.3317150419925075,0.22297405163845258,-0.10411184275855714,-0.11314304144492823,-0.25662608363012135,0.27912915902258406,-0.11314304144492823,0.025636194921688272,-0.12820586237909073,0.494356990735586,0.30408923302826635,-0.6332628822869272,-0.06585745983549815,0.8574539600783233,0,-0.08134206000503756,0.8542276183557649,0.8488722869220963,0.6207911546039109,0.18911483253588518,-0.9717384840098535,-0.18911483253588518,-0.3119801697482814,0.1341794086268218,0.09434654430997029,0.10634683077588873,0.047559523809523815,-0.1200073572342738,-0.09303862092031304,-0.11785848617805599,-0.5724539800710752,-0.14486945491067754,-0.3046805151119248,-0.34906363177009064,-0.9747195225865564,-0.14031937495719596,-0.9327693576455143,-0.9418895401835133,-0.5239015211004845,0.539388431995012,-0.579671509284809,-0.21428261777078453,0.11565217391304347,-0.47476044199636414
Plk1_H,0.16,0.03333333333333333,0,0,-0.0944132765298827,0,0,0,0,0.2,0.1,0.27596556913045034,-0.1,0.2875,1,0,0.284,0.28181818181818186,0.26666666666666666,0,-0.2,0,-0.1,0.16,0,0,0,0,0,0,-0.22061348631459193,0.3722140486255043,0,-0.1,-0.2,0.38219653549065313,-0.346524064171123,-0.3552795031055901,0.29116541353383457,0.2,0.28127530364372466,0,0,-0.2581786755289478
PAK1,0.7691343294797142,0.7796121429623015,0.899781838014726,0.8,0.3009402203525367,0.8915781231958475,0.8,0.8997913406364111,0.6997714285714285,0.759057539512036,0.8858799278377749,0.5958711971176893,0.8955341534276655,-0.6929783849444333,0,0.7981248763536586,-0.6921626661513144,-0.5888516710650407,0.6422905698383464,0.5995375722543352,0.798742106161461,-0.5995375722543352,-0.78482771643482,-0.8886068027269829,-0.7995337995337995,0.7865390635840004,-0.7,0.7990475487999836,0.7997615736141467,0.7989950572634117,0.5249349374357679,0.20700386449057911,-0.7929646560277529,-0.8832149592360248,0.7989472310362596,0.19650058221486794,0.6827242859535115,0.7899726263689179,0.45112996172536873,0.7492569476956129,0.5245857213247009,-0.698393561487175,-0.8,0.4389497120037914
p27Kip1,0.3096417882029987,0.2178128714602452,-0.09144553053593234,-0.10375021803593235,-0.2599765582379801,0.26521347148401925,-0.10375021803593235,0.02911631282888768,-0.10873115081404724,0.4508978774970557,0.2896825406085403,-0.6317525420214682,-0.03806573664994745,0.9564155113036181,0,-0.05583185359147669,0.8529927808619739,0.8480737064252676,0.5641198345761163,0.1787624140565317,-0.866762942162192,-0.1787624140565317,-0.2969199129105514,0.08458179655497164,0.07167487684729064,0.11590148685477693,0.036775362318840585,-0.09769820471767787,-0.07878838590912894,-0.09516237757984651,-0.5720057700744009,-0.14983701879684264,-0.2846774953323674,-0.3278079886816264,-0.870395782727423,-0.1451081916528405,-0.9313772246125067,-0.8386944713101114,-0.5228431541564665,0.4956500366849528,-0.5784633796930253,-0.20188677171326347,0.09796451914098972,-0.47612609136532075
p21,-0.830650232029088,-0.846516532855133,-0.6955001967585789,-0.5984298331697743,-0.2612900621987496,-0.6680202951526166,-0.5984298331697743,-0.595785944551902,-0.6952029575238821,-0.712479492782286,-0.7574222983935519,-0.5583031855742494,-0.8781363372480847,0.8872538138531161,0,-0.7859969024866098,0.8858479785633732,0.6815960716653635,-0.6512667243186943,-0.49262079831932776,-0.7966764543041052,0.49262079831932776,0.7554322737248901,0.9637186266986173,0.6924729965923523,-0.8596784963505453,0.5969924812030075,-0.7906818856167941,-0.6951535229030936,-0.790408041290491,-0.49414857100710696,-0.16455973933925802,0.6704301060946056,0.7525224807594476,-0.7971942864542217,-0.15993340481968507,-0.7730556615326736,-0.9822285598415164,-0.4271157274098451,-0.6963257966369009,-0.49309652302027035,0.587218637454982,0.5981693363844394,-0.41535169738578065
N_bcatenin_H,0.9996816898465901,0.8999242961911522,0.6,0.5,0.18333333333333335,0.8,0.5,0.6,0.6,0.9995076545298603,0.8999657797929677,0.38917009662258806,0.8,-0.4,0,0.7,-0.4,-0.3,0.7951596647092538,0.6,0.5,-0.6,-0.8999637582676453,-0.899977645513734,-0.6,0.8999687108886107,-0.5,0.7,0.6,0.7,0.29701492537313434,0.16666666666666666,-0.8,-0.8999497834410898,0.5,0.1,0.3993254637436762,0.4997990959316926,0.2,0.9993783968617101,0.2964912280701754,-0.7,-0.5,0.2
N_bcatenin,0.8998391553662708,0.8999734554383171,0.6,0.5,0.18888888888888888,0.7,0.5,0.6,0.5,0.9997507344379958,0.7999880103111324,0.393117306540688,0.7,-0.4,0,0.6,-0.4,-0.3,0.7970055916257102,0.6,0.5,-0.6,-0.7999873184959736,-0.7999921761921527,-0.5,0.7999890470974809,-0.5,0.6,0.6,0.6,0.29844961240310075,0.17777777777777776,-0.8,-0.8999824137173006,0.5,0.1,0.3996974281391831,0.4999181669394435,0.2,0.8996854633406507,0.2982300884955752,-0.7,-0.4,0.2
Myc,-0.3328139110528244,-0.19396192660175943,0.1365750528541226,0.1383838383838384,0.2669326051932715,-0.2665677814624554,0.1383838383838384,-0.009195402298850575,0.16613011401743796,-0.47510828570568703,-0.2934316151195487,0.6419189597288785,0.12419907844600916,-0.8605156103979376,0,0.13578766597682987,-0.8574524855910252,-0.7516086595590836,-0.5830281395336547,-0.18401606425702813,0.8780495985461163,0.18401606425702813,0.3001643817312477,-0.19386100045407445,-0.14321124676285607,-0.07605945022877937,-0.09387755102040816,0.16474758985705446,0.13222127780138831,0.1626465074600609,0.5811327415688889,0.15401714657785207,0.29621950418683735,0.33907323295755776,0.9803430863557017,0.14965849153426553,0.8362745062175503,0.9472245832339334,0.5315112455459465,-0.5144344433032441,0.5876947561842444,0.211467044649185,-0.15238095238095237,0.48402394963738216
Mst1_2,0.1041804319444071,-0.0800993600993601,-0.8988779803646564,-0.8,-0.2807859689122921,-0.21516725913772672,-0.8,-0.7989821882951654,-0.69875,-0.04048041257072008,-0.264077114152069,-0.5726959357474563,-0.666048959918823,0.6896677458520101,0,-0.5857407407407408,0.6884307483069094,0.5849712192569336,0.33088804564712665,-0.5977142857142856,-0.7974767280649634,0.5977142857142856,0.09869654637924778,0.3291641076049866,0.4962962962962963,-0.0831747366557493,0.6,-0.6947747957475584,-0.7987679671457906,-0.7943612852664577,-0.5080423092291959,-0.18529775799359427,0.7438090344679941,0.09121515182719822,-0.7979079474082804,-0.17887573964497042,-0.6768972892958441,-0.7845424323812644,-0.43870338660578384,0.14108020685448505,-0.5068789695961817,0.6918319327731093,0.5,-0.4272274396974468
miR_34,-0.8965645023540713,-0.7981671210307351,-0.8,-0.7,-0.2939220779220779,-0.9995395366455322,-0.7,-0.7,-0.8,-0.8950626445035992,-0.8988831744400821,-0.551201920488958,-0.8997375061336037,0.5984343553459119,0,-0.7999378109452737,0.5982031250000001,0.496805248276628,-0.8732625083450223,-0.6,-0.6999011369253584,0.6,0.8988118784912652,0.8991625200548589,0.7,-0.7989639810599551,0.6,-0.8999675113710202,-0.8,-0.8999660239531131,-0.4701437641271108,-0.2256796536796537,0.7995361583965125,0.8986043213068433,-0.6999216761308008,-0.1993939393939394,-0.5938912468551638,-0.6973777638134349,-0.38421052631578945,-0.8937940407015115,-0.46918320391141793,0.6999304952215465,0.7,-0.3796536796536797
miR_200,-0.9980408416609141,-0.9990153834811173,-0.8,-0.7,-0.3033955627705628,-0.799769394330838,-0.7,-0.7,-0.8,-0.8971513617201726,-0.8994088370801183,-0.5599786413627454,-0.9998659134368963,0.5989167377772485,0,-0.8999700822737472,0.598762610484332,0.49760748157694723,-0.983242495673521,-0.6,-0.6999441808540329,0.6,0.8993722707961818,0.9995613041998158,0.8,-0.999453825257506,0.7,-0.8999840140676205,-0.8,-0.8999833020246296,-0.4756552807922671,-0.23892253579753575,0.7997611319129605,0.8992569242563192,-0.6999554962171785,-0.20722610722610718,-0.5953763347674872,-0.6982033404292727,-0.3872340425531915,-0.8964164614013808,-0.475045676902222,0.6999656239257477,0.7,-0.38281822344322347
Merlin,-0.128382475676881,-0.30823922080583804,-0.9973301707367256,-0.8994425087108014,-0.32062997575560204,-0.5396909542070832,-0.8994425087108014,-0.9976282760432003,-0.796976473831182,-0.17449903930633542,-0.4993435102343999,-0.6543992067126613,-0.8607606377211428,0.7867078438813093,0,-0.7801852952553892,0.7854119004687783,0.6808717156319539,0.2671523517776242,-0.6955168968023255,-0.8960762543987922,0.6955168968023255,0.3482281831514734,0.5340640212765556,0.6922206934854777,-0.3621427697312055,0.798598949211909,-0.8918261050302055,-0.897138590916273,-0.8913128185149903,-0.5863224646917744,-0.2118072087369828,0.8399211142813003,0.43458920641341636,-0.8966089977619257,-0.2041517063446383,-0.7725335232121289,-0.881789765021123,-0.5201434296106319,-0.06278067973733518,-0.5884367850007615,0.7888189731586551,0.8990654205607477,-0.49511013509925983
LEF1,0.999646227073882,0.8999109131403118,0.6,0.5,0.18222222222222223,0.8,0.5,0.6,0.6,0.9994526495250717,0.8999597545024651,0.38827922715248503,0.8,-0.4,0,0.7,-0.4,-0.3,0.7948044334579307,0.6,0.5,-0.6,-0.8999573765251212,-0.8999736980536559,-0.6,0.8999631913131498,-0.5,0.7,0.6,0.7,0.2966666666666667,0.16444444444444445,-0.8,-0.8999409201683776,0.5,0.1,0.39922928709055877,0.499767644496079,0.2,0.899309086233288,0.2960591133004926,-0.7,-0.5,0.2
Lats1_2,0.09863172664231092,-0.0929582864414325,-0.9950113781413601,-0.8988779803646564,-0.2999669133335207,-0.2362017418963474,-0.8988779803646564,-0.8955649221081151,-0.7943612852664577,-0.03982000242125884,-0.28568795944712483,-0.6363932414068607,-0.7364634676908437,0.7833775959590764,0,-0.666048959918823,0.7818191780589755,0.6768972892958441,0.3631528906287346,-0.6918319327731093,-0.8944820351157595,0.6918319327731093,0.1119040935490591,0.36201816943101106,0.5857407407407408,-0.10365940155540851,0.5971731448763251,-0.7856105492164194,-0.8946820945696132,-0.8847359844758079,-0.5703675080227247,-0.19177498323387843,0.8039697692555945,0.10209277852682738,-0.8952064098310423,-0.18529775799359427,-0.767456144176307,-0.8774133043015858,-0.5068789695961817,0.15173084920840135,-0.5726959357474563,0.7807133795246163,0.5980487804878049,-0.48034068666777696
IQGAP1_LeadingE,0.4209954359814292,0.49530816115679377,0.8997474747474747,0.8,0.3124363192363192,0.5577466272132637,0.8,0.7997682502896871,0.7997226074895978,0.516406302536494,0.6356334445209484,0.6066298194907155,0.8907873657258849,-0.6943278111873911,0,0.7965340269966255,-0.6936330063477307,-0.5907963774025266,0.11526940372246766,0.7994811932555124,0.7989643972523057,-0.7994811932555124,-0.5189112443167223,-0.5442481150137778,-0.6992125984251969,0.42294244834154987,-0.7,0.8987321561464041,0.9997244546498278,0.898633076461649,0.5342961353958133,0.21925391433962865,-0.784547263341017,-0.5119746420527271,0.7991416602826958,0.20552478632478635,0.685228029066751,0.7914228456542562,0.45832002214980944,0.36735807610461524,0.5341888746088258,-0.897970753450981,-0.6,0.4455217924932211
Horizontal_Pol,0.6013661882782312,0.6398991760009894,0.8997896397580858,0.8,0.3170937361618983,0.6761601451662304,0.8,0.7998056365403304,0.7997707736389684,0.6834066007664956,0.6611837205196658,0.6099372464104172,0.8929881168707572,-0.6947169482955281,0,0.7973804153063769,-0.6940500093956957,-0.5913498545965014,0.29991755413168475,0.7995698924731183,0.7990757775794821,-0.7995698924731183,-0.6541676199993974,-0.6675505734916513,-0.6993957703927492,0.55823173059271,-0.8,0.9989668640329066,0.8997719931597947,0.8988965813166576,0.537275402792871,0.2241779311667146,-0.7883635786007213,-0.6497244855233779,0.7992326749831727,0.20994152046783626,0.6859270256241843,0.7919054492227436,0.4607498729973856,0.5573388721630563,0.537093959018891,-0.8983235581622679,-0.7,0.4482070385435355
FocalAdhesions,0.259223732790477,0.38443308087870426,0.9980913047236999,0.8995719636169074,0.3223131433808487,0.5853899542259993,0.8995719636169074,0.8983079850336487,0.8978349169163818,0.37012753824521827,0.6532771850768152,0.6633218948219828,0.9720864679755807,-0.7883237448933289,0,0.8859869284009261,-0.787227034259647,-0.6826261491821671,-0.08919888920755811,0.7968498723078586,0.8967582294370506,-0.7968498723078586,-0.5153514738643461,-0.571432977957406,-0.7944543881629975,0.42388220515370245,-0.6989347536617843,0.9942499687268702,0.9979574645371825,0.8938868368731152,0.5924539807992037,0.21173533355636248,-0.8575856364721819,-0.505030286475178,0.8971857448583187,0.20221756705890054,0.7751331389305361,0.8843016054848402,0.5245953836408858,0.29900127504679774,0.5952511213458038,-0.892239667697654,-0.6992805755395683,0.49727477926719554
f4N_DNA,-0.23252834346234494,-0.12586063266914332,0.12,0.1,0.06253255523001075,-0.18670886075949367,0.1,0,0.13333333333333333,-0.33288961038961035,-0.21258620689655175,-0.1662025705270213,0.1158725182863114,-0.45568132783794113,0,0.12344827586206897,-0.44476051470464883,-0.4328730904817862,-0.3722670240046066,-0.1,0.42652906930797396,0.1,0.2166968325791855,-0.1647674418604651,-0.12,-0.03870424975427724,-0.1,0.14684684684684685,0.11428571428571428,0.14444444444444443,0.03189909531325482,0.023775147594032438,0.20649350649350645,0.24187099207846097,0.43449807362020143,0.026215935878248674,0.4815836922009839,0.5061110078080528,-0.19216340371838095,-0.355301835220617,-0.18102803253934163,0.13846153846153847,-0.1,0.20876247391894415
Ect2,0.18333333333333332,0.07333333333333333,0,0,-0.06423750835950522,0.1,0,0,0,0.2571428571428571,0.15,0.19216340371838095,-0.12,0.3469922572960095,0,-0.1,0.3377777777777778,0.33152173913043476,0.29841269841269835,0,-0.28823529411764703,0,-0.15,0.16999999999999998,0,0.00909090909090909,0,-0.1,0,-0.1,-0.13160515463756065,-0.03155109319699013,-0.1,-0.16363636363636364,-0.2906976744186046,0.06649712723929001,-0.38287309048178614,-0.39869047619047615,0.19840861444635027,0.2692307692307693,0.19618639222412806,0,0,-0.20311067490986848
Ecadherin_mRNA_H,-0.5922233443222701,-0.6283369439729916,-0.7993962264150943,-0.7,-0.28143790849673206,-0.4670725048006659,-0.7,-0.7994444444444444,-0.6993388429752067,-0.6664154341928367,-0.5496479509482606,-0.583305562310034,-0.7871129812180774,0.6912706216687505,0,-0.6943779384830346,0.6902778723731476,0.5867160286503059,-0.25490735856343927,-0.7987804878048781,-0.7980498847106748,0.7987804878048781,0.5438104893618434,0.5591666984591741,0.5984063745019921,-0.5497005452318444,0.7,-0.7975266175266176,-0.8993402968664101,-0.7973699310581082,-0.5143285202636194,-0.18475256769374418,0.7796734735909536,0.6390729539122085,-0.7983580672137885,-0.17527544351073762,-0.6797571493010064,-0.7873997129885629,-0.442827868852459,-0.5394739784528527,-0.5144096382894563,0.8961110832874242,0.6,-0.42811391223155926
Ecadherin_mRNA,-0.5207409322619686,-0.5522144949933996,-0.7,-0.6,-0.254640522875817,-0.38327876631079477,-0.6,-0.7,-0.6,-0.5997641639849844,-0.4689756820406975,-0.5144096382894563,-0.6943779384830346,0.5953198475520376,0,-0.5984063745019921,0.5946189576444654,0.49243031436459167,-0.22401342618733922,-0.7,-0.6993537964458805,0.7,0.46489018087855294,0.4761918423549633,0.5,-0.4689637498479119,0.6,-0.6993939393939395,-0.8,-0.6993388429752067,-0.4450552911927823,-0.17527544351073762,0.7899376245343499,0.5611062518222333,-0.6995061728395061,-0.16285714285714287,-0.5867160286503059,-0.6920845717183384,-0.367827868852459,-0.47854268941253475,-0.442827868852459,0.7987804878048781,0.5,-0.363734827264239
E2F1,-0.32595847117694265,-0.21900329032095422,0.10374192644170768,0.11278838120943384,0.23940692103940045,-0.27624891598822476,0.11278838120943384,-0.025550869941631527,0.12739583333333332,-0.484711412893188,-0.30043804621532866,0.6359772008830289,0.06555712221195176,-0.825815256644822,0,0.08068247040136681,-0.8212576112556524,-0.8126374125752174,-0.6008085896972735,-0.18820242377676108,0.9496826914192518,0.18820242377676108,0.30814012267882895,-0.13267482449083964,-0.09351432880844644,-0.10453150006271576,-0.04703933747412009,0.11922208162249308,0.09259218098969162,0.11708881578947368,0.5762042756977953,0.13392265594288252,0.3014069055795675,0.3444357139293147,0.9537599059236055,0.12979808682366228,0.8920222446954333,0.9064968918247411,0.5355485851229679,-0.5278993202185425,0.586628518665519,0.21289070307850672,-0.11496402877697842,0.4710308942161786
Cytokinesis,0.2086345381526104,0.10099290780141845,-0.1,0,-0.06464790507633147,0.15,0,0,-0.1,0.2989610389610389,0.185,0.18102803253934163,-0.12344827586206897,0.4025478128515651,0,-0.12,0.39196772191185597,0.38287309048178614,0.3356676003734827,0,-0.36237322515212983,0,-0.18846153846153846,0.16999999999999998,0.1,0.022816399286987525,0,-0.13333333333333333,-0.1,-0.13333333333333333,-0.12889773105677463,-0.026215935878248674,-0.16363636363636364,-0.20909090909090908,-0.368031007751938,-0.03155109319699013,-0.4328730904817862,-0.4533732556466695,0.19618639222412806,0.31723076923076926,0.19216340371838095,-0.1,0,-0.20744264025414574
CyclinE,-0.2894372872623879,-0.24282594482099013,0.05319851125165931,0.07108977978543196,0.20915019035517296,-0.2718435438089279,0.07108977978543196,-0.052193728034040064,0.05834168339262158,-0.4326817823387531,-0.29477179816204746,0.6175901291207426,-0.033736954092385876,-0.913038645884616,0,-0.01254490111225342,-0.808387418343426,-0.8066328182085261,-0.4319164317049295,-0.18074906674099944,0.8101923058997873,0.18074906674099944,0.30173640203373175,0.012454167346096435,-0.007612756545404237,-0.1521008588370679,0.006967512178254351,0.042387213408247415,0.03361294864679165,0.039723575836460925,0.5548319255766678,0.1024106193083262,0.28148150343527867,0.32385424858124207,0.8176826270160875,0.09885928998560158,0.7811481212203539,0.7794858881577637,0.521104922745239,-0.47178087275634617,0.5706603465745218,0.20270558848012987,-0.04882063564744695,0.44563343414343476
