Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8988547893534019,0.8995265103463537,0.7,0.6,0.2459033772527639,0.8999367788841474,0.6,0.7,0.7,0.8982862850598214,0.9997433353393903,0.47337620591186236,0.8999641352102573,-0.4996084828711256,0,0.8,-0.499519615692554,-0.3990082644628099,0.8883070370172239,0.7,0.6,-0.7,-0.9997276270642571,-0.9998205908151053,-0.7,0.9997646258167572,-0.6,0.8,0.7,0.8,0.38720677540993464,0.2030743601393306,-0.899927122555569,-0.9996603925200231,0.6,0.16129032258064516,0.4973804435231132,0.5990428379236665,0.29523809523809524,0.8978375886714774,0.3861619201975766,-0.8,-0.6,0.2943661971830986
ZEB1,0.9989958149227538,0.8996005700898053,0.7,0.6,0.24956605593056894,0.8999505989872792,0.6,0.7,0.7,0.8984920628510741,0.9997860733959409,0.4754855056882053,0.8999719173433807,-0.499680170575693,0,0.8,-0.4996084828711256,-0.3991792065663475,0.8893577467199367,0.7,0.6,-0.7,-0.9997730195613412,-0.9998510926172173,-0.7,0.9998039067780521,-0.6,0.8,0.7,0.8,0.3885648787221455,0.20896817743490836,-0.8999429576460521,-0.9997150529233771,0.6,0.16470588235294117,0.4976677192628408,0.5991657895008752,0.295945945945946,0.8980967793882717,0.38760139682077777,-0.8,-0.6,0.29508196721311475
YAP,-0.1592722553977713,0.02268694910140053,0.8774557169172212,0.8912672166208371,0.29949671579952997,0.15449229231088815,0.8912672166208371,0.7796172179621446,0.7750004025871349,-0.08527941133982225,0.17060413397365254,0.681946323015503,0.7554186063773523,-0.871842636734957,0,0.7064477136724442,-0.8696827978683845,-0.7631960879716492,-0.4454676655668992,0.7685868485816674,0.9873576351514608,-0.7685868485816674,-0.02778519234378442,-0.3372707781392485,-0.6471916583091224,0.06802194602250236,-0.6819360293081583,0.8526677479233262,0.8765595403710608,0.8502896749934891,0.6152027405320958,0.18153102990927938,-0.7954235920164013,-0.009753434920583065,0.9886974639990269,0.17574590594233724,0.8512637140719705,0.9635896543996945,0.5604363848143776,-0.2464252942838895,0.6221494155610834,-0.842685336367631,-0.5843560933448574,0.5134293770945291
WT1,0.5207409322619686,0.5522144949933996,0.7,0.6,0.254640522875817,0.38327876631079477,0.6,0.7,0.6,0.5997641639849844,0.4689756820406975,0.5144096382894563,0.6943779384830346,-0.5953198475520376,0,0.5984063745019921,-0.5946189576444654,-0.49243031436459167,0.22401342618733922,0.7,0.6993537964458805,-0.7,-0.46489018087855294,-0.4761918423549633,-0.5,0.4689637498479119,-0.6,0.6993939393939395,0.8,0.6993388429752067,0.4450552911927823,0.17527544351073762,-0.7899376245343499,-0.5611062518222333,0.6995061728395061,0.16285714285714287,0.5867160286503059,0.6920845717183384,0.367827868852459,0.47854268941253475,0.442827868852459,-0.7987804878048781,-0.5,0.363734827264239
U_Kinetochores,-0.16666666666666666,-0.03333333333333333,0,0,0.0019679464507418873,0,0,0,0,-0.2,-0.1,-0.25234399563876647,0.1,-0.2822222222222222,0,0,-0.2777777777777778,-0.275,-0.2647058823529412,0,0.2,0,0.1,-0.16666666666666666,0,0,0,0,0,0,0.20311067490986848,-0.2123790072600124,0,0.1,0.2,-0.21703532655047802,0.32772727272727276,0.3383333333333333,-0.27878787878787875,-0.2,-0.2626306735477041,0,0,0.2600929480196952
Twist,0.8990010305218158,0.8995756670058928,0.7,0.6,0.24272689598010774,0.6999394673123487,0.6,0.7,0.7,0.9985070357260601,0.7997672777345561,0.47326733152643385,0.8999653033785835,-0.4995791688584955,0,0.8,-0.4994865211810013,-0.3989041095890411,0.889826063862254,0.7,0.6,-0.7,-0.799753291674153,-0.9998370172984294,-0.7,0.899786782272885,-0.6,0.8,0.7,0.8,0.38645389383959705,0.1980522171570659,-0.8999295278365047,-0.9996944191194304,0.6,0.15789473684210525,0.49735464594184203,0.5990656692795299,0.2945945945945946,0.898117009258723,0.3854793130932541,-0.8,-0.6,0.2937007874015748
TRIO,0.5348813498623866,0.5647473780595078,0.8,0.7,0.2854368824860628,0.6903772466916848,0.7,0.7,0.8,0.5206281232232401,0.6795199574713792,0.5363844010727161,0.8974289040252443,-0.5974716672508471,0,0.7994535519125683,-0.5970259759565357,-0.49549602590521047,0.2850049807046151,0.6,0.6997628927089508,-0.6,-0.5756223600074596,-0.6836625309257414,-0.7,0.5778902157008511,-0.6,0.8998012916045702,0.8,0.8997883597883598,0.4625505226480836,0.2142915493735166,-0.6951722746013898,-0.6721892697149037,0.6998182644252612,0.1944262295081967,0.5911768897324451,0.6951742439096389,0.38040555935292775,0.5013395429299494,0.460603579154908,-0.6995930824008139,-0.7,0.37660760611580285
TAZ,0.5304840380370182,0.5628152618666153,0.8,0.7,0.2821498189919242,0.5893447293447294,0.7,0.7,0.7,0.6172549831904455,0.5782526431372323,0.537093959018891,0.7973804153063769,-0.5974776334776335,0,0.6993957703927492,-0.597060114749383,-0.4955192357039932,0.27616755413168476,0.7,0.6997437540038437,-0.7,-0.5735922853369081,-0.5823580104106421,-0.6,0.4759463014509935,-0.7,0.8997871208089409,0.9,0.7997707736389684,0.4623284813491343,0.20994152046783626,-0.6950971493355869,-0.5702373060361985,0.6998040176384126,0.18888888888888888,0.5913498545965014,0.6953159714589611,0.37988030777999426,0.4979358870884294,0.4607498729973856,-0.7995698924731183,-0.6,0.3752993595098858
Stress_Fibers,-0.08853027765555141,0.09018792715622267,0.8938110614239237,0.7985046728971963,0.28642316987728755,0.21154206510156545,0.7985046728971963,0.7944771485801237,0.6930344827586207,0.032427062847000865,0.2235416871965167,0.6281318093973336,0.7288841496881999,-0.7818191780589755,0,0.6606931611206142,-0.7801823397898938,-0.6749243191604773,-0.35465337813037345,0.6901122019635343,0.8936844439075038,-0.6901122019635343,-0.10401765098855935,-0.35143764609650824,-0.5828150572831424,0.10379625534424297,-0.5962962962962963,0.7829794033597703,0.8934442265691012,0.7819538966780346,0.5620518236683716,0.1780992053627348,-0.7942316259788083,-0.09614275043630667,0.8944820351157595,0.1715392053627348,0.7651604135982525,0.8756406466735138,0.49962848689771766,-0.15269204698825928,0.5649312692217766,-0.777623352721786,-0.49724137931034484,0.47075707086765917
SNAI2,0.9994347975317817,0.99980276786003075,0.7,0.6,0.2583638583638584,0.7999796603274687,0.6,0.7,0.6,0.9991437919704105,0.899896958281286,0.4820128666122289,0.7999882656653368,-0.49983305509181974,0,0.7,-0.49979828542612204,-0.3995381062355658,0.7931185783087608,0.7,0.6,-0.7,-0.8998908146806464,-0.8999290431162302,-0.6,0.8999057458196479,-0.6,0.7,0.7,0.7,0.3920602093682707,0.22356532356532358,-0.8999762003926935,-0.9998609669200548,0.6,0.17142857142857143,0.4984974250624343,0.5995129191069959,0.2974025974025974,0.9989190351274454,0.3914529406520253,-0.8,-0.5,0.2965811965811966
