Source,YAP,WT1,Wee1,UbcH10,TRIO,TAZ,Stress_Fibers,SMAC,Rac1,PTEN_c,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin,Myc,Mst1_2,miR_29c,Merlin,MCL_1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,FocalAdhesions,Fast_Migration,Emi1,Ecadherin_mRNA_H,E2F1,DR4_5,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
YAP,0.8949964626525528,0.899181166837257,-0.4941674468290064,0.35191089765364353,0.899181166837257,0.7989225589225589,0.7904639878149812,0.26933660879244414,0.7840385623789449,-0.8,-0.5995805740923422,0.6192493518859823,0.421100768114565,0.73756520814697,-0.587623391098585,-0.5839510510145525,0.5185154678814875,0.684737621480341,-0.8,0.899181166837257,-0.6743818171435099,-0.47074959858154974,-0.6979695431472082,0.8753236117470701,-0.2629441400967125,0.8936297204066811,0.7310629839768674,0.8736307421548023,0.8926514290422005,0.029886635312561128,-0.9993998499624906,0.4663635126305081,0,0.26933660879244414,0.6030793678388807,0.7324970196594622,0.44849424774528457,0.6375142647929446,0.2794979583533811,0.5482079799745826,-0.4044066920819983,0.5593937993871231,0.7072068629764322,0.5962782132565476,-0.13228789390939905,0.28273260724245797,0.25708516661914116,0.27879203118314855,-0.4983920295367906,0.2515350796549044,0.2515350796549044,0.1890538925522732,-0.0690212862477387,-0.09675162418252499,0.27388189141556635,0.27388189141556635,0.26414466381584933,-0.8991379310344827,-0.5972508591065292
WT1,0.7,0.6,-0.4110200866035744,0.30666613651688274,0.6,0.7,0.6,0.2437045541523153,0.6981481481481482,-0.5,-0.5275463105157318,0.5272095162470913,0.3347547497131985,0.6,-0.5168803878465662,-0.4628134556574923,0.6910112359550562,0.6234384662956092,-0.7,0.6,-0.5,-0.43608985953864365,-0.6,0.7,-0.21293532338308455,0.8,0.6369040636798877,0.7,0.7,0.10835398233136044,-0.8,0.48273230395111727,0,0.2437045541523153,0.5244162716849572,0.6445791477189207,0.4208060015656823,0.5365499314258206,0.2720224206448422,0.4371935987509758,-0.353254020751935,0.4454666910783878,0.5714888190837557,0.51653079849665,-0.14889195171333067,0.2198480531813865,0.1,0.17037037037037037,-0.41319449065140723,0.24161807139128913,0.24161807139128913,0.19527560438372452,-0.0725104929235614,-0.09667819429816478,0.26211154783857077,0.26211154783857077,0.1,-0.8,-0.5
Wee1,0.03683168316831683,0.02,0.299638923349663,-0.031428376403139835,0.02,0.02,0.036049382716049384,-0.05958763955049888,0.06048030155100496,0,0.12894733673779898,-0.4107799531575484,-0.31949467515668994,0.05019036408653651,0.266551718740731,0.2605069496965808,0.059863114181038526,-0.15275905170999116,0,0.02,-0.03549295774647887,0.17941550693201666,-0.02,0.051227954144620814,0.059392476472230685,0.036049382716049384,-0.32826899739966264,0.05111787586673431,0.036483516483516484,0.3176726207459489,-0.02,-0.08171046837975773,0,-0.05958763955049888,-0.25819288531588913,-0.17826983608832994,-0.016579153953883662,-0.299951614119617,0.05721980860515933,-0.4632446794196743,0.14550290566423235,-0.36596886282587743,-0.327111758373595,-0.2928822907280131,-0.01096304674823276,-0.06557192549356641,-0.059863114181038526,-0.06566351944952889,0.31384883205852854,-0.058805559964012585,-0.058805559964012585,-0.012839985340654097,0.02438797267597115,0.03399474569064174,-0.05953034309007915,-0.05953034309007915,-0.061384987990904916,-0.02,-0.02
UbcH10,-0.1,0,0.4573480823038946,-0.07678678771562097,0,0,-0.1,0.14075525837589403,-0.16003165809259992,0,0.342660345851702,-0.4616002384458794,-0.2435353665519732,-0.14285714285714285,0.3794946547397068,0.15999356194169187,-0.15933758978451715,-0.07729725299577521,0,0,0.1,0.01699235044294799,0,-0.1463917525773196,-0.14291858558911347,-0.1,-0.44516652628134257,-0.1463917525773196,-0.1,0.22103734841274214,0,0.1551642750567387,0,0.14075525837589403,-0.17118951716383463,-0.07939980332139042,-0.2493362506955264,-0.23104143157281806,-0.3064757803197648,-0.44965281361028425,0.3527589058597183,-0.4415739721354897,-0.4373725935886748,-0.36919849222071477,0.13044770749888848,0.15694532437857273,0.15933758978451715,0.1640051371204925,0.3169734516733201,0.11055840726659534,0.11055840726659534,0.14453279207186426,-0.14353667296180722,-0.1506232280918539,0.1394784088690078,0.1394784088690078,0.1658465233332056,0,0
TRIO,0.8,0.7,-0.43104901951463714,0.32891624804958963,0.7,0.7,0.8,0.2684755343578873,0.8994069681245367,-0.6,-0.5511365954301088,0.5465853955557781,0.3574223703785811,0.8,-0.541315561195639,-0.47696969696969693,0.5973597359735974,0.6510169019211294,-0.6,0.7,-0.7,-0.4748013187391201,-0.6,0.9,-0.22888888888888886,0.8,0.656388979740809,0.9,0.8,0.1731803997724724,-0.7,0.5372532768109897,0,0.2684755343578873,0.5480528623030384,0.6658793418301518,0.453538477297675,0.5567627694860469,0.31030711737891703,0.45237352216703386,-0.38202858190879374,0.4599754589569118,0.5825174201077815,0.5397340984813445,-0.18099287982493112,0.2334,0.1,0.17575757575757575,-0.432181388684506,0.27659851738896907,0.27659851738896907,0.23015627066789007,-0.08847880244966244,-0.11042889832231681,0.29414624884532026,0.29414624884532026,0.1,-0.7,-0.7
TAZ,0.8,0.7,-0.4292093598721907,0.32588611299800696,0.7,0.7,0.7,0.2648178529362275,0.7994113318616629,-0.6,-0.5505154864717527,0.5452425981688341,0.3542926163455227,0.7,-0.5405621057609482,-0.47647556436409333,0.6972413793103448,0.652226877600012,-0.7,0.7,-0.6,-0.4751115475502396,-0.7,0.9,-0.2255952380952381,0.9,0.6557945061010458,0.8,0.8,0.16976339701281257,-0.7,0.5412921622921827,0,0.2648178529362275,0.5479136339579569,0.6665488185546313,0.45216066971856755,0.5566922524142917,0.3068144253044772,0.45081164070654545,-0.37949974110623785,0.4588456046193367,0.5818861071158675,0.5388578093282257,-0.1764670837920008,0.23047619047619045,0.1,0.17419354838709677,-0.4306216696954758,0.2731477164745732,0.2731477164745732,0.22642808973037626,-0.087268745695734,-0.10954718628966069,0.290592326294344,0.290592326294344,0.1,-0.8,-0.6
Stress_Fibers,0.8994285714285715,0.8,-0.4753706774311097,0.3419829981804063,0.8,0.8,0.6987748851454824,0.2639991391513738,0.7539588875363086,-0.7,-0.5851779628891174,0.5984887749972668,0.39976379852806,0.6815093795093794,-0.5726984989794252,-0.5566727628587506,0.5542617247833556,0.6747116199812846,-0.7,0.8,-0.5964444444444444,-0.4618967086787791,-0.6,0.7937359344829882,-0.254254948563598,0.8991902834008098,0.7102211830064962,0.7932743350904768,0.8991041433370661,0.04690179476857417,-0.9,0.47110442391206775,0,0.2639991391513738,0.5862322660851919,0.7156808651079848,0.4431023414562213,0.6145734544209558,0.27856309622823744,0.522093997209729,-0.3934052426011879,0.5328218860957556,0.6756866963004768,0.5786914369768317,-0.13682600044782808,0.2711644898707725,0.22181545707557268,0.2572191837836472,-0.4788975977959634,0.24845112668325106,0.24845112668325106,0.18973120086910222,-0.06940156029102378,-0.09639392303847502,0.27072780336949903,0.27072780336949903,0.22641379310344828,-0.8,-0.5
SMAC,-0.6,-0.5,-0.5043203655536072,0.08174898499306153,-0.5,-0.5,-0.6,0.49334034059434445,-0.7987055016181229,0.4,-0.3978615517529316,0.3069427996709687,0.21520391120502552,-0.7,-0.37877319347283284,-0.4010737193933462,-0.7979354838709678,0.3113931482481716,0.4,-0.5,0.6,-0.4992967009995451,0.5,-0.7,-0.5491407765352502,-0.6,0.07345294313623318,-0.7,-0.6,0.13683578576308836,0.5,0.24062705630314402,0,0.49334034059434445,0.01750170155062685,0.3443241288718845,-0.006097143677576677,0.3080137987634957,0.15316888179594595,0.4304599894051262,-0.19231564954535246,0.26459807385494344,0.052474880979011984,0.18204181452794338,-0.13063408103704768,0.8643093240871422,0.7976401179941003,0.8894433966826248,0.28374317655283504,0.48600769588894605,0.48600769588894605,0.474225041237445,-0.4767910297587582,-0.5152971739163502,0.5195794538168306,0.5195794538168306,0.7981308411214953,0.5,0.5
Rac1,0.9,0.8,-0.48209367334503456,0.35975502584936525,0.8,0.8,0.9,0.29414624884532026,0.8963994493275443,-0.7,-0.6067745851653596,0.6029134146310037,0.4025232770764459,0.8994069681245367,-0.5934666719277415,-0.5482541623362067,0.6839956806740581,0.7099274395116629,-0.7,0.8,-0.8,-0.510083271034722,-0.7,0.9998236720299758,-0.2684755343578873,0.9,0.7162633417353124,0.99980893240984,0.9,0.15390277882812034,-0.8,0.563309013692737,0,0.29414624884532026,0.605351532555541,0.7327431778477214,0.48343333284843953,0.6200066573810975,0.32956875855813106,0.5128259831881283,-0.420792930322028,0.52315986543961,0.656388979740809,0.5934239843909387,-0.18234452783195593,0.2767766233766234,0.17575757575757575,0.23545906829488922,-0.48337811956600046,0.29166525865665355,0.29166525865665355,0.23664052319746115,-0.09061801321054082,-0.11509229243171373,0.31066390071268857,0.31066390071268857,0.17714285714285713,-0.8,-0.8
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
