Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,SMAC,Rac1,Plk1,pAPC,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,Merlin,MCL_1,LEF1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8997531906399902,0.899923435207044,0.7,0.6,-0.35617412352029043,0.2828430711285498,0.9,0.6,0.7,0.7,0.8996187322003173,0.999965512286248,0.03677852348993289,0.9,0.46992798748209774,0.33285921385635686,0.8,0.8966082331910054,0.7,-0.7,-0.999963388961772,-0.9999773486607395,-0.7,-0.28637888252970733,0.9999683394016147,-0.6,0.8,-0.02,0.7,0.5856775626976318,0.8,-0.3778515021968887,-0.9,-0.9999492310621285,0.03677852348993289,0.41022504056986814,0.49615032080659943,0.1846973344421587,0.3770356282490174,-0.2804808065470447,0.3816732459058405,0.49615032080659943,0.46507135418675516,-0.11824275469685297,0.02,0,0,-0.36663301631156686,0.05629821998593302,0.05629821998593302,0.005152337858220212,-0.018462687011255162,-0.021070562729134424,0.05285844737195002,0.05285844737195002,0,0.8995186288902467,-0.8,-0.6
ZEB1,0.9997888026331168,0.8999402360675333,0.7,0.6,-0.360025810273335,0.28895467277820214,0.9,0.6,0.7,0.7,0.8996737009382307,0.9999730700179533,0.037073170731707315,0.9,0.4731404287969781,0.337127402741915,0.8,0.8969962493024702,0.7,-0.7,-0.999971419725153,-0.9999823183579648,-0.7,-0.29330596113147334,0.9999752903385224,-0.6,0.8,-0.02,0.7,0.587594345323681,0.8,-0.38031600385423964,-0.9,-0.9999603698811097,0.037073170731707315,0.4170342589782667,0.49682299546142206,0.19459439509971646,0.37939729840719505,-0.2876116463347414,0.38384409300658573,0.49682299546142206,0.4687307965501123,-0.1262121732342792,0.02,0,0,-0.36988075495538186,0.05661257606490873,0.05661257606490873,0.004807537630702056,-0.017758848331832004,-0.020210445159832842,0.05323983739837398,0.05323983739837398,0,0.8995879918154503,-0.8,-0.6
YAP,0.11942172838275182,0.26438019610129443,0.8936252447870414,0.8984236453201971,-0.37416592806145166,0.2587915512710359,0.34936934820904286,0.8984236453201971,0.7950565376652333,0.7919678591738852,0.2639039401572657,0.44309414137279174,0.06936505445083166,0.8088340153047276,0.493318197222672,0.38235788435572654,0.7515566800404263,0.02595963970280745,0.6643923336838647,-0.7913832199546486,-0.27450141137825257,-0.31491393394956635,-0.6801437556154537,-0.26242916417764084,0.17653737663626318,-0.6961904761904762,0.8788246313399333,-0.06580963980342916,0.8929323551623691,0.5118056992152167,0.8775072447132708,-0.4411031073665853,-0.9075019161677913,-0.2803980977165172,0.06936505445083166,0.31793900201817615,0.5049256517399219,0.08508877739095741,0.4489862853115243,-0.23753290231855329,0.4525618507863137,0.5049256517399219,0.4660987836046656,-0.0380468008727738,0.069253061529423815,0.05143399810066477,0.06277902734043085,-0.40254074521671523,0.07295074234977462,0.07295074234977462,0.010704414753172919,-0.025929127809882248,-0.034589524716158074,0.07117608378261804,0.07117608378261804,0.051966212294081146,0.13696732406999396,-0.8803359375861112,-0.5974193548387097
WT1,0.5731283575779791,0.5869269722814499,0.7,0.6,-0.35579740810931815,0.25631496142239557,0.3969811320754717,0.6,0.7,0.6,0.6661727178909842,0.49231713688610246,0.05040575243965075,0.6990062111801242,0.4712348760529877,0.34025672033219206,0.6,0.4489558868804152,0.7,-0.7,-0.4911929824561404,-0.4939893048128342,-0.5,-0.2528942252715838,0.4921957888980038,-0.6,0.7,-0.035151515151515156,0.8,0.49267355098603954,0.7,-0.40233901674496186,-0.7978779840848806,-0.5899378881987578,0.05040575243965075,0.34420870730002473,0.44579075796858325,0.11046640725047793,0.4042238078663418,-0.24003053267133367,0.41016076166692683,0.44579075796858325,0.453012070784015,-0.06539104701769119,0.035789473684210524,0,0.02,-0.37766666666666665,0.06311865163522715,0.06311865163522715,0.009560692511420395,-0.025544759825687408,-0.03173367137510563,0.0605088452231559,0.0605088452231559,0,0.5575517318938372,-0.8,-0.5
Wee1,-0.08262832473293746,-0.0774828777287907,-0.011460577337354588,-0.00909090909090909,0.29106429217501983,-0.025202838111782394,-2.7069132970331395e-4,-0.00909090909090909,-0.041666666666666664,7.194244604316547e-4,-0.07571901269255207,-0.0881537520670995,-0.05747714277085123,-0.0023994747086835285,-0.39916338019080083,-0.31540565988187563,-9.671895179413654e-5,-0.07072688378743555,0.05815615512988691,0.048333333333333325,0.08856850816587031,0.08822134636759862,-8.130081300813009e-4,0.16686375502726186,-0.08893213088493573,0.00909090909090909,-1.2185428325875471e-4,0.05779131073247544,-0.007115009746588694,-0.31278956591041723,-1.372288805163749e-4,0.34735146918504245,0.0723250257708313,0.07985612012366895,-0.05747714277085123,-0.007900998370590441,-0.31362140105267755,0.07027539814674184,-0.45691409307413433,0.13228719319721288,-0.3577057179086373,-0.31362140105267755,-0.2739755460154765,-0.015750003698469583,-0.06428450906137237,-0.05958014071667089,-0.0649662536303633,0.3079078426467498,-0.05593573844290166,-0.05593573844290166,-0.010684163673407144,0.023886168910387955,0.033246016285471185,-0.05698941399960213,-0.05698941399960213,-0.061156076839665355,-0.078112930887643,0.06163382594417077,0
UbcH10,0.49295965963191274,0.4779162197176851,0.3809649122807018,0.29500000000000004,0.47686078407248883,-0.08519036715769707,0.45441643657524067,0.29500000000000004,0.38313710099424386,0.3788657935840442,0.4488747221689565,0.5219306932302787,0.11285487590149437,0.4793717182348896,-0.49804902137469564,-0.26633990875679653,0.4332543997991354,0.3417577478240847,0.1096677422232796,-0.37263986013986017,-0.5187567465950278,-0.5448709980807921,-0.372562358276644,0.24223009386877536,0.5291748990548751,-0.2925233644859813,0.4482632161249923,-0.11632178270023368,0.37892902344050106,-0.502092662036412,0.4471150517442816,0.4577508634337205,-0.47588725345857047,-0.5030330331395377,0.11285487590149437,-0.24925723332900668,-0.49528970975607833,-0.2933086504252791,-0.4669703411861642,0.3760157473657847,-0.4666667505327379,-0.49528970975607833,-0.470780938082061,0.11762233694694442,0.12816099640181647,0.1389628180039139,0.13780159737199385,0.32880009295707985,0.08521927760554059,0.08521927760554059,0.12895074475107843,-0.12792814921689646,-0.1311036631592797,0.11108781393652145,0.11108781393652145,0.1452268782544012,0.43264410707223416,-0.4416053773812395,-0.2952941176470588
Twist,0.8997821392276789,0.8999265347352955,0.7,0.6,-0.35428637627432813,0.27892405935656883,0.7,0.6,0.7,0.7,0.9996633921221422,0.7999668558644405,0.036483516483516484,0.9,0.46903890160183065,0.3301660646821937,0.8,0.8970538963081107,0.7,-0.7,-0.7999648413465764,-0.9999782880095532,-0.7,-0.28186439558988574,0.8999696152531429,-0.6,0.8,-0.02,0.7,0.5858608349900597,0.8,-0.3766313082610093,-0.9,-0.9999512878280461,0.036483516483516484,0.4099442818865683,0.496,0.17868986074239673,0.3755072207486001,-0.276111764967349,0.3807369650631836,0.496,0.46439890710382514,-0.1134162826420891,0.02,0,0,-0.3651162790697674,0.056025557638596624,0.056025557638596624,0.005465448315248429,-0.018974977283847068,-0.02167319137345078,0.052540750187809016,0.052540750187809016,0,0.8995749344271591,-0.8,-0.6
TRIO,0.5802474930477171,0.5913062263714219,0.8,0.7,-0.38915810547389496,0.29302477588397,0.6986394557823129,0.7,0.7,0.8,0.5752391403954985,0.6955154431560426,0.052281284606866006,0.899637516991391,0.506586067233774,0.37289890124778446,0.8,0.47155301580868436,0.6,-0.6,-0.5946924367977,-0.6963904788054154,-0.7,-0.30332871332871336,0.595124396011103,-0.6,0.9,-0.03666666666666667,0.8,0.627385600316395,0.9,-0.4299184164969575,-0.6992263056092843,-0.6936568746835963,0.052281284606866006,0.3949309453511134,0.5680873547023599,0.16200753103050664,0.4313977777538067,-0.2889316081863058,0.43704545264656425,0.5680873547023599,0.49302915456290197,-0.0951718838631055,0.0369811320754717,0,0.02,-0.4081556657969944,0.06835663507109005,0.06835663507109005,0.007966256353353128,-0.022925448653462632,-0.027893714735194686,0.06461817665906056,0.06461817665906056,0,0.568534062133284,-0.7,-0.7
TAZ,0.5785978461765937,0.5906565163641095,0.8,0.7,-0.38752941857653256,0.2892379907296022,0.5984,0.7,0.7,0.7,0.6739365204768262,0.5951663082437276,0.05195071155848664,0.79960513326752225,0.5052486788117474,0.3698280065974498,0.7,0.4650158801951415,0.7,-0.7,-0.5941758775983376,-0.5960107835107835,-0.6,-0.2983633398898064,0.49461658411300685,-0.7,0.9,-0.036279069767441864,0.9,0.6271393237241523,0.8,-0.4284979074601199,-0.6991434689507494,-0.5931386371265526,0.05195071155848664,0.3950151862860115,0.5675864072030207,0.15610718351323455,0.4296265586526581,-0.28448078720381437,0.4359172195682023,0.5675864072030207,0.4917948387220057,-0.09060888077618506,0.03666666666666667,0,0.02,-0.4067684907546226,0.06776124834562028,0.06776124834562028,0.008168024515614844,-0.023540464934845788,-0.028612661138236583,0.06405012293847356,0.06405012293847356,0,0.5668966596610472,-0.8,-0.6
Stress_Fibers,0.176752146595245,0.29304825609173435,0.8989026063100137,0.8,-0.37214359349258086,0.25896217296829793,0.3686958397250879,0.8,0.7989730423620026,0.698821796759941,0.30213378261068785,0.45742328504453517,0.06596678583610034,0.7648815947817182,0.4913094626579964,0.37495206330014796,0.6859384725550138,0.066323522179889835,0.6469954230031005,-0.6977715877437326,-0.3087015590338119,-0.3393895698951305,-0.596734693877551,-0.261756924017872,0.21120397797253693,-0.6,0.794745399006653,-0.05968287986865006,0.8988309790550414,0.5121730705765641,0.7943773523154967,-0.4358767023683545,-0.8613698334199418,-0.30951825391623516,0.06596678583610034,0.32435054918484857,0.4974692942308713,0.08982791153869703,0.4421766800226045,-0.23909301644940412,0.44684128466885076,0.4974692942308713,0.4660427423268098,-0.043373355915584735,0.06184551087481236,0.036049382716049384,0.05143399810066477,-0.4000315208637112,0.07166330095699504,0.07166330095699504,0.010749917433438517,-0.026215094739968674,-0.03448874597779315,0.0696675062907475,0.0696675062907475,0.036483516483516484,0.17668502225309357,-0.7939656886000599,-0.5
