Source,ZEB1_H,ZEB1,YAP,WT1,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,SMAC,Rac1,PTEN_c,pRB,PAK1,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_29c,miR_200,Merlin,MCL_1,LEF1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FocalAdhesions,Fast_Migration,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,DR4_5,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8988547893534019,0.8995265103463537,0.7,0.6,0.8999367788841474,0.6,0.8996516117389032,0.7,0.7,0.8982862850598214,0.9997433353393903,0.3,0.8999641352102573,-0.5,-0.5,0.8,-0.5,-0.4,0.8883064680198312,0.7,0.6,-0.7,-0.9997276270642571,0.6,-0.9998205908151053,-0.7,-0.5,0.9997646258167572,-0.6,0.8,-0.2,0.7,0.8,0.7,-0.899927122555569,-0.9996603925200231,0.6,0,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8978375886714774,-0.8,-0.6
ZEB1,0.9989958149227538,0.8996005700898053,0.7,0.6,0.8999505989872792,0.6,0.8997069544982402,0.7,0.7,0.8984920628510741,0.9997860733959409,0.3,0.8999719173433807,-0.5,-0.5,0.8,-0.5,-0.4,0.8893573264824097,0.7,0.6,-0.7,-0.9997730195613412,0.6,-0.9998510926172173,-0.7,-0.5,0.9998039067780521,-0.6,0.8,-0.2,0.7,0.8,0.7,-0.8999429576460521,-0.9997150529233771,0.6,0,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8980967793882717,-0.8,-0.6
YAP,-0.1628195173257584,0.019902552156968234,0.8742986656623408,0.8905607305936073,0.09207487184974078,0.8905607305936073,0.06899526574779691,0.7787786688331195,0.7693231603516724,-0.09849715086310182,0.16867957516417514,0.7,0.722733855845,-0.7978666666666666,-0.8955356031335924,0.684753194725144,-0.8948698373905595,-0.7876335438818488,-0.4583515417110956,0.5420098253274107,0.9979735932447206,-0.7685868485816674,-0.026364087607340585,0.8905607305936073,-0.3379496985836589,-0.6357034575638015,-0.8997026022304834,0.06764005921432974,-0.6803559951937854,0.8409417628745912,-0.6,0.872660981058285,0.8380083140962489,0.8738687007410407,-0.7929431261340754,-0.003109509621273418,0.9983540804309505,0,0.7,0.8768024265721159,0.9984912803275398,0.6,0.4,0.5,0.4,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,0.4,-0.2533388636964896,-0.8418583819922507,-0.5822649572649572
WT1,0.5207112111451151,0.5522144949933996,0.7,0.6,0.38063157894736843,0.6,0.4619770968918582,0.7,0.6,0.5997135754719495,0.4689756820406975,0.4,0.6934535443133127,-0.5,-0.6,0.5984063745019921,-0.6,-0.5,0.22312059741975152,0.6923076923076923,0.7,-0.7,-0.46489018087855294,0.6,-0.47640534718479577,-0.5,-0.6,0.4689637498479119,-0.6,0.6993939393939395,-0.3,0.8,0.6993388429752067,0.7,-0.7899376245343499,-0.5611062518222333,0.7,0,0.4,0.5987673343605546,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,0.4784677128427129,-0.7987804878048781,-0.5
Twist,0.8990010305218158,0.8995756670058928,0.7,0.6,0.6999394673123487,0.6,0.8996873570412879,0.7,0.7,0.9985070357260601,0.7997672777345561,0.3,0.8999653033785835,-0.5,-0.5,0.8,-0.5,-0.4,0.8898255877312093,0.7,0.6,-0.7,-0.799753291674153,0.6,-0.9998370172984294,-0.7,-0.5,0.899786782272885,-0.6,0.8,-0.2,0.7,0.8,0.7,-0.8999295278365047,-0.9996944191194304,0.6,0,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.898117009258723,-0.8,-0.6
TRIO,0.5348677161237709,0.5647473780595078,0.8,0.7,0.6891213060711903,0.7,0.5719859163824681,0.7,0.8,0.5206058717332924,0.6795199574713792,0.4,0.8970809684327792,-0.6,-0.6,0.7994535519125683,-0.6,-0.5,0.2844185586852924,0.597667638483965,0.7,-0.6,-0.5756223600074596,0.7,-0.6837662987422836,-0.7,-0.6,0.5778902157008511,-0.6,0.8998012916045702,-0.3,0.8,0.8997883597883598,0.8,-0.6951722746013898,-0.6721892697149037,0.7,0,0.4,0.5995104039167687,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,0.501305736678564,-0.6995930824008139,-0.7
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0.5304672732833766,0.5628152618666153,0.8,0.7,0.5878767316935256,0.7,0.4702307269730818,0.7,0.7,0.6172281897120102,0.5782526431372323,0.4,0.7970011343774235,-0.6,-0.6,0.6993957703927492,-0.6,-0.5,0.27553869264687275,0.6975,0.7,-0.7,-0.5735922853369081,0.7,-0.5824798011706623,-0.6,-0.6,0.4759463014509935,-0.7,0.8997871208089409,-0.3,0.9,0.7997707736389684,0.8,-0.6950971493355869,-0.5702373060361985,0.7,0,0.4,0.599468791500664,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,0.49789599298912945,-0.7995698924731183,-0.6
Stress_Fibers,-0.09021773362397899,0.08934326222041176,0.8933031124290558,0.7985046728971963,0.167472267945569,0.7985046728971963,0.10489340576138236,0.7944771485801237,0.6919658483515444,0.025464560185979774,0.22295277262570506,0.6,0.7113582517362371,-0.7,-0.7982232406005115,0.6516772310025847,-0.7978549116281999,-0.6944102913197535,-0.36395962975139307,0.5746121882466182,0.8995984943538268,-0.6901122019635343,-0.10355613625743328,0.7985046728971963,-0.3524230265733089,-0.5801864801864802,-0.8,0.10390413048441945,-0.5962962962962963,0.7790081335659529,-0.5,0.8927252974157784,0.7777380230476272,0.8934896902853238,-0.7937005436643564,-0.0930360937803172,0.8996951800342922,0,0.6,0.7872839708289078,0.8997153024911032,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,-0.15625937136356582,-0.777623352721786,-0.49724137931034484
SNAI2,0.9994347975317817,0.99980276786003075,0.7,0.6,0.7999796603274687,0.6,0.8998563088106236,0.7,0.6,0.9991437919704105,0.899896958281286,0.3,0.7999882656653368,-0.5,-0.5,0.7,-0.5,-0.4,0.7931184504135574,0.7,0.6,-0.7,-0.8998908146806464,0.6,-0.8999290431162302,-0.6,-0.5,0.8999057458196479,-0.6,0.7,-0.2,0.7,0.7,0.6,-0.8999762003926935,-0.9998609669200548,0.6,0,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.9989190351274454,-0.8,-0.5
SNAI1,0.8987683620004023,0.899479938797537,0.7,0.6,0.9999287580147234,0.6,0.8996170649675687,0.7,0.7,0.8981593990661925,0.8997169859384782,0.3,0.8999596204320615,-0.5,-0.5,0.8,-0.5,-0.4,0.8876671142499601,0.7,0.6,-0.7,-0.8996996555410449,0.6,-0.9998019150482538,-0.7,-0.5,0.8997403724670141,-0.6,0.8,-0.2,0.7,0.8,0.7,-0.8999179094267342,-0.9996264062779281,0.6,0,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8976779455189539,-0.8,-0.6
SMAC,-0.21582165822640476,-0.25426323098012427,-0.5135778917902333,-0.447241258126867,-0.6384371262227536,-0.447241258126867,-0.16065992703274956,-0.4356486994257892,-0.49306149187170145,-0.42408655358110015,-0.31604737914445324,0.5893240634124225,-0.5614922461350436,0.3738095238095238,-0.4445130558923508,-0.5101933981567286,-0.4300706769140602,-0.42292171470477713,-0.18434595715249688,-0.7878159914505003,0.3465274934552577,0.3505070014485756,0.20547800731045643,-0.447241258126867,0.15235260538377962,0.45678042887345216,-0.6554476222182292,-0.16563769712294035,0.42841417910447765,-0.5548372700046025,-0.5961422452306043,-0.5078671258151165,-0.5520903234346757,-0.5012419527197853,0.43704898203190234,0.44901830907350726,0.3598992301186715,0,0.5893240634124225,0.026444842036481748,0.3744281879230899,0.8976944356875427,0.8,0.8996399639963997,0.8,0.6709143051585135,0.6709143051585135,0.6738861080721846,-0.7744345417926723,-0.7770577548370241,0.6781969478200567,0.6781969478200567,0.8,-0.27168128742300196,0.41236635782521447,0.41710894084377365
