Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,U_Kinetochores,Twist,Stress_Fibers,SNAI2,SNAI1,SMAC,Replication,Plk1_H,Plk1,pAPC,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,MCL_1,Mad2,LEF1,Lats1_2,IAPs,FoxM1,FocalAdhesions,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8999338415233116,0.8999732673929024,0.7,0.6,-0.29742043551088776,0.26029411764705884,0.21387206586707835,0.9,0.5,0.8998966227471217,0.9999871187968956,0.036279069767441864,0.3039655172413793,0.49207459207459203,0.45854791133263884,0.32254074903570984,0.8991575742085051,0.7,-0.7,-0.9999871187968956,-0.9999920431262558,-0.2653361344537815,-0.0867566216891554,0.9999890425969046,-0.6,-0.02,0.5758137286496938,0.6,0.17663197729422894,-0.35165324653075214,0.07193181818181818,-0.9,-0.9999821556031406,0.08045454545454546,0.036279069767441864,0.38063492063492055,0.4931034482758621,0.1375930032027593,0.2,0.360527950310559,-0.2363347763347763,0.3714250207125104,0.48839285714285713,0.44725495569562435,-0.0805685891169762,0.02,0,0,-0.23717948717948717,0.05678774928774929,0.05678774928774929,0.01656001044795612,-0.022058138646651373,-0.02458817156369873,0.05368521311215176,0.05368521311215176,0,0.8998674700889666,0.26,-0.8,-0.5,0.2737523570081709
ZEB1,0.9999420334185822,0.8999791775117126,0.7,0.6,-0.30481750562186477,0.26804614318845815,0.22269372942636662,0.9,0.5,0.8999094461449586,0.9999899621069538,0.03666666666666667,0.31076797385620913,0.4934108527131783,0.46289485962071525,0.3283349645026487,0.8992499977349879,0.7,-0.7,-0.9999899621069538,-0.9999938002758878,-0.274996003197442,-0.08796043212286866,0.9999914632064197,-0.6,-0.02,0.5789412327026429,0.6,0.18488372093023256,-0.35600310505433846,0.08384228384228383,-0.9,-0.9999860973532837,0.09047619047619046,0.03666666666666667,0.3887278777794585,0.494238683127572,0.15170649992361707,0.2,0.3643490115882754,-0.2482823505608316,0.3749853706612461,0.4902621722846442,0.45284940548563846,-0.0902178546588589,0.02,0,0,-0.24988683952597346,0.057047872340425534,0.057047872340425534,0.015302352712424656,-0.02095238095238095,-0.023358974358974362,0.05392857142857144,0.05392857142857144,0,0.8998838998767331,0.2644444444444444,-0.8,-0.5,0.28096827383435646
YAP,0.06371885730329807,0.1634083680081286,0.851847809137689,0.8849056603773585,-0.294885627444443,0.24023201467866562,0.19115530208794568,0.029263037425520815,0.8,0.18565996380349162,0.07293601164513812,0.07579599287816992,0.2744104999155971,0.601473471103804,0.47872863684088174,0.3809036821017498,0.022712137008382056,0.49380881602190224,-0.7095238095238096,-0.07293601164513812,-0.07336995700167488,-0.2571998403861212,-0.10458271160623092,0.07332367923938543,-0.6666666666666667,-0.072425332183881,0.48112038577852223,0.8849056603773585,0.14256580208647263,-0.386205526897579,0.042478623775542755,-0.7495760893780541,-0.1729380117373405,0.04021856421991933,0.07579599287816992,0.2889243137633387,0.47997270494687516,0.052181205967437486,0.27637098097493473,0.4117230484402281,-0.18485441396711252,0.42273174132011376,0.4436335847656697,0.4316685652362424,-0.013314262505048908,0.0751459192647487,0.0535819620793714,0.0670468489046761,-0.22226755799800496,0.07588107436634814,0.07588107436634814,0.029351642942703503,-0.026935981550086946,-0.03466714152594673,0.07666720999645175,0.07666720999645175,0.05384660854145116,0.056994375335715164,0.27582169943518875,-0.7323907037217617,-0.6,0.26246931720708233
WT1,0.5689654615066015,0.584003989030167,0.7,0.6,-0.28708396965428623,0.24322946075663468,0.1936902675854073,0.39591836734693875,0.5,0.6583621844985481,0.4889478579635608,0.0530622009569378,0.2800656814449918,0.541056622851365,0.4603948355714248,0.3418690080243453,0.3342621686355701,0.6,-0.6,-0.4889478579635608,-0.4925652358176425,-0.25319841232752904,-0.09688709726122534,0.49068550497121927,-0.5,-0.035789473684210524,0.4658481687034575,0.6,0.15827628175870984,-0.36563174586666214,0.039552436097286654,-0.7954802259887005,-0.5874202898550724,0.0417331214555421,0.0530622009569378,0.31259580977789064,0.43225133075879346,0.0788971271769749,0.24482758620689654,0.3819394790602656,-0.19800314581557882,0.3946753479214212,0.4136328702335206,0.42792207912978597,-0.039308750278438935,0.036279069767441864,0,0.02,-0.21520758797169098,0.06711788926571449,0.06711788926571449,0.02580952380952381,-0.02779030998074942,-0.032990620490620494,0.06526877372689086,0.06526877372689086,0,0.5474144183989386,0.2698275862068965,-0.7,-0.4,0.26358875711270513
Wee1,-0.10671132131513612,-0.09896372432192466,-0.05426356589147287,-0.03333333333333333,0.26768236498594,-0.012433093590631649,-0.12727940446150857,0.003958032219015907,0,-0.09913417748946132,-0.10866101537408943,-0.07470032254478463,-0.12983369287966234,-0.42493332188017474,-0.39761245324758654,-0.31424963361514785,-0.09593909914082979,0.0759574000007213,0.05426356589147287,0.10866101537408943,0.10605386160553262,0.1831133156883715,0.07687467774257034,-0.108682141319931,0.03333333333333333,0.07607556422838982,-0.29756047868322405,-0.03333333333333333,0.04028219319727177,0.3049444522122775,0.05723871396324046,0.08901195063985762,0.0995922048888791,0.05888819565330354,-0.07470032254478463,0.00977182183283647,-0.3002037295300978,0.09509933362590933,-0.13333193590366896,-0.43900936328282525,0.092663247020675,-0.3379674876662498,-0.2678891666468818,-0.24956027861939578,-0.03155720892806084,-0.08292600981384904,-0.07742076607239975,-0.08409343604088243,0.15466982680723984,-0.07375576036046749,-0.07375576036046749,-0.03724688048684754,0.04000050153967024,0.05006479139133056,-0.0733039186803707,-0.0733039186803707,-0.07856062338655169,-0.10226646209741355,-0.1312571290835119,0.07453383616174314,0,-0.18199543822146028
UbcH10,0.4663469824579436,0.45952272944278816,0.3701553348612172,0.29047619047619044,0.3186582348200733,-0.0682078553775961,-0.19918009731506314,0.4504551208178353,0.2,0.42139187512957815,0.5032188528335848,0.0611377904789806,-0.2499996951672699,-0.4909993959772091,-0.46752045986968704,-0.2511766797632481,0.3105278871968894,0.12975733090422265,-0.3664433811802233,-0.5032188528335848,-0.5319832136848477,0.21341252996159765,0.12036495254986505,0.5150614913787204,-0.2894736842105263,-0.06578916358361389,-0.47641674881107543,0.29047619047619044,-0.33551666022002813,0.3964030521011984,0.06193634121040896,-0.46389684612301396,-0.48644315679758715,0.0639155763267186,0.0611377904789806,-0.22877662422517106,-0.4742560532479846,-0.2648145535216796,-0.25121018596797673,-0.38751322432176283,0.32101897819889696,-0.4185753801923018,-0.4279021408202067,-0.43458078311043274,0.09558267317606461,0.07380267034981673,0.10153522347406216,0.08831745532671656,0.11486146356040976,0.04271682374513637,0.04271682374513637,0.07141337514240503,-0.08222529703353733,-0.0811893480602262,0.05955268301118695,0.05955268301118695,0.10777332264100507,0.4042607339047647,-0.251156199159536,-0.42415614713767014,-0.2,-0.30162529330429094
U_Kinetochores,0.31649085445013825,0.2884495097064042,0.2511111111111111,0.2,0.24406410750915408,-0.16137777945544965,-0.04181708597166138,-0.255318482986299,0.1,0.2307647279207102,0.36246111198625636,0.36977857168306827,-0.2588074735614617,-0.35929509839031565,-0.3458756470510384,-0.13023086188488447,0.245396257888629,-0.4125100156320113,-0.24883720930232558,-0.36246111198625636,-0.2829441346521311,-0.14575864458885499,0.06482456447623165,0.35077847123243744,-0.2,-0.367467617619464,-0.34339459696883184,0.2,-0.11796726585217898,-0.07179395032075901,-0.13779595620569182,-0.2649610100772891,-0.2577647358250701,-0.13683089067048132,0.36977857168306827,-0.15068639456903554,-0.34023415771197707,-0.2391014601793255,-0.25840394518212645,-0.21170780837056086,0.32553000768544077,-0.22371750020774406,-0.2270301539682485,-0.3162695921326743,0.039936262407781954,0.42984852420218217,0.4173206059640971,0.4442391696815343,0.21965985406908609,0.3277328358194692,0.3277328358194692,0.3161789960863895,-0.33926093999641244,-0.3877531584426857,0.3725343132415232,0.3725343132415232,0.42830237341847044,0.28803736840038446,-0.2592219902949084,-0.264281224746341,-0.1,0.08096979011492997
Twist,0.8999053663323437,0.8999617810051597,0.7,0.6,-0.2925319693094629,0.25585376575168506,0.20981018119068162,0.7,0.5,0.9998522569376508,0.7999815710665745,0.036279069767441864,0.2979869027407228,0.4907356948228883,0.4537318473488686,0.3196098388464801,0.898846135964258,0.7,-0.7,-0.7999815710665745,-0.9999886347492541,-0.26127448666509323,-0.08638716356107659,0.8999843217183396,-0.6,-0.02,0.5705222437137331,0.6,0.17389162561576355,-0.3484615880797265,0.06752123354044348,-0.9,-0.9999744946757636,0.07688679245283019,0.036279069767441864,0.36830913145156907,0.4915151515151515,0.13053284387340788,0.2,0.35779220779220783,-0.2300908242084713,0.3686034353995519,0.4860215053763441,0.4407183908045977,-0.07629721876297219,0.02,0,0,-0.23245182982025087,0.056700336700336695,0.056700336700336695,0.0169114619080302,-0.022424242424242423,-0.025050629095821286,0.0535935573999507,0.0535935573999507,0,0.8998106332376183,0.2578947368421053,-0.8,-0.5,0.2698488519672321
Stress_Fibers,0.05221769625972479,0.15064781894864715,0.8849056603773585,0.8,-0.29443433555943155,0.24164248634716742,0.19187326189300652,0.02850284392171985,0.7,0.17512882827235607,0.05991295442908347,0.072425332183881,0.27582169943518875,0.5925259654154963,0.4769858025496405,0.3747694747353413,0.015641429937674985,0.5074895977808599,-0.6666666666666667,-0.05991295442908347,-0.06142918825561313,-0.25741503993838,-0.1045090223202892,0.060416562230941516,-0.6,-0.06506355333772715,0.47997270494687516,0.8,0.14705994063768718,-0.3845051864678147,0.04021856421991933,-0.7323907037217617,-0.16077106069389646,0.03794146443528186,0.072425332183881,0.293444720973575,0.473734206126151,0.056404236878886016,0.2739694887856132,0.408428899974332,-0.18766236754374682,0.4200445053342706,0.44089605888944733,0.43247014276756185,-0.017579937664205014,0.06643281418800726,0.036483516483516484,0.0535819620793714,-0.22180109274120738,0.07554446515441966,0.07554446515441966,0.029584070045112293,-0.027901956740602352,-0.035264665267681614,0.07579599287816992,0.07579599287816992,0.03683168316831683,0.04581666595615903,0.27637098097493473,-0.7095238095238096,-0.5,0.2642247772184839
SNAI2,0.9999213965370289,0.9999746072052055,0.7,0.6,-0.3058961038961039,0.27024249088488916,0.22585974025974026,0.8,0.5,0.9998774000921344,0.899987736456449,0.0369811320754717,0.3109965635738831,0.4933463796477495,0.4618390804597701,0.3298288138160885,0.7990050933033919,0.7,-0.7,-0.899987736456449,-0.8999924379915306,-0.2780363155363156,-0.08866688151251477,0.8999895754606344,-0.6,-0.02,0.5764412947711166,0.6,0.18924539512774807,-0.3566834208835645,0.08852573713143429,-0.9,-0.99998303683128,0.09565217391304348,0.0369811320754717,0.3828017883755589,0.49383259911894273,0.15530699229120684,0.2,0.3650724637681159,-0.25077716098334657,0.37520029652439196,0.48976377952755906,0.4509337860780985,-0.09406006131549607,0.02,0,0,-0.2537208382759984,0.057172887172887175,0.057172887172887175,0.014720851930154256,-0.02059572605591734,-0.02298485836412374,0.054054302807179024,0.054054302807179024,0,0.9998427821096787,0.26666666666666666,-0.8,-0.5,0.28312105361663564
