1	4	-1.031658	6.108333	6.298625	6.744229	6.632327	6.245165	0.350925	-1.954761	-2.245096	8.451354	7.702504	2.805047	4.844348	-14.449607	1.882346	5.902146	0.916912	1.598613	6.312371	9.296018	8.338196	-0.513279	-8.181665	-9.488815	-16.756253	-18.820843	-27.449028	3.883430	-3.667302	6.665868	-4.337091	-6.965698	1.242620	1.302385	6.744460	6.632327	6.245165	0.324118	-1.956117	-5.156609	8.495601	7.702524	2.804549	4.844429	-14.449607	1.881942	5.902146	0.916912	1.598613	6.312371	9.296018	8.338196	-0.513279	-8.181665	-9.488810	-16.756281	-19.946165	-27.449028	3.883430	-3.667329	6.665868	-4.337091	-1.031658	6.108333	6.298625	6.744229	6.632327	6.245165	0.350925	-1.954761	-2.245096	8.451354	7.702504	2.805047	4.844348	5.413574	-4.062140	5.902146	4.777385	6.869190	-0.549897	-16.266890	-10.796830	6.253306	5.724280	6.255412	11.296700	9.334906	9.662272	8.021904	7.718083	1.318529	4.119088	-6.965698	1.242620	1.302385	6.744460	6.632327	6.245165	0.324118	-1.956117	-5.156609	8.495601	7.702524	2.804549	4.844429	5.413574	-4.062543	5.902146	4.777385	6.869190	-0.549897	-16.266890	-10.796830	6.253306	5.724280	6.255412	11.296700	9.334906	9.662272	8.021904	7.718083	1.318529	4.119088
9	4	-7.103798	0.215168	4.839637	7.123107	4.574235	7.185688	4.179560	1.084735	-2.568778	6.734397	3.212715	0.731465	6.909225	7.655656	-3.503248	6.956622	3.593876	6.775685	-6.531028	-23.006608	-7.533112	5.942645	7.681947	7.756976	10.440240	6.872282	11.247508	6.192522	7.861542	0.963574	6.408405	-7.103798	0.215168	4.839637	7.123107	4.574235	7.185688	4.179560	1.084735	-2.568778	6.734397	3.212715	0.731465	6.909225	-9.246411	1.627792	6.956622	-1.274895	3.679973	5.405096	9.353824	7.996819	-5.019085	-4.736127	-7.462501	-16.808836	-19.046947	-17.161374	-3.817897	0.468512	7.110560	-7.605830	1.409878	5.002320	6.063930	1.985052	4.566119	7.178707	5.861634	6.600242	-0.210583	-2.774132	-3.202335	6.075975	6.136195	7.655656	1.520214	6.956622	3.593876	6.775685	-6.531028	-23.006608	-7.533112	5.942645	7.681947	7.756976	10.440240	6.872282	11.247508	6.192522	7.861542	0.963574	6.408405	1.409878	5.002320	6.063930	1.985052	4.566119	7.178707	5.861634	6.600242	-0.210583	-2.774132	-3.202335	6.075975	6.136195	-9.246411	6.651254	6.956622	-1.274895	3.679973	5.405096	9.353824	7.996819	-5.019085	-4.736127	-7.462501	-16.808836	-19.046947	-17.161374	-3.817897	0.468512	7.110560	-7.605830
15	4	9.997303	6.335292	8.688430	0.963388	0.150123	5.890140	6.360213	1.092123	1.348040	1.515953	3.792343	6.327184	1.554503	-7.341266	5.095757	7.500374	-4.120998	-0.293191	7.713239	10.643148	4.791668	-4.936299	-9.749401	-5.074965	-15.026375	-18.056933	-23.678547	-5.209644	-4.900637	5.673374	-3.372340	9.997303	6.335292	8.688430	0.963388	0.150123	5.890140	6.360213	1.092123	1.348040	1.515953	3.792343	6.327184	1.554503	1.994324	2.626712	7.500374	2.478281	5.959078	-2.624308	-12.769533	-12.597610	4.478817	7.703030	8.763212	9.714645	10.455026	9.779278	5.041557	5.611710	0.272887	6.865030	-1.735642	1.571165	2.843008	6.159730	6.159970	7.275633	1.363914	-2.147026	-7.260908	7.061700	7.365675	2.783858	7.238358	-7.341266	3.977090	7.500374	-4.120998	-0.293191	7.713239	10.643148	4.791668	-4.936299	-9.749401	-5.074965	-15.026375	-18.056933	-23.678547	-5.209644	-4.900637	5.673374	-3.372340	-1.735642	1.571165	2.843008	6.159730	6.159970	7.275633	1.363914	-2.147026	-7.260908	7.061700	7.365675	2.783858	7.238358	1.994324	1.508046	7.500374	2.478281	5.959078	-2.624308	-12.769533	-12.597610	4.478817	7.703030	8.763212	9.714645	10.455026	9.779278	5.041557	5.611710	0.272887	6.865030
16	4	-11.056717	1.122195	2.819978	6.875824	6.731288	7.196560	1.689740	-0.934587	-7.413623	6.912852	6.222581	-3.656573	6.895439	-10.429409	6.579618	6.494300	1.392436	0.999228	6.350669	9.592512	6.617064	-3.099126	-8.930215	-9.010458	-17.282449	-23.260464	-23.385865	-2.019849	-1.196591	2.560769	-6.662791	-11.056717	1.122195	2.819978	6.875824	6.731288	7.196560	1.689740	-0.934587	-7.413623	6.912852	6.222581	-3.656573	6.895439	5.355117	0.883832	6.494300	7.902183	7.438106	-0.317280	-13.940699	-12.948680	8.407514	7.106536	0.565632	8.235998	9.805849	8.605092	6.839327	8.761145	-4.078673	5.651142	7.691327	5.733914	6.581107	1.477109	3.467848	1.813028	7.884077	5.501438	7.579483	-5.057648	3.148610	2.944509	6.895225	5.355117	3.398921	6.494300	7.902183	7.438106	-0.317280	-13.940699	-12.948708	8.407514	7.106536	0.565632	8.235998	9.805849	8.605092	6.839327	8.761145	-4.078673	5.651142	7.691327	5.733914	6.581107	1.477109	3.467848	1.813028	7.884077	5.501438	7.579483	-5.057648	3.148610	2.944509	6.895225	-10.429409	9.094707	6.494300	1.392436	0.999228	6.350669	9.592512	6.617064	-3.099126	-8.930215	-9.010458	-17.282449	-23.233218	-23.385865	-2.019849	-1.196590	2.560769	-6.662791
18	4	-11.033435	0.790044	-0.084573	6.263327	7.044783	4.938540	4.452798	1.709218	-10.661732	6.865191	6.206765	3.103906	5.536647	-18.465911	5.618045	6.708133	-1.795730	1.672008	6.691953	9.766898	4.842813	-1.878096	-9.595526	-9.447107	-15.986227	-22.340791	-23.568282	-6.139753	-4.996719	6.187761	-8.712305	6.246895	6.045366	6.150805	2.253500	6.964162	4.899402	6.705616	6.730118	-2.500748	-1.954634	1.735269	6.022026	0.421984	-18.465911	6.900770	6.708133	-1.795730	1.672008	6.691953	9.766898	4.842813	-1.878096	-9.595526	-9.447107	-15.986227	-22.340791	-23.568282	-6.139753	-4.996720	6.187761	-8.712305	-11.033435	0.790044	-0.084573	6.263327	7.044783	4.938540	4.452798	1.709218	-10.661732	6.865191	6.206765	3.103906	5.536647	5.684766	1.248246	6.708133	3.973018	6.143487	0.583140	-18.302233	-13.973115	4.737716	6.724045	6.414151	8.217576	10.100613	6.744270	6.838852	7.416296	2.832266	5.910493	6.246895	6.045366	6.150805	2.253500	6.964162	4.899402	6.705616	6.730118	-2.500748	-1.954634	1.735269	6.022026	0.421984	5.684766	2.530971	6.708133	3.973018	6.143487	0.583140	-18.302233	-13.973115	4.737716	6.724045	6.414151	8.217576	10.100613	6.744270	6.838852	7.416296	2.832266	5.910493
21	4	11.241064	6.931588	6.369473	1.458254	3.088558	1.041625	6.888591	7.316281	6.141577	-3.793547	-0.091263	3.946561	0.852411	-15.561293	6.913951	6.209163	-3.539596	1.005376	6.363748	10.668007	6.277598	-2.314075	-10.159334	-11.057661	-10.326696	-9.085989	-21.490148	-1.940197	-2.179081	7.059093	-9.200160	-14.208281	1.017589	-0.255286	6.480280	7.606062	6.441454	2.174437	2.763243	-8.595304	4.586306	6.338814	-1.742744	6.047104	-15.561293	4.826322	6.209163	-3.539596	1.005376	6.363748	10.668007	6.277598	-2.314075	-10.159334	-11.057661	-10.326696	-9.085989	-21.490148	-1.940196	-2.179081	7.059093	-9.200155	-14.208281	1.017589	-0.255286	6.480280	7.606062	6.441454	2.174437	2.763243	-8.595304	4.586306	6.338814	-1.742744	6.047104	4.280518	-0.480673	6.209163	2.250008	6.148011	0.279456	-16.590438	-15.250900	4.761819	6.613213	7.197734	9.255303	11.989885	5.981090	8.621600	6.636644	2.142381	8.793880	11.241064	6.931588	6.369473	1.458254	3.088558	1.041625	6.888591	7.316281	6.141577	-3.793547	-0.091263	3.946561	0.852411	4.280518	1.606957	6.209163	2.250008	6.148011	0.279456	-16.590438	-15.250900	4.761819	6.613213	7.197734	9.255303	11.989885	5.981090	8.621600	6.636644	2.142381	8.793880
24	4	-7.559239	0.154122	0.020895	4.810296	6.153921	6.155559	-3.004679	1.070445	-5.523201	6.839973	6.277232	3.118882	5.514056	2.221708	-0.369039	3.022395	-0.081812	7.301009	1.071217	-17.740668	-10.926193	1.761805	6.755028	3.675356	2.437957	7.240455	10.635250	5.792243	6.743304	1.713453	9.055945	9.537136	6.235812	6.316532	-1.775500	1.624880	1.300324	3.574617	7.512619	5.553066	-1.742501	3.762390	5.382347	5.031406	2.221708	0.394708	3.022395	-0.081812	7.301009	1.071217	-17.740668	-10.926193	1.761805	6.755028	3.675356	2.437957	7.240455	10.635250	5.792243	6.743304	1.713453	9.055945	-7.559239	0.154122	0.020895	4.810296	6.153921	6.155559	-3.004679	1.070445	-5.523201	6.839973	6.277232	3.118882	5.514056	-9.494692	5.996203	3.022395	-6.236646	2.469269	8.224603	5.314748	4.861227	-4.022571	-8.856899	-10.442562	-12.985430	-15.541282	-18.897598	-5.810779	-4.838929	6.590774	0.253986	9.537136	6.235812	6.316532	-1.775500	1.624880	1.300324	3.574617	7.512619	5.553066	-1.742501	3.762390	5.382347	5.031406	-9.494692	6.759950	3.022395	-6.236646	2.469269	8.224603	5.314748	4.861227	-4.022571	-8.856834	-10.442562	-12.985430	-15.541282	-18.897598	-5.810779	-4.838929	6.590774	0.253986
33	4	-9.546232	0.572693	-0.356245	7.238862	6.283872	6.209749	-0.742225	1.469453	-2.513111	7.468703	6.654949	-1.148865	7.390232	5.326988	-0.822128	3.734550	5.984235	6.240914	0.884288	-15.070745	-5.043680	8.531373	6.214738	7.676975	10.105887	9.285998	9.774732	6.622672	7.093092	6.986138	4.997146	-9.546232	0.572693	-0.356245	7.238862	6.283872	6.209749	-0.742225	1.469453	-2.513112	7.468703	6.654949	-1.148865	7.390232	-12.837726	5.151582	3.734550	-0.395425	0.275260	6.703580	8.590566	8.584959	2.498879	-10.759162	-3.179216	-8.982219	-14.661191	-21.790344	-1.047386	-2.121933	7.621401	-7.429688	5.769125	6.902990	5.636089	3.329828	4.134474	6.209431	5.306512	6.468880	6.651574	-2.193437	4.185469	4.241110	6.709781	-12.837726	8.896012	3.734550	-0.395425	0.275260	6.703580	8.590566	8.584959	2.498879	-10.759162	-3.179216	-8.982219	-14.661191	-21.790344	-1.047386	-2.121933	7.621401	-7.429688	5.769125	6.902990	5.636089	3.329828	4.134474	6.209431	5.306512	6.468880	6.651574	-2.193437	4.185469	4.241110	6.709781	5.326988	2.922302	3.734550	5.984235	6.240914	0.884288	-15.070745	-5.043680	8.531373	6.214738	7.676975	10.105887	9.285998	9.774732	6.622672	7.093092	6.986138	4.997146
34	4	-2.397447	2.764750	-2.225458	5.630018	4.703619	6.768515	2.350929	-0.169729	-3.031055	5.537822	5.269093	0.370582	4.560319	-14.767122	6.941884	6.713294	-1.005515	5.273183	2.072102	7.197097	2.588136	-0.697163	-4.146363	-4.802818	-6.410018	-12.967709	-15.031274	-5.666146	-3.954730	8.820999	-12.519101	4.390484	4.755029	-0.232247	1.148928	0.211252	1.802513	3.694181	5.606676	1.821284	-0.775210	3.303440	6.304276	2.152987	-14.767122	7.654106	6.713294	-1.005515	5.273183	2.072102	7.197097	2.588136	-0.697163	-4.146367	-4.802818	-6.410018	-12.967707	-15.031278	-5.666146	-3.954730	8.820999	-12.519101	-2.397447	2.764750	-2.225458	5.630018	4.703619	6.768515	2.350929	-0.169729	-3.031055	5.537822	5.269093	0.370582	4.560319	4.247703	0.492835	6.713294	5.557707	7.385514	-0.173074	-24.719341	-13.551279	6.049728	5.771505	6.178783	10.948961	12.485634	10.183174	6.681633	8.633024	4.456580	2.326586	4.390484	4.755029	-0.232247	1.148928	0.211252	1.802513	3.694181	5.606676	1.821284	-0.775210	3.303440	6.304276	2.152987	4.247703	1.205057	6.713294	5.557707	7.385514	-0.173074	-24.719341	-13.551279	6.049728	5.771505	6.178783	10.948961	12.485634	10.183174	6.681633	8.633024	4.456580	2.326586
38	4	-4.508719	-0.067652	-4.089958	6.376458	7.474392	3.637812	1.481333	-2.555984	-12.575520	8.141644	6.390464	1.048088	4.037257	-7.909591	1.728629	6.275833	1.375645	4.632039	3.078512	9.384948	4.839449	-2.214215	-9.923590	-5.509766	-7.976380	-20.465104	-18.533949	-6.684955	-1.388947	4.181187	-8.995715	2.942155	5.906594	1.552295	6.375331	7.474385	3.637812	6.101069	3.175654	-6.307706	5.226958	6.389457	6.987379	-1.299086	6.629524	-1.785208	6.275833	5.951936	9.169430	-6.694275	-21.422727	-11.477224	4.704799	3.538065	5.918249	10.836124	6.671171	9.339606	5.130481	4.960248	2.626750	2.232430	-4.508719	-0.067652	-4.089958	6.376458	7.474392	3.637812	1.481333	-2.555984	-12.575520	8.141644	6.390464	1.048088	4.037257	6.629524	-1.787841	6.275833	5.951936	9.169430	-6.694275	-21.422727	-11.477224	4.704799	3.538065	5.918249	10.836124	6.671171	9.339606	5.130481	4.960248	2.626750	2.232430	2.942155	5.906594	1.552295	6.375331	7.474385	3.637812	6.101069	3.175654	-6.307706	5.226958	6.389457	6.987379	-1.299086	-7.909591	1.731262	6.275833	1.375645	4.632039	3.078512	9.384948	4.839449	-2.214215	-9.923590	-5.509766	-7.976380	-20.465104	-18.533949	-6.684955	-1.388947	4.181187	-8.995715
