2	2	-7.074783	2.808024	5.213657	6.775326	8.333336	7.487281	3.256169	5.836341	-8.659822	2.200386	7.002912	4.471829	6.808649	-15.425775	0.300469	9.426142	1.385621	3.205904	6.948934	10.085078	6.562293	-1.032378	-10.570604	-6.487462	-17.318673	-20.448763	-15.307348	-4.996458	-5.240713	7.365468	-12.108478	-7.074783	2.808024	5.213657	6.775326	8.333336	7.487281	3.256169	5.836341	-8.659822	2.200386	7.002912	4.471829	6.808649	3.632112	-2.281623	9.426142	7.474702	8.648744	-3.406742	-25.627831	-17.649889	7.606533	7.407510	6.754315	9.033036	8.348148	11.098612	6.883640	5.220473	1.607386	5.496032
5	2	1.415464	1.954174	2.833216	2.823619	1.086283	4.716656	1.839488	7.240193	3.003862	5.617389	1.890621	4.235273	1.896491	-16.314449	6.989924	8.497126	-0.777398	2.924497	4.969963	9.819799	5.642582	-2.079635	-8.549634	-9.803338	-9.845279	-20.428612	-20.710831	-2.079526	-3.963730	7.491018	-10.837180	1.415464	1.954174	2.833216	2.823619	1.086283	4.716656	1.839488	7.240193	3.003862	5.617389	1.890621	4.235273	1.896491	5.835725	1.565913	8.497126	5.831327	8.876569	-6.175307	-22.783631	-13.637680	6.756984	5.754865	6.515716	10.435484	10.028796	9.420355	4.533384	6.824987	2.212193	3.244187
7	2	10.572828	5.639602	6.343319	-0.801285	2.736948	2.918544	7.029434	6.731393	4.063161	-3.741085	-0.401556	6.854423	2.809443	6.291020	0.414335	7.097425	5.295795	6.618599	-3.230295	-16.849706	-13.289982	4.828259	6.290454	5.839750	11.808196	10.872782	10.015740	7.154826	3.599962	5.124166	7.849716	10.572828	5.639602	6.343319	-0.801285	2.736948	2.918544	7.029434	6.731393	4.063161	-3.741085	-0.401556	6.854423	2.809443	-13.186454	5.854819	7.097425	0.235699	2.048254	8.257145	9.584551	5.588966	-4.758106	-9.118801	-8.028280	-9.583168	-20.977849	-21.102114	-3.684486	-5.374315	6.691947	-1.566490
10	2	-5.678972	1.565571	5.985651	5.816763	6.916209	6.971420	1.795692	-0.646998	-7.913774	5.703401	6.986506	-0.346877	8.666647	7.305532	-0.008641	7.931030	7.339110	4.250646	1.595123	-17.446404	-12.845852	7.050444	0.779974	6.658015	4.159118	8.081397	9.527400	8.376093	7.837983	2.832588	6.914099	-5.678972	1.565571	5.985651	5.816763	6.916209	6.971420	1.795692	-0.646998	-7.913775	5.703401	6.986506	-0.346877	8.666647	-7.004674	5.961261	7.931030	1.349946	-2.251901	6.017269	7.897638	5.289695	-2.759078	-11.929512	-5.119528	-14.555010	-17.842116	-14.020623	3.860880	-4.338354	6.414712	-0.296418
11	2	-10.028710	-0.145028	-1.411761	7.260281	5.905056	4.821814	0.676218	2.736433	-5.067799	7.076281	6.283072	1.018882	5.308995	-15.816232	0.559137	7.047448	0.979953	-0.086240	7.150752	10.567239	3.460392	-7.429589	-5.526422	-9.383443	-9.223533	-25.744711	-9.225538	-6.328836	-4.406819	8.500128	-13.535388	5.629091	4.236502	4.805138	1.032558	4.117567	4.821637	6.495867	9.285423	4.670800	-1.840734	3.390109	3.522274	4.810809	-15.816232	6.719783	7.047448	0.979953	-0.086240	7.150752	10.567239	3.460392	-7.429589	-5.526434	-9.383443	-9.217002	-25.744711	-9.225538	-6.328836	-4.406819	8.500128	-13.535388
12	2	-7.409110	0.965881	0.685244	8.162898	4.148533	3.883859	-1.863327	1.399317	-3.180149	3.849571	5.420345	5.571809	5.788529	-9.824856	4.794448	7.132295	1.970101	-1.324414	8.113106	10.343342	6.963925	-3.912203	-9.666839	-11.074329	-14.096832	-17.463625	-23.699751	-4.455688	-4.773176	6.850515	-10.056191	-7.411457	0.965881	0.685244	8.162898	4.148533	3.883859	-1.863327	1.399317	-3.180150	3.849571	5.420345	5.571809	5.788529	6.883871	-0.636150	7.132295	6.998730	4.890702	1.661228	-16.759382	-14.763308	7.224463	6.623098	4.926402	9.531356	3.895371	7.446537	4.767629	6.232303	1.461792	6.104633
14	2	10.464813	6.800254	7.791036	0.158410	0.010330	-1.678809	7.649528	4.704571	5.511340	1.154246	0.172179	6.177274	-1.570880	-16.147754	6.701521	8.870260	2.538083	4.445333	7.312713	9.950793	6.554410	1.597460	-6.464953	-9.981903	-3.139392	-18.861071	-23.300513	-2.740807	-1.759654	8.004471	-8.833278	10.464813	6.800254	7.791036	0.158410	0.010330	-1.678809	7.649528	4.704571	5.511340	1.154246	0.172179	6.177274	-1.570880	4.951059	2.920497	8.870260	6.937571	7.756448	-2.900577	-18.832733	-13.555312	8.011098	7.625192	6.222919	11.173935	8.044877	10.307802	6.473732	8.457899	2.367924	5.811035
17	2	-0.923636	1.192827	1.878199	6.321921	0.429536	5.207220	-2.211683	3.297542	-1.608669	6.312398	4.340376	5.158326	4.428823	5.696554	-6.610253	5.555334	2.710331	6.225370	-5.477523	-11.532389	-3.516508	1.915534	7.244752	6.287301	9.574701	9.450270	10.018495	6.634546	6.729311	1.788580	6.475506	-0.923636	1.192827	1.878199	6.321921	0.429536	5.207220	-2.211683	3.297542	-1.608669	6.312398	4.340376	5.158326	4.428822	-10.813478	-0.154332	5.555334	-0.330036	-0.136502	7.131527	7.920496	7.732768	-8.738584	-7.605397	-7.748427	-12.075236	-17.506558	-21.521085	-1.735876	-5.877147	6.580794	-8.705763
23	2	8.656421	6.577129	4.766331	0.210068	0.895403	0.551713	6.675926	7.699782	6.567529	-4.863035	2.923095	9.039282	0.543038	-11.990386	5.447982	4.590993	-7.063873	-1.155792	5.241814	12.378150	4.608016	-2.240366	-7.102285	-10.275688	-19.920769	-24.043304	-20.920444	-3.334866	-4.928979	6.933092	-3.113506	-9.036332	1.447120	0.632577	6.501366	5.118145	7.093890	0.817986	1.058239	-5.013651	7.401697	6.247665	2.751723	6.011397	-11.990386	3.620291	4.590993	-7.063873	-1.155792	5.241814	12.378150	4.608016	-2.240366	-7.102285	-10.275688	-19.920769	-24.043304	-20.920444	-3.334866	-4.928979	6.933092	-3.113506
26	2	8.661713	7.280182	6.723619	0.859400	2.389714	-0.750711	6.486813	5.002181	3.027025	0.743979	2.059186	5.209581	3.500363	7.005039	3.019812	5.327402	5.704051	4.532051	-0.662895	-26.379636	-14.104546	6.335927	6.193618	6.848428	6.438801	7.334120	10.326244	7.612729	7.500095	1.243245	4.947787	8.661713	7.280182	6.723619	0.859400	2.389714	-0.750711	6.486813	5.002181	3.027025	0.743979	2.059186	5.209581	3.500363	-13.003479	6.871680	5.327402	0.423378	1.840088	4.585113	9.488694	5.613860	-3.056235	-3.538025	-11.949338	-16.460150	-16.347178	-20.596908	-3.524211	-2.997181	6.826350	-10.402321
