3	3	-14.995558	0.369635	-1.026119	8.641245	7.308398	6.713264	1.296340	2.096283	-15.590408	5.660789	7.092231	2.616190	7.282235	-10.336323	1.049627	4.683016	-3.042704	1.944467	6.332714	11.460530	8.836892	-2.629725	-14.151750	-9.900585	-17.551336	-14.893860	-24.957145	-3.606667	-5.087104	7.242947	-12.791609	6.872068	6.785383	5.283036	2.138927	0.900122	1.266867	6.601288	8.349614	3.702618	-4.096335	1.519643	8.313114	2.493231	-10.336323	6.617096	4.683016	-3.042704	1.944467	6.332714	11.460530	8.836892	-2.629725	-14.151750	-9.900585	-17.551336	-14.893860	-24.957140	-3.606667	-5.087104	7.242947	-12.791609	-14.995558	0.369635	-1.026119	8.641245	7.308398	6.713264	1.296340	2.096283	-15.590408	5.660789	7.092231	2.616190	7.282235	5.890506	-3.249241	4.683016	2.990044	5.875136	-2.759712	-16.022117	-8.564284	4.562892	4.055443	5.799662	5.901725	10.052902	8.563476	6.164028	5.438634	2.909749	0.605057
4	3	-13.438262	2.892885	2.768043	6.544673	8.551380	6.826201	1.465578	0.802059	-9.697911	6.950598	6.441868	3.760733	4.354247	-13.292431	3.532972	5.395992	-4.466998	1.195784	5.954595	10.879363	5.570326	0.115678	-8.457191	-8.502897	-15.093179	-18.667243	-23.939547	-3.537480	-3.648412	6.972875	-10.158486	-13.438262	2.892885	2.768043	6.544673	8.551380	6.826201	1.465578	0.802059	-9.697911	6.950598	6.441868	3.760733	4.354247	4.272045	-2.204737	5.395992	1.436536	4.733926	-1.787527	-16.880493	-14.648728	5.082723	7.973588	7.023469	7.833552	7.614080	5.688359	6.799921	5.953906	2.256747	1.816919	7.525191	8.564686	7.307382	1.999769	3.774120	4.476438	6.544098	6.803834	5.340751	0.104959	3.954544	8.763095	0.822853	4.272045	0.982157	5.395992	1.436536	4.733926	-1.787527	-16.880493	-14.648728	5.082723	7.973588	7.023469	7.833552	7.614080	5.688359	6.799921	5.953906	2.256747	1.816919
6	3	2.054103	6.535730	6.419039	9.031135	7.495783	4.877735	7.324178	5.877401	-5.345397	4.860774	7.223141	3.438821	5.937397	-14.898350	0.569332	6.736551	4.235463	0.354104	8.375782	10.518034	6.187426	-0.750042	-8.503135	-7.836103	-9.276208	-12.233696	-20.572499	0.028683	-2.220929	8.653200	-9.998276	-7.081257	0.872659	-0.092848	9.032264	7.495789	4.877736	1.348326	-0.683769	-8.826951	6.627884	7.223246	-2.047996	5.991505	-14.898350	0.568645	6.736551	4.235463	0.354104	8.375782	10.518034	6.187426	-0.750042	-8.503135	-7.836103	-9.276208	-12.233696	-20.572499	0.028683	-2.220929	8.653200	-9.998276	3.731107	6.648409	6.419845	4.742736	7.289213	4.836451	7.848990	5.877602	0.490671	-0.445299	5.798984	4.188853	5.751461	-14.898350	5.810216	6.736551	4.235464	0.354104	8.375782	10.518034	6.187426	-0.750042	-8.503135	-7.836103	-9.276206	-12.233696	-20.572499	0.028683	-2.220929	8.653200	-9.998276
13	3	8.626376	7.156835	7.030227	0.834248	5.662089	4.936687	4.429129	6.723844	8.754041	-3.731146	2.514965	4.447291	4.782203	5.561987	3.356685	8.201318	4.656937	1.221266	1.181518	-23.368700	-12.135448	6.919404	7.318267	6.337541	3.417213	10.918152	10.648807	7.715051	5.762560	2.493727	8.058002	-2.084409	0.565589	2.999228	1.762221	5.813644	5.101183	-0.537743	5.336769	7.563166	2.306275	4.201266	-1.103002	4.833874	5.561987	3.356672	8.201318	4.656937	1.221266	1.181518	-23.368700	-12.135448	6.919404	7.318267	6.337541	3.417213	10.918152	10.648807	7.715051	5.762560	2.493727	8.058002	8.626376	7.156835	7.030227	0.834248	5.662089	4.936687	4.429129	6.723844	8.754041	-3.731146	2.514965	4.447291	4.782203	-4.981694	7.343411	8.201318	-1.841390	-5.082384	5.897139	6.883040	4.447638	1.731003	-8.464177	-5.829500	-11.498389	-20.050624	-18.494806	-4.409641	-4.714999	6.710589	0.309520
29	3	5.114944	6.965946	6.320201	4.837959	4.741868	3.391919	4.943152	0.661488	4.434832	0.683988	5.745533	3.500669	6.841875	7.438100	-1.707044	4.075275	1.689681	5.323767	-0.850789	-17.886049	-14.754244	1.631188	7.139897	5.459632	5.887809	9.473112	11.051270	6.230155	5.589612	2.362876	5.672531	-0.448861	1.182126	1.015079	5.608810	4.820666	3.497634	-0.507605	-2.498037	1.401989	6.956433	6.335500	-2.332996	6.844453	7.438100	-3.128263	4.075275	1.689681	5.323767	-0.850789	-17.886049	-14.754244	1.631188	7.139897	5.459632	5.887809	9.473112	11.051270	6.230155	5.589612	2.362876	5.672531	5.114944	6.965946	6.320201	4.837959	4.741868	3.391919	4.943152	0.661488	4.434832	0.683988	5.745533	3.500669	6.841875	-12.465967	3.746447	4.075275	-3.655904	1.840389	5.907136	11.919102	5.881429	-4.706131	-6.343922	-12.273399	-12.240379	-18.631205	-22.155641	-4.972656	-5.460751	8.705933	-9.709086
36	3	-16.779973	-0.056854	-3.125561	7.018893	4.718403	7.255888	0.827278	1.114041	-6.917608	4.254498	4.971791	0.986830	7.260315	5.236012	-1.073658	8.437443	6.184781	7.001656	-7.559242	-19.424381	-10.994775	4.650887	7.163243	4.309152	10.066550	7.755311	11.709804	6.566893	6.532163	0.931585	9.304804	-16.779973	-0.056854	-3.125561	7.018893	4.718403	7.255888	0.827278	1.114041	-6.917608	4.254498	4.971791	0.986830	7.260315	-9.162927	3.661018	8.437443	0.160634	2.542210	3.879993	8.836562	6.098448	-4.208144	-8.230044	-8.831426	-8.058609	-21.962014	-20.871134	-1.093830	-3.735035	6.033128	-2.718418	-16.779973	-0.056854	-3.125561	7.018893	4.718403	7.255888	0.827278	1.114041	-6.917608	4.254498	4.971791	0.986830	7.260315	-3.688936	3.661018	8.437443	1.504189	6.002490	2.349937	-10.582028	-4.536520	-2.762801	4.439168	4.217673	4.837932	7.384989	10.787827	6.566417	6.532134	0.931602	3.036438
41	3	-8.220955	3.021142	1.892242	7.334627	7.474923	5.632904	0.188559	3.784561	-17.211890	4.769856	7.673880	1.138398	6.368892	6.385945	-3.940591	7.482329	7.901679	6.572857	3.589835	-21.092499	-9.858227	8.696493	2.256730	2.342574	2.641223	6.773688	8.592719	6.202272	6.905022	1.428488	5.024996	-8.220955	3.021142	1.892242	7.334627	7.474923	5.632904	0.188559	3.784561	-17.211890	4.769856	7.673880	1.138398	6.368892	-9.589494	2.335917	7.482329	2.096216	-0.010226	8.700598	8.277892	6.870312	-1.947780	-13.241433	-9.783584	-14.663691	-21.680662	-19.906569	-1.457488	-3.997870	4.767454	-7.082829	-8.220955	3.021142	1.892242	7.334627	7.474923	5.632904	0.188559	3.784561	-17.211890	4.769856	7.673880	1.138398	6.368892	-0.777032	2.154884	7.482329	5.398929	6.545369	5.636667	1.859472	-0.159496	8.024598	-10.516315	-4.108499	-4.577902	-13.798888	-14.512666	-1.457488	-3.997870	4.767454	-4.024791
49	3	10.747354	4.527193	6.589534	-1.829791	-0.984549	1.829385	6.236856	5.685106	6.017694	-1.909663	2.818165	6.605684	1.492803	6.866457	0.972932	5.652622	5.924381	6.907822	-2.928555	-26.182389	-16.850113	6.728586	6.762103	8.463804	8.473326	8.894157	9.267171	5.129465	5.626974	4.546583	5.146826	10.747354	4.527193	6.589534	-1.829791	-0.984549	1.829385	6.236856	5.685106	6.017694	-1.909663	2.818165	6.605684	1.492803	-6.925274	7.212524	5.652622	0.617468	2.794784	3.963599	9.166691	3.746476	-1.531633	-5.122501	-1.737681	-11.775281	-19.542422	-18.549899	-7.105612	-4.009570	7.984959	-8.784472	10.747354	4.527193	6.589534	-1.829791	-0.984549	1.829385	6.236856	5.685106	6.017694	-1.909663	2.818165	6.605684	1.492803	-4.616523	7.212524	5.652622	0.617471	2.796500	3.963477	-4.164292	0.333935	-1.531627	3.247351	6.098054	-5.341019	-9.280367	-0.582952	-2.007478	1.220130	6.122140	-7.383494
60	3	6.239155	5.648991	5.467398	1.627375	-2.957542	0.131789	7.925420	7.600110	8.542469	-1.866137	0.580107	7.268557	1.039465	-14.940220	7.287674	6.926581	0.271246	-1.678961	6.245935	12.366743	8.307854	-3.119954	-11.077161	-12.051897	-15.120279	-23.139833	-17.578451	-2.229497	-8.065125	7.191800	-9.866863	-1.977481	1.685873	0.647186	6.413895	0.950961	0.131789	5.533001	0.991314	2.473714	6.284780	6.084164	2.808979	5.750769	-14.940220	1.458516	6.926581	0.271246	-1.678961	6.245935	12.366743	8.307854	-3.119954	-11.077161	-12.051897	-15.120279	-23.139833	-17.578451	-2.229497	-8.065125	7.191800	-9.866863	6.239155	5.648991	5.467398	1.627375	-2.957542	0.131789	7.925420	7.600110	8.542469	-1.866137	0.580107	7.268557	1.039465	5.633663	0.749763	6.926581	6.846957	4.239840	2.520151	-8.702370	-4.250238	6.218991	4.941618	5.428297	6.337085	7.457534	9.853582	7.670399	4.595929	4.777935	3.608909
67	3	-8.657113	-1.477736	1.240816	6.136715	5.402294	6.136306	-0.055621	0.456927	-4.528804	6.837978	4.640544	2.735887	6.232770	-16.853224	0.709629	2.235641	-3.208949	2.365345	3.551259	8.492209	6.006705	-5.775168	-3.558415	-5.337499	-18.294816	-13.892920	-17.573620	-4.381802	-5.044725	5.753288	-5.787367	3.971336	5.021190	2.128970	-0.388471	1.667410	0.621498	6.316767	6.872730	4.505638	-1.604307	0.148128	8.841492	0.127837	-16.853224	6.719156	2.235641	-3.208949	2.365345	3.551259	8.492209	6.006705	-5.775168	-3.558415	-5.337499	-18.294816	-13.892920	-17.573620	-4.381802	-5.044725	5.753288	-5.787367	-8.657113	-1.477736	1.240816	6.136715	5.402294	6.136306	-0.055621	0.456927	-4.528806	6.837978	4.640544	2.735887	6.232770	2.512412	-2.618831	2.235641	3.227754	8.200183	-3.301047	-22.189222	-10.806532	5.386479	7.777349	7.366611	8.030560	10.989704	11.525806	7.281330	6.797393	1.307214	6.090445
