l_max,network_name,modA,modB,T_network,T_C_intra,T_AS_intra,T_C→AS,T_AS→C,T_E_intra,T_E→AS,T_AS→E,T_M_intra,T_M→AS,T_AS→M,T_PS_intra,T_AS→PS,T_PS→AS,T_RS_intra,T_AS→RS,T_RS→AS,T_M→C,T_C→M,T_C→PS,T_PS→C,T_C→RS,T_RS→C,T_E→C,T_C→E,T_M→E,T_E→M,T_E→PS,T_PS→E,T_E→RS,T_RS→E,T_M→PS,T_PS→M,T_M→RS,T_RS→M,T_PS→RS,T_RS→PS
2,Comb_AS_C,C,AS,0.50175814380558,0.47905701754385965,0.6075498575498576,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_E,E,AS,0.590827369726082,,0.6075498575498576,,,0.5772128060263653,0.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_M,M,AS,0.5843859637316392,,0.6075498575498576,,,,,,0.3638888888888889,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_PS,AS,PS,0.40856069420205543,,0.6075498575498576,,,,,,,,,0.26804371479774697,0.11111111111111112,0.0037825059101654983,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_RS,AS,RS,0.5618085618085619,,0.6075498575498576,,,,,,,,,,,,0.6048611111111111,0.15789473684210523,0.0,,,,,,,,,,,,,,,,,,,,
2,Comb_C_M,M,C,0.48120915032679734,0.46571969696969695,,,,,,,0.36458333333333326,,,,,,,,,0.0641025641025641,0.2666666666666666,,,,,,,,,,,,,,,,,,
2,Comb_C_PS,C,PS,0.3425721745416513,0.47905701754385965,,,,,,,,,,0.26804371479774697,,,,,,,,0.1818181818181818,0.0,,,,,,,,,,,,,,,,
2,Comb_C_RS,C,RS,0.5165726070898484,0.47905701754385965,,,,,,,,,,,,,0.6048611111111111,,,,,,,0.07936507936507937,0.0,,,,,,,,,,,,,,
2,Comb_E_AS,E,AS,0.590827369726082,,0.6075498575498576,,,0.5772128060263653,0.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_E_C,E,C,0.5309368191721133,0.47905701754385965,,,,0.5772128060263653,,,,,,,,,,,,,,,,,,0.09523809523809523,0.20833333333333331,,,,,,,,,,,,
2,Comb_E_M,M,E,0.54513163510569,,,,,0.5772128060263653,,,0.3638888888888889,,,,,,,,,,,,,,,,,0.09523809523809525,0.16666666666666666,,,,,,,,,,
2,Comb_E_PS,E,PS,0.43688318056071673,,,,,0.5772128060263653,,,,,,0.26804371479774697,,,,,,,,,,,,,,,,0.0,0.2,,,,,,,,
2,Comb_E_RS,E,RS,0.42326552415838126,,,,,0.5772128060263653,,,,,,,,,0.6048611111111111,,,,,,,,,,,,,,,0.0,0.16666666666666666,,,,,,
2,Comb_M_PS,M,PS,0.34079406830482867,,,,,,,,0.3638888888888889,,,0.26804371479774697,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
2,Comb_M_RS,M,RS,0.5701388888888889,,,,,,,,0.3638888888888889,,,,,,0.6048611111111111,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2,Comb_PS_RS,PS,RS,0.39073235569292597,,,,,,,,,,,0.26545794930875566,,,0.6048611111111111,,,,,,,,,,,,,,,,,,,,,0.14583333333333334,0.1317829457364341
