l_max,network_name,modA,modB,T_network,T_C_intra,T_AS_intra,T_C→AS,T_AS→C,T_E_intra,T_E→AS,T_AS→E,T_M_intra,T_M→AS,T_AS→M,T_PS_intra,T_AS→PS,T_PS→AS,T_RS_intra,T_AS→RS,T_RS→AS,T_M→C,T_C→M,T_C→PS,T_PS→C,T_C→RS,T_RS→C,T_E→C,T_C→E,T_M→E,T_E→M,T_E→PS,T_PS→E,T_E→RS,T_RS→E,T_M→PS,T_PS→M,T_M→RS,T_RS→M,T_PS→RS,T_RS→PS
1,Comb_AS_C,C,AS,0.8611111111111112,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Comb_AS_E,E,AS,1.0,,1.0,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Comb_AS_M,M,AS,1.0,,1.0,,,,,,0.75,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Comb_AS_PS,AS,PS,0.7554819023569024,,1.0,,,,,,,,,0.8739130434782609,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,
1,Comb_AS_RS,AS,RS,0.9827586206896551,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,Comb_C_M,M,C,1.0,1.0,,,,,,,0.75,,,,,,,,,0.14285714285714285,0.75,,,,,,,,,,,,,,,,,,
1,Comb_C_PS,C,PS,0.6158263305322129,1.0,,,,,,,,,,0.8739130434782609,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,Comb_C_RS,C,RS,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,Comb_E_AS,E,AS,1.0,,1.0,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Comb_E_C,E,C,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,Comb_E_M,M,E,1.0,,,,,1.0,,,0.75,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,Comb_E_PS,E,PS,0.7971014492753623,,,,,1.0,,,,,,0.8739130434782609,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,Comb_E_RS,E,RS,0.7619047619047619,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,Comb_M_PS,M,PS,0.6354665071770336,,,,,,,,0.75,,,0.8739130434782609,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,Comb_M_RS,M,RS,0.875,,,,,,,,0.75,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,Comb_PS_RS,PS,RS,0.6168573607932876,,,,,,,,,,,0.8739130434782609,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.2
