2	1	2.329532	5.855491	1.588914	-3.605815	-0.654303	-7.301742
3	1	-0.352742	6.279984	1.527415	-0.265812	-4.736416	0.115003
4	1	-1.480538	7.301619	2.075165	-3.053729	-3.155601	-8.380793
5	1	1.699388	7.368819	-2.339697	0.999989	1.111662	-3.773809
8	1	5.336400	4.991369	6.308833	6.390921	4.922176	4.022960
10	1	-1.672530	9.417704	-1.255230	-4.260622	-1.974477	-7.769688
12	1	2.081107	6.421099	3.257958	-6.501224	0.291021	-3.279057
13	1	6.369362	0.637765	5.998405	4.217148	5.707022	5.780659
15	1	6.411854	0.232514	7.676831	6.857449	7.488121	6.320596
18	1	6.363158	3.951914	7.330955	7.207866	4.712983	4.488885
20	1	6.729150	1.732760	0.605299	-5.058846	1.784564	1.921686
22	1	1.292208	8.308617	-0.315002	-4.978999	-5.144317	-0.675830
24	1	1.399575	7.255035	1.040890	-4.724671	-2.461660	-4.568515
26	1	2.009153	6.950196	-0.718498	-6.864183	-1.840173	-1.679483
29	1	0.633890	7.718083	-2.640824	-3.050510	-3.492200	-3.160552
30	1	8.189476	2.808304	8.885064	7.144230	6.851268	8.427716
31	1	1.281421	8.909130	-0.931760	-2.466096	-3.594719	-0.133238
33	1	7.516298	1.936399	0.559285	-1.347578	5.184997	0.898865
35	1	0.637551	6.133146	2.217086	-2.078718	-0.998959	0.314851
36	1	2.412955	8.132677	-0.339425	-1.392913	-5.905952	-5.107193
39	1	5.703855	2.615536	1.462928	-1.960706	5.506964	-1.557313
41	1	6.748598	4.466666	6.775535	7.294121	4.783573	6.130928
44	1	0.855948	7.980759	7.807992	0.303969	-0.891615	5.337544
45	1	0.639826	6.887848	-2.912476	-0.535463	-7.060194	-4.506821
46	1	4.277057	3.874106	1.036532	-2.132288	2.390885	-4.888637
47	1	4.465502	2.825709	1.005733	0.645121	1.313360	4.617575
49	1	5.455834	5.257320	-5.610461	-2.958081	0.349184	-1.282595
51	1	1.261577	9.652303	1.056593	-0.527065	-3.627538	-3.339931
53	1	-0.333689	7.108756	8.344728	7.126855	2.120835	2.696076
55	1	2.822166	7.298103	-1.046894	-3.265318	0.226837	-1.840954
56	1	4.784489	0.774939	7.733262	7.260810	5.743066	4.453609
57	1	6.317043	5.117044	8.899063	7.070403	4.927518	7.298685
58	1	-0.766359	8.837155	-0.001139	-6.816955	-7.075478	-1.724173
59	1	9.300718	-1.679398	6.982868	8.256980	4.010794	6.539379
60	1	5.298081	0.990478	5.309261	4.743969	5.975704	4.809557
63	1	-0.110892	7.180477	-0.156434	-5.115012	-4.022452	-4.076427
70	1	2.878187	6.451382	0.219821	-3.878246	-3.791195	-4.642510
71	1	7.049627	1.665647	9.053127	6.017658	8.862585	6.880570
72	1	2.498921	4.474742	-2.671354	-4.058406	-0.623242	-4.208184
73	1	3.095379	8.925638	-0.442049	-2.358893	-5.671288	-4.466078
75	1	7.629991	4.421070	-0.063825	-4.245691	2.364668	0.771985
77	1	8.560297	4.035738	7.288078	6.135454	7.248375	5.993143
78	1	1.230026	6.507999	-0.845799	0.689031	-2.232843	-1.217976
80	1	3.375542	6.166489	2.342378	-1.052005	-3.782961	0.135901
81	1	5.987117	0.493278	9.228458	6.483433	8.607495	4.471366
87	1	0.757275	8.054869	5.546730	2.279870	0.281082	1.962150
89	1	0.812232	9.014883	1.134628	-7.759406	-9.220638	0.535852
90	1	5.271358	2.578023	-3.469357	-3.368267	0.459658	-3.199324
93	1	-0.273198	6.870085	-5.155639	-6.006039	-0.543913	-2.086831
94	1	3.671525	5.683765	-0.121149	-0.238136	-2.265831	1.707078
95	1	4.003965	7.730788	0.453349	-3.494907	-5.323862	3.291015
96	1	1.029124	6.550415	1.379496	-1.094562	-2.435047	-0.507507
97	1	2.881864	6.515177	5.696798	1.415023	0.751202	5.297125
100	1	3.722426	5.356820	-2.087593	-1.830035	1.460481	1.008059
