1	2	97	0.126925	2.146895	-0.078966	-5.025497	-12.024151	7.162002	12.356976	-4.084269	-9.732723	-13.737434	-12.802210	-7.265338	-15.340816	-6.574263	-2.952134	-9.947338	11.353885	-6.727778
1	2	3	5.551365	1.856696	-0.078798	0.417516	0.863687	-7.276263	-1.005877	0.395630	7.797423	7.366576	5.928410	5.626901	5.007430	3.470695	6.136459	5.040243	-16.590813	4.266900
2	1	100	1.658378	7.205337	-1.135249	-9.834305	-14.630342	5.722377	11.411232	-2.889206	-12.958122	-17.737186	-11.032140	-5.374411	-12.004754	-3.957506	-4.229246	-9.247315	9.049326	-5.351142
3	2	51	7.321310	0.217770	1.348465	2.597635	7.068679	-8.718431	-19.321514	4.592136	6.667947	10.016190	6.043643	6.302101	5.795620	3.549765	7.887285	3.286589	-11.971150	6.818647
3	2	49	2.105938	2.487813	-0.236025	0.933947	-1.828528	5.589095	10.003520	-1.140860	-15.402472	-15.692260	-8.954806	-10.045099	-9.303552	-4.816734	-0.994763	-11.517674	7.853891	-3.866779
4	3	54	-2.494121	6.565220	-0.382046	-2.861416	-14.979606	8.493370	10.033178	-5.375389	-17.153215	-9.445065	-4.851063	-10.624368	-17.567465	-3.982549	-1.265108	-2.709520	9.995172	-6.806105
4	3	36	-1.793261	6.565220	-0.381894	1.360688	-2.380046	-6.912417	-15.241056	-5.222304	1.120259	8.368089	8.966768	7.589236	4.149858	5.831279	9.187957	6.858836	-14.636840	5.238674
4	3	10	3.994890	6.555301	5.294764	8.030682	1.029076	-6.984281	-19.559836	4.244461	5.119925	8.368093	8.971439	7.589252	4.149869	6.007252	9.188196	7.356541	-14.708928	5.239095
5	5	9	3.964884	8.185013	6.907731	6.356955	0.466012	-7.610705	-19.312404	1.998174	6.253971	9.039702	8.917412	2.174217	3.519669	6.469093	6.429574	5.924833	-12.151456	7.877539
5	5	37	-1.069249	8.741310	1.387638	-4.297280	-17.103937	5.121418	7.758374	-5.312550	-10.663897	-21.141399	-6.581512	-11.156944	-16.501983	-1.532107	-6.466863	-9.239931	7.669629	-3.172508
