4	3	-2.494121	6.565220	-0.382046	-2.861416	-14.979606	8.493370	10.033178	-5.375389	-17.153215	-9.445065	-4.851063	-10.624368	-17.567465	-3.982549	-1.265108	-2.709520	9.995172	-6.806105	-1.793261	6.565220	-0.381894	1.360688	-2.380046	-6.912417	-15.241056	-5.222304	1.120259	8.368089	8.966768	7.589236	4.149858	5.831279	9.187957	6.858836	-14.636840	5.238674	3.994890	6.555301	5.294764	8.030682	1.029076	-6.984281	-19.559836	4.244461	5.119925	8.368093	8.971439	7.589252	4.149869	6.007252	9.188196	7.356541	-14.708928	5.239095
6	3	4.050953	5.804438	0.606726	-5.099546	-4.456128	-8.478217	-17.049546	-2.353583	3.834108	6.614526	4.434257	6.972822	2.850909	0.889223	3.633525	6.649808	-7.563209	6.261103	3.974757	5.820637	0.606678	-5.313418	-16.063340	6.700657	8.024104	-2.504536	-10.984166	-19.505582	-12.250681	-11.620542	-12.754658	-11.608877	-6.943254	-9.424980	11.664306	-5.920120	8.188347	3.659200	6.155604	6.006143	2.137802	-8.478217	-17.061576	8.387985	5.580004	6.614564	4.434257	6.972822	2.868972	0.918095	3.633525	6.649939	-7.602974	6.261104
10	3	6.907328	0.112555	6.884139	4.979202	-0.767206	8.581343	10.740956	7.525254	-12.284425	-20.991214	-7.744050	-9.495928	-16.837698	-7.855954	-1.710749	-13.348998	11.006988	-2.289072	3.680261	5.857202	0.996007	-2.018459	-6.891354	8.581603	10.740956	0.077294	-17.261984	-20.991214	-7.744050	-9.495927	-16.837698	-7.856036	-1.710749	-13.349000	11.006988	-2.289072	7.120814	-0.195511	6.902113	7.787526	4.441184	-2.780871	-13.447937	7.531772	6.458327	9.998253	9.272721	8.677381	5.373894	2.800259	6.278637	5.223452	-11.194169	5.812370
12	3	7.386355	0.759903	7.354876	7.347563	5.355231	-5.397240	-10.162347	8.426426	6.108887	11.181078	7.176655	6.640547	7.372371	7.194419	8.586696	7.852081	-17.137389	7.472725	7.074063	0.760490	7.354522	3.569728	-2.388679	9.004987	10.117488	8.340552	-13.163250	-16.902460	-11.614191	-10.549799	-13.776372	-3.692043	-3.014566	-10.687003	10.320676	-2.973193	0.929403	6.713452	2.080207	-4.310896	-14.036717	9.004987	10.117488	2.040929	-13.456243	-16.902460	-11.614191	-10.549799	-13.776372	-3.692614	-3.014578	-10.687003	10.320676	-2.973193
15	3	2.254599	5.958138	-1.268116	-2.889011	-8.731398	5.786562	9.629764	-4.688199	-14.742165	-14.119178	-8.660776	-12.070696	-13.587025	-3.251773	-2.130719	-11.875489	8.654242	-3.011156	6.960048	-0.408048	-1.084108	1.944438	3.652982	-11.635076	-16.095250	1.342749	4.424188	11.486460	7.931224	4.378008	7.157069	7.454403	4.307739	5.704666	-18.472290	8.427098	6.960048	-0.408048	4.202392	6.002947	3.775675	-11.635076	-16.095250	4.553148	4.424188	11.486460	7.931224	4.378008	7.157069	7.454403	4.307739	5.704666	-18.472290	8.427098
18	3	-0.498133	3.573990	-1.119937	1.074962	-2.214435	-3.404376	-20.052643	-3.087341	1.429700	10.643927	9.393873	6.958011	5.081587	6.855865	4.787184	9.129310	-14.232732	7.024498	4.008664	3.553940	5.381828	6.906840	4.269149	-6.409960	-20.150108	5.280696	6.328717	10.644161	9.393874	6.958011	5.081850	6.866690	4.789340	9.160199	-14.458296	7.024498	-1.080718	3.573990	-1.120149	-3.615375	-12.383080	7.522386	8.197998	-3.087371	-15.912194	-16.398977	-6.749430	1.245332	-13.996824	-2.038575	-7.094427	-7.778065	8.883237	-0.138794
19	3	2.451078	7.793696	-2.386211	-1.351342	-13.666511	7.443934	12.294059	-1.639416	-11.485904	-8.802011	-6.307405	-7.991226	-15.725513	-1.642339	-3.891084	-3.647924	10.058113	-1.068550	5.966330	2.243746	-0.727822	1.948723	2.084476	-11.402611	-13.602244	0.582739	5.495481	11.486009	6.977187	8.653564	7.102400	6.350659	7.646227	6.535662	-15.554570	5.725616	2.585739	7.793616	-2.348560	-0.139802	-2.928768	-9.979293	-13.470924	-1.628584	3.467698	11.486009	6.977187	8.653547	7.102398	6.326662	7.644502	6.535644	-15.554535	5.725615
20	3	3.326475	5.120338	1.957660	-3.916906	-6.915238	0.700032	10.419510	-0.663081	-8.372972	-15.963527	-12.590028	-12.661349	-10.254586	-2.770521	3.108459	-8.206788	10.247571	-7.433310	5.632460	1.212722	1.957745	0.906297	-0.175251	-14.633195	-7.809138	-0.478297	7.247239	9.332115	5.449094	4.489140	4.091654	6.030229	6.859431	3.006787	-15.183705	4.807987	7.071799	-0.697428	6.641756	6.398472	4.628428	-14.633355	-7.809856	5.748361	7.315709	9.332115	5.449514	4.489143	4.091654	6.030246	6.859433	3.006938	-15.183721	4.808100
21	3	3.861032	6.328525	3.734664	4.659808	-2.243531	-7.796988	-16.668079	1.050455	5.883987	11.819295	9.090409	8.750574	7.169380	8.176657	7.664464	6.061952	-15.936983	6.929658	1.488129	6.328934	-1.449587	-3.907644	-13.560240	9.426122	9.283047	-4.995998	-13.859945	-14.574629	-6.577031	-5.684534	-11.584584	-2.972919	-2.270283	-8.994371	9.576562	0.099007	1.557775	6.328934	0.348661	-0.400576	-3.588710	-7.785666	-16.632614	-4.936368	4.137074	11.819295	9.090408	8.750574	7.169380	8.089863	7.664464	6.059885	-15.936982	6.929653
22	3	0.503764	6.607956	4.305162	-5.844914	-11.740530	4.170348	10.002391	-0.936262	-13.353039	-16.622309	-8.697957	-7.935663	-13.388895	-7.276702	-7.540804	-9.840881	5.736232	-3.429670	7.051577	2.677484	8.451462	5.555718	7.295775	-9.880417	-16.329118	5.866401	4.885930	10.388498	6.069507	7.427185	4.752018	4.282829	4.931839	5.877585	-18.463727	6.451057	7.051577	2.677484	4.305222	-0.150070	1.609277	-9.880417	-16.329118	4.782025	4.885930	10.388498	6.069507	7.427185	4.752018	4.282829	4.931839	5.877585	-18.463727	6.451057
24	3	6.215857	5.439825	7.223255	6.042280	5.805257	-5.264508	-12.875090	4.389748	5.640479	11.940438	7.544598	7.192325	6.438567	6.563108	5.854349	7.314197	-17.677011	3.636388	0.054732	7.438474	3.334906	-6.103641	-15.719313	7.949627	10.955349	0.569333	-15.636185	-13.647411	-8.112491	-5.503465	-16.583602	-5.591306	-5.683912	-7.377701	10.183426	-8.409770	0.239429	7.438176	3.334906	-6.099712	-4.097685	-3.477539	-10.028516	0.569335	-0.079049	11.940239	7.544597	7.192324	6.382610	5.554982	5.854345	5.757489	-12.372078	3.567502
25	3	0.916738	6.099585	1.267145	-2.260348	-1.489772	-1.930914	-11.322901	-4.820979	-0.699295	10.672379	6.580957	5.129244	5.747217	7.048251	7.785311	4.204675	-13.081307	8.304327	0.763317	6.106016	1.267145	-6.450026	-12.630232	8.505515	8.331892	-4.821022	-14.412320	-18.519227	-1.908864	-11.625522	-17.559293	-4.184644	-4.867873	-3.872081	8.406349	-1.747555	7.008526	4.166601	1.267174	0.172412	3.719410	-7.742960	-16.146221	0.672620	6.378478	10.672379	6.583826	5.129306	5.748678	7.273813	8.064761	6.673194	-17.544254	8.430765
27	3	6.940793	5.399429	2.868609	1.369803	0.132502	-11.848470	-12.681064	-2.117001	9.268421	10.025230	5.142225	7.973303	3.339141	4.591819	8.452570	6.955617	-11.869801	6.139495	1.454341	8.101540	2.868197	-3.449940	-11.507824	5.369686	12.517750	-4.945747	-10.077977	-13.232342	-10.824861	-8.009542	-15.558826	-3.291341	-3.920025	-6.979020	10.568320	-2.385240	7.915141	3.581220	2.869161	1.574009	4.304028	-11.848470	-12.681064	-1.889100	9.268494	10.025230	5.142225	7.973303	3.339141	4.591819	8.452570	6.955617	-11.869801	6.139495
36	3	0.889401	8.927774	3.381869	-6.614380	-15.402120	7.201441	9.765340	-6.128991	-10.256943	-11.246649	-13.320177	-8.668056	-15.097436	-7.488333	-5.769195	-11.186721	9.337863	-4.306113	6.681305	2.390623	3.382473	-1.723804	0.790650	-5.953901	-7.817318	0.355284	6.341929	12.430438	5.779513	7.011956	4.172935	2.377661	4.830205	6.163478	-13.906311	6.627142	6.728284	2.386092	8.757816	4.136380	6.227336	-5.953901	-7.817318	5.720645	6.342968	12.430438	5.779513	7.011956	4.172935	2.377661	4.830205	6.163479	-13.906311	6.627142
37	3	0.411561	7.518318	2.136493	-5.049311	-12.591904	1.709237	10.715622	0.122895	-14.493565	-16.511118	-9.271637	-9.369123	-13.669343	-0.153526	-6.201790	-14.216645	9.449015	-6.591798	6.534280	6.200007	6.151544	4.846522	4.964349	-10.972305	-15.573530	6.130174	8.497290	7.726869	4.855072	6.838201	5.544648	6.838486	2.224013	-2.870114	-20.631037	0.747378	1.143031	7.518318	2.136493	-5.021347	-2.332501	-10.742887	-15.189875	0.150650	2.758160	7.725818	4.833641	6.838201	5.539383	6.750834	2.223762	-2.903382	-19.919625	0.729489
