5	1	5.900215	6.217462	8.182136	7.208390	2.561167	-16.639971	4.298503	5.738216	-1.636391	-0.661430	5.079734	10.425975	5.697967	-3.237490	-7.403355	-9.297982	-11.591277	-25.481360	-22.768629	-2.894784	-6.825200	8.987162	-13.652186
25	1	7.530348	-0.504980	4.627925	4.001602	5.382196	-15.849050	1.807342	7.345620	1.973284	-1.109509	3.138671	10.129811	6.504328	-1.530299	-9.633323	-3.790218	-11.731345	-10.712787	-13.003910	-4.028345	1.844529	7.689863	-9.307651
35	1	6.256554	1.386200	4.891189	4.699720	4.866595	-7.322592	8.367169	6.322002	-8.726642	0.460602	7.080626	8.572339	8.694097	-2.883957	-11.284679	-6.104515	-12.626133	-27.026665	-15.705257	-2.206746	-5.745366	5.488797	-2.171159
38	1	7.584859	-0.206153	4.305028	5.161598	7.221078	-13.373123	3.578517	6.661657	-1.670104	1.075884	8.919327	9.914193	6.329974	-2.694290	-6.415165	-5.785353	-11.542408	-21.408962	-21.650097	-4.374717	-4.563494	7.943898	-10.803892
39	1	1.565556	4.928976	-1.727299	-4.890675	-1.298308	-11.071541	-1.245807	4.244040	-3.813290	0.163846	6.072328	9.837394	6.415390	-4.969164	-7.531201	-3.920078	-8.769471	-26.187017	-26.115863	-4.274187	-4.664295	1.862602	-2.884972
52	1	0.642230	5.832442	-0.198676	-5.059682	-6.869921	-11.787147	-0.129054	6.624960	-0.131096	-1.037566	8.488905	9.868343	6.209325	-7.630502	-9.300754	-9.312623	-13.849973	-21.007336	-27.852925	-4.631907	-6.955287	7.569068	-4.473784
56	1	7.011300	-2.280428	4.773752	6.882158	7.134302	-13.041988	4.640160	6.428977	-4.077734	2.928413	5.780331	6.339363	6.580248	-5.013061	-7.997219	-7.264144	-14.967691	-16.305322	-24.923272	-7.947582	-3.199507	7.124131	-7.904963
70	1	0.513305	7.603324	-2.094317	0.423859	-3.935417	-14.334684	-2.827859	6.710061	-3.671782	-0.164070	5.093606	8.854144	6.053831	-4.375474	-10.580183	-13.126803	-11.736458	-20.385290	-11.565758	-7.671577	-3.296422	5.487020	-5.346481
71	1	1.044971	5.335041	-0.572332	-7.991023	-5.308563	7.608707	-6.332891	5.402289	7.228804	8.472962	-7.361474	-19.085062	-15.427498	7.838191	5.583953	7.185822	9.761889	9.182919	11.261444	6.339064	7.878753	1.698106	6.387087
94	1	-2.895741	4.540263	-1.805527	-7.598827	-3.982852	-13.401909	-5.724874	5.794818	2.235265	1.700950	6.347198	9.617213	3.157197	2.956688	-9.181522	-6.797122	-5.880549	-25.913149	-23.405317	-8.784271	-7.760595	5.108779	-5.117566
