1	3	2.343032	6.779275	0.608375	-7.717386	-8.767232	2.865899	-0.949208	6.295234	4.030920	7.199054	-0.790782	-27.586353	-14.906586	5.861941	6.246792	6.382420	8.885576	11.043855	6.714031	6.591438	6.609474	4.980660	7.737746	2.404711	6.771837	0.608375	-7.690998	-2.180821	-14.928042	-0.904996	6.295234	-2.474244	2.468346	7.417348	8.120311	5.082316	-4.686607	-10.082145	-9.428958	-17.064061	-18.025136	-21.511332	-5.889689	-4.809485	7.539712	-4.507698	6.727040	3.407943	0.608375	-2.267109	2.096026	-14.928041	1.514319	6.295234	-2.474303	2.468346	7.417348	8.120311	5.082316	-4.686607	-10.082145	-9.428958	-17.064061	-18.024462	-21.511332	-5.889689	-4.809485	7.539712	-4.507462
2	3	8.210097	-1.645688	6.321216	7.829059	4.567553	-12.585736	5.646420	4.600357	-1.920409	2.060990	5.088341	9.846380	6.676005	-10.206851	-8.722575	-8.467614	-15.829680	-19.940156	-19.918071	-4.459734	-4.524690	8.320301	-5.716637	6.031615	0.771883	-0.230702	-3.203379	-1.910392	-12.585736	-0.722600	4.600357	-1.920409	2.060990	5.088341	9.846380	6.676005	-10.206851	-8.722575	-8.467614	-15.829680	-19.940138	-19.918071	-4.459734	-4.524690	8.320301	-5.716637	5.607362	2.050864	-0.230703	-3.250535	-7.965261	6.653498	-1.153809	4.600357	3.634995	8.284846	-5.560644	-20.456068	-8.719709	0.368040	7.573466	7.750752	7.680251	11.871448	11.137567	6.509070	6.851725	2.547397	6.027899
3	3	7.511569	1.924050	5.943844	8.284826	9.017485	-14.558333	4.332811	7.594965	-1.251368	-1.194330	6.705880	9.803130	5.772433	-3.033127	-10.603497	-7.440519	-17.298122	-20.501592	-24.345141	-3.418456	-4.831574	8.121928	-15.184619	7.511562	1.924050	3.415451	3.169167	7.881291	-14.558333	2.822911	7.594965	-1.251368	-1.194330	6.705880	9.803130	5.772433	-3.033127	-10.603497	-7.440519	-17.298122	-20.501592	-24.345141	-3.418456	-4.831574	8.121928	-15.184619	2.275423	4.561642	-0.186218	-1.927144	-2.242498	4.856167	-3.149710	7.594965	3.681341	4.735050	-1.733682	-15.445798	-13.157436	5.292843	4.569549	7.378472	4.335859	9.813540	9.151156	6.868493	5.819574	2.526616	3.425232
4	3	0.477154	6.563457	0.323349	-2.989361	-0.767537	-16.096284	-3.154184	6.482648	0.368333	5.324526	2.277923	8.843736	2.797111	-5.749042	-3.243073	-0.648084	-5.861320	-9.171620	-10.268673	-5.309787	-2.068453	6.623759	-8.954859	0.430553	6.563464	0.323349	-3.963727	-7.335208	4.912902	-3.177008	6.482648	6.524830	8.674115	-4.160020	-11.156339	-13.638424	5.280566	6.651080	8.466481	7.987847	9.122385	9.969557	6.831511	7.202323	0.933803	7.104742	6.523172	3.269964	5.848719	5.615488	7.546144	-16.096284	5.677205	6.482648	0.368333	5.324526	2.277923	8.843736	2.797111	-5.749042	-3.243073	-0.648087	-5.861320	-9.171625	-10.268681	-5.309787	-2.068453	6.623759	-8.954734
6	3	1.087835	6.650072	-0.176450	-3.942054	-9.713125	6.628940	-8.424391	6.481027	7.969823	8.655338	-3.044374	-16.358717	-9.339947	3.634570	7.390795	8.160863	10.496200	10.572015	11.489263	4.828316	9.162072	3.569123	7.447529	6.979288	1.722193	6.171128	5.694282	6.412841	-12.243481	3.340213	6.481027	1.982571	6.076493	4.735957	10.402124	7.617563	-5.683027	-4.657260	-8.522040	-10.671128	-20.453928	-17.443110	-8.199202	-0.475838	9.830607	-7.331042	1.087835	6.650072	-0.176449	-3.942052	-4.243298	-12.243481	-8.424391	6.481027	1.982571	6.076493	4.735957	10.402124	7.617563	-5.683027	-4.657260	-8.522040	-10.671128	-20.453928	-17.443110	-8.199202	-0.475838	9.830607	-7.331042
7	3	6.459595	1.838549	9.407221	4.116832	9.097934	-18.124172	5.317959	5.690858	-3.004058	1.112916	6.227692	8.553101	6.742285	-2.343510	-9.232327	-13.909641	-11.124940	-20.571136	-18.216139	-5.505424	-3.811441	5.785671	-4.436609	2.576694	6.079388	3.624303	-5.608990	-2.171891	-18.124172	-3.284580	5.690858	-3.004058	1.112916	6.227692	8.553101	6.742285	-2.343510	-9.232320	-13.909641	-11.124940	-20.571136	-20.485877	-5.505424	-3.811488	5.785671	-4.436609	6.205928	2.800003	3.637612	0.254167	4.372018	-18.124172	1.986127	5.690858	-3.004058	1.112916	6.227692	8.553101	6.742285	-2.343510	-9.232327	-13.909641	-11.124940	-20.571136	-18.146758	-5.505424	-3.811435	5.785671	-4.436609
8	3	1.345773	5.300152	6.107919	9.087370	0.227725	6.622866	1.150570	7.089705	8.949637	5.936011	-4.685836	-22.323694	-11.029153	6.667095	7.642898	6.036293	8.888649	12.080768	13.103859	5.167227	5.638531	-0.637153	6.112887	6.466464	2.114302	6.107919	9.112271	5.510885	6.622866	6.997126	7.089705	8.949637	5.936011	-4.685836	-22.323694	-11.029153	6.667095	7.642898	6.036293	8.888649	12.080768	13.103859	5.167227	5.638531	-0.637153	6.112887	0.509835	5.300152	0.803605	-0.542566	-5.146346	6.622866	-1.837648	7.089705	8.949637	5.936011	-4.685836	-22.323694	-11.029153	6.667095	7.642898	6.036293	8.888649	12.080768	13.103859	5.167227	5.638531	-0.637153	6.112887
12	3	-0.200466	2.176422	2.581476	-1.264794	-10.792574	5.846273	0.023598	7.416604	7.986059	5.889800	0.551711	-16.087705	-8.402795	0.509710	6.757494	7.254493	9.644243	9.746852	9.708473	7.311254	4.251124	3.630714	6.537265	-0.200466	2.176422	2.581476	-1.264090	-5.794764	-11.594068	0.023598	7.416604	2.430819	2.499162	6.372051	11.715262	6.682850	-9.141792	-8.886573	-8.872073	-8.399325	-26.029348	-22.676629	-2.962484	-5.047781	5.587172	-6.665560	4.430299	-0.225504	7.490912	3.503781	0.709553	-11.594068	5.702559	7.416604	2.430819	2.499162	6.372051	11.715262	6.682850	-9.141792	-8.886573	-8.872073	-8.399394	-26.029357	-22.676657	-2.962484	-5.047781	5.587172	-6.665560
14	3	2.398724	7.336762	-0.455472	-5.790654	-12.475460	7.083920	-1.498072	6.044440	4.351626	3.204355	0.717106	-21.612005	-16.757248	4.676784	0.007853	4.387909	4.077400	10.302074	4.038499	6.006620	7.079072	1.364080	4.033253	2.398726	7.336762	-0.455472	-5.790651	-7.188485	-7.485596	-1.498071	6.044440	-1.865712	1.416318	6.882901	8.822907	4.047397	-7.265394	-14.997321	-9.845279	-11.957411	-23.762445	-26.784978	-4.312055	-5.225992	6.778167	-12.179435	2.439716	7.330389	4.940638	2.276256	-2.421221	-7.485596	4.042772	6.044440	-1.865712	1.416318	6.882901	8.822907	4.047397	-7.265394	-14.997321	-9.845279	-11.957415	-23.762445	-26.784978	-4.312055	-5.225992	6.778167	-12.179435
16	3	1.063064	7.344724	2.020778	-4.246525	-3.910347	6.430452	1.599910	5.986183	6.239082	7.061209	-4.686239	-22.939626	-17.684019	6.715942	7.207139	6.870420	9.347129	10.374164	5.830807	6.841711	7.102301	1.524850	6.826163	3.978780	7.285850	2.025669	-0.474490	1.452875	-7.459794	1.855444	5.986183	1.648885	3.108566	3.913377	9.681395	3.664960	-2.325998	-2.633964	-7.642446	-9.945545	-14.696014	-19.814381	-4.530445	-4.773599	7.728449	-10.714673	4.135006	7.263966	7.285361	6.606063	2.658192	-7.460702	5.239814	5.986183	1.648885	3.108566	3.913377	9.681395	3.664960	-2.325998	-2.633964	-7.642446	-9.945545	-14.696014	-19.814381	-4.530445	-4.773599	7.728449	-10.714673
