10	2	2.794628	6.506212	-1.746739	-6.347390	-4.891011	-11.074606	-1.593260	5.814434	-2.116023	3.469021	8.333845	9.415521	4.137676	-5.424667	-5.640211	-11.010546	-13.082339	-18.111594	-26.027981	-7.911709	-4.187967	4.061121	-9.123008	7.309071	3.573272	4.666577	3.752048	4.461995	-11.074606	3.456111	5.814434	-2.116023	3.469021	8.333845	9.415521	4.137676	-5.424667	-5.640211	-11.010546	-13.082339	-18.111518	-26.027981	-7.911709	-4.187967	4.061121	-9.123008
11	2	-1.065223	6.789309	1.759010	-0.925829	-9.329086	-14.116220	-0.005649	7.106239	-1.851270	2.005368	5.002401	9.168132	5.482928	-3.812122	-10.564880	-9.548759	-19.308381	-17.505599	-22.120175	-4.069552	-6.394852	4.329914	-7.647012	-1.065223	6.789309	1.749962	-0.938445	-11.734895	6.313437	-0.012624	7.106239	4.758250	6.269718	-4.900227	-18.514018	-18.420005	7.142483	4.752779	8.336492	9.315641	10.154730	10.963709	4.579916	3.491486	1.063705	6.563801
18	2	7.825558	1.387714	7.701841	8.329872	8.478450	-12.517003	7.187295	6.944706	-0.568535	-3.777845	6.412791	8.780226	7.709445	-7.312233	-11.152089	-12.770746	-16.224265	-29.920869	-22.061692	-3.712007	-5.842575	6.712119	-6.168844	7.824532	1.388545	7.701841	8.302616	5.675092	8.925871	7.187244	6.944706	4.652306	2.712775	1.539433	-23.268308	-6.720188	5.403451	5.058296	5.903741	4.789216	6.748740	10.028783	6.282689	6.794893	3.106781	6.209288
21	2	4.999281	5.329397	0.659675	-1.359824	0.773624	-12.145169	1.706939	5.944766	-5.062158	1.051852	5.040851	9.229044	5.171363	-4.736584	-4.975897	-10.383534	-14.824509	-18.950147	-18.699635	1.869852	-7.002285	6.412892	-12.902708	6.567743	1.684432	6.988575	2.302966	6.829565	-12.145169	7.386408	5.944766	-5.062158	1.051852	5.040851	9.229044	5.171363	-4.736584	-4.975897	-10.383534	-14.824509	-18.950147	-18.699635	1.869852	-7.002285	6.412892	-12.902708
26	2	6.612341	4.470008	6.599330	6.276043	6.941675	-14.133952	6.846521	7.595019	2.176699	1.260900	7.834885	9.384542	5.191415	-2.712436	-10.267720	-11.332740	-8.716521	-20.829453	-17.811247	-9.055006	-5.369945	6.582638	-5.918039	1.264988	7.417867	1.882605	-1.249613	-5.105479	2.540434	-3.994633	7.595019	8.292225	5.605525	4.809911	-16.831120	-13.412535	5.765426	3.556754	2.279768	6.075227	4.040167	4.725041	2.878539	6.310144	0.591041	5.619738
28	2	-1.375558	7.287178	1.802253	-1.682124	-0.981790	-10.491318	-2.031928	6.068418	-2.570199	1.936914	9.258344	10.857965	7.958991	0.343760	-13.759661	-2.539939	-12.714099	-16.274269	-18.221671	-2.251363	-9.191754	4.536963	-5.888773	-1.411521	7.287178	0.824486	-4.373727	-5.681654	4.063549	-2.659078	6.068418	3.987780	6.733397	1.362552	-13.371157	-0.491386	6.891615	4.881652	6.284237	6.909487	11.034941	5.404980	9.141427	2.481842	4.425099	3.676131
31	2	0.436676	8.604143	3.184116	-7.850119	-2.581421	-12.618811	-1.280131	5.999290	-7.202905	0.057103	4.157350	10.745612	6.735681	-3.250783	-12.299002	-6.974958	-17.504761	-23.420694	-17.115461	-1.246053	-3.944066	6.314605	-9.051251	0.435900	8.604143	3.184116	-7.850865	-5.315136	2.331171	-1.280131	5.999290	-0.801833	6.603033	-5.301875	-13.000925	-7.990608	3.820529	6.014855	7.699560	3.450741	7.963527	12.280742	7.628339	8.248196	3.917228	3.331540
37	2	0.642695	7.565867	1.327339	-4.465090	-3.030728	-11.328777	-5.640768	8.298443	1.337959	0.089625	5.823927	8.764411	8.475826	0.607425	-8.714372	-11.937486	-15.117724	-24.312240	-19.693939	-0.992726	-3.376050	7.016482	-9.944567	6.590367	6.006511	6.752844	8.036657	2.991067	-11.328777	3.897380	8.298443	1.337959	0.089625	5.823927	8.764411	8.475826	0.607425	-8.714372	-11.937486	-15.117724	-24.312240	-19.693939	-0.992752	-3.376050	7.016482	-9.944590
40	2	-1.953176	7.251609	-2.059276	-0.020854	-2.621165	-17.032831	-3.084741	4.576683	-6.008548	0.515709	4.020330	12.534344	6.248240	-1.920209	-13.039588	-7.232780	-13.177576	-19.956496	-23.943688	-5.055911	-2.696384	5.854642	-3.739184	-0.476950	7.251605	3.873865	5.934591	-1.277123	-17.032831	-3.062060	4.576683	-6.008548	0.515709	4.020330	12.534344	6.248240	-1.920209	-13.039588	-7.232780	-13.177576	-19.956496	-23.943688	-5.055911	-2.696384	5.854642	-3.739184
41	2	-0.609194	7.179619	-0.584355	-2.134650	-2.451807	-5.317289	-6.176787	6.469436	0.403159	-4.025242	6.433369	11.242566	6.488983	-4.757620	-10.787931	-6.978835	-18.974765	-23.293506	-11.844602	1.645887	-3.294362	2.268086	1.643566	-0.609195	7.179619	-1.481925	-4.432793	-7.617377	6.718260	-6.176787	6.469436	6.018560	1.510228	0.674374	-18.266629	-8.208744	6.249618	6.666039	4.744828	4.702941	11.836044	10.394970	6.900202	7.070474	-1.021524	7.025188
