1	2	8.297532	-11.028885	-10.934616	-13.486909	10.258983	-12.361974	-18.765058	-1.456257	-1.763461	-10.599585	11.568099	-4.572845	-6.507148	6.622661	9.807494	3.971999	-15.560436	5.465642	6.107956	7.990942	8.344001	5.672748	-13.337095	6.497132
2	2	8.075417	-6.671719	-12.128862	-6.414049	11.030852	-12.183471	-11.724344	-8.002949	-5.302635	-7.217752	9.182547	-5.385010	-7.140220	7.532403	10.735747	6.367506	-5.906428	5.222211	6.641051	3.638425	5.781727	7.320716	-15.807443	7.093276
3	2	-9.957999	7.215286	10.180118	6.819027	-16.627849	8.564921	7.209329	5.574205	6.538631	4.409964	-12.648151	4.150501	4.696947	-5.275018	-16.451066	-6.566009	9.734130	-5.037857	-16.146861	1.216536	-6.004948	-11.420587	9.676636	-7.552985
4	2	5.227392	-9.471130	-19.297225	-6.470147	10.429958	-5.774007	-11.593698	-6.161391	-7.068272	-7.747367	10.232734	-7.397642	-12.100959	6.669048	9.730507	7.849246	-14.648796	6.220458	6.579959	5.403807	3.947322	5.704578	-16.140462	4.918856
5	2	7.113004	-3.833598	-19.696598	-8.577224	11.678659	-11.876699	-18.159388	-3.678765	-5.799614	-5.980386	9.100859	-1.539809	-6.621969	8.197307	8.781399	5.731342	-13.017210	5.368297	5.190898	6.246654	5.146210	8.068569	-13.479901	6.040441
6	2	8.687413	-5.614485	-14.697847	-11.989109	10.493175	-9.172111	-14.240186	-2.768697	-3.979015	-6.151140	9.898556	-1.239085	-5.377469	9.809835	10.043745	6.066944	-14.097064	8.348995	6.663559	6.434752	6.891458	7.108656	-12.328831	5.596944
7	2	5.269188	-9.214698	-16.481375	-11.030522	10.087813	-7.279540	-13.813181	-4.765640	3.120671	-5.880221	8.244412	-6.641981	-12.539359	7.208577	7.061968	7.198029	-16.428734	8.357000	6.012637	6.969805	7.574533	6.533421	-19.338491	5.124612
8	2	-11.455859	6.025489	8.350443	6.760473	-17.072019	8.915558	8.054651	7.266093	6.081666	7.476960	-18.930968	1.068975	7.906899	-11.852947	-12.028835	-10.591545	10.435652	-1.811798	-13.970191	-3.896399	-3.079721	-7.167470	9.105569	-8.058598
9	2	5.686505	-8.274803	-13.334959	-5.159304	9.310082	-11.413996	-10.915159	-3.430141	-6.660294	-13.296149	10.177686	-5.675774	-9.403957	6.277781	6.016277	7.067483	-19.853227	5.162905	8.513880	8.052924	3.135682	1.384400	-13.019589	6.168936
10	2	9.109163	-11.250267	-24.413935	-5.623964	10.209524	-9.533852	-14.639983	-4.900644	-5.664713	-8.979118	9.859671	-4.845955	-2.301870	7.636675	5.235349	6.957394	-13.610466	5.038211	5.607403	6.726385	4.513070	6.723362	-8.368106	6.253075
11	2	6.993329	-10.505551	-16.918683	-12.782861	7.899149	-7.138266	-12.099052	-6.986144	-5.938061	-10.095992	9.808333	-1.450623	-9.161963	6.378954	8.120352	6.641144	-18.028065	6.585477	7.935133	5.104792	6.473477	4.793058	-16.415852	6.643526
12	2	2.755751	-5.689534	-21.142955	-8.659597	11.397925	-11.154336	-13.975225	-3.720296	-1.781089	-11.716145	10.435366	-7.667585	-7.373978	6.765741	7.169716	4.391025	-15.413041	4.015354	2.540680	7.030360	7.122659	6.229833	-13.963536	4.923867
13	2	6.367482	-12.746224	-16.362949	-11.687287	9.993047	-12.731747	-14.157384	-4.659225	-9.275053	-11.416528	9.478644	-3.395718	-3.553377	6.360848	5.011552	6.602595	-17.414024	6.237184	6.619771	7.712412	2.795300	1.779642	-12.997240	6.299913
15	2	-11.706830	6.292216	10.848804	7.345776	-18.187383	4.872595	7.358955	8.665537	7.385263	6.097894	-11.041448	6.939077	5.431253	-7.708906	-13.879601	-10.725199	10.305833	-12.585170	-12.132689	-2.325207	-4.541408	-10.103962	10.965771	-1.194005
16	2	-8.310552	8.903145	10.154020	5.396368	-18.348888	6.266061	7.644278	5.950952	7.889029	9.625852	-16.053923	5.760186	8.989579	-8.658694	-20.309554	-12.318408	8.900277	-13.059709	-15.401975	-1.099786	-2.735612	-5.458406	11.045543	-6.134174
17	2	8.998369	-7.647151	-17.715170	-4.339586	4.106557	-11.085546	-15.347554	-5.488496	-5.888826	-9.199191	11.010691	-3.436180	-5.011339	6.069830	11.729374	7.386501	-21.672940	5.940891	6.652470	3.935889	3.744314	3.271831	-8.743526	4.819806
18	2	7.048913	-8.420638	-18.564249	-11.461164	9.999377	-2.979954	-17.365634	-0.582532	-6.949384	-9.779527	5.764906	-2.523070	-6.587396	6.965805	8.572160	6.299673	-18.130285	9.274184	5.374195	6.718022	5.203567	5.821647	-15.347945	6.238678
19	2	6.068888	-7.990397	-12.438333	-11.063169	9.984899	-5.834086	-11.371404	-4.554198	0.895047	-7.219370	9.744798	-3.437951	-9.350252	8.737848	10.048057	6.442678	-14.785526	8.148942	7.366393	4.394668	8.550720	4.789464	-19.847807	7.273531
20	2	-4.977771	5.729914	9.728036	6.354018	-21.442153	7.914130	6.747441	8.375482	8.881750	5.547639	-18.249099	7.804600	8.818569	-7.067837	-21.370760	-9.070287	5.414461	-4.375085	-15.948640	-1.645945	-3.783007	-9.863843	9.388086	-2.552374
21	2	-5.851458	4.854775	11.772778	4.171739	-15.061569	7.015242	7.913194	6.081504	8.506484	8.375187	-13.746925	7.500531	7.831277	-9.686549	-13.338789	-12.624581	5.970711	-10.467965	-17.476185	-5.630091	0.060289	-5.937868	10.276043	-0.731281
22	2	-7.457630	5.712329	11.065684	6.145147	-18.292613	6.360162	7.618425	6.394420	7.990314	6.646184	-18.331973	7.582349	7.464958	-11.205212	-19.093571	-9.842803	6.528663	-6.723803	-12.034759	-5.785766	-0.461670	-9.742354	9.471427	-4.727322
23	2	-7.519615	9.298337	9.056549	5.983060	-18.573270	6.168500	7.522549	8.580691	6.900391	6.695933	-17.105595	6.282240	8.634895	-5.640544	-19.117987	-10.687491	8.002378	-12.205575	-10.375041	-3.221524	-3.821217	-10.719615	12.143297	-5.068057
24	2	-5.259482	7.700320	9.112527	7.183888	-13.417764	6.192024	6.585615	6.350043	6.162615	8.042041	-12.688495	6.196927	8.264353	-11.824498	-16.831353	-8.485905	8.323432	-9.556815	-12.251582	-4.484611	-4.975363	-7.428448	6.759025	-3.839717
25	2	7.116940	-12.614205	-18.684592	-8.091462	10.327806	-13.290732	-17.222915	-3.552110	-8.234328	-6.414394	9.273720	-6.578669	-9.379522	6.133553	9.170640	7.365719	-10.728982	5.008010	4.265912	8.631947	4.322127	4.516624	-20.389324	4.610756
26	2	-9.141344	8.761447	10.330296	9.194799	-16.011061	8.607440	5.990611	6.559710	5.178279	6.398363	-17.108965	6.060439	8.416279	-9.791110	-15.670433	-8.503125	9.524190	-6.863781	-16.072172	-4.430531	-2.446999	-5.953079	9.490703	0.809507
27	2	-10.460598	4.537274	6.363696	8.720619	-11.987709	9.481007	8.288791	7.311691	4.758003	5.090959	-12.865868	7.203047	7.524056	-12.349783	-20.232718	-8.749846	8.993779	-6.126187	-12.476416	-4.493252	-7.357121	-3.794766	10.910325	-4.302691
28	2	6.677913	-7.095611	-15.675685	-9.838479	10.086004	-11.378589	-13.524498	-3.411794	-1.376109	-6.450399	8.111956	-2.122070	-7.764134	7.763527	7.681018	3.947540	-13.858692	6.355544	8.166949	8.761383	9.004166	4.253294	-21.719252	6.124834
29	2	-5.728886	8.203522	10.270600	5.740458	-17.467146	7.778598	5.268940	5.890725	5.763663	4.105263	-14.529705	7.022663	6.512815	-2.684642	-18.283196	-6.534446	5.459370	-9.315358	-13.568130	-0.240842	-6.025550	-10.863611	10.352913	0.868427
30	2	8.308912	-10.006193	-12.705126	-4.754802	9.511377	-6.130292	-13.618601	-4.230700	-4.801523	-13.570831	10.217816	-6.599014	-8.379659	6.079462	10.526216	7.119737	-17.164289	6.975086	9.249780	7.900246	6.557976	2.965727	-10.988511	3.383793
33	2	5.342358	-10.895363	-17.271787	-11.174946	9.990093	-7.486727	-17.414551	-1.205758	1.518434	-5.482970	8.344693	1.468908	-9.786289	7.094936	10.147989	6.505804	-14.034660	8.916832	5.441418	5.940311	6.553427	7.215016	-19.664232	6.655344
34	2	7.540879	-8.762306	-12.082637	-2.613795	12.503379	-10.379883	-19.102549	-5.420054	-2.988871	-9.251718	10.373404	0.163858	-6.167206	3.097982	12.983255	7.428417	-10.544233	5.837637	6.253017	6.030508	7.182839	5.124689	-14.114942	6.653644
35	2	-3.779190	3.453384	9.682575	6.304920	-16.712769	7.376903	8.387164	7.336457	6.609685	7.759983	-16.623689	8.307787	8.335942	-11.137046	-10.395823	-7.986622	9.102489	-11.007471	-10.735922	-2.678048	-5.503772	-6.292002	11.057736	1.380868
36	2	2.280945	-10.070141	-20.435359	-12.371226	10.161975	-13.532283	-16.850903	-1.862472	-5.476516	-8.582765	9.962571	-7.654670	-12.200978	4.811314	8.863879	4.146866	-15.279794	2.474791	2.830652	6.960418	7.283432	6.884023	-11.703797	4.353362
