Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,Stress_Fibers,SNAI2,SNAI1,Replication,pRB,Plk1_H,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,LEF1,Lats1_2,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
pRB,0.3325289678416901,0.22423480143838576,0.2542198298777246,0.20972222222222223,-0.2566132839715357,0.28469129833762563,0.15555555555555556,0.49557766481885057,0.31456796584328883,-0.6333043204963158,0.8578110429623707,0,0.8546740522868129,0.8489237249186559,0.6219890126537907,0.24780154486036837,-0.9759486292223395,-0.24780154486036837,-0.31456796584328883,0.13285914787944336,0.10714702481427293,-0.20555555555555555,0.20972222222222223,-0.57241380567039,-0.14485557734161003,-0.3205320772078096,-0.35150489770019744,-0.9783022300156542,-0.14031937495719596,-0.9331179566279602,-0.9439917943665922,-0.523876030349052,0.5426025397562113,-0.5796289413417498,-0.2857236227824463,-0.15555555555555556,-0.474751315687617
Plk1_H,0.16,0.03333333333333333,0,0,-0.0944132765298827,0,0,0.2,0.1,0.27596556913045034,0.2875,1,0.284,0.28181818181818186,0.26666666666666666,0,-0.2,0,-0.1,0.16,0,0,0,-0.22061348631459193,0.3722140486255043,0,-0.1,-0.2,0.38219653549065313,-0.346524064171123,-0.3552795031055901,0.29116541353383457,0.2,0.28127530364372466,0,0,-0.2581786755289478
p27Kip1,0.3107194623063163,0.21938953006729825,0.24340448823207442,0.20317460317460317,-0.2599529403047435,0.27076110474735904,0.15555555555555556,0.4524655037950037,0.2997811836902113,-0.6318420133219067,0.9570737438226015,0,0.8538158480958382,0.848167750918941,0.5657279068785187,0.23450292397660819,-0.8741406923240949,-0.23450292397660819,-0.2997811836902113,0.08284745447975103,0.11695249272700166,-0.1976608187134503,0.20317460317460317,-0.5719306607106118,-0.14981155883616493,-0.30149598157699026,-0.3305226793430789,-0.8767084324351468,-0.1451081916528405,-0.9320216818077294,-0.8424482671336685,-0.5227956246931762,0.49933414606014515,-0.5783836451460616,-0.2689510845117252,-0.15555555555555556,-0.4761091132984414
p21,-0.8300390435636305,-0.8451596366920737,-0.48762626262626263,-0.3944444444444445,-0.25639812600894735,-0.6660680889500028,-0.3,-0.7114958108116671,-0.7539054299309573,-0.5432039799401471,0.8844326974152471,0,0.8825216972922496,0.6790971994287084,-0.6537307651536598,-0.48526080476900146,-0.7948700817907878,0.48526080476900146,0.7539054299309573,0.9623787893982069,-0.8587865005150336,0.39344262295081966,-0.3944444444444445,-0.4860342702639975,-0.1597402531256727,0.6643188175433374,0.7509975729744948,-0.795732640687874,-0.15725718314824605,-0.7685148575376626,-0.9760905467393179,-0.4219315461494709,-0.6933797980261877,-0.48354444937527735,0.5754123199205166,0.3,-0.4121963807015847
N_bcatenin_H,0.9998672148789025,0.8999609775132921,0.6,0.5,0.17894736842105263,0.8,0.4,0.9997928067534987,0.8999811676082862,0.38268111579369857,-0.4,0,-0.4,-0.3,0.7982963680716068,0.6,0.5,-0.6,-0.8999811676082862,-0.8999883920020894,0.8999839865487009,-0.5,0.5,0.29506172839506173,0.15789473684210525,-0.8,-0.8999739439142754,0.5,0.1,0.3986394557823129,0.4995157384987893,0.2,0.9997343845140536,0.29393939393939394,-0.7,-0.4,0.2
N_bcatenin,0.8998866567669189,0.8999728150061166,0.6,0.5,0.18333333333333335,0.7,0.4,0.9998229889322001,0.7999869135640909,0.38560643200313754,-0.4,0,-0.4,-0.3,0.7984182492203332,0.6,0.5,-0.6,-0.7999869135640909,-0.7999919302775984,0.7999888579387187,-0.5,0.5,0.2964912280701754,0.16666666666666666,-0.8,-0.8999818766707444,0.5,0.1,0.39906103286384975,0.4996666666666667,0.2,0.899773218989633,0.29574468085106387,-0.7,-0.4,0.2
Myc,-0.3331300303673765,-0.194560901204627,-0.22637362637362637,-0.16923076923076924,0.2669326051932715,-0.2706207347632355,-0.1,-0.4756103965290411,-0.30188379836431045,0.6418831463604224,-0.8605403964977253,0,-0.8574861238797078,-0.7516031202851183,-0.5835620361058187,-0.22377622377622375,0.8790468025263751,0.22377622377622375,0.30188379836431045,-0.19303636705401767,-0.0763959920447883,0.16923076923076924,-0.16923076923076924,0.5811228958951269,0.15401714657785207,0.3065923982342543,0.34061173797319044,0.98114817297768675,0.14965849153426553,0.8362964390145816,0.9476427315071729,0.5315112455459465,-0.5164517202694399,0.5876801846879485,0.26780352753048997,0.1,0.48402394963738216
Mst1_2,0.20705073869033694,0.03460893928118023,-0.8902439024390244,-0.8,-0.27901785714285715,0.14905335628227193,-0.7,0.15190867385042145,0.1694777594652958,-0.5641095493015527,0.6882753997357225,0,0.6867401231519386,0.5838492474486419,0.43358009623019084,-0.5714285714285714,-0.7965500937540411,0.5714285714285714,-0.1694777594652958,0.2703108787239171,-0.014926624737945492,0.6,-0.8,-0.504206162920165,-0.18333333333333332,0.606043956043956,-0.11414330218068536,-0.7971684657359844,-0.17833333333333332,-0.6744670964188936,-0.7810461434477192,-0.43685897435897436,0.31722038554665677,-0.5021681749622926,0.6047619047619047,0.5,-0.42625
miR_34,-0.8998651729195408,-0.7999584048250403,-0.6,-0.5,-0.17777777777777776,-1,-0.4,-0.899789061898366,-0.8999800029995499,-0.3822807814629714,0.4,0,0.4,0.3,-0.8982826362521511,-0.6,-0.5,0.6,0.8999800039992001,0.8999876482213439,-0.7999829743764366,0.5,-0.5,-0.29473684210526313,-0.15555555555555556,0.8,0.899972274208082,-0.5,-0.1,-0.39855072463768115,-0.49948387096774194,-0.2,-0.8997297794414726,-0.2935483870967742,0.7,0.4,-0.2
miR_200,-0.9999235424950814,-0.9999809745772789,-0.6,-0.5,-0.1826086956521739,-0.8,-0.4,-0.8998806154145823,-0.8999908231623384,-0.3874056244728342,0.4,0,0.4,0.3,-0.9988817968336873,-0.6,-0.5,0.6,0.8999908231623384,0.999994337726314,-0.9999921963400835,0.5,-0.5,-0.2966101694915254,-0.16521739130434782,0.8,0.8999872961427913,-0.5,-0.1,-0.3991718426501035,-0.4997310020174849,-0.2,-0.8998469420799408,-0.2959595959595959,0.7,0.4,-0.2
LEF1,0.9998507924654678,0.8999540546749369,0.6,0.5,0.17777777777777776,0.8,0.4,0.9997670847960087,0.8999778381073744,0.38152521525215255,-0.4,0,-0.4,-0.3,0.7981337356452157,0.6,0.5,-0.6,-0.8999778381073744,-0.899986333663603,0.899981152523206,-0.5,0.5,0.2945945945945946,0.15555555555555556,-0.8,-0.899969326329512,0.5,0.1,0.39847908745247146,0.49944827586206897,0.2,0.8997014450129484,0.29333333333333333,-0.7,-0.4,0.2
Lats1_2,0.22764284395349485,0.051878015586401115,-0.9576352067868505,-0.8902439024390244,-0.2958521378599538,0.1694777594652958,-0.8,0.1877221659139135,0.18983286409433828,-0.6233292427525512,0.7805627218145044,0,0.7785553046700904,0.6744670964188936,0.48522844787854247,-0.6047619047619047,-0.8923332262841616,0.6047619047619047,-0.18983286409433828,0.2807093238162398,-0.010010253729329174,0.5714285714285714,-0.8902439024390244,-0.5629285216425236,-0.18792450080163242,0.5913282369804109,-0.1392983066093833,-0.893388679376083,-0.18333333333333332,-0.7632180369757032,-0.871714073338766,-0.5021681749622926,0.361690431629606,-0.5641095493015527,0.606043956043956,0.6,-0.4773649978137298
FocalAdhesions,-0.22764284395349485,-0.051878015586401115,0.9576352067868505,0.8902439024390244,0.2958521378599538,-0.1694777594652958,0.9,-0.1877221659139135,-0.18983286409433828,0.6233292427525512,-0.7805627218145044,0,-0.7785553046700904,-0.6744670964188936,-0.48522844787854247,0.6047619047619047,0.8923332262841616,-0.6047619047619047,0.18983286409433828,-0.2807093238162398,0.010010253729329174,-0.5714285714285714,0.8902439024390244,0.5629285216425236,0.18792450080163242,-0.5913282369804109,0.1392983066093833,0.893388679376083,0.18333333333333332,0.7632180369757032,0.871714073338766,0.5021681749622926,-0.361690431629606,0.5641095493015527,-0.606043956043956,-0.5,0.4773649978137298
f4N_DNA,-0.23252834346234494,-0.12586063266914332,-0.1,0,0.06253255523001075,-0.18846153846153846,0,-0.33288961038961035,-0.21745562130177515,-0.1662025705270213,-0.45568132783794113,0,-0.44476051470464883,-0.4328730904817862,-0.3722670240046066,-0.1,0.42643572515212985,0.1,0.21745562130177515,-0.1644606413994169,-0.03870424975427724,0,0,0.03189909531325482,0.023775147594032438,0.20909090909090908,0.24242424242424243,0.43443100775193794,0.026215935878248674,0.4815836922009839,0.5060655633389772,-0.19216340371838095,-0.3560062794348509,-0.18102803253934163,0.16363636363636364,0,0.20876247391894415
Ect2,0.18333333333333332,0.07333333333333333,0,0,-0.06423750835950522,0.1,0,0.2571428571428571,0.15,0.19216340371838095,0.3469922572960095,0,0.3377777777777778,0.33152173913043476,0.29841269841269835,0,-0.28823529411764703,0,-0.15,0.16999999999999998,0.00909090909090909,0,0,-0.13160515463756065,-0.03155109319699013,-0.1,-0.16363636363636364,-0.2906976744186046,0.06649712723929001,-0.38287309048178614,-0.39869047619047615,0.19840861444635027,0.2692307692307693,0.19618639222412806,0,0,-0.20311067490986848
Ecadherin_mRNA_H,-0.5796949771176477,-0.6149857641054824,-0.7957894736842105,-0.7,-0.2721577612889,-0.45741574915863376,-0.6,-0.638585914041272,-0.5324800165108188,-0.5633413070934219,0.6881501486300728,0,0.6866420496210283,0.583604733300678,-0.13526491744473407,-0.6927272727272727,-0.7964473722136188,0.6927272727272727,0.5324800165108188,0.5513972351637492,-0.542141439130647,0.6,-0.7,-0.5023139027529272,-0.17528318416607677,0.7588061612923169,0.6266240317874996,-0.7970558770492769,-0.16959511077158135,-0.6743393461398574,-0.7811613085095899,-0.4350659133709981,-0.5044663212435234,-0.5009109837935333,0.7788974854932302,0.5,-0.4223958124983489
Ecadherin_mRNA,-0.5108146682373389,-0.5427706552706553,-0.7,-0.6,-0.24995592642651468,-0.37823899371069186,-0.5,-0.5760709439813917,-0.45741574915863376,-0.5009109837935333,0.5938544559641823,0,0.59281488912720115,0.49093670886075946,-0.10489906378619747,-0.6,-0.6988795518207283,0.6,0.45741574915863376,0.4717451928036886,-0.4642800742730436,0.5,-0.6,-0.43855083655083654,-0.16959511077158135,0.7788974854932302,0.5527304242774415,-0.6991596638655462,-0.16050420168067228,-0.583604733300678,-0.6884474321280918,-0.36444444444444446,-0.4482857142857143,-0.4350659133709981,0.6927272727272727,0.4,-0.36166186754422047
E2F1,-0.32674913398178634,-0.22022956178372835,-0.25285018430753026,-0.20972222222222223,0.23939628096111662,-0.2816796505638396,-0.15555555555555556,-0.48589258965971033,-0.31064559483628545,0.6359827761679735,-0.8261171117887522,0,-0.821637728140265,-0.8126720677364208,-0.6019492757992422,-0.2462962962962963,0.9535031969876588,0.2462962962962963,0.31064559483628545,-0.1313861483450872,-0.10531280782860808,0.20555555555555555,-0.20972222222222223,0.5761583068078286,0.13391125848319627,0.3168623598927875,0.34679694247496384,0.9570041541297808,0.12979808682366228,0.8923143902764036,0.9083742702912279,0.5355221440532665,-0.5309761468250572,0.58657652807102445,0.28313840155945413,0.15555555555555556,0.471022537586302
Cytokinesis,0.2086345381526104,0.10099290780141845,0,0,-0.06464790507633147,0.15,0,0.2989610389610389,0.18846153846153846,0.18102803253934163,0.4025478128515651,0,0.39196772191185597,0.38287309048178614,0.3356676003734827,0,-0.36237322515212983,0,-0.18846153846153846,0.16999999999999998,0.022816399286987525,0,0,-0.12889773105677463,-0.026215935878248674,-0.16363636363636364,-0.20909090909090908,-0.368031007751938,-0.03155109319699013,-0.4328730904817862,-0.4533732556466695,0.19618639222412806,0.31723076923076926,0.19216340371838095,-0.1,0,-0.20744264025414574
CyclinE,-0.2914830204710849,-0.24545547041269744,-0.25588119386887354,-0.22323232323232323,0.2089865701755634,-0.27837112633567856,-0.18831168831168832,-0.4354885809243281,-0.3056518732297461,0.6191172168771122,-0.9175794044813002,0,-0.8137798092731258,-0.8080672970728054,-0.43487755808855055,-0.2431699021303854,0.837837013080169,0.2431699021303854,0.3056518732297461,0.015366664584616677,-0.1540835514970327,0.21226965882138296,-0.22323232323232323,0.5547522428757812,0.10226485069165384,0.3020046830780858,0.3276453549347122,0.8423675119915058,0.09880181567219856,0.7855631320080868,0.7955154456152356,0.5209063537293546,-0.476763742141729,0.5708458210417032,0.2729782299558976,0.18078817733990146,0.44549123479251496
CyclinD1,-0.3169089931772473,-0.19513477544006896,-0.21720779220779218,-0.16363636363636364,0.26948167316054394,-0.25988236922464725,-0.1,-0.4609214414059025,-0.2911349359597602,0.598218506253372,-0.9746881847141292,0,-0.9722492934921,-0.7679867379514833,-0.5750252924510358,-0.21363636363636362,0.888167306226918,0.21363636363636362,0.2911349359597602,-0.16155000456513563,-0.08294347869579359,0.16363636363636364,-0.16363636363636364,0.5403509523532785,0.1632077374377477,0.2936729596579174,0.327148032313859,0.8897148638694763,0.1595932796064224,0.8549395459805245,0.9636333526682807,0.4828323049663414,-0.5039895321994234,0.5415406162421487,0.25584855325261646,0.1,0.45736427843177063
CHK1,0.28688584473188056,0.22588452438894135,0.2333976833976834,0.1942084942084942,-0.2544050394462919,0.2648385331143952,0.14285714285714285,0.45784241010459115,0.29396766224352433,-0.651046091164637,0.8625740642934783,0,0.859830829696579,0.7552758378817603,0.4861004326517019,0.22523476523476527,-0.7771806156323076,-0.22523476523476527,-0.29396766224352433,0.05876089292510365,0.11933541523373344,-0.18831168831168832,0.1942084942084942,-0.5858118599742184,-0.13213763278944266,-0.29260963370022874,-0.321774341628961,-0.7794433612821166,-0.12816991254734447,-0.8404715170034178,-0.9490496522325726,-0.5394348330982134,0.5021533242078466,-0.5964287514300988,-0.2599920467881633,-0.14285714285714285,-0.48178787607309503
b_catenin_TCF4,0.8998807811755597,0.8999633296662999,0.6,0.5,0.17777777777777776,0.8,0.4,0.7998140645500359,0.8999822726466938,0.38258948298718515,-0.4,0,-0.4,-0.3,0.7984858204271894,0.6,0.5,-0.6,-0.8999822726466938,-0.8999890686488851,0.899984940893005,-0.5,0.5,0.29473684210526313,0.15555555555555556,-0.8,-0.899975481181807,0.5,0.1,0.39859154929577467,0.4995157384987893,0.2,0.7997614875688982,0.2935483870967742,-0.7,-0.4,0.2
ATR,0.25852834532612823,0.19839637273017358,0.1942084942084942,0.14285714285714285,-0.24102238981616414,0.23500345065562459,0.1,0.4230614016393721,0.2648385331143952,-0.5964287514300988,0.7741376328355983,0,0.7721270954279592,0.6686445381470124,0.4434929776846964,0.18831168831168832,-0.6863045140252573,-0.18831168831168832,-0.2648385331143952,0.07568539073161484,0.09606413863798875,-0.14285714285714285,0.14285714285714285,-0.5334562570995842,-0.12816991254734447,-0.2599920467881633,-0.29085411331210176,-0.6879357648660667,-0.12344018281761474,-0.7552758378817603,-0.8628196309964041,-0.38001838747487116,0.46399453660323225,-0.5394348330982134,-0.22523476523476527,-0.1,-0.4405639352526512
ApicalBasal_Pol,-0.6460808148056076,-0.6839884119430817,-0.8860879811468971,-0.7957894736842105,-0.28953346605568625,-0.5324800165108188,-0.7,-0.6996566344642726,-0.6039586429999568,-0.6230337248330499,0.7805691962491205,0,0.7785995610019084,0.6743393461398574,-0.16915322823210832,-0.7788974854932302,-0.8923720403210593,0.7788974854932302,0.6039586429999568,0.6268445409864816,-0.6159789906315299,0.6927272727272727,-0.7957894736842105,-0.5614990349902396,-0.18025499349462623,0.8339540902863998,0.6970530907831114,-0.8933882818775036,-0.17528318416607677,-0.763293212286706,-0.8720765261939138,-0.5009109837935333,-0.5601588818682666,-0.5633413070934219,0.7588061612923169,0.6,-0.4737028345383284
AMOT,0.21836458169763237,0.055083186315104324,-0.8450892857142858,-0.7857142857142857,-0.2817091550424884,0.16359809571535958,-0.7,0.1953148188500342,0.18391305634528082,-0.6138383483060676,0.7785553046700904,0,0.7764257479109036,0.672081719996037,0.47668007772251225,-0.5857142857142856,-0.8911646894742612,0.5857142857142856,-0.18391305634528082,0.2657413784717156,-0.008072116810202973,0.5599999999999999,-0.7857142857142857,-0.5535914199261397,-0.17383135138910716,0.5629480296718719,-0.13819814053804325,-0.8923332262841616,-0.16922978012086926,-0.7603787942646042,-0.8692790272344922,-0.49406366320112954,0.3548065653499225,-0.5552558001700578,0.5799291617473435,0.5,-0.4671924970274805
A_Kinetochores,-0.13333333333333333,-0.03333333333333333,0,0,-0.2123790072600124,0,0,-0.16,-0.1,-0.0907492098834691,-0.19696969696969696,0,-0.18333333333333335,-0.175,-0.16764705882352943,0,0.16923076923076924,0,0.1,-0.13333333333333333,0,0,0,0.06423750835950522,0.004051579197263686,0,0.1,0.17333333333333334,3.9304261189783277e-4,0.18409090909090908,0.20388888888888893,-0.09772727272727273,-0.16,-0.08855696705041684,0,0,0.0019679464507418873
