Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,Stress_Fibers,SNAI2,SNAI1,Replication,pRB,Plk1_H,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,LEF1,Lats1_2,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8997132870163966,0.899866087114631,0.7,0.6,0.23333333333333334,0.8999772649766966,0.5,0.8995715554215776,0.9999193163578053,0.4653768377740981,-0.4992792792792793,0,-0.49910514541387024,-0.39827586206896554,0.8973154486670987,0.7,0.6,-0.7,-0.9999193163578053,-0.9999462186773931,0.9999313938666073,-0.6,0.6,0.38198529411764703,0.18333333333333332,-0.8999696578927405,-0.999901639054128,0.6,0.15,0.4962266817410967,0.5984712711631652,0.2923076923076923,0.8994507461149158,0.38064102564102564,-0.8,-0.5,0.29166666666666663
ZEB1,0.9997459994737803,0.8998852819010675,0.7,0.6,0.23849206349206348,0.8999822726466938,0.5,0.8996185023085917,0.9999320957732148,0.4680094512914641,-0.4994177583697234,0,-0.4992792792792793,-0.39859154929577467,0.897535780565377,0.7,0.6,-0.7,-0.9999320957732148,-0.9999549960432599,0.9999422724058162,-0.6,0.6,0.3839260312944523,0.19126984126984128,-0.8999763523499853,-0.9999164103315342,0.6,0.15555555555555556,0.49660479432888727,0.5986563155399188,0.2935483870967742,0.8995108448953764,0.38258948298718515,-0.8,-0.5,0.29285714285714287
YAP,-0.23781021985835435,-0.07224599410635754,0.7678165584415584,0.8450892857142858,0.29566418149751483,-0.18391305634528082,0.7857142857142857,-0.22654841465055914,-0.20336295811345373,0.6701412050684037,-0.8684826302514856,0,-0.8658862004345934,-0.7603787942646042,-0.5225606132528933,0.5799291617473435,0.9844826897163627,-0.5799291617473435,0.20336295811345373,-0.26876720873001814,-1.3921355262325324e-4,-0.5857142857142856,0.8450892857142858,0.6078539024569489,0.17839484345259923,-0.5426763473312239,0.16110454447892994,0.9861525318649651,0.17383135138910716,0.84676380952989,0.9574873127400749,0.5552558001700578,-0.3929082999045902,0.6138383483060676,-0.5629480296718719,-0.5599999999999999,0.5100496398846234
WT1,0.5108146682373389,0.5427706552706553,0.7,0.6,0.24995592642651468,0.37823899371069186,0.5,0.5760709439813917,0.45741574915863376,0.5009109837935333,-0.5938544559641823,0,-0.59281488912720115,-0.49093670886075946,0.10489906378619747,0.6,0.6988795518207283,-0.6,-0.45741574915863376,-0.4717451928036886,0.4642800742730436,-0.5,0.6,0.43855083655083654,0.16959511077158135,-0.7788974854932302,-0.5527304242774415,0.6991596638655462,0.16050420168067228,0.583604733300678,0.6884474321280918,0.36444444444444446,0.4482857142857143,0.4350659133709981,-0.6927272727272727,-0.4,0.36166186754422047
U_Kinetochores,-0.16666666666666666,-0.03333333333333333,0,0,0.0019679464507418873,0,0,-0.2,-0.1,-0.25234399563876647,-0.2822222222222222,0,-0.2777777777777778,-0.275,-0.2647058823529412,0,0.2,0,0.1,-0.16666666666666666,0,0,0,0.20311067490986848,-0.2123790072600124,0,0.1,0.2,-0.21703532655047802,0.32772727272727276,0.3383333333333333,-0.27878787878787875,-0.2,-0.2626306735477041,0,0,0.2600929480196952
Twist,0.8996019315384982,0.8998083096463534,0.7,0.6,0.23152173913043478,0.6999676008423781,0.5,0.9994052437471534,0.7998847050148015,0.46100312256049963,-0.49913043478260877,0,-0.49891008174386925,-0.39801980198019804,0.8964269864237485,0.7,0.6,-0.7,-0.7998847050148015,-0.9999232122235705,0.8999018763207459,-0.6,0.6,0.3800980392156863,0.18043478260869567,-0.8999566489649939,-0.9998594205189788,0.6,0.15,0.4955445544554456,0.5980623495497637,0.29166666666666663,0.8992380856764637,0.3783333333333333,-0.8,-0.5,0.29130434782608694
Stress_Fibers,-0.21836458169763237,-0.055083186315104324,0.8450892857142858,0.7857142857142857,0.2817091550424884,-0.16359809571535958,0.7,-0.1953148188500342,-0.18391305634528082,0.6138383483060676,-0.7785553046700904,0,-0.7764257479109036,-0.672081719996037,-0.47668007772251225,0.5857142857142856,0.8911646894742612,-0.5857142857142856,0.18391305634528082,-0.2657413784717156,0.008072116810202973,-0.5599999999999999,0.7857142857142857,0.5535914199261397,0.17383135138910716,-0.5629480296718719,0.13819814053804325,0.8923332262841616,0.16922978012086926,0.7603787942646042,0.8692790272344922,0.49406366320112954,-0.3548065653499225,0.5552558001700578,-0.5799291617473435,-0.5,0.4671924970274805
SNAI2,0.9996604550789154,0.9998472843093765,0.7,0.6,0.24129032258064517,0.7999783830523131,0.5,0.9994884798747063,0.89991095630228235,0.46587711725749903,-0.4994082840236686,0,-0.49926062846580405,-0.3986394557823129,0.7967673604316449,0.7,0.6,-0.7,-0.89991095630228235,-0.8999413533204702,0.8999242941457126,-0.6,0.6,0.38389788905252825,0.19548387096774195,-0.899971160778659,-0.9998895317805145,0.6,0.16,0.49628255342541056,0.5984278481953182,0.29411764705882354,0.9993443488478579,0.38219711725749905,-0.8,-0.5,0.2935483870967742
SNAI1,0.8996808677944017,0.899848675038467,0.7,0.6,0.2324468085106383,0.9999743573305981,0.5,0.89952314310236825,0.899908913039835,0.46357686419476496,-0.4992202729044834,0,-0.4990291262135923,-0.3981651376146789,0.8970679781232347,0.7,0.6,-0.7,-0.8999089139481808,-0.9999392846712716,0.8999225197284961,-0.6,0.6,0.38113459399332594,0.18191489361702126,-0.8999657328878609,-0.9998889207356051,0.6,0.15,0.4959478427144572,0.5983221222885647,0.292,0.8993887936856375,0.3796106194690266,-0.8,-0.5,0.29148936170212764
Replication,0.23493314557152556,0.14827530179119874,0.15555555555555556,0.1,0.09516256080999136,0.20547279677062122,0,0.34966176370176844,0.23056932186714635,-0.11646614621878755,0.5084996956243375,0,0.49927077930594554,0.4859241777777874,0.3980347090224523,0.15555555555555556,-0.48206446821152704,-0.15555555555555556,-0.23056932186714635,0.1235305233636019,0.06063830679230923,-0.1,0.1,0.1662025705270213,0.05387341397472142,-0.22835653835653838,-0.2553003594912638,-0.4911008659119466,0.05638345413536398,-0.5389122255865523,-0.5638009537192925,0.02675053204017207,0.3760062255255623,0.004720294459178551,-0.19646464646464648,0,0.2456918328808247
