Source,ZEB1_H,ZEB1,YAP,WT1,Twist,Stress_Fibers,SNAI2,SNAI1,SMAC,pRB,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,MCL_1,LEF1,Lats1_2,IAPs,FocalAdhesions,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
Mst1_2,0.20857439611492415,0.03496455651560572,-0.8902439024390244,-0.8,0.17279411764705882,-0.7,0.15560150883258256,0.16979803713333574,-0.5,0.6995947315096251,0.6994630872483222,0.5986463620981388,0.44293257392434915,-0.3734265734265734,-0.8,0.5714285714285714,-0.16979803713333574,0.27165289490870886,0.7,-0.014923976608187135,0.6,0.4,-0.8,0.606043956043956,-0.1151582867783985,-0.8,-0.5,-0.6940958673829233,-0.8,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,0.3206085936458988,0.6047619047619047,0.5
miR_34,-0.8998651729195408,-0.7999584048250403,-0.6,-0.5,-1,-0.4,-0.899789061898366,-0.8999800029995499,-0.2,0.4,0.4,0.3,-0.8982826362521511,-0.6,-0.5,0.6,0.8999800039992001,0.8999876482213439,0.4,-0.7999829743764366,0.5,0.1,-0.5,0.8,0.899972274208082,-0.5,-0.2,-0.4,-0.5,-0.1,0,0,0,-0.3,-0.3,-0.3,0.3,0.3,-0.3,-0.3,0,-0.8997297794414726,0.7,0.4
miR_200,-0.9999235424950814,-0.9999809745772789,-0.6,-0.5,-0.8,-0.4,-0.8998806154145823,-0.8999908231623384,-0.2,0.4,0.4,0.3,-0.9988817968336873,-0.6,-0.5,0.6,0.8999908231623384,0.999994337726314,0.4,-0.9999921963400835,0.5,0.1,-0.5,0.8,0.8999872961427913,-0.5,-0.2,-0.4,-0.5,-0.1,0,0,0,-0.3,-0.3,-0.3,0.3,0.3,-0.3,-0.3,0,-0.8998469420799408,0.7,0.4
MCL_1,0.14061756251411422,0.18580435039937848,0.2,0.1,0.5721988104844735,0,0.3874509811007759,0.12067395930309881,-0.8998093422306959,0.4037858347769648,0.3966446453695584,0.38031241294562274,0.08069686247321697,0.6,-0.361832149716157,-0.2,-0.12067395930309881,-0.05873382480092594,0.5781793297054862,0.07793409860808483,-0.1,0.8,0.1,-0.35013831258644534,-0.405893536121673,-0.3677632318915238,-0.8998093422306959,0.15328417096765878,-0.3647004107373807,-0.8,-0.6,-0.7,-0.6,-0.9982493972173752,-0.9982493972173752,-0.998527749134387,0.9984069837339822,0.9987600479009979,-0.9989545154068196,-0.9989545154068196,-0.6,0.19136763725371744,-0.2833333333333333,0
LEF1,0.9998507924654678,0.8999540546749369,0.6,0.5,0.8,0.4,0.9997670847960087,0.8999778381073744,0.2,-0.4,-0.4,-0.3,0.7981337356452157,0.6,0.5,-0.6,-0.8999778381073744,-0.899986333663603,-0.4,0.899981152523206,-0.5,-0.1,0.5,-0.8,-0.899969326329512,0.5,0.2,0.4,0.5,0.1,0,0,0,0.3,0.3,0.3,-0.3,-0.3,0.3,0.3,0,0.8997014450129484,-0.7,-0.4
Lats1_2,0.23024161411029298,0.0531254760558356,-0.9576352067868505,-0.8902439024390244,0.20952447858124143,-0.8,0.19561113810557243,0.1907431201473843,-0.6,0.7982126979459528,0.7978065920434398,0.6946358080084291,0.49738733828623427,-0.29895848832019045,-0.8996689655172414,0.6047619047619047,-0.1907431201473843,0.2823387003313564,0.8,-0.009934159907576135,0.5714285714285714,0.5,-0.8902439024390244,0.5903772893772894,-0.14257411537481302,-0.899751552795031,-0.6,-0.7865730710303397,-0.8997535124476214,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0.36741463313486505,0.606043956043956,0.6
IAPs,0.2439348137198291,0.28158195558941745,0.372043458159963,0.3239482200647249,0.6831521161401793,0.26666666666666666,0.4601751464419886,0.22657005845021122,-0.6823671486860652,0.5178721432144158,0.5055875507533746,0.48429943009872034,0.21353919383281253,0.8820267711058106,-0.4771675973035623,-0.3611332788487733,-0.22657005845021122,-0.16798428650851585,0.7655172076683217,0.19127713327565518,-0.31632453567937435,0.5908055048504487,0.3239482200647249,-0.4425939016580071,-0.4790103201439223,-0.48585955641240064,-0.6823671486860652,-0.06995439492138748,-0.48273001413900907,-0.9943240445600011,-0.8996399639963997,-0.9983074031621006,-0.8996399639963997,-0.7655990344006962,-0.7655990344006962,-0.7694955044609627,0.8712932997145352,0.8725145139784068,-0.771970610247324,-0.771970610247324,-0.8997222222222222,0.2984241616539713,-0.4026346952793681,-0.2636363636363636
FocalAdhesions,-0.23024161411029298,-0.0531254760558356,0.9576352067868505,0.8902439024390244,-0.20952447858124143,0.9,-0.19561113810557243,-0.1907431201473843,0.6,-0.7982126979459528,-0.7978065920434398,-0.6946358080084291,-0.49738733828623427,0.29895848832019045,0.8996689655172414,-0.6047619047619047,0.1907431201473843,-0.2823387003313564,-0.8,0.009934159907576135,-0.5714285714285714,-0.5,0.8902439024390244,-0.5903772893772894,0.14257411537481302,0.899751552795031,0.6,0.7865730710303397,0.8997535124476214,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,-0.36741463313486505,-0.606043956043956,-0.5
Ecadherin_mRNA_H,-0.5796604982872433,-0.6150605847126053,-0.7957894736842105,-0.7,-0.4469078380706287,-0.6,-0.637622047873094,-0.5324639806698878,-0.5,0.6995318899941486,0.6993808049535604,0.5984313725490196,-0.13333121978283266,-0.5827374872318692,-0.8,0.6927272727272727,0.5324639806698878,0.5517457738736878,0.7,-0.5422252060643291,0.6,0.4,-0.7,0.7588061612923169,0.626290049109956,-0.8,-0.5,-0.6937154008522841,-0.8,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,-0.5041894628984918,0.7788974854932302,0.5
Ecadherin_mRNA,-0.5107750493708346,-0.5427706552706553,-0.7,-0.6,-0.3748148148148148,-0.5,-0.575996225996226,-0.45741574915863376,-0.4,0.6,0.6,0.5,-0.10372434017595307,-0.5636363636363637,-0.7,0.6,0.45741574915863376,0.4720027655592509,0.6,-0.4642800742730436,0.5,0.3,-0.6,0.7788974854932302,0.5527304242774415,-0.7,-0.4,-0.5983193277310924,-0.7,-0.3,-0.1,-0.2,-0.1,-0.5,-0.5,-0.5,0.5,0.5,-0.5,-0.5,-0.1,-0.4481716322892793,0.6927272727272727,0.4
E2F1,-0.3375236346557978,-0.230249095288102,-0.25526212832550865,-0.20972222222222223,-0.37090766712673207,-0.15555555555555556,-0.5198614707389856,-0.31735826348437424,0.8,-0.8794562944873869,-0.8772607115457086,-0.855283865375473,-0.6276745129862186,-0.4840291441713919,0.9898380172098117,0.2490110529377545,0.31735826348437424,-0.13424986744295614,-0.9973598776358805,-0.107901251768414,0.20555555555555555,-0.7,-0.20972222222222223,0.32983684983344896,0.3658376080356411,0.991210106764596,0.8,0.9218053825804786,0.991051175101887,0.7,0.5,0.6,0.5,0.8998140111593305,0.8998140111593305,0.8998341625207298,-0.8998079385403329,-0.8998700736249459,0.8999039462098775,0.8999039462098775,0.5,-0.5519057891641301,0.2905533414949684,0.15555555555555556
Cyto_C,-0.21045418994591722,-0.24369015022901638,-0.31800232288037167,-0.2619047619047619,-0.6251775010641915,-0.2,-0.4045510451774038,-0.1907435577631906,0.5890930307099597,-0.45280826413378383,-0.42838033997219965,-0.40909734204926884,-0.18798342855565942,-0.7889890721735157,0.4163109516747478,0.3092460881934566,0.1907435577631906,0.14734435518045946,-0.6832683058634432,-0.163046670832934,0.2578947368421053,-0.49549416869004503,-0.2619047619047619,0.3934682016963921,0.43068434227404806,0.4261749402461786,0.5890930307099597,0.07520702063596973,0.42206558272067,0.8973316327047082,0.8,0.8995318899941486,0.8,0.674208076030713,0.674208076030713,0.676898365826771,-0.7777965261052793,-0.7795194399242068,0.6799507353056834,0.6799507353056834,0.8,-0.2586288121542193,0.3523967731249635,0.2
CyclinE,-0.29529545704241766,-0.24798645609374437,-0.25642819952098306,-0.22323232323232323,-0.28363838170879896,-0.18831168831168832,-0.44197090885775336,-0.30792005042075016,0.5996946564885496,-0.9951964006005953,-0.8943639988464896,-0.8944589570983623,-0.45326280970815713,-0.2914982559811158,0.8851801472872719,0.24381000111967147,0.30792005042075016,0.014902781765894582,-0.7925934087078984,-0.15535679411058248,0.21226965882138296,-0.5,-0.22323232323232323,0.30390596007217263,0.3305014781795791,0.8866316496096053,0.5996946564885496,0.8862863777456859,0.8900324818398785,0.5,0.3,0.4,0.3,0.6982278768144197,0.6982278768144197,0.6982742050783942,-0.6981121065852431,-0.6985156297662457,0.6987984300734553,0.6987984300734553,0.3,-0.48437559590782486,0.2741291500558417,0.18078817733990146
CyclinD1,-0.3192132185665342,-0.19621838317904294,-0.21720779220779218,-0.16363636363636364,-0.2716094398640261,-0.1,-0.46615820306630196,-0.29199525335785503,0.6,-0.9988078707339805,-0.9985171421367418,-0.7965904042139014,-0.5878144265144578,-0.2722058823529412,0.8987767365266945,0.21363636363636362,0.29199525335785503,-0.16287808554177843,-0.7997366688610927,-0.0831986532078453,0.16363636363636364,-0.5,-0.16363636363636364,0.2942675692835728,0.3288742857750176,0.898985944565436,0.6,0.8908442058115961,0.9992833923457118,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,-0.509062139032201,0.25584855325261646,0.1
Casp9,-0.24400570783328884,-0.27832934453743363,-0.3641561690342178,-0.31800232288037167,-0.6755852412162302,-0.2619047619047619,-0.44601564265558036,-0.2254480768825417,0.6799507353056834,-0.5055875507533746,-0.4812452303282478,-0.46264132155396565,-0.22084182785205342,-0.8802934199996025,0.46715210627010817,0.3523967731249635,0.2254480768825417,0.1755347401029958,-0.7587573996345248,-0.19490297721052538,0.3092460881934566,-0.5890930307099597,-0.31800232288037167,0.43313588248272483,0.46931983479992007,0.4771675973035623,0.6799507353056834,0.10124889906654506,0.473654591083872,0.8933006807522158,0.8995318899941486,0.9979149506293747,0.8995318899941486,0.7625527753487539,0.7625527753487539,0.7668422010768379,-0.8689900027546491,-0.8700887443340246,0.7691555470538477,0.7691555470538477,0.8996399639963997,-0.29578656965095984,0.3934682016963921,0.2578947368421053
Casp8,-0.24414911820737734,-0.2795023289186189,-0.3647859486113658,-0.31800232288037167,-0.6945135588470773,-0.2619047619047619,-0.45311391624114516,-0.22569162644408242,0.7828221637907352,-0.5099979376056046,-0.4855622166441038,-0.46791208130721423,-0.21732788006485274,-0.8842828131625111,0.4711235512863416,0.35316500711237553,0.22569162644408242,0.1733358056780846,-0.7748910061088132,-0.19429658334616648,0.3092460881934566,-0.6904780600656889,-0.31800232288037167,0.4362550143119995,0.4736264141443118,0.48096297934685894,0.7828221637907352,0.07975276949292412,0.4774984735215796,0.8943094892465349,0.8996210326859309,0.9982681578268554,0.8996210326859309,0.7683757350663907,0.7683757350663907,0.8723656242133524,-0.8744118357877116,-0.8751136942060984,0.8739141914759442,0.8739141914759442,0.9997116077865897,-0.29687451167314205,0.39537166210361896,0.2578947368421053
Casp3,-0.2772491231031946,-0.31263396060819854,-0.40731726325914186,-0.3641561690342178,-0.7230588969849413,-0.31800232288037167,-0.4862778313612976,-0.25960915243329874,0.7691555470538477,-0.5572482105814867,-0.5325356464511998,-0.513682364592614,-0.2532445805486223,-0.968511947315517,0.5174456274570012,0.3934682016963921,0.25960915243329874,0.2038711623836446,-0.8328351103933971,-0.22657556003675933,0.3523967731249635,-0.6799507353056834,-0.3641561690342178,0.4720185501447878,0.5070343353810371,0.5275879376767425,0.7691555470538477,0.12915986330883705,0.5247789424196398,0.9870572617370408,0.9979149506293747,0.9946673895739174,0.9979149506293747,0.8501307107159425,0.8501307107159425,0.8560926820625516,-0.959268100803812,-0.9596803414526741,0.8573999362017712,0.8573999362017712,0.9983074031621006,-0.33232830230390137,0.43313588248272483,0.3092460881934566
Casp2,-0.10561490171863745,-0.14219576719576718,-0.1,0,-0.4882640586797066,0,-0.3184831897823929,-0.08102564102564103,0.8,-0.33730039463477185,-0.32928055810631573,-0.31542254379903256,-0.06026777469990766,-0.5,0.29420627039296354,0.1,0.08102564102564103,0.04240948189537268,-0.5872087017288001,-0.05309822673839411,0,-0.7,0,0.27664233576642333,0.3394330334408419,0.3000967276542724,0.8,-0.1376966032124286,0.2971153018169293,0.7,0.5,0.6,0.5,0.899375,0.899375,0.9994811932555123,-0.8994032077582992,-0.899590058929029,0.8996863974911798,0.8996863974911798,0.5,-0.14583333333333331,0.2,0
BIM,-0.14153830374133627,-0.1809110607784534,-0.2,-0.1,-0.5572097020626432,0,-0.3634789657287284,-0.12005189255189255,0.8995685005393744,-0.38023799137825237,-0.36849703611460216,-0.35100162397192103,-0.09565457545842086,-0.6,0.34128963935083095,0.2,0.12005189255189255,0.07117754400508139,-0.5690703363914373,-0.08867325780332237,0.1,-0.8,-0.1,0.3327188940092166,0.38354921935260794,0.3485913173323964,0.8995685005393744,-0.09088544654809717,0.34492752797498216,0.8,0.6,0.7,0.6,0.8969728305305076,0.8969728305305076,0.8974165890122785,-0.7972563897300244,-0.8977769084841519,0.9980968817587156,0.9980968817587156,0.6,-0.187906649085096,0.27142857142857146,0
BIK,-0.14153830374133627,-0.1809110607784534,-0.2,-0.1,-0.5572097020626432,0,-0.3634789657287284,-0.12005189255189255,0.8995685005393744,-0.38023799137825237,-0.36849703611460216,-0.35100162397192103,-0.09565457545842086,-0.6,0.34128963935083095,0.2,0.12005189255189255,0.07117754400508139,-0.5690703363914373,-0.08867325780332237,0.1,-0.8,-0.1,0.3327188940092166,0.38354921935260794,0.3485913173323964,0.8995685005393744,-0.09088544654809717,0.34492752797498216,0.8,0.6,0.7,0.6,0.8969728305305076,0.8969728305305076,0.8974165890122785,-0.7972563897300244,-0.8977769084841519,0.9980968817587156,0.9980968817587156,0.6,-0.187906649085096,0.27142857142857146,0
BID,-0.1417614822823587,-0.17449700559875836,-0.2,-0.1,-0.5212725300831482,0,-0.32720379702332125,-0.11940897734125959,0.49911699779249447,-0.3528002405658869,-0.33617677715238686,-0.3118875242404654,-0.1154724114663439,-0.6,0.3192942209822005,0.2,0.11940897734125959,0.08688505224538468,-0.5385325568498653,-0.0963378553662646,0.1,-0.4,-0.1,0.31307141813933115,0.35578814185676527,0.3282855538912708,0.49911699779249447,0.0023269980135444735,0.3237182437063531,0.8,0.6,0.7,0.6,0.49355085034154766,0.49355085034154766,0.49415223628691984,-0.5934640803825695,-0.5949623958678396,0.5960275668981855,0.5960275668981855,0.6,-0.1826565661318402,0.26097560975609757,0
BCLXL,0.14078107122728795,0.18427313224690636,0.2,0.1,0.5666491710939001,0,0.3795520478992536,0.12057508267087139,-0.8997536945812807,0.3966446453695584,0.38921934825666565,0.3718381870508631,0.085466803670254,0.6,-0.35556603477297427,-0.2,-0.12057508267087139,-0.06265376535958403,0.574667759156704,0.08104146501349477,-0.1,0.8,0.1,-0.3443366891413442,-0.39817428332425503,-0.361832149716157,-0.8997536945812807,0.1329617607318034,-0.35858051987697437,-0.8,-0.6,-0.7,-0.6,-0.9978466803914271,-0.9978466803914271,-0.9981746249183552,0.8980193967447114,0.9984577678042525,-0.9987073857264077,-0.9987073857264077,-0.6,0.19014595311808932,-0.2802469135802469,0
BCL2,0.14078107122728795,0.18427313224690636,0.2,0.1,0.5666491710939001,0,0.3795520478992536,0.12057508267087139,-0.8997536945812807,0.3966446453695584,0.38921934825666565,0.3718381870508631,0.085466803670254,0.6,-0.35556603477297427,-0.2,-0.12057508267087139,-0.06265376535958403,0.574667759156704,0.08104146501349477,-0.1,0.8,0.1,-0.3443366891413442,-0.39817428332425503,-0.361832149716157,-0.8997536945812807,0.1329617607318034,-0.35858051987697437,-0.8,-0.6,-0.7,-0.6,-0.9978466803914271,-0.9978466803914271,-0.9981746249183552,0.8980193572541151,0.8984578019700924,-0.9987073857264077,-0.9987073857264077,-0.6,0.19014595311808932,-0.2802469135802469,0
BAX,-0.17618885658403466,-0.21025248426081142,-0.2644444444444444,-0.2,-0.5759013874642992,-0.1,-0.37007538448540417,-0.1559532277927948,0.5960275668981855,-0.406579938190077,-0.3907222316978414,-0.3685293945911562,-0.15031543771441389,-0.6956043956043956,0.3703793628853725,0.26097560975609757,0.1559532277927948,0.1151071275923774,-0.6122108470635886,-0.12881564411256272,0.2,-0.49911699779249447,-0.2,0.3571443664675986,0.39651394830837816,0.379557818522314,0.5960275668981855,0.03012377378296314,0.3750957567368817,0.8994774657086871,0.7,0.8,0.7,0.5858733071553672,0.5858733071553672,0.5871633020993834,-0.6868736298109488,-0.6888548689861193,0.5900816209522396,0.5900816209522396,0.7,-0.22179277875642495,0.31307141813933115,0.1
BAK,-0.17618885658403466,-0.21025248426081142,-0.2644444444444444,-0.2,-0.5759013874642992,-0.1,-0.37007538448540417,-0.1559532277927948,0.5960275668981855,-0.406579938190077,-0.3907222316978414,-0.3685293945911562,-0.15031543771441389,-0.6956043956043956,0.3703793628853725,0.26097560975609757,0.1559532277927948,0.1151071275923774,-0.6122108470635886,-0.12881564411256272,0.2,-0.49911699779249447,-0.2,0.3571443664675986,0.39651394830837816,0.379557818522314,0.5960275668981855,0.03012377378296314,0.3750957567368817,0.8994774657086871,0.7,0.8,0.7,0.5858733071553672,0.5858733071553672,0.5871633020993834,-0.6868736298109488,-0.6888548689861193,0.5900816209522396,0.5900816209522396,0.7,-0.22179277875642495,0.31307141813933115,0.1
