Source,ZEB1_H,ZEB1,YAP,WT1,Twist,Stress_Fibers,SNAI2,SNAI1,SMAC,pRB,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,MCL_1,LEF1,Lats1_2,IAPs,FocalAdhesions,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8997132870163966,0.899866087114631,0.7,0.6,0.8999772649766966,0.5,0.8995715554215776,0.9999193163578053,0.3,-0.5,-0.5,-0.4,0.8973154061739201,0.7,0.6,-0.7,-0.9999193163578053,-0.9999462186773931,-0.5,0.9999313938666073,-0.6,-0.2,0.6,-0.8999696578927405,-0.999901639054128,0.6,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8994507461149158,-0.8,-0.5
ZEB1,0.9997459994737803,0.8998852819010675,0.7,0.6,0.8999822726466938,0.5,0.8996185023085917,0.9999320957732148,0.3,-0.5,-0.5,-0.4,0.8975357490057364,0.7,0.6,-0.7,-0.9999320957732148,-0.9999549960432599,-0.5,0.9999422724058162,-0.6,-0.2,0.6,-0.8999763523499853,-0.9999164103315342,0.6,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8995108448953764,-0.8,-0.5
YAP,-0.24216538131304274,-0.07547888279414616,0.7678165584415584,0.8450892857142858,-0.2420575767880973,0.7857142857142857,-0.24097807008381084,-0.2053625651564681,0.7,-0.8948629181119369,-0.8940634870422797,-0.7863460564741458,-0.5377870221120458,0.175255640237545,0.9981819989652267,-0.5799291617473435,0.2053625651564681,-0.2703146661474415,-0.8997259648321535,-6.505498935308162e-4,-0.5857142857142856,-0.6,0.8450892857142858,-0.5390460752037006,0.16826035740560513,0.9985235109717868,0.7,0.8735373807006696,0.9985175388637068,0.6,0.4,0.5,0.4,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,0.4,-0.4019484028053899,-0.5617663224989092,-0.5599999999999999
WT1,0.5107750493708346,0.5427706552706553,0.7,0.6,0.3748148148148148,0.5,0.575996225996226,0.45741574915863376,0.4,-0.6,-0.6,-0.5,0.10372434017595307,0.5636363636363637,0.7,-0.6,-0.45741574915863376,-0.4720027655592509,-0.6,0.4642800742730436,-0.5,-0.3,0.6,-0.7788974854932302,-0.5527304242774415,0.7,0.4,0.5983193277310924,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,0.4481716322892793,-0.6927272727272727,-0.4
Twist,0.8996019315384982,0.8998083096463534,0.7,0.6,0.6999676008423781,0.5,0.9994052437471534,0.7998847050148015,0.3,-0.5,-0.5,-0.4,0.8964269112239631,0.7,0.6,-0.7,-0.7998847050148015,-0.9999232122235705,-0.5,0.8999018763207459,-0.6,-0.2,0.6,-0.8999566489649939,-0.9998594205189788,0.6,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8992380856764637,-0.8,-0.5
Stress_Fibers,-0.22117930119403306,-0.05653360556821154,0.8450892857142858,0.7857142857142857,-0.20594468390804596,0.7,-0.2041685389063391,-0.1849443367090426,0.6,-0.7978065920434398,-0.7973252735264863,-0.6935170228055844,-0.4894942162660082,0.2594002855782961,0.8995593095850165,-0.5857142857142856,0.1849443367090426,-0.2674242565876417,-0.8,0.007974232508748024,-0.5599999999999999,-0.5,0.7857142857142857,-0.5617663224989092,0.14195018271564647,0.8996689655172414,0.6,0.7845525346847009,0.8996718621821165,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,-0.3610419418603562,-0.5799291617473435,-0.5
SNAI2,0.9996604550789154,0.9998472843093765,0.7,0.6,0.7999783830523131,0.5,0.9994884798747063,0.89991095630228235,0.3,-0.5,-0.5,-0.4,0.7967673120298976,0.7,0.6,-0.7,-0.89991095630228235,-0.8999413533204702,-0.5,0.8999242941457126,-0.6,-0.2,0.6,-0.899971160778659,-0.9998895317805145,0.6,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.9993443488478579,-0.8,-0.5
SNAI1,0.8996808677944017,0.899848675038467,0.7,0.6,0.9999743573305981,0.5,0.89952314310236825,0.899908913039835,0.3,-0.5,-0.5,-0.4,0.8970679272750877,0.7,0.6,-0.7,-0.8999089139481808,-0.9999392846712716,-0.5,0.8999225197284961,-0.6,-0.2,0.6,-0.8999657328878609,-0.9998889207356051,0.6,0.3,0.5,0.6,0.2,0,0.1,0,0.4,0.4,0.4,-0.4,-0.4,0.4,0.4,0,0.8993887936856375,-0.8,-0.5
SMAC,-0.21025988946390325,-0.24683681173079322,-0.3239482200647249,-0.26666666666666666,-0.6322079008156731,-0.2,-0.41851432176542236,-0.19175795386906938,0.5908055048504487,-0.46501519896306026,-0.45280826413378383,-0.43075909824394787,-0.18058308011489918,-0.7901411451398136,0.4261749402461786,0.31632453567937435,0.19175795386906938,0.1398661062164225,-0.6900980201143027,-0.15933937160596826,0.2636363636363636,-0.5964188104637543,-0.26666666666666666,0.4026346952793681,0.44024922248451953,0.43477906784365655,0.5908055048504487,0.043660786867067654,0.4310391928829705,0.8978468628146048,0.8,0.8996399639963997,0.8,0.6769540863364847,0.6769540863364847,0.6793238657196469,-0.7799110568298544,-0.7816909662686317,0.6823671486860652,0.6823671486860652,0.8,-0.2610667064537655,0.3611332788487733,0.2
pRB,0.33674247403039487,0.22712931241920242,0.2542198298777246,0.20972222222222223,0.31402002842421284,0.15555555555555556,0.5071788149639724,0.31670916990000286,-0.7,0.8945697816562943,0.8937069308919158,0.8863410394642418,0.6391378826486782,0.3658692493225739,-0.9963617559365957,-0.24780154486036837,-0.31670916990000286,0.13477017610783992,0.8990216444236655,0.10786644195221336,-0.20555555555555555,0.6,0.20972222222222223,-0.3232694781089976,-0.35667117216482513,-0.9969151880900131,-0.7,-0.9733837531508482,-0.9973783216093054,-0.6,-0.4,-0.5,-0.4,-0.7999072786277237,-0.7999072786277237,-0.7999135322092521,0.7998983997967997,0.7999326485940393,-0.7999517898035434,-0.7999517898035434,-0.4,0.5515656583062913,-0.2867625838214073,-0.15555555555555556
p27Kip1,0.31371852048103344,0.2211194757955605,0.24340448823207442,0.20317460317460317,0.28007286387808633,0.15555555555555556,0.45859119650078045,0.30125796781273034,-0.6,0.9978801160203055,0.8974032142659016,0.895344403876293,0.58161519391012,0.3125377360698322,-0.8957167819420505,-0.23450292397660819,-0.30125796781273034,0.08402045256718317,0.7983943230078289,0.11757457558442055,-0.1976608187134503,0.5,0.20317460317460317,-0.3026476354214206,-0.33282991135334983,-0.8962670450965676,-0.6,-0.9880681943388163,-0.8973082827937885,-0.5,-0.3,-0.4,-0.3,-0.6997981836528758,-0.6997981836528758,-0.6998056365403305,0.6997667638483965,0.6998487712665407,-0.6998953701281716,-0.6998953701281716,-0.3,0.5057442685362468,-0.2694022528356686,-0.15555555555555556
p21,-0.8300494348297531,-0.8451960367378044,-0.48762626262626263,-0.3944444444444445,-0.6646790695213067,-0.3,-0.7113620577926894,-0.7539027462021358,-0.5,0.8997744572878489,0.8997011580127008,0.699232245681382,-0.6534597211532314,-0.4624053217414213,-0.7996506550218341,0.48526080476900146,0.7539027462021358,0.9625545602692922,0.7,-0.8588195530516092,0.39344262295081966,0.4,-0.3944444444444445,0.6643188175433374,0.7509555531197347,-0.7997363216875412,-0.5,-0.7964531066056246,-0.9998400639744102,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,-0.6933403172130863,0.5754123199205166,0.3
N_bcatenin_H,0.9998672148789025,0.8999609775132921,0.6,0.5,0.8,0.4,0.9997928067534987,0.8999811676082862,0.2,-0.4,-0.4,-0.3,0.7982963680716068,0.6,0.5,-0.6,-0.8999811676082862,-0.8999883920020894,-0.4,0.8999839865487009,-0.5,-0.1,0.5,-0.8,-0.8999739439142754,0.5,0.2,0.4,0.5,0.1,0,0,0,0.3,0.3,0.3,-0.3,-0.3,0.3,0.3,0,0.9997343845140536,-0.7,-0.4
N_bcatenin,0.8998866567669189,0.8999728150061166,0.6,0.5,0.7,0.4,0.9998229889322001,0.7999869135640909,0.2,-0.4,-0.4,-0.3,0.7984182492203332,0.6,0.5,-0.6,-0.7999869135640909,-0.7999919302775984,-0.4,0.7999888579387187,-0.5,-0.1,0.5,-0.8,-0.8999818766707444,0.5,0.2,0.4,0.5,0.1,0,0,0,0.3,0.3,0.3,-0.3,-0.3,0.3,0.3,0,0.899773218989633,-0.7,-0.4
Myc,-0.3387241412394876,-0.1987607562583621,-0.22637362637362637,-0.16923076923076924,-0.32153879363839744,-0.1,-0.49287818497342756,-0.3047815947622171,0.7,-0.8927511925885636,-0.8916965037412613,-0.7815317697811175,-0.6012949570250417,-0.391037037037037,0.8972104626521679,0.22377622377622375,0.3047815947622171,-0.1954618003322914,-0.8995581737849779,-0.07717519132464984,0.16923076923076924,-0.6,-0.16923076923076924,0.31131920829500104,0.3492030141439334,0.9977166481425346,0.7,0.8651373159191816,0.9977129357071085,0.6,0.4,0.5,0.4,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,0.4,-0.5281217400952407,0.26953893564063053,0.1
