Source,YAP,WT1,TRIO,TAZ,Stress_Fibers,SMAC,Rac1,pRB,PAK1,p27Kip1,p21,Myc,Mst1_2,Merlin,MCL_1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FocalAdhesions,Ecadherin_mRNA_H,E2F1,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
YAP,0.8958381435814429,0.899181166837257,0.899181166837257,0.7989225589225589,0.7922355741169542,0.7,0.81899979577315,-0.8955798584188324,0.7535229710528515,-0.8949277217468404,-0.7876323002026211,0.9989198530472949,-0.8,-0.679020979020979,-0.8998507184176152,-0.6979695431472082,0.8821852016654603,-0.6,0.8948380537400145,0.8809883580813194,-0.9993998499624906,0.9991270239866143,0.7,0.8768413388234799,0.9989987987276955,0.6,0.4,0.5,0.4,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,0.4,-0.8991379310344827,-0.5972508591065292
WT1,0.7,0.6,0.6,0.7,0.6,0.4,0.6981481481481482,-0.6,0.6,-0.6,-0.5,0.7,-0.7,-0.5,-0.6,-0.6,0.7,-0.3,0.8,0.7,-0.8,0.7,0.4,0.5987654320987654,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,-0.8,-0.5
TRIO,0.8,0.7,0.7,0.7,0.8,0.4,0.8994069681245367,-0.6,0.8,-0.6,-0.5,0.7,-0.6,-0.7,-0.6,-0.6,0.9,-0.3,0.8,0.9,-0.7,0.7,0.4,0.5995040297582145,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,-0.7,-0.7
TAZ,0.8,0.7,0.7,0.7,0.7,0.4,0.7994113318616629,-0.6,0.7,-0.6,-0.5,0.7,-0.7,-0.6,-0.6,-0.7,0.9,-0.3,0.9,0.8,-0.7,0.7,0.4,0.5994673768308921,0.7,0.3,0.1,0.2,0.1,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.1,-0.8,-0.6
Stress_Fibers,0.8994285714285715,0.8,0.8,0.8,0.6987748851454824,0.6,0.7666548072306238,-0.798223008923256,0.68503504847129,-0.7978545553048864,-0.6944102913197535,0.899798030800303,-0.7,-0.5964444444444444,-0.8,-0.6,0.7949210335523316,-0.5,0.8991902834008098,0.7945479663468171,-0.9,0.8998468606431853,0.6,0.7872826399981854,0.8998096144693003,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,-0.8,-0.5
SMAC,-0.6,-0.5,-0.5,-0.5,-0.6,0.5893240634124225,-0.8,-0.4452149526440186,-0.7,-0.4309087937329612,-0.4230561074116334,0.3520500573971389,0.4,0.6,-0.65715227123328,0.5,-0.7,-0.5961422452306043,-0.6,-0.7,0.5,0.3647406002036141,0.5893240634124225,0.026945745606702088,0.3779458311000111,0.8976944356875427,0.8,0.8996399639963997,0.8,0.6710461089566181,0.6710461089566181,0.6740042073968848,-0.7745681783097871,-0.7771477409006534,0.678262993334959,0.678262993334959,0.8,0.5,0.5
Rac1,0.9,0.8,0.8,0.8,0.9,0.5,0.8970092615829678,-0.6998737572984062,0.8994069681245367,-0.6998364008179959,-0.5995177817962628,0.8,-0.7,-0.8,-0.7,-0.7,0.9998236720299758,-0.4,0.9,0.99980893240984,-0.8,0.8,0.5,0.6978258101303415,0.8,0.4,0.2,0.3,0.2,0.6,0.6,0.6,-0.6,-0.6,0.6,0.6,0.2,-0.8,-0.8
pRB,0.2,0.1,0.1,0.1,0.2,-0.7,0.4,0.8948929018616927,0.3,0.8940976252386227,0.8864251939443937,-0.998579805797239,0,-0.2,0.8998156257202121,-0.1,0.3,0.6,0.2,0.3,-0.1,-0.9988584012318557,-0.7,-0.9737094782280392,-0.9987358105272941,-0.6,-0.4,-0.5,-0.4,-0.8,-0.8,-0.8,0.8,0.8,-0.8,-0.8,-0.4,-0.1,-0.1
PAK1,0.9,0.8,0.8,0.9,0.7,0.5,0.7933566901125939,-0.6997764114030185,0.6985611510791367,-0.6997084548104956,-0.5991836734693877,0.8,-0.6,-0.7,-0.7,-0.7,0.7995719636169074,-0.4,0.8,0.7995329830706364,-0.8,0.8,0.5,0.6964330666078792,0.8,0.4,0.2,0.3,0.2,0.6,0.6,0.6,-0.6,-0.6,0.6,0.6,0.2,-0.7,-0.8
p27Kip1,0.1,0,0,0,0.1,-0.6,0.3,0.9985103152774031,0.2,0.8981669447411793,0.8955184921439088,-0.8998139534883721,0,-0.1,0.8,0,0.2,0.5,0.1,0.2,0,-0.8998604083057058,-0.6,-0.9887166805252974,-0.899834522701417,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0,0
