Source,YAP,WT1,TRIO,TAZ,Stress_Fibers,SMAC,Rac1,pRB,PAK1,p27Kip1,p21,Myc,Mst1_2,Merlin,MCL_1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FocalAdhesions,Ecadherin_mRNA_H,E2F1,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
p21,0,0,0,0,0,-0.5,0.2,0.8997671033478893,0.1,0.8996901626646011,0.6992195121951219,-0.8,0,0,0.7,0,0.1,0.4,0,0.1,0,-0.8,-0.5,-0.7963473679107862,-1,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,0,0
Myc,-0.2,-0.1,-0.1,-0.1,-0.2,0.7,-0.4,-0.8927966555183946,-0.3,-0.8917566176733395,-0.7815317697811175,0.8978142198639419,0,0.2,-0.8997052321296979,0.1,-0.3,-0.6,-0.2,-0.3,0.1,0.9982321717217566,0.7,0.8651870293006697,0.998053354625321,0.6,0.4,0.5,0.4,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,0.4,0.1,0.1
Mst1_2,-0.9,-0.8,-0.8,-0.8,-0.7,-0.5,-0.6879843756562645,0.6996560619088564,-0.5972413793103448,0.6995500562429696,0.5987823439878234,-0.8,0.6,0.5,0.7,0.6,-0.6991498405951116,0.4,-0.8,-0.799081515499426,0.8,-0.8,-0.5,-0.6949302569076655,-0.8,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,0.7,0.5
Merlin,-0.9997899711210291,-0.9,-0.9,-1,-0.7995329830706364,-0.6,-0.8828840919319859,0.798989817695768,-0.7933566901125939,0.798770117008887,0.6966588763548701,-0.8999060702125161,0.7,0.6985611510791367,0.8,0.8,-0.8978027328476766,0.5,-0.899696106362773,-0.8976352933016594,0.9,-0.8999287495546847,-0.6,-0.7916937301149882,-0.8999102786967981,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0.8,0.9
MCL_1,0.4,0.3,0.3,0.3,0.4,-0.8998093422306959,0.6,0.40220252368849707,0.5,0.3947063891925498,0.3801382687320204,-0.3395522327564096,-0.2,-0.4,0.5747718027675306,-0.3,0.5,0.8,0.4,0.5,-0.3,-0.3474981374866591,-0.8998093422306959,0.15452600279280893,-0.3517771590644552,-0.8,-0.6,-0.7,-0.6,-0.9981306032109784,-0.9981306032109784,-0.998427022557617,0.9982890468378404,0.9986806928246427,-0.9988958311064877,-0.9988958311064877,-0.6,-0.3,-0.3
Lats1_2,-0.999581589958159,-0.9,-0.9,-0.9,-0.799081515499426,-0.6,-0.7713818938419726,0.7985368080780769,-0.6879843756562645,0.798223008923256,0.6953309361767426,-0.8998468606431853,0.7,0.5972413793103448,0.8,0.6,-0.7959547093665076,0.5,-0.8993998499624907,-0.8956543429168067,0.9,-0.8998839738941262,-0.6,-0.7888407597525064,-0.899855556558635,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0.8,0.6
IQGAP1_LeadingE,0.9,0.8,0.8,0.8,0.8,0.5,0.8968891825376446,-0.6998519888991674,0.799341021416804,-0.6998084749820446,-0.5994322214336408,0.8,-0.8,-0.7,-0.7,-0.7,0.8998019801980199,-0.4,1,0.8997850617947339,-0.8,0.8,0.5,0.6976195214872346,0.8,0.4,0.2,0.3,0.2,0.6,0.6,0.6,-0.6,-0.6,0.6,0.6,0.2,-0.9,-0.6
IAPs,0.7,0.6,0.6,0.6,0.7,-0.678262993334959,0.8997989444584066,0.4880479610910621,0.8,0.4733389212344389,0.4711936886447924,-0.3833713501728043,-0.5,-0.7,0.7208590842781623,-0.6,0.8,0.5893240634124225,0.7,0.8,-0.6,-0.3962609506325245,-0.678262993334959,-0.045142179397991186,-0.41270641289442195,-0.9934923080279681,-0.8996399639963997,-0.9981923670074014,-0.8996399639963997,-0.7550221651325131,-0.7550221651325131,-0.7600883821444605,0.8622474844367748,0.8642464827992429,-0.7638836049522049,-0.7638836049522049,-0.8997222222222222,-0.6,-0.6
Horizontal_Pol,0.9,0.8,0.8,0.8,0.8,0.5,0.8971647418643375,-0.6998652745031997,0.7994113318616629,-0.6998256700806276,-0.599481865284974,0.8,-0.8,-0.7,-0.7,-0.8,0.999820868786386,-0.4,0.9,0.8998077385243931,-0.8,0.8,0.5,0.6978321811914138,0.8,0.4,0.2,0.3,0.2,0.6,0.6,0.6,-0.6,-0.6,0.6,0.6,0.2,-0.9,-0.7
FocalAdhesions,0.9998381549666195,0.9,0.9,0.9,0.8996418979409132,0.6,0.9880876018742926,-0.7990930964767161,0.895224272582763,-0.7989055822674785,-0.6969328179402311,0.8999140247178936,-0.8,-0.798901098901099,-0.8,-0.7,0.9984244153952762,-0.5,0.9997660818713451,0.8983017575452527,-0.9,0.899934635182613,0.6,0.7927787161352877,0.8999166796854657,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,-0.9,-0.7
Ecadherin_mRNA_H,-0.8,-0.7,-0.7,-0.8,-0.7,-0.5,-0.7923658352229781,0.6996789727126805,-0.6981481481481482,0.699582027168234,0.5988269794721408,-0.8,0.8,0.6,0.7,0.7,-0.7994236311239193,0.4,-0.9,-0.7993850883935434,0.8,-0.8,-0.5,-0.6956129054413709,-0.8,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,0.9,0.6
E2F1,-0.3,-0.2,-0.2,-0.2,-0.3,0.8,-0.5,-0.8796837543595629,-0.4,-0.8775290741610524,-0.8553478939381483,0.9906798582236164,0.1,0.3,-0.9978435541951441,0.2,-0.4,-0.7,-0.3,-0.4,0.2,0.9920321866054854,0.8,0.9220197799099376,0.991682421227658,0.7,0.5,0.6,0.5,0.899875968992248,0.899875968992248,0.899889411114183,-0.8998719180275376,-0.8999133636560537,0.8999359538867985,0.8999359538867985,0.5,0.2,0.2
Cyto_C,-0.6,-0.5,-0.5,-0.5,-0.6,0.5872114850348206,-0.8,-0.4309087937329612,-0.7,-0.4042826593388439,-0.40036952490943456,0.3379586983591568,0.4,0.6,-0.6476054455991596,0.5,-0.7,-0.49511550761774226,-0.6,-0.7,0.5,0.3520500573971389,0.5872114850348206,0.056807682409154917,0.3653554902540062,0.897127470816152,0.8,0.8995318899941486,0.8,0.6673364271753761,0.6673364271753761,0.6707327114494277,-0.7716883403269971,-0.774225900424437,0.6750682823255801,0.6750682823255801,0.8,0.5,0.5
CyclinE,-0.1,0,0,0,-0.1,0.6,-0.3,-0.9986674390857996,-0.2,-0.8983593120827165,-0.8959674266939187,0.8998339904544512,0,0.1,-0.8,0,-0.2,-0.5,-0.1,-0.2,0,0.899875447610151,0.6,0.88979883426637,0.89985235766356,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,0,0
CyclinD1,-0.1,0,0,0,-0.1,0.6,-0.3,-0.9988842706063098,-0.2,-0.9986185974139314,-0.7965904042139014,0.8998707801647553,0,0.1,-0.8,0,-0.2,-0.5,-0.1,-0.2,0,0.8999030890369474,0.6,0.8909305624939808,0.9998850904912381,0.5,0.3,0.4,0.3,0.7,0.7,0.7,-0.7,-0.7,0.7,0.7,0.3,0,0
Casp9,-0.7,-0.6,-0.6,-0.6,-0.7,0.6750682823255801,-0.8997373604727512,-0.4733389212344389,-0.8,-0.4464907365995989,-0.44823136701469773,0.36905399538885975,0.5,0.7,-0.7112494422406374,0.6,-0.8,-0.5872114850348206,-0.7,-0.8,0.6,0.3833713501728043,0.6750682823255801,0.07450167044220649,0.3998228515127772,0.8922537922639213,0.8995318899941486,0.9977623189227888,0.8995318899941486,0.7507351594422038,0.7507351594422038,0.7563573847374571,-0.8589940774366557,-0.8608420368560715,0.759983161323977,0.759983161323977,0.8996399639963997,0.6,0.6
Casp8,-0.7,-0.6,-0.6,-0.6,-0.7,0.7786401689009719,-0.8997769102063581,-0.480557399886023,-0.8,-0.4539031474293469,-0.4555976715751256,0.37571855095408246,0.5,0.7,-0.7329755392907461,0.6,-0.8,-0.6888351323453261,-0.7,-0.8,0.6,0.3896298613907702,0.7786401689009719,0.056260655667043934,0.40616446227991193,0.8934153523165795,0.8996210326859309,0.9981402665504087,0.8996210326859309,0.7584120260088777,0.7584120260088777,0.8636590386538717,-0.8661919970982929,-0.8674215561092316,0.8661629662093173,0.8661629662093173,0.9997116077865897,0.6,0.6
Casp3,-0.8,-0.7,-0.7,-0.7,-0.8,0.759983161323977,-0.9987643303299697,-0.5135941267596128,-0.8997373604727512,-0.48614954948293165,-0.49254723680106605,0.3992596569101021,0.6,0.8,-0.7728782597817494,0.7,-0.8998795906080674,-0.6750682823255801,-0.8,-0.899872854418309,0.7,0.4137830748297005,0.759983161323977,0.09301483214310322,0.4332656842772823,0.9841561295438428,0.9977623189227888,0.9938727411638644,0.9977623189227888,0.8325214668790002,0.8325214668790002,0.8405607799713775,-0.944704504232982,-0.9456635206751421,0.842961085231915,0.842961085231915,0.9981923670074014,0.7,0.7
Casp2,-0.3,-0.2,-0.2,-0.2,-0.3,0.8,-0.5,-0.33681106089703045,-0.4,-0.32864711934156376,-0.31542254379903256,0.2803747230767518,0.1,0.3,-0.5859864150943396,0.2,-0.4,-0.7,-0.3,-0.4,0.2,0.2878573286513201,0.8,-0.13808684800165325,0.2897086243893531,0.7,0.5,0.6,0.5,0.899375,0.899375,0.9994811932555123,-0.8994032077582992,-0.899590058929029,0.8996863974911798,0.8996863974911798,0.5,0.2,0.2
BIM,-0.4,-0.3,-0.3,-0.3,-0.4,0.8995685005393744,-0.6,-0.3774542998224565,-0.5,-0.365143051692692,-0.3505826822187894,0.31241783202725865,0.2,0.4,-0.5632240132509192,0.3,-0.5,-0.8,-0.4,-0.5,0.3,0.3221465420124811,0.8995685005393744,-0.09312029453969958,0.3274822384225725,0.8,0.6,0.7,0.6,0.896689280337071,0.896689280337071,0.8971724869349892,-0.7969681312409299,-0.8975841521153454,0.9979578562816712,0.9979578562816712,0.6,0.3,0.3
BIK,-0.4,-0.3,-0.3,-0.3,-0.4,0.8995685005393744,-0.6,-0.3774542998224565,-0.5,-0.365143051692692,-0.3505826822187894,0.31241783202725865,0.2,0.4,-0.5632240132509192,0.3,-0.5,-0.8,-0.4,-0.5,0.3,0.3221465420124811,0.8995685005393744,-0.09312029453969958,0.3274822384225725,0.8,0.6,0.7,0.6,0.896689280337071,0.896689280337071,0.8971724869349892,-0.7969681312409299,-0.8975841521153454,0.9979578562816712,0.9979578562816712,0.6,0.3,0.3
BID,-0.4,-0.3,-0.3,-0.3,-0.4,0.49911699779249447,-0.6,-0.34745131225418263,-0.5,-0.3297033492822966,-0.31080061115355234,0.2807989544266394,0.2,0.4,-0.5258760753877103,0.3,-0.5,-0.4,-0.4,-0.5,0.3,0.29323654485733996,0.49911699779249447,-0.002568892175191395,0.29950852966709063,0.8,0.6,0.7,0.6,0.4928686633086028,0.4928686633086028,0.4935275472917045,-0.5926893229863527,-0.5944771485801238,0.5957079068834036,0.5957079068834036,0.6,0.3,0.3
BCLXL,0.4,0.3,0.3,0.3,0.4,-0.8997536945812807,0.6,0.3947063891925498,0.5,0.3868497021702203,0.37160430018935986,-0.331094314926219,-0.2,-0.4,0.5704556860312097,-0.3,0.5,0.8,0.4,0.5,-0.3,-0.3395522327564096,-0.8997536945812807,0.1345105601797897,-0.34420129839250324,-0.8,-0.6,-0.7,-0.6,-0.997689366885514,-0.997689366885514,-0.9980400655215498,0.8978607082010862,0.9983522033348656,-0.9986303167002039,-0.9986303167002039,-0.6,-0.3,-0.3
BCL2,0.4,0.3,0.3,0.3,0.4,-0.8997536945812807,0.6,0.3947063891925498,0.5,0.3868497021702203,0.37160430018935986,-0.331094314926219,-0.2,-0.4,0.5704556860312097,-0.3,0.5,0.8,0.4,0.5,-0.3,-0.3395522327564096,-0.8997536945812807,0.1345105601797897,-0.34420129839250324,-0.8,-0.6,-0.7,-0.6,-0.997689366885514,-0.997689366885514,-0.9980400655215498,0.8978606372287198,0.8983522514281171,-0.9986303167002039,-0.9986303167002039,-0.6,-0.3,-0.3
BAX,-0.5,-0.4,-0.4,-0.4,-0.5,0.5957079068834036,-0.7,-0.3945587502707116,-0.6,-0.3769760765550239,-0.3646628240971849,0.3136917591256115,0.3,0.5,-0.5892623187739536,0.4,-0.6,-0.49911699779249447,-0.5,-0.6,0.4,0.32675703896177566,0.5957079068834036,0.019731248077263022,0.33650313883151106,0.8994774657086871,0.7,0.8,0.7,0.5831218278655649,0.5831218278655649,0.5846463477530655,-0.6841673522806271,-0.6867979676927518,0.58843084156876,0.58843084156876,0.7,0.4,0.4
BAK,-0.5,-0.4,-0.4,-0.4,-0.5,0.5957079068834036,-0.7,-0.3945587502707116,-0.6,-0.3769760765550239,-0.3646628240971849,0.3136917591256115,0.3,0.5,-0.5892623187739536,0.4,-0.6,-0.49911699779249447,-0.5,-0.6,0.4,0.32675703896177566,0.5957079068834036,0.019731248077263022,0.33650313883151106,0.8994774657086871,0.7,0.8,0.7,0.5831218278655649,0.5831218278655649,0.5846463477530655,-0.6841673522806271,-0.6867979676927518,0.58843084156876,0.58843084156876,0.7,0.4,0.4
BAD,-0.3,-0.2,-0.2,-0.2,-0.3,0.8,-0.5,-0.34288650176290625,-0.4,-0.33518954592022027,-0.3220336522580562,0.2871307613954673,0.1,0.3,-0.48765101157378055,0.2,-0.4,-0.7,-0.3,-0.4,0.2,0.2940758996227967,0.8,-0.1526280112418472,0.29576924264337434,0.7,0.5,0.6,0.5,0.8995136778115501,0.8995136778115501,0.8995985950827897,-0.9995398331895313,-0.9996798078847309,0.8997536945812807,0.8997536945812807,0.5,0.2,0.2
ApicalBasal_Pol,-0.8997174143412222,-0.8,-0.8,-0.9,-0.7993850883935434,-0.6,-0.8824543307981993,0.7987497637629313,-0.7923658352229781,0.7984966321163586,0.69589720782199,-0.8998674179648658,0.9,0.6981481481481482,0.8,0.8,-0.8974704057319892,0.5,-0.9995940116721644,-0.8972686862771413,0.9,-0.8998992950654582,-0.6,-0.7907575772832904,-0.8998727128082736,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0.9,0.7
AMOT,-0.8994285714285715,-0.8,-0.8,-0.8,-0.6987748851454824,-0.6,-0.7666548072306238,0.798223008923256,-0.68503504847129,0.7978545553048864,0.6944102913197535,-0.899798030800303,0.7,0.5964444444444444,0.8,0.6,-0.7949210335523316,0.5,-0.8991902834008098,-0.7945479663468171,0.9,-0.8998468606431853,-0.6,-0.7872826399981854,-0.8998096144693003,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0.8,0.5
