Source,Wee1,UbcH10,U_Kinetochores,SMAC,Replication,Rac1,Plk1_H,Plk1,pAPC,PAK1,Merlin,MCL_1,Mad2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,f4N_DNA,Emi1,Ect2,Cytokinesis,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ATR,A_Kinetochores
Wee1,0.26768236498594,-0.012433093590631649,-0.12727940446150857,-0.07470032254478463,-0.12983369287966234,0.07748103397497812,-0.42493332188017474,-0.39761245324758654,-0.31424963361514785,0.0640291415901172,-0.04207792207792208,0.1831133156883715,0.07687467774257034,0.06398268398268399,0.07607556422838982,0.04207792207792208,-0.297559704065922,0.04028219319727177,0.3049444522122775,0.05723871396324046,0.05888819565330354,-0.07470032254478463,0.00977182183283647,-0.3002037295300978,0.09509933362590933,-0.13333193590366896,-0.43900936328282525,0.092663247020675,-0.3379674876662498,-0.2678891666468818,-0.24956027861939578,-0.03155720892806084,-0.08292600981384904,-0.07742076607239975,-0.08409343604088243,0.15466982680723984,-0.07375576036046749,-0.07375576036046749,-0.03724688048684754,0.04000050153967024,0.05006479139133056,-0.0733039186803707,-0.0733039186803707,-0.07856062338655169,-0.1312571290835119,-0.18199543822146028
UbcH10,0.31865943468163654,-0.06820838674523352,-0.19918057731239763,0.0611377904789806,-0.2500005799499402,-0.10153522347406216,-0.4910124899866011,-0.46752581635659685,-0.25117786979509243,-0.11219512195121953,0.1,0.21341337813454703,0.12036495254986505,-0.11219512195121953,-0.06578916358361389,-0.1,-0.4764599965006539,-0.33551666022002813,0.3964040490373815,0.0619357455425257,0.0639155763267186,0.0611377904789806,-0.22878236783106373,-0.4742867389089275,-0.26481541357342747,-0.25121018596797673,-0.38751414410747703,0.3210201306765847,-0.4185777687578531,-0.4279222200783385,-0.43458733728027443,0.0955830999964622,0.07380267034981673,0.10153522347406216,0.08831745532671656,0.11486233874801237,0.04271682374513637,0.04271682374513637,0.07141337514240503,-0.08222530435350978,-0.08118935011770345,0.05955268301118695,0.05955268301118695,0.10777332264100507,-0.251156199159536,-0.30162588892432135
U_Kinetochores,0.24406410750915408,-0.16137777945544965,-0.04181708597166138,0.36977857168306827,-0.2588074735614617,-0.4197940587475487,-0.35929648725640373,-0.3458761819354783,-0.13023086188488447,-0.3681032374915101,0.29314285714285715,-0.14575864458885499,0.06482456447623165,-0.36999738468076754,-0.367467617619464,-0.29337016574585634,-0.343403155216515,-0.11796726585217898,-0.07179395032075901,-0.13779595620569182,-0.13683089067048132,0.36977857168306827,-0.15068709938734898,-0.34023808461109384,-0.2391014601793255,-0.25840394518212645,-0.21170780837056086,0.32553000768544077,-0.22371750020774406,-0.22703275353682292,-0.31627037721020823,0.039936262407781954,0.42984852420218217,0.4173206059640971,0.4442391696815343,0.21965985406908609,0.3277328358194692,0.3277328358194692,0.3161789960863895,-0.33926093999641244,-0.3877531584426857,0.3725343132415232,0.3725343132415232,0.42830237341847044,-0.2592219902949084,0.08096979011492997
SMAC,-0.5699730879294229,0.02385504040106111,0.1761143512581943,0.5285484064996977,0.16345962539144357,-0.7977746870653686,0.4655661178235805,0.46569881704993127,0.36558237123677095,-0.7,0.6,-0.5602162893194255,-0.0975747863247863,-0.7,-0.5645058533082083,-0.6,0.3566120387497607,-0.02859791276993452,-0.3653066546915879,-0.09584561244208421,-0.09784958427815571,0.5285484064996977,0.023935991958286124,0.34500590477074533,-0.09995579974194722,0.15721153846153846,0.5159529674605494,-0.15478311213763918,0.3992034280872907,0.31366891907808114,0.31107458963400336,-0.00872427070499571,0.8750712586560754,0.7976261127596439,0.8912017678737605,0.3454004676131339,0.5479529319335579,0.5479529319335579,0.5323005669806279,-0.5551105910193236,-0.5918969462791079,0.5746882357890427,0.5746882357890427,0.7981220657276995,0.1629966624284806,0.24443737596649914
Replication,0.33150147090343907,-0.0322920713911475,0.0819508324888755,0.04786446531826899,-0.05655234363968421,-0.0545875557478933,-0.3146695237598055,-0.34378954345797935,-0.2456721801632956,-0.044753086419753084,0.025,0.023160541101385657,-0.006992974207824802,-0.044753086419753084,-0.04879951926368892,-0.025,-0.15180264577900607,0.196862083959721,0.06947284794889727,0.09933892513954805,0.10028997976128569,0.04786446531826899,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.2546966738333949,0.16421284245522566,0.00923051230373487,0.12079645459883533,-0.21503368680033552,0.0685161630639713,0.0553808431527897,0.0545875557478933,0.05814939573357435,0.13929270477092356,0.035501448283928976,0.035501448283928976,0.05592996260297426,-0.05167655352324234,-0.05555020402385541,0.04778471819515678,0.04778471819515678,0.05641058958051805,0.04270224002873732,0.10445678855827405
Rac1,0,0,0,0,0,0.7,0,0,0,0.7,-0.6,0,0,0.9,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plk1_H,-0.2117910140670428,-0.061851003056852386,-0.14838999067842354,-0.3332830051357243,-0.02717572822153288,0.32005051036514787,0.46095706824525723,0.3286556024784194,0.3269536930969323,0.2723076923076923,-0.2,0.03456115496652161,-0.13104425494675354,0.27313432835820894,0.3249913238345598,0.2,0.21521800793802792,-0.3114194230992217,-0.21940139008450726,0.3276885889181341,0.3260431167942094,-0.3332830051357243,-0.12763433962134665,0.2202901021018337,-0.20966221464039675,-0.022624099384322697,0.16069410097858863,0.16727782317151144,0.22781038538151016,0.05915945982249784,0.053962082180296723,0.18593219563275343,-0.3537998123695126,-0.3194722842855623,-0.34902714970999293,-0.06828720660041038,-0.3088858675681655,-0.3088858675681655,-0.30295235210567195,0.3121925702842084,0.33956271175778896,-0.33866618962130024,-0.33866618962130024,-0.32791955992424926,-0.02557050858371519,0.07153837224302459
Plk1,-0.09523588338338404,-0.06018797276568626,-0.12415318646598592,-0.310616976327093,-0.07401582136958451,0.33266576999892744,0.32667573794993315,0.09330437202266492,0.2985168198980705,0.3072333548804137,-0.2653846153846154,0.03551688959666295,-0.10591451235077454,0.31058887088060505,0.30593409047526265,0.26666666666666666,0.09424598718198979,-0.20072899526864188,-0.19935799030609702,0.10876656761548516,0.10842587555660677,-0.310616976327093,-0.13453650485995333,0.0968443614097949,-0.18537995581499578,-0.072199730451449,0.13278886997615624,0.15572447739015127,0.12348771596886612,0.05979752015906832,0.03844831125081537,0.164561017155163,-0.3397530295342054,-0.3308073051774298,-0.34614987077509746,-0.04609531204276214,-0.2898599381168355,-0.2898599381168355,-0.2842099384329908,0.2874841017321238,0.3157063640019169,-0.3134676940810625,-0.3134676940810625,-0.3431859351559334,-0.07351358101254049,0.04033586181220869
pAPC,0.3179769840304934,-0.15021398174908066,-0.06621892376644035,-0.22190779087994067,-0.24417646414731542,0.21706654321951446,-0.4215842053550947,-0.39879639203667916,-0.07844086545624326,0.19229723773141344,-0.1566265060240964,0.23976868506460058,0.2647556962862728,0.1928802824591417,0.21923211034927353,0.1566265060240964,-0.4020075552767398,-0.27594316352398973,0.3863640745828817,0.21573868923609388,0.21756668770679247,-0.22190779087994067,-0.34317068423441477,-0.4020842728655257,-0.190276229910185,-0.24652463536174146,-0.4471097318866578,0.2167983271665314,-0.45263296865431724,-0.3643042742157352,-0.3588627428108353,0.15813030856916285,-0.2347819855056387,-0.216846677575544,-0.23288095984437557,0.28489896916879054,-0.2046387582689238,-0.2046387582689238,-0.10054059072743263,0.18588081447496146,0.20169846470826264,-0.22260717406052274,-0.22260717406052274,-0.22365639740769824,-0.24550018382989647,-0.39928116294637206
PAK1,0,0,0,0,0,0.6,0,0,0,0.5,-0.5,0,0,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
