Source,Wee1,UbcH10,U_Kinetochores,SMAC,Replication,pRB,Plk1_H,Plk1,pAPC,p27Kip1,p21,Myc,MCL_1,Mad2,IAPs,FoxM1,f4N_DNA,Emi1,Ect2,E2F1,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ATR,A_Kinetochores
Wee1,0.269215323670036,-0.01778069431614849,-0.13061300768117787,-0.07670082239497641,-0.16305374002019216,0.10349839699775276,-0.4342777579127393,-0.4072254390403887,-0.3176239848739253,0.24391776800646384,0.25177390578276915,-0.14662598823948478,0.1938273726201592,0.0784519093708902,0.07743673768962413,-0.31234984280378486,0.02198428178462572,0.29487697612845953,0.05905308912918448,-0.09456005543767901,0.060315480440132054,-0.07670082239497641,-0.2439492373020435,-0.16923260087215747,0.002217470884367752,-0.28984585817981445,0.08422855727642617,-0.16303266903705818,-0.44289737299658427,0.10383868880646178,-0.34607706745574185,-0.28297666788819115,-0.2699144000126305,-0.028468913394816296,-0.0840072544404384,-0.07760938850369745,-0.08459930179338068,0.15628304620139147,-0.0766921912724028,-0.0766921912724028,-0.039558634726012176,0.04122967296708636,0.05143542221311929,-0.07588902612773818,-0.07588902612773818,-0.07871214280702121,-0.16320807761068698,-0.1872966962548835
UbcH10,0.3049000049313571,-0.06335291365637091,-0.19855037661668093,0.09113342209182056,-0.20229095918354317,0.3230439016576214,-0.451146477671978,-0.4402110281726487,-0.23333639608873433,0.35874453199581346,0.14849903816063395,-0.07291180050957084,0.027762001193546722,0.11690908130217367,-0.09479338990830191,-0.42958406362142076,-0.31877107670451943,0.2362383535970912,0.06212242118174242,0.14625668519860607,0.0631431690142908,0.09113342209182056,-0.1548039229356151,-0.06780617041024678,-0.23206976375873598,-0.22487137536020088,-0.281833368583441,-0.1965232402263389,-0.3746009367968461,0.31096764520561593,-0.3983323835957219,-0.3895984039336932,-0.3475914621063336,0.10878954056251318,0.10547546631729994,0.12512663571127056,0.11775559005130484,0.11235986580205748,0.06784206901659388,0.06784206901659388,0.08978692510381449,-0.09754552852691303,-0.10030245558087458,0.08960265400231339,0.08960265400231339,0.13193700843893208,-0.20025998321375096,-0.2962797936439178
U_Kinetochores,0.24429193088891102,-0.16183396948259898,-0.042351675308312756,0.37394544816909364,-0.22569956786863893,0.2579278609865338,-0.3516108189281289,-0.34192423682100487,-0.12796130053902594,0.2531345597270107,-0.039817566660565504,-0.02900690173536511,-0.17158535534101502,0.06440777608014707,-0.3713903008074356,-0.3346659795078391,-0.11301582546821998,-0.09858718299363228,-0.137393369671478,0.18373332072014872,-0.1366689164831896,0.37394544816909364,-0.1420492805835766,-0.02044889725078459,-0.15363185243921437,-0.1682671399220039,-0.246301129715259,-0.22088802395325238,-0.21076084182000576,0.3269337255631631,-0.2206441577219401,-0.21900330835098308,-0.2887281068205706,0.04349783673446401,0.4321690300158367,0.41779043891757156,0.4453782286811704,0.2193396548333979,0.33211752534488603,0.33211752534488603,0.31956746498856403,-0.34139981904404315,-0.39013287626665255,0.3765112649785834,0.3765112649785834,0.4286422534003006,-0.22421888434625967,0.08099027988057071
SMAC,-0.42984897087592266,0.0792394148161594,0.17237752302336712,0.48876884977974255,0.012297075827539677,-0.4015584005246284,0.1670572196657792,0.2998863303904683,0.21508835573854954,-0.38004798142878,-0.40488201448910593,0.3559506200717181,-0.4917041055568932,-0.08168412760700874,-0.5478200357972207,0.08293291971464621,0.004303349124324699,0.10714453360159948,-0.10186049193137951,0.2666296402656407,-0.09759624279178412,0.48876884977974255,0.023697593530317265,0.3770065550865532,-0.007850130305478613,0.31920172492071325,0.14496508185145782,-0.01965590360832432,0.4053367722266028,-0.17970551884424976,0.2413647521055066,0.03758599911098788,0.18312531276067712,-0.12011902741570371,0.863163827058553,0.7976401179941003,0.8894835111425505,0.30916827414668235,0.4787667005400449,0.4787667005400449,0.46601660779201426,-0.4691305245893145,-0.5052043447356095,0.5120707327189249,0.5120707327189249,0.7981308411214953,-8.142194780137862e-4,0.22625505063497867
Replication,0.3331307596605623,-0.03968291103959909,0.07738200983052437,0.047463546945945685,-0.08956607722163565,0.19485875851374304,-0.32996876791838137,-0.358029223931497,-0.25092431334886345,0.23814541741512035,0.3157281558672985,-0.17179642268375014,0.028622741276226334,-0.005150639285362302,-0.04865079116167566,-0.17756015921946947,0.17644964785057596,0.05875997247667528,0.10105547670463808,-0.042916536440868486,0.10148950553974367,0.047463546945945685,-0.3268963340498002,-0.3621021881168018,-0.03033304877435347,-0.17673811398718536,-0.017857389331485438,0.014838740520521176,-0.25976047158976423,0.1789281571085364,-0.0017751811237000815,0.09909397068697195,-0.24496507667701634,0.0720518826073765,0.05521818765211075,0.0545875557478933,0.05808977797011552,0.14147990343652267,0.034508169909961035,0.034508169909961035,0.05532034335602741,-0.05163632140812742,-0.05542996283864342,0.04699022325223767,0.04699022325223767,0.05641058958051805,0.012011752205406212,0.09763650649784544
pRB,0.18405867445681778,-0.2835349241289994,-0.2604100497739211,-0.22711210444634977,-0.4054666394905123,0.5096250495996358,-0.5529043005402158,-0.5380527671052326,-0.2724948257387389,0.5047681635684323,0.5778816950988118,-0.5556917195132389,0.40047611087710855,0.13526941852038102,0.21990697659773809,-0.5572104844905966,-0.3778172016372175,-0.08916826266448424,0.1680324616773144,-0.3044987267048874,0.1675680393758546,-0.22711210444634977,-0.5869000370226635,-0.5934045300947394,-0.3098989502388446,-0.6449830686898557,-0.31836001152788795,-0.3890242414288478,-0.2882236233875368,0.4252237211425894,-0.48332190093025273,-0.5220423987237869,-0.6083371399300962,0.1495992410844385,-0.23311105878828958,-0.21157207728452207,-0.22746856526973466,0.1407140109880749,-0.20403289175287992,-0.20403289175287992,-0.1751401108769297,0.024300958266630736,0.03903090406037223,-0.23143523093221888,-0.23143523093221888,-0.21912600466654197,-0.39923495613087817,-0.3629829574701572
Plk1_H,-0.21153347758729443,-0.06131913769506081,-0.14803791313729234,-0.3286122161998416,-0.009239411637925132,0.19089418675674819,0.46207883556121904,0.32983760952364605,0.32737184481832493,0.070253205903224,0.061805141960873736,-0.013306021395838988,0.01799507811248504,-0.13130020126439815,0.32123733963417456,0.21770773758419523,-0.3043808985103527,-0.22595792087454022,0.3275452572619682,0.16738896292700212,0.325951334872535,-0.3286122161998416,-0.028386764590910996,-0.013839169563194354,-0.12709060878927778,0.21620705948207294,-0.2099331834344051,-0.004828657604156104,0.16099498763757453,0.16651753534640445,0.2294190339909059,0.06307069896214193,0.05946594861250633,0.18618569916683306,-0.35026263335103225,-0.3186625753888478,-0.3469056805982451,-0.06827407959209013,-0.30330544785122054,-0.30330544785122054,-0.29848194346340956,0.3096492202310035,0.33663659186242445,-0.33336681593769296,-0.33336681593769296,-0.3272147922089579,-0.007340852726107324,0.07229216636011017
Plk1,-0.09511786668334705,-0.05984474061992934,-0.12391558746716298,-0.3052791659439156,-0.054286031564420335,0.17638772578750264,0.32831437692710663,0.09451456016724677,0.29918344889982607,0.07506702263094944,0.06785957000755281,-0.015737143434330015,0.018302200893534605,-0.10622490961188506,0.3011616725189069,0.0967285972257289,-0.19408423897608265,-0.20743425984399155,0.10871639841999389,0.148142453737591,0.10832535928269738,-0.3052791659439156,-0.030351509389610638,-0.01613700068713296,-0.13443448829459412,0.10022717974771293,-0.18664017270242453,-0.051418762507520685,0.13327828822950155,0.15558722497921768,0.12527021965203414,0.06395319628643176,0.043729312837569256,0.16528723540176182,-0.3350458848069281,-0.3284547882592447,-0.3425286866045386,-0.04607259093027185,-0.2838968200929947,-0.2838968200929947,-0.27945004232952053,0.2847643929040621,0.3125582994772536,-0.30778675399867383,-0.30778675399867383,-0.3410062264958009,-0.05314972940945998,0.04097363639760082
pAPC,0.3156591243860215,-0.15414038501353872,-0.0689145221196861,-0.21049244420561494,-0.22238074687422835,0.2952958177626934,-0.4161565275169276,-0.3985382958753253,-0.07656387969677556,0.3334923993322481,0.2002895710457889,-0.08823317015053803,0.21295930774861502,0.26534343967141405,0.20779507916273912,-0.3977697116249859,-0.2801720890723864,0.338812284652351,0.21752315564816924,0.11807933220882874,0.21872269449016982,-0.21049244420561494,-0.19404039517374455,-0.08695972107115198,-0.35153379182596983,-0.255156311975942,-0.20681295402746985,-0.21877033746385086,-0.4469578098615316,0.22539591377599946,-0.4529601479725744,-0.36108793175305876,-0.33836445801410453,0.16548191245126637,-0.2225797789224453,-0.2069868334490758,-0.22131473861335657,0.2859094318733578,-0.1940360449363001,-0.1940360449363001,-0.09345215432968536,0.1818654274804715,0.19658844582965615,-0.2115261350591869,-0.2115261350591869,-0.21380035903564573,-0.22119001322556858,-0.4027739805425819
p27Kip1,0.07541957851329588,-0.27764005203635067,-0.2383287259137465,-0.18309481767212227,-0.47973984496247424,0.6874754972585592,-0.6076620175638059,-0.49632626844585365,-0.30120399660280756,0.5771007156623371,0.650069826306765,-0.5404561717223627,0.3799974221705574,0.11742843871857175,0.17352454303561177,-0.6243869949951348,-0.4542688888561231,-0.06375173752251787,0.08752196755605718,-0.29992371668549367,0.08579844168143481,-0.18309481767212227,-0.6652004027277185,-0.5715465607269901,-0.38753586797123307,-0.6221637162860592,-0.30310475936504727,-0.45608489572944605,-0.25569852248875513,0.39862034606398383,-0.43780185771628083,-0.5873241446784628,-0.5816477051075386,0.146091961567451,-0.1808794533479507,-0.15471185471185472,-0.17099246358015385,0.2059420881834265,-0.1742942579390505,-0.1742942579390505,-0.14363269798939415,0.0022473081753459773,0.011395454690028289,-0.18937837966821963,-0.18937837966821963,-0.1594253938832252,-0.4706039519907891,-0.33205928654796024
p21,0.31107255364230507,-0.23076281108889374,-0.2284525274818244,-0.09345101393785535,-0.3137562833828663,0.510083307160804,-0.46310044942386525,-0.4571417466438736,-0.15501199850309266,0.5100022825667722,0.38728006458605363,-0.3566136078142385,0.19481378737442778,0.14596946479343834,0.08597217634295178,-0.46144697191678336,-0.37729568780130424,-0.019896535647759506,0.23900755473153706,-0.09300459872682507,0.2383310253273804,-0.09345101393785535,-0.39770037227153243,-0.5999750104664854,-0.30777253676627814,-0.4374791922886366,-0.3111893346773616,-0.29617339062188824,-0.3640310481559827,0.4297969883849067,-0.40169514608031076,-0.4239324405443988,-0.41121440244886687,0.1418910691273921,-0.08951776213344183,-0.05855072463768116,-0.07750185693803872,0.14236532537586027,-0.09247338628669796,-0.09247338628669796,-0.055292042228751816,0.053418645248540855,0.06109347723578672,-0.09794050645020572,-0.09794050645020572,-0.059199999999999996,-0.3070724976161752,-0.36360066449745687
Myc,-0.20010538391798818,0.31291404100718145,0.257179055406862,0.25960153021842214,0.4549799203109413,-0.5333608195309575,0.660676301960649,0.5454320266207675,0.3805688292006586,-0.5185730634047602,-0.5276640641254693,0.5203529938186816,-0.4167303410420457,-0.12796749523117532,-0.2523685844763755,0.5687242624309959,0.3939212474542349,-0.047897224754591586,0.015377467315247936,0.41014188674846547,0.016167659016463342,0.25960153021842214,0.534904411336629,0.6549967758281885,0.39507336040801155,0.5874427093515832,0.21667732071949536,0.4367362713929424,0.40234407519530035,-0.3165997474557468,0.4868102228959189,0.5345498434363345,0.5285694614910466,-0.08523154740346874,0.2705976192530737,0.24547134075427818,0.2657742109779091,-0.22936034927595625,0.23928347782142484,0.23928347782142484,0.1953390877211817,-0.0766802774656565,-0.10060326100126023,0.26415421483607854,0.26415421483607854,0.2529982030109684,0.44802275229517213,0.34676981682654295
MCL_1,0.4757788700791134,-0.05217048966009032,-0.1841399644403819,-0.8931515576880915,0.08914571773581928,0.3982057164441416,-0.08550081310625748,-0.29144670399682293,-0.2127007437315002,0.39118273766263084,0.38036427401029255,-0.3515225320910902,0.5284510526493538,0.07192650608344417,0.7986798679867987,0.029115309970950503,0.07492354413101154,-0.20773625770554743,0.1130725620832764,-0.3078203449302585,0.0958397534668721,-0.8931515576880915,0.14929428829693508,-0.3592112963974491,0.054460366723434475,-0.2994202823301945,-0.15345080669869565,0.132551724137931,-0.4128089274181437,0.1726030775447385,-0.22824318012879968,0.0776409092750922,-0.11472129158878626,0.1666366429184895,-0.7992994746059544,-0.6,-0.7,-0.4462321597724882,-0.9688859078703109,-0.9688859078703109,-0.9666476642018587,0.9189233405371933,0.935265956235086,-0.9783312538718633,-0.9783312538718633,-0.6,0.11312140877679164,-0.22444008370876073
Mad2,-0.3278563293708887,0.0036639173190742497,0.05264957479967606,0.33829921504926974,0.18332769627466594,-0.19983530421652726,0.4019049128862614,0.3866963808294734,0.10392790797686294,-0.32790855557440973,-0.26569131196651347,0.08377172620425835,-0.30559559373632067,-0.24821012922731905,-0.3319282166942147,0.3890412890481808,0.18499624005722434,-0.32866186904005845,-0.22085481879792562,-0.06806602966386002,-0.2220406937627209,0.33829921504926974,0.2387317590132064,0.09292202852996947,0.329881463183389,0.29898777377999053,0.09889767016040485,0.17702877152850544,0.4354305376941124,-0.20986157880653417,0.4388016964820463,0.3550425961714254,0.3437698356515808,-0.15943464439041594,0.3606637488081973,0.3264280623154465,0.35662460787828154,-0.17003747483488282,0.31622984816283434,0.31622984816283434,0.33378339512953464,-0.205054029258417,-0.23461035479419015,0.34163262679737016,0.34163262679737016,0.3343414563388453,0.18113146292242766,0.37701637363656393
IAPs,0.4391072856425186,-0.08627643427188728,-0.17671746750732603,-0.5120707327189249,-0.02111131140775315,0.41718398671858825,-0.18917981037807124,-0.3144853054828292,-0.22846736815486812,0.39368394715162525,0.4350226909332843,-0.37227498032429374,0.5018778318891204,0.08686221313679796,0.48876884977974255,-0.09815454904390976,-0.013605222147919932,-0.09912112651099972,0.1043384304065289,-0.27315101866046343,0.10186049193137951,-0.5120707327189249,-0.03561241523050317,-0.39675192726494884,0.0027899800343493494,-0.3379744921610097,-0.14681016053638654,8.142194780137862e-4,-0.419759627866541,0.1865225906914388,-0.2580982448404707,-0.05669046456079232,-0.1960579074459424,0.11762837998218276,-0.9168008277593238,-0.8894835111425505,-0.9691169123645466,-0.3065474143370787,-0.49007954970205603,-0.49007954970205603,-0.47584120416434833,0.47451245252923274,0.5121185375136388,-0.5257655326079812,-0.5257655326079812,-0.8912298826550415,-0.012297075827539677,-0.23466309919174205
