Source,Wee1,UbcH10,SMAC,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,Myc,Merlin,MCL_1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,Fast_Migration,Emi1,E2F1,DR4_5,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD
Wee1,0.299638923349663,-0.031428376403139835,-0.05958763955049888,0.05998505546296444,0.12894733673779898,-0.4107799531575484,-0.31949467515668994,0.050033017093659884,0.266551718740731,0.2605069496965808,-0.15276437741041776,-0.03549295774647887,0.17941550693201666,0.05019036408653651,0.059392476472230685,0.03549295774647887,-0.3282697969068596,0.036049382716049384,0.3176726207459489,-0.08171252736956255,0,-0.05958763955049888,-0.25819288531588913,-0.17827338967699743,-0.016579153953883662,-0.299951614119617,0.05721980860515933,-0.4632446794196743,0.14550290566423235,-0.36596886282587743,-0.327111758373595,-0.2928822907280131,-0.01096304674823276,-0.06557192549356641,-0.059863114181038526,-0.06566351944952889,0.31384883205852854,-0.058805559964012585,-0.058805559964012585,-0.012839985340654097,0.02438797267597115,0.03399474569064174,-0.05953034309007915,-0.05953034309007915,-0.061384987990904916
UbcH10,0.4573480823038946,-0.07678678771562097,0.14075525837589403,-0.15933758978451715,0.342660345851702,-0.4616002384458794,-0.2435353665519732,-0.14285714285714285,0.3794946547397068,0.15999356194169187,-0.07729725299577521,0.1,0.01699235044294799,-0.14285714285714285,-0.14291858558911347,-0.1,-0.44516652628134257,-0.1,0.22103734841274214,0.1551642750567387,0,0.14075525837589403,-0.17118951716383463,-0.07939980332139042,-0.2493362506955264,-0.23104143157281806,-0.3064757803197648,-0.44965281361028425,0.3527589058597183,-0.4415739721354897,-0.4373725935886748,-0.36919849222071477,0.13044770749888848,0.15694532437857273,0.15933758978451715,0.1640051371204925,0.3169734516733201,0.11055840726659534,0.11055840726659534,0.14453279207186426,-0.14353667296180722,-0.1506232280918539,0.1394784088690078,0.1394784088690078,0.1658465233332056
SMAC,-0.5065001498116971,0.08289249691147708,0.49400067729376496,-0.7977869986168742,-0.4058859787705459,0.31133847764022565,0.2168177355449452,-0.7,-0.3857314327044395,-0.4062150925802802,0.3564128964201202,0.6,-0.5073699709633029,-0.7,-0.5493022337139984,-0.6,0.088586096581574,-0.6,0.13898271723383804,0.26500543667256965,0,0.49400067729376496,0.026161165330967396,0.3800372925853869,-0.0020583320657238265,0.3208403224436868,0.15530517176329103,0.4324800057944837,-0.19502565631570606,0.26792111119041184,0.06515958140481727,0.18869448083573612,-0.13144863113926827,0.8644144312535079,0.7976401179941003,0.8894433966826248,0.28186292558555215,0.4876020458240811,0.4876020458240811,0.4755271035639613,-0.4775961700401292,-0.5161802703966751,0.5208953217653918,0.5208953217653918,0.7981308411214953
Rac1,0,0,0,0.7,0,0,0,0.7,0,0,0,-0.6,0,0.9,0,0.8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pRB,0.4737133469690146,-0.3028628743153033,-0.1956477721976609,0.19960280006292277,0.5397556389673503,-0.5925308474123742,-0.3014061784047765,0.18717948717948718,0.54260595377045,0.6050180881002905,-0.5651702049267493,-0.1619047619047619,0.41392719071046286,0.18799171842650103,0.19118467110613557,0.1619047619047619,-0.5922851792349074,0.16521739130434782,-0.11557682167946126,-0.29809922633976094,0,-0.1956477721976609,-0.6206268744278522,-0.6208579699750534,-0.3345242228451039,-0.6626116923357057,-0.3495049171412832,-0.4378531079881777,0.48450517513599206,-0.542817043509994,-0.5737049887531889,-0.6473973803549946,0.17706129981421265,-0.2063953032080806,-0.19933333333333333,-0.20763461140753608,0.3918013522507639,-0.1738276100654459,-0.1738276100654459,-0.12887694315359463,-0.015763656789670354,9.692071562993863e-4,-0.19887717576306332,-0.19887717576306332,-0.20804661289944965
Plk1,-0.06369616020058683,-0.06089581762112732,-0.2760685178393009,0.3182839828071966,0.1665855838339497,0.05753324052310377,0.2787304844715308,0.29768539125790083,0.06861042946834714,0.06619194776851162,-0.015587853986114753,-0.26170212765957446,-0.0133269754565457,0.302065306122449,0.27222955838219287,0.26326530612244897,0.08611837932912898,0.2689655172413793,-0.12954465044740182,0.1378071672456059,0,-0.2760685178393009,-0.027608218319873406,-0.01722278339076245,-0.12710582051967792,0.09296574284779775,-0.17474431725352255,0.12230714278477886,0.14656227550934303,0.12041813147891485,0.08938447341154959,0.0464836274056559,0.15156623883361695,-0.3144188230410092,-0.31562626532717064,-0.326872300669264,0.0059706861249136664,-0.25524003957665065,-0.25524003957665065,-0.2506721749094592,0.25016688763405714,0.2863575097616631,-0.2786030638740863,-0.2786030638740863,-0.3301211407923154
pAPC,0.4255673517826228,-0.18173574091025355,-0.23115061949401414,0.22742724612448187,0.3366707132285761,-0.4391001803662964,-0.0979874220992526,0.2009088259452585,0.37581160840506556,0.22368755688228217,-0.09977954189636146,-0.16164383561643836,0.26506211576976124,0.20160559469865635,0.22723673709328293,0.16164383561643836,-0.4377249016033491,0.16455696202531644,0.37874973898573516,0.13499224543248955,0,-0.23115061949401414,-0.22087913554961275,-0.1042315008290545,-0.39177806643391433,-0.28000602966490806,-0.25152673167332146,-0.5081445010219222,0.3086179618870265,-0.5059470745807892,-0.4313181268778483,-0.3836198551840984,0.21539022011927825,-0.24551992188923735,-0.22713341774799095,-0.2440538286899392,0.4656039170309646,-0.21486439031947535,-0.21486439031947535,-0.10167804863694711,0.19439148655766234,0.21393069498756073,-0.23333589246683517,-0.23333589246683517,-0.23473184952880938
PAK1,0,0,0,0.6,0,0,0,0.5,0,0,0,-0.5,0,0.7,0,0.6,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p27Kip1,0.4454846215166105,-0.2962952228112893,-0.15687691116486083,0.15010519501537464,0.7180811232187276,-0.5634846360396616,-0.3379151708159309,0.13513513513513514,0.6191115371057598,0.6807900438339759,-0.5501675814702546,-0.1,0.3975220469529754,0.13513513513513514,0.15180853365346456,0.1,-0.6648408360300728,0.1,-0.08650881750079564,-0.2950579449355325,0,-0.15687691116486083,-0.7028203604432401,-0.6025339877860586,-0.4121313505110722,-0.6414550537923652,-0.3329296820667216,-0.5025623333912795,0.4591237266097087,-0.5081340992145967,-0.6392210481643821,-0.6245459504423213,0.17301408922583728,-0.16099679589461105,-0.15010519501537464,-0.15901104743267744,0.4609939119426583,-0.1478554607303487,-0.1478554607303487,-0.09991093792197231,-0.03513671154478879,-0.024042338479066505,-0.16090995264846858,-0.16090995264846858,-0.15544267053701016
p21,0.46708677490199096,-0.2500303612554327,-0.047603537708406654,0.028030303030303027,0.535636467292755,-0.4870449909840973,-0.16900977074775034,0.016666666666666666,0.5378913913941645,0.40133506534733066,-0.36326561712808464,0,0.20389429909542742,0.016666666666666666,0.04272362061743202,0,-0.4852462957677762,0,-0.06336597462391226,-0.08449820049221693,0,-0.047603537708406654,-0.4180482760963059,-0.6152661868083376,-0.3327657272752009,-0.4492260864094189,-0.3449392311488122,-0.43192740212674846,0.48726850024605267,-0.43682037889170583,-0.4663898071153417,-0.4401563347416307,0.17404204965667605,-0.04429582588722536,-0.028030303030303027,-0.037497114782207276,0.3890285608919253,-0.052449149147868836,-0.052449149147868836,-1.9471807715691047e-4,0.0010448549462781,0.006983921212078549,-0.050917742526770025,-0.050917742526770025,-0.02847222222222222
