Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,LEF1,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,Emi1,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4
ZEB1_H,0.9,0.9,0,0,0.9,0.9,1,0.9,0,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ZEB1,1,0.9,0,0,0.9,0.9,1,0.9,0,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Wee1,-0.03290815247132353,-0.03947613074454583,0.2991739497729251,-0.03142673676649762,-0.03544000112119383,-0.025027864158263018,-0.03935430670901828,-0.16011099423812414,0.12809016301529988,-0.4107261655557154,-0.31947945696550023,-0.15385031379692482,0.26600375046956404,0.25829064415264336,-0.018465421425806112,-0.15238258120546583,0.038877394090294747,0.18033593171961138,0.14406144623454478,-0.05822439198438617,-0.15470550970056327,-0.14460163812360388,-0.32830118260211505,0.3178617030182551,-0.08153982922581397,-0.2596263663457331,-0.17779838516058663,-0.016580490139162594,-0.2998169872557188,0.05724696263324823,-0.46312519215167863,0.14546927581862462,-0.36594327837299845,-0.3271451669760775,-0.2928648716465921,-0.010989308946384217,-0.023724480582581375
UbcH10,0.4331520004044364,0.4055396016906118,0.4577484934708259,-0.07678678771562097,0.4347130334716808,0.40943968644003076,0.4614628140497178,0.37303527678977777,0.34325594659913916,-0.46163217261416173,-0.24354263828999353,0.34163040600385836,0.3799115634583109,0.16462499265332037,0.33856277189606254,-0.07752495570052927,-0.45935317082844895,-0.3551897486988831,-0.2996074654407718,0.43812308936986266,0.3443159119372226,0.3011443261443262,-0.44515519604845366,0.22096199919712625,0.1550688500297866,-0.17086061123778112,-0.07970531390313276,-0.24933308178607297,-0.23114642812629455,-0.30648311961373265,-0.44973651393091024,0.35276957972178025,-0.44158541939321444,-0.4373606612808219,-0.3692148928763497,0.1304563693509569,0.3998069024991421
Twist,0.9,0.9,0,0,0.7,1,0.8,0.9,0,0,0,0.8,0,0,0.9,0,-0.8,-1,-0.7,0.9,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SNAI2,1,1,0,0,0.8,1,0.9,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SNAI1,0.9,0.9,0,0,1,0.9,0.9,0.9,0,0,0,0.8,0,0,0.9,0,-0.9,-1,-0.7,0.9,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Rac1,0.7,0.7,0,0,0.8,0.7,0.8,0.8,0,0,0,0.8,0,0,0.7,0,-0.7,-0.8,-0.7,0.7,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
pRB,0.4209646147670022,0.3190582230084803,0.4736035855287474,-0.3028623867957109,0.37396094302526917,0.48488847182701533,0.40392771774336056,0.0518570643596486,0.539565535504148,-0.5925133061134262,-0.30139787151928227,0.021483179800742012,0.5425029362966128,0.6060647765045899,0.47270813597648215,-0.5649920433153989,-0.408032313466656,0.024726293356417208,0.01345192100014172,0.22694662187531506,0.015682465372699107,-0.019116263440860214,-0.59232821853305,-0.11541363569416793,-0.29798942431713416,-0.6219229441037422,-0.6206563329588699,-0.3345274683200679,-0.6625732245950375,-0.34948745134321335,-0.43780904733915554,0.4844875418394274,-0.5428051099741411,-0.5737383958037636,-0.6474182563943915,0.17704279721239416,0.4959285769972371
Plk1,0.23222756580848603,0.22786506501896447,-0.06692774666976689,-0.06084641877520793,0.25904474113039255,0.21804555414861357,0.27087025908390017,0.23042633187885028,0.16049494897275057,0.058045632465576015,0.2789171057578876,0.21522888473086463,0.06486355731945712,0.03140009975449056,0.17821191212893045,-0.011954541779998357,-0.2698102846803813,-0.22244263669171088,-0.1923134328358209,0.2651477080662877,0.21688201776437072,0.19323529411764706,0.08612661583732042,-0.12823479603810062,0.13939774410854422,-0.03367692515769409,-0.012138741229130511,-0.12707268208682548,0.09443130352428476,-0.17444608356888197,0.12331383373935209,0.14619309867200014,0.1207136017433923,0.08927121840880789,0.04683563926748062,0.15134313824104406,0.214782001208584
