Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,LEF1,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,Emi1,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4
pAPC,0.35195049013765956,0.332502468394504,0.42484197175153743,-0.18173387865340246,0.37083865848006203,0.3360332487639226,0.3847643822904803,0.29196436459753355,0.33531984260796205,-0.4390226852938374,-0.09796364284435194,0.2760937621752612,0.3749798247254839,0.2176547356565705,0.2926710419643982,-0.09915323038991448,-0.383290095649381,-0.2545742985017744,-0.2523693459169735,0.3601127941065239,0.2786712689411149,0.25409120175186517,-0.4377798245410524,0.37906134888762855,0.1352778331958538,-0.2230308346178253,-0.10340985679326713,-0.39178346309894496,-0.2797840400295218,-0.25148780320952124,-0.507966833024866,0.30857086896109465,-0.5059096957264602,-0.4313702186148822,-0.38360259890230314,0.21535194629368135,0.33108018452533594
PAK1,0.8,0.8,0,0,0.9,0.8,0.9,0.9,0,0,0,0.8,0,0,0.8,0,-0.8,-0.9,-0.8,0.8,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
p27Kip1,0.3764726799502971,0.2852431401812169,0.44547018569324265,-0.2962952228112893,0.3215771785319736,0.4949540798006307,0.35474860121000945,0.023927764354521007,0.7180408986310554,-0.5634792593654373,-0.3379124756996976,-0.007655169248104593,0.6191015200264081,0.6818031873163555,0.5218508818951764,-0.5501045609360651,-0.3611345795248103,0.03609619543993685,0.040225289454172135,0.18055564966192317,-0.01562255030943247,-0.047579072048562904,-0.6648622104505348,-0.08644140935982222,-0.29501780619849305,-0.7035654035533698,-0.6024660391931931,-0.4121332111362295,-0.6414422054942396,-0.33292582963054723,-0.5025491257567957,0.45911949523269263,-0.5081302474003995,-0.6392310351390227,-0.6245593861887084,0.17300903764539158,0.5205277058201554
p21,-0.6240601081988646,-0.6900997166800881,0.4671171256942981,-0.2500303612554327,-0.5769148053449402,-0.4609371817201932,-0.6316120689947695,-0.791147598177383,0.5356649927128883,-0.48704525729471726,-0.16900977074775034,-0.7285006860041513,0.5379207559486858,0.4023506176559928,-0.17181241806323677,-0.36326087265709794,0.6268329326626214,0.8496397585381711,0.657941748538739,-0.7397614087250662,-0.7323517077385133,-0.6606730259671436,-0.4852544998086894,-0.06334541172393685,-0.08449183757872664,-0.41846697950698086,-0.6152667029625056,-0.3327657272752009,-0.4492287989906741,-0.3449392311488122,-0.4319303039383794,0.48726850024605267,-0.43682037889170583,-0.4663898071153417,-0.44016344330469304,0.17404204965667605,-0.41904451469362947
N_bcatenin_H,1,0.9,0,0,0.8,1,0.9,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myc,-0.3650863691304419,-0.25004506856652337,-0.4715779427417049,0.3337754841771513,-0.320300186994476,-0.4093169276044505,-0.3499305256370183,0.03815009804343505,-0.564535294071462,0.5949402388507612,0.4007080831694447,0.06453879453879452,-0.5566780025391933,-0.5535804785042397,-0.395799398706972,0.5300267028924222,0.3527784788934404,-0.10985463331063072,-0.09354312354312352,-0.16590265316263203,0.06896854295066805,0.09741019214703424,0.6035541478191875,-0.005714361645837021,0.40319504787498806,0.5709787411757292,0.6821291496376791,0.42301875642114456,0.6050887905282816,0.25141163941080413,0.5283149783418135,-0.37735089603776933,0.5382331850082046,0.5836829317318208,0.5677298265146666,-0.1156177725705079,-0.4158502557772266
miR_34,-0.9,-0.8,0,0,-1,-0.9,-0.9,-0.9,0,0,0,-0.8,0,0,-0.9,0,0.9,0.9,0.7,-0.8,-0.8,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
miR_200,-1,-1,0,0,-0.8,-0.9,-0.9,-1,0,0,0,-0.9,0,0,-1,0,0.9,1,0.8,-1,-0.9,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
Merlin,-0.6,-0.6,0,0,-0.7,-0.6,-0.7,-0.8,0,0,0,-0.7,0,0,-0.6,0,0.6,0.7,0.6,-0.6,-0.8,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6
LEF1,1,0.9,0,0,0.8,1,0.9,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
IQGAP1_LeadingE,0.5,0.5,0,0,0.6,0.5,0.6,0.8,0,0,0,0.7,0,0,0.5,0,-0.5,-0.6,-0.6,0.5,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Horizontal_Pol,0.6,0.6,0,0,0.7,0.6,0.7,0.9,0,0,0,0.8,0,0,0.6,0,-0.6,-0.7,-0.7,0.6,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
FoxM1,-0.16307346418923668,-0.15607761313612073,-0.3647890859164237,0.25355570857738147,-0.19420559465475778,-0.1564788046877888,-0.19857573335213857,-0.11751436535907618,-0.18458398336778367,0.4819850819460488,0.3753091833109081,-0.11277723286124375,-0.32049221259564903,-0.23966044027917724,-0.1275992080932163,0.0807530436270913,0.1979858788678611,0.06999064261839233,0.1043323782234957,-0.1807270141508997,-0.11383503436465522,-0.10494915254237287,0.3908955325754115,-0.36951616144388094,-0.06013387735888929,0.24273104446369506,0.09331054709533898,0.3016975267219778,0.4041064547468478,0.08928255290052314,0.4401849912371712,-0.2340126578589202,0.442158020031785,0.48745414521998925,0.448127816245969,-0.038587378826839394,-0.15480133653394446
Emi1,-0.37690811531948193,-0.35744001245338386,-0.4179480763389476,0.21120671471599003,-0.3948304695748455,-0.35488498627046483,-0.41219368332402573,-0.3330478655713362,-0.3250011928132338,0.43225833061857893,0.15606386229841787,-0.31236483777713164,-0.3581983238808908,-0.17344850312714527,-0.29787245528641726,0.07665178442404544,0.41019920201136556,0.3068476956291321,0.28208533467154157,-0.3917511519257253,-0.3153212885678852,-0.28391415911197526,0.4236187353499961,-0.25515438650355937,-0.1454713912094566,0.17831006862414478,0.07930492841514396,0.2805249591471294,0.24002144342954418,0.2619971193180588,0.39921073680676533,-0.4209134798458072,0.39760381668243044,0.4177974270616141,0.36268154397045654,-0.13723140310756607,-0.3474938724814475
E2F1,-0.4209646147670022,-0.3190582230084803,-0.4736035855287474,0.3028623867957109,-0.37396094302526917,-0.48488847182701533,-0.40392771774336056,-0.0518570643596486,-0.539565535504148,0.5925133061134262,0.30139787151928227,-0.021483179800742012,-0.5425029362966128,-0.6060647765045899,-0.47270813597648215,0.5649920433153989,0.408032313466656,-0.024726293356417208,-0.01345192100014172,-0.22694662187531506,-0.015682465372699107,0.019116263440860214,0.59232821853305,0.11541363569416793,0.29798942431713416,0.6219229441037422,0.6206563329588699,0.3345274683200679,0.6625732245950375,0.34948745134321335,0.43780904733915554,-0.4844875418394274,0.5428051099741411,0.5737383958037636,0.6474182563943915,-0.17704279721239416,-0.4959285769972371
CyclinE,-0.3219672980613738,-0.2803659249037854,-0.4429311606587921,0.3129352683427271,-0.31151279672670956,-0.4557908416071285,-0.33527409520810647,-0.07937977911340975,-0.6150477570560331,0.5634599583267785,0.38789012934059086,-0.05328843014759915,-0.5161401513132768,-0.600795280435581,-0.38347422913077434,0.46075598603416995,0.34155613505373894,0.03237969345271807,0.024527676834416173,-0.1882210107156279,-0.04526951870469332,-0.016745072311358522,0.6686576040824257,-0.07161955880418779,0.2077768423359086,0.5142998948760653,0.5157708074869994,0.3941376764034553,0.5583337504353959,0.31252609228133876,0.505533675881722,-0.44533337844660437,0.5125168604018457,0.653033686096068,0.6275253166539788,-0.06098535496021579,-0.48597682446549983
CyclinD1,-0.39878279891404167,-0.27713709289836125,-0.4902460819098672,0.32046962656435735,-0.31919508872233276,-0.48340430480921653,-0.36002547889598063,0.021478866931464242,-0.7688131207608689,0.6072333059987914,0.2915616202100886,0.055174998715550136,-0.7672375266766893,-0.6206514292708382,-0.4982957648287032,0.5992257329251425,0.3650754684099859,-0.08628642916036984,-0.08711070800975,-0.1711616226909209,0.061273521739087136,0.09210462093479758,0.6072598449305893,0.18223958612637658,0.3505527277548196,0.648556201208055,0.7505443499044588,0.3672191208561487,0.6803842068444959,0.39295755839402907,0.4416889535709723,-0.5127459391415464,0.547572773294223,0.5744282053122455,0.669282035216302,-0.21647904811116803,-0.5000639697837457
CyclinB,0.008189398831853052,0.019257331580389843,-0.3464289197500368,0.21615604918496384,0.009109408479429874,1.1501464330372462e-7,0.010825909907016314,0.15200126442664602,-0.1714422925020796,0.366313145281687,0.3540367675096619,0.14868424121317309,-0.31121279474446145,-0.2906193596286269,-0.0024123582749357685,0.17564574386461934,-0.010291798106426796,-0.1796293723309847,-0.14379462551407252,0.03808733258871681,0.14972193885950733,0.14466208251473478,0.3776563870614244,-0.3615461078844012,0.08318232490804936,0.29227925612937355,0.2047608881865791,0.19006301982457985,0.3368157294200721,-0.04616994027664627,0.42766189316520775,-0.22314499833534174,0.428493118224955,0.37607924873059784,0.3445360016855662,-0.029229035892595595,-0.0013722669092859545
CyclinA_mRNA,-0.41180521259905706,-0.38536265651388324,-0.4353286205648187,0.28898534701333545,-0.4181541888081033,-0.3854721357664751,-0.4425295504014842,-0.35835196558285176,-0.3165493564270186,0.4387047756840289,0.24123573586849206,-0.3296679308467128,-0.3600420691758263,-0.1584279135183571,-0.3119199651536216,0.08090351901361478,0.4401635524749875,0.340625412222728,0.290964590964591,-0.4195901293708609,-0.332756328666863,-0.2928065799231444,0.424541158573402,-0.21351194265273232,-0.12063173663602658,0.16386509281013173,0.08126534197433705,0.22724398666980247,0.22645912944419302,0.272314663597263,0.4297707346029642,-0.3316202528620952,0.4207588097540754,0.417898472853181,0.34747353506610323,-0.08954213295860428,-0.3751052225876456
CyclinA,-0.4207227229583205,-0.39784326435869716,-0.43839353987733254,0.2903489990919047,-0.44135785351681067,-0.3928382377486286,-0.4591241727181374,-0.3791235029845861,-0.3186640879435897,0.4423572919468601,0.2461388353497634,-0.35835196558285176,-0.36236629708577284,-0.16386509281013173,-0.31389677148822737,0.08401011392620629,0.4563760967052687,0.3539405064965927,0.3296679308467128,-0.43523720824199563,-0.3624196240195707,-0.332756328666863,0.4284936575462453,-0.21605101496895918,-0.11871622230573527,0.16730692676618264,0.08535178975080049,0.22726559369895036,0.23151103796970215,0.17196175184005763,0.43476952827240345,-0.33313496184650193,0.4258722690647373,0.424541158573402,0.350614167565148,-0.08784960367213247,-0.3815068135883769
Cdk1,-0.038185026535308336,-0.0236704702751963,-0.3519839213342135,0.06779672172544847,-0.0411307781790504,-0.04494924793579127,-0.04171787688186274,0.10924211569930842,-0.1944780192566433,0.3693642026591719,0.34154503226971245,0.10901718115157435,-0.3178242527716286,-0.2943848121357745,-0.040545871278035474,0.1770026686458735,0.04214078085202416,-0.1400910403945347,-0.10880540647982509,-0.007248916399508147,0.11001635123999114,0.10976841735569362,0.38318768401314396,-0.3514761677136593,0.059688816439994505,0.2962762062635049,0.2092618760576354,0.07281803656272047,0.34096628219263253,-0.006525409968938377,0.41852588019838866,-0.21434106822840934,0.4220833830657599,0.3813037109405685,0.3484198572965251,-0.007837286857266732,-0.04582427833207506
Cdh1,0.19159009674986738,0.18982094344952377,0.2404433042685216,-0.286459455836789,0.23489170868933354,0.17582153554182658,0.23859546331798845,0.19919866342723613,0.1806815148595134,-0.369940910196784,-0.27812320759211984,0.1949499868967624,0.18622337457131782,0.11407890447465323,0.1307296202950693,-0.05120444209374333,-0.23721639026076105,-0.17887494363319104,-0.18764619883040934,0.22983564754950137,0.19762305240639813,0.18971629922206742,-0.26522929078827495,0.2430992764600906,0.07649506848359541,-0.1152653620587946,-0.05521344873801702,-0.14968823482502894,-0.18024470942562001,-0.095931043583286,-0.3147804579920733,0.15889097053233264,-0.31344643226422464,-0.26409133311516414,-0.33327562774469355,-0.07716234548137689,0.17201368283667134
Cdc25C,-0.037819498628658535,-0.023192110042971566,-0.35065269063379495,0.06719981475670392,-0.03975636343807472,-0.04437509321912414,-0.040925501017739854,0.10901718115157435,-0.19327973285804578,0.3676773870746451,0.33919534907316873,0.10880540647982509,-0.31673262805567937,-0.29124826405042814,-0.04019502696519929,0.17510263114513333,0.04133689295784504,-0.1393969939125226,-0.10854700854700854,-0.007072412472700601,0.10976841735569362,0.10938722294654497,0.3813037109405685,-0.3504979313559934,0.058551862178040245,0.2943848121357745,0.20664613320407071,0.07299825276158223,0.33826578354010506,-0.006388357661669668,0.5163530006435914,-0.21366870129873825,0.4197851150995091,0.3779632770155192,0.34689842632522777,-0.008757987542685416,-0.04522623076043469
Cdc25B,-0.15490539559601577,-0.14527917089972547,-0.35827881258082034,0.2324321470223334,-0.1754414261460102,-0.15170711995208802,-0.18162809597523222,-0.07213979061238394,-0.18533215446879261,0.4749323529040638,0.3587097057784149,-0.06598542135022821,-0.3176247904417851,-0.2445742804179621,-0.1311318840635019,0.09496574979519037,0.1813860358124057,0.01833129008385023,0.053968253968253964,-0.16043950387115874,-0.06625638956147431,-0.053968253968253964,0.4847783595146454,-0.3620005074163854,-0.05743944073418846,0.2497512861336158,0.11124476656073554,0.2937348295133397,0.4080225119521419,0.09097444500089144,0.5291142192026255,-0.22696520365815975,0.5312965438322418,0.4788548975767535,0.4452235890794264,-0.03173930611172011,-0.1508581593363767
Cdc25A,-0.3286908895047233,-0.31528359187665306,-0.3700904649199521,0.27212155713275143,-0.35630170413435713,-0.3055794927556554,-0.36819505564211374,-0.3033367259833355,-0.28441960534758126,0.48629943949656046,0.37930219200456156,-0.2888488641113376,-0.31498305292952444,-0.1525958117696986,-0.2524479003018606,0.0655481452793992,0.36617747575980747,0.2779452102720177,0.2662929981895499,-0.3526755348170395,-0.29205929720917945,-0.2684204740776272,0.48362017962122533,-0.3344230888002329,-0.12838826643125328,0.15574183126997967,0.0681548643619757,0.21059904261574514,0.34004058364883905,0.21379446467990096,0.34755549703902444,-0.36045009259117294,0.44820342220744525,0.4800574655009976,0.3269952713811954,0.033118031723843436,-0.29886496944355584
Cdc20,0.22824231720672655,0.21341492465775797,0.41632589084257443,-0.034403505369267645,0.25008681637639,0.22066284058637775,0.26058462378185515,0.1557627621289381,0.2443542694774786,-0.43449362511886713,-0.13261401590447366,0.14419955573005097,0.3742419170289598,0.27272874510580386,0.18779829957864125,-0.09797159720256847,-0.2599377537648898,-0.10272943045528556,-0.12643508467216674,0.23574803918035045,0.14518517504391001,0.12691922277893192,-0.43846521196641197,0.4005141529942892,0.08638918919642659,-0.2779704430661897,-0.1113935142263865,-0.373908888660697,-0.3327812016843942,-0.14694274577260766,-0.4957671807944416,0.30049981664617864,-0.49590364374899165,-0.43225889789371863,-0.3969447769942091,0.11023118492229522,0.21845026505567197
b_catenin_TCF4,0.9,0.9,0,0,0.8,0.8,0.9,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
