Source,ZEB1_H,ZEB1,U_Kinetochores,Twist,SNAI2,SNAI1,SMAC,Replication,Rac1,Plk1_H,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,MCL_1,Mad2,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,f4N_DNA,Ect2,Cytokinesis,Cyto_C,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,A_Kinetochores
ZEB1_H,0.9,0.9,0,0.9,0.9,1,0,0,0.9,0,0.8,0.9,-1,-1,-0.7,0,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
ZEB1,1,0.9,0,0.9,0.9,1,0,0,0.9,0,0.8,0.9,-1,-1,-0.7,0,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
U_Kinetochores,-0.2967032967032967,-0.2956912028725314,0.0019129137570175821,-0.44002896078444137,-0.3809558933291185,-0.2973033707865168,0.5086643945527702,-0.25798997883114,-0.4457339862225117,0,-0.37460093497662555,-0.2958041958041958,0.2,0.3836805555555555,0.29337016574585634,-0.42034040341758444,-0.032333010762303695,-0.2975510204081633,-0.37602893086600236,-0.45944467694068203,-0.29358288770053476,0.20215304497998496,-0.21243188783722236,-0.21703532655047802,0.5086643945527702,0.5207847469821842,0.4379788574035989,0.4932063115137346,0.32750048908328644,0.5455474174525824,0.5455474174525824,0.5234175053849394,-0.6092988390827965,-0.6400243164758905,0.5648500601862605,0.5648500601862605,0.44599351455591735,-0.2966480446927374,0.2600342874724181
Twist,0.9,0.9,0,0.7,1,0.8,0,0,0.9,0,0.8,0.9,-0.8,-1,-0.7,0,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
SNAI2,1,1,0,0.8,1,0.9,0,0,0.8,0,0.7,0.8,-0.9,-0.9,-0.6,0,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SNAI1,0.9,0.9,0,1,0.9,0.9,0,0,0.9,0,0.8,0.9,-0.9,-1,-0.7,0,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
SMAC,-0.6,-0.6,0,-0.8,-0.7,-0.6,0.6,0,-0.8,0,-0.7,-0.6,0.5,0.7,0.6,-0.8,0,-0.6,-0.7,-0.6,-0.6,0,0,0,0.6,0.9,0.8,0.9,0.8,0.7,0.7,0.7,-0.8,-0.8,0.7,0.7,0.8,-0.6,0
Replication,-0.1,-0.1,0.10196378616083561,-0.23657035848047087,-0.1826086956521739,-0.1,0.235471056307754,-0.010058822860975553,-0.23730597211260193,0,-0.18095238095238095,-0.1,0,0.1826086956521739,0.1,-0.14087267148885566,-0.07887422770566896,-0.1,-0.18095238095238095,-0.24011821637660083,-0.1,0.21243188783722236,0.057019975749324624,0.05932745420359207,0.235471056307754,0.273089649579715,0.23657035848047087,0.2700326408789234,0.09287708011712889,0.197945440432703,0.197945440432703,0.1729984305904956,-0.21070737701047731,-0.24106992170601385,0.2347894029357453,0.2347894029357453,0.2420359032894054,-0.1,0.25937863022938795
Rac1,0.7,0.7,0,0.8,0.7,0.8,0,0,0.8,0,0.8,0.7,-0.7,-0.8,-0.7,0,0,0.7,0.9,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
Plk1_H,0,0,-0.09424431282008094,0.1,0,0,-0.2398571197708567,0.28894028075062556,0.1,1,0,0,0,0,0,0.11291352066525469,0.08749673458725182,0,0,0.2226596675415573,0,-0.2182698944517126,0.3723719740871444,0.38219653549065313,-0.2398571197708567,-0.2325,-0.1,-0.18095238095238095,-0.06444771661338902,-0.19919903398809863,-0.19919903398809863,-0.17134064643552993,0.19705567769733265,0.2350628214421318,-0.24011821637660083,-0.24011821637660083,-0.1,0,-0.25798997883114
