Source,YAP,WT1,Wee1,UbcH10,U_Kinetochores,TRIO,TAZ,Stress_Fibers,Replication,Rac1,Plk1_H,Plk1,pAPC,PAK1,Mst1_2,Merlin,Mad2,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
YAP,0.9,0.9,-0.29699891487622215,0.2416573157861786,0.19219990824036295,0.9,0.8,0.8,0.27645113464202803,0.9,0.6073028663402715,0.4831131475965579,0.3829893390303171,0.8,-0.8,-0.7,-0.1050049498581874,-0.7,0.9,0.9,0.4920769080243663,0.9,0.14360490227342698,-0.388482081624011,0.0426529933071972,-1,0.04049583176865253,0.2936822463507681,0.4896812190929568,0.05331529326406237,0.2774314711343615,0.41425680783701446,-0.18683453609362247,0.42618686244367804,0.45188010150421254,0.4366056051809422,-0.013666100542499152,0.2774401864908196,-0.9,-0.6,0.26407079675903844
WT1,0.7,0.6,-0.29499564791643995,0.2491624043582751,0.19855193555889133,0.6,0.7,0.6,0.2887423496517287,0.7,0.5487434410383872,0.47147937156651876,0.34713692316667644,0.6,-0.7,-0.5,-0.09783909440064684,-0.6,0.7,0.8,0.48691607908678264,0.7,0.16247775040504248,-0.37187994420676945,0.042778477680974265,-0.8,0.044693057946069994,0.3320713194090678,0.444688832054561,0.08666765032160051,0.24666666666666667,0.38808626716412564,-0.2067174800897072,0.4024000916065499,0.42649641198818067,0.4418407534897818,-0.04325458588104503,0.2749685534591195,-0.8,-0.5,0.2693471827147756
Wee1,0,0,0.2670068891712988,-0.012432973037587147,-0.1272692327866864,0,0,0,-0.1298324050110854,0,-0.4249087013259235,-0.39753033415545647,-0.3142261351232683,0,0,0,0.07687306341473284,0,0,0,-0.29753495458355383,0,0.04028219319727177,0.30492053457218393,0.057236021911762136,0,0.05888819565330354,0.009773839712126565,-0.30019509060670796,0.09509820931080717,-0.13333193590366896,-0.4388332312596657,0.09265101369182178,-0.3379328493764769,-0.26788315142250946,-0.24954400880301342,-0.03156343471076118,-0.1312571290835119,0,0,-0.18198037197859432
UbcH10,0,0,0.3187343856725039,-0.06820838674523352,-0.19918249734805377,0,0,0,-0.2500005799499402,0,-0.49101677465398497,-0.4675414298227176,-0.25118263018643716,0,0,0,0.12036495254986505,0,0,0,-0.4764643586032976,0,-0.33551666022002813,0.3964080369754951,0.0619357455425257,0,0.0639155763267186,-0.22878236783106373,-0.4742867389089275,-0.26481541357342747,-0.25121018596797673,-0.3875504836955348,0.32102243571373373,-0.41858413880219303,-0.4279222200783385,-0.43458973363489306,0.09558480731624305,-0.251156199159536,0,0,-0.301628271476252
U_Kinetochores,0,0,0.2617191674936292,-0.1613953358906113,-0.04223233734944424,0,0,0,-0.2589160753596477,0,-0.3607322276481889,-0.34866701596518446,-0.13145434236068682,0,0,0,0.06496035846536082,0,0,0,-0.3445107424338921,0,-0.11795665152081243,-0.07066981451970775,-0.13761532430382004,0,-0.1367591261572729,-0.1507786554399798,-0.3409319411501728,-0.23898187788326627,-0.25840394518212645,-0.21769675329659996,0.3259753937629163,-0.22525466576550252,-0.22748855883909855,-0.3170191080436239,0.040033435038269415,-0.25925838889113423,0,0,0.08032578458220795
TRIO,0.8,0.7,-0.33506304273112614,0.28705694452976227,0.2359276510324079,0.7,0.7,0.8,0.32936468118139633,0.9,0.5684794625814928,0.5065921432894747,0.3776830744426968,0.8,-0.6,-0.7,-0.10597670381063637,-0.6,0.9,0.8,0.6225061068932926,0.9,0.202709705753184,-0.4022958291943519,0.0786961237779108,-0.7,0.08397271952259164,0.3840394624914455,0.5669968752077654,0.14117476891475522,0.26595744680851063,0.41775314798507335,-0.2596626678632428,0.4309581438579643,0.5532525510204082,0.4838466328192356,-0.07595194753340648,0.30661678746785126,-0.7,-0.7,0.3061041429315624
TAZ,0.8,0.7,-0.33202182365483507,0.28305030928779534,0.23104399364837241,0.7,0.7,0.7,0.3268460331181323,0.8,0.5676850585195319,0.5054447205598838,0.3747986639497617,0.7,-0.7,-0.6,-0.10489826840719393,-0.7,0.9,0.9,0.6227174551369535,0.8,0.19707375137460575,-0.40003967077957003,0.07235892149777659,-0.7,0.0771431616478704,0.38442034807173786,0.5666309197801567,0.13495022463371603,0.26279069767441865,0.41564327950285607,-0.25491331810406953,0.4294971489304271,0.5525824840214199,0.48269983699267227,-0.07075638296479583,0.30368138593352795,-0.8,-0.6,0.3021471554886602
Stress_Fibers,0.9,0.8,-0.2984716772164188,0.24427988863706526,0.1938590590624188,0.8,0.8,0.7,0.2796558716696066,0.8,0.600900074917877,0.48434548036704667,0.3781977725570777,0.7,-0.7,-0.6,-0.10518374591081636,-0.6,0.8,0.9,0.4964581756664204,0.8,0.1489993449296923,-0.38836071300535935,0.040764407713090554,-0.9,0.03865294265515917,0.3026081071379582,0.4873477416221669,0.05888093439862237,0.27561006693036033,0.4126236740204246,-0.1914934109073272,0.42577889525179946,0.45281201757082,0.441121158314777,-0.01852975217330924,0.2792118104495161,-0.8,-0.5,0.2670968690996483
Replication,0,0,0.3318750271277415,-0.0322920713911475,0.08194796565803651,0,0,0,-0.05655234363968421,0,-0.3146762680162938,-0.34382607759380757,-0.24567952407884808,0,0,0,-0.006992974207824802,0,0,0,-0.1518092035216204,0,0.196862083959721,0.06947885502714063,0.09933892513954805,0,0.10028997976128569,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.25478028610837566,0.16421623654421166,0.00922081023730757,0.12079645459883533,-0.21503724588121872,0.06851867005185559,0.04270224002873732,0,0,0.1044532594210477
Rac1,0.9,0.8,-0.35572319868539976,0.2977981594963294,0.2428145962867001,0.8,0.8,0.9,0.3411964702049174,0.9,0.6258766785089774,0.5393134675728869,0.4138834392525747,0.9,-0.7,-0.8,-0.11715079287946228,-0.7,1,0.9,0.6590496344311225,1,0.20765193938604667,-0.4333542371671033,0.07640155013449994,-0.8,0.0786961237779108,0.390006082797426,0.6225061068932926,0.13195979166058516,0.30661678746785126,0.4549086543492128,-0.2654780337909683,0.46987299081133516,0.5986540763680976,0.508422715751483,-0.06287579228709092,0.32936468118139633,-0.8,-0.8,0.3205257337055489
Plk1_H,0,0,-0.21405397303349055,-0.061851164558132665,-0.14834546047298153,0,0,0,-0.027169251312027666,0,0.4610607037845451,0.32894253556868486,0.3270554597830858,0,0,0,-0.1310508584751076,0,0,0,0.21531574307635798,0,-0.3114194230992217,-0.21949685107936912,0.3276760139340804,0,0.3260431167942094,-0.12762647606350844,0.22032820798812208,-0.20966855442295668,-0.022624099384322697,0.1612957434841041,0.16722797400620956,0.22794368869726228,0.05918590474361857,0.054028150385046506,0.185905819630588,-0.02557050858371519,0,0,0.07159884293045557
Plk1,0,0,-0.09786260600979493,-0.06018461981544432,-0.12408015642917573,0,0,0,-0.07399446595881846,0,0.32688444727092875,0.09371456660421437,0.2987020199602582,0,0,0,-0.10593853934643316,0,0,0,0.09442267390967682,0,-0.20073103234275091,-0.19953781184991198,0.10873183438377443,0,0.10841001293355768,-0.13451758472338488,0.09695821515066239,-0.18539910651568253,-0.072199730451449,0.1336191122327742,0.15564527441900702,0.12372227914541478,0.059876453299497444,0.03857460033402303,0.16453804648383324,-0.07350544488438557,0,0,0.04044599247050204
pAPC,0,0,0.3172239020469475,-0.1502139562160922,-0.06620675539936144,0,0,0,-0.2441748637537126,0,-0.4215573343223249,-0.3987090161193804,-0.07841416018110828,0,0,0,0.26475395197346757,0,0,0,-0.40198026892429767,0,-0.27594316352398973,0.38633767947437336,0.2157354874796294,0,0.21756668770679247,-0.3431684995805332,-0.40207463921316206,-0.19027769119115595,-0.24652463536174146,-0.4469282696944929,0.21678409732371615,-0.4525957896837066,-0.364297534157617,-0.3588443937283349,0.15812249047840804,-0.24550018382989647,0,0,-0.3992641311196977
PAK1,0.9,0.8,-0.3295074115693688,0.27492247237369083,0.22253306759774158,0.8,0.9,0.7,0.3132524274874773,0.8,0.6054975827548017,0.5110625252091834,0.39352474316788544,0.7,-0.6,-0.7,-0.1112920972781963,-0.7,0.8,0.8,0.6255183584965851,0.8,0.18591423565448076,-0.41031508363884817,0.06204063054095118,-0.8,0.06303575645484233,0.34966476210221753,0.5983183584965851,0.10519384575151287,0.2899877600979192,0.43218760799172184,-0.23639647581268086,0.44572909825988277,0.5721224805513244,0.4765963619721673,-0.04736812664855188,0.3060516793578015,-0.7,-0.8,0.2977147708272042
Mst1_2,-0.9,-0.8,0.308931601397922,-0.25704561897485234,-0.2063367874855917,-0.8,-0.8,-0.7,-0.2925155467647972,-0.7,-0.5891780287089112,-0.4895577921465975,-0.37692510373004445,-0.6,0.6,0.5,0.10643322447023958,0.6,-0.7,-0.8,-0.6007798809353709,-0.8,-0.1680528860969486,0.3923913311134933,-0.04999282034446217,0.8,-0.050093423966192555,-0.32129945702864104,-0.5794730319176786,-0.08367562110239854,-0.2761363636363636,-0.41408697632302277,0.21300106448158043,-0.42691201678655954,-0.5520552295210949,-0.4527834635873352,0.035274774715178946,-0.2879376058723885,0.7,0.5,-0.2796842834313412
Merlin,-1,-0.9,0.3373821199489152,-0.27740100511017907,-0.22416687397195428,-0.9,-1,-0.8,-0.31572660616519216,-0.9,-0.6359232922706614,-0.5246767980529663,-0.4128272832558661,-0.8,0.7,0.7,0.11573003375037474,0.8,-0.9,-0.9,-0.640279362908301,-0.9,-0.18317398388905243,0.42343891677083956,-0.06323925088891315,0.9,-0.06204063054095118,-0.3471817725400359,-0.6255183584965851,-0.09755382715983266,-0.3060516793578015,-0.44916586702226075,0.23573069685129605,-0.4630277690964738,-0.5917048835445053,-0.48458041294799575,0.03850527464309961,-0.3132524274874773,0.8,0.9,-0.3013373850183037
Mad2,0,0,-0.32586022907595563,-1.263003220051191e-4,0.05018137615686195,0,0,0,0.17911290785531345,0,0.40013820497572883,0.38220604458050345,0.10339359561288193,0,0,0,-0.2475840001297783,0,0,0,0.38384107570964515,0,0.1758075261719981,-0.35886869999400156,-0.2194738352909312,0,-0.2212345659809687,0.32298627641829547,0.3815632097357191,0.08556807846687899,0.1800363741664079,0.4335887113027864,-0.20030785122480607,0.43557624537575174,0.3503799373832145,0.34211740887281417,-0.15430801373177597,0.18015205404862475,0,0,0.37361681569063043
Lats1_2,-1,-0.9,0.3144973798660783,-0.2581285732741809,-0.20710373987962086,-0.9,-0.9,-0.8,-0.29345914841972937,-0.8,-0.6140172995658812,-0.4996054256079092,-0.3929652873505621,-0.7,0.7,0.6,0.10963768840009211,0.6,-0.8,-0.9,-0.6114099754390694,-0.9,-0.16412628408135627,0.40222409394967906,-0.051797206829346576,0.9,-0.04999282034446217,-0.3174825609615386,-0.6007798809353709,-0.07651827540549909,-0.2879376058723885,-0.42724737865229756,0.21130341270201397,-0.4401186399922645,-0.5666368178862818,-0.4577981705247051,0.02733104356325667,-0.2925155467647972,0.8,0.6,-0.2814226829343076
IQGAP1_LeadingE,0.9,0.8,-0.34736435857999665,0.2890617628379823,0.23400680529205617,0.8,0.8,0.8,0.3326847465501609,0.9,0.6215582846266385,0.5329886803355578,0.40675785195420594,0.8,-0.8,-0.7,-0.11466513028754692,-0.7,0.9,1,0.6542998555615452,0.9,0.19786996365214982,-0.4261252162992702,0.06779827819443593,-0.8,0.0697941611265043,0.38277337847737924,0.6186234536097738,0.1207988583987328,0.29937223422867143,0.4480116924926163,-0.2551556689065266,0.4636608730867969,0.593801588530531,0.5018035169812094,-0.05501900209343805,0.3211958515679838,-0.9,-0.6,0.311906443087114
Horizontal_Pol,0.9,0.8,-0.3530451644638724,0.2940779958199399,0.23819245063647018,0.8,0.8,0.8,0.3392041174193199,0.9,0.6253918254368251,0.5386925701084225,0.4110370194813654,0.8,-0.8,-0.7,-0.11600937951830506,-0.8,1,0.9,0.6600414457942776,0.9,0.20244477610958808,-0.43133124505894915,0.07003294382034624,-0.8,0.07235892149777659,0.3910920921692245,0.6227174551369535,0.12612707186127398,0.30368138593352795,0.45306286925889444,-0.26117217300864487,0.46874109212173876,0.5985521957947466,0.5079207530850922,-0.05785940387881596,0.3268460331181323,-0.9,-0.7,0.3168784038552427
FoxM1,0,0,-0.28288719616528235,0.23098768688032417,0.18465113428878613,0,0,0,0.26265820380565497,0,0.5897543895861734,0.46381787749654907,0.37286616222430224,0,0,0,-0.1007074095696868,0,0,0,0.3638908247600493,0,0.13277358245789547,-0.37426786978061544,0.043306288875502384,0,0.04133631564524973,0.2694124227506468,0.4654158540261727,0.04447429084142153,0.26595930315321653,0.39926465883818496,-0.17359984467049822,0.4088833287759622,0.4286602103699889,0.4154263261104655,-0.009738113799624684,0.2642116382058047,0,0,0.25198443631690803
FocalAdhesions,1,0.9,-0.3375189102692319,0.27550858647950666,0.22061287957827735,0.9,0.9,0.9,0.3170579501303247,1,0.6406440510162389,0.529206431397866,0.41192684237182553,0.9,-0.8,-0.8,-0.11504690034347646,-0.7,1,1,0.6506294071913901,0.9,0.17902222094156955,-0.42439274398105037,0.05630702349803042,-0.9,0.0553136048962671,0.3557789607882279,0.6333246110325694,0.09257109313721949,0.3047822794344949,0.450397748109725,-0.23323039057224185,0.4660977391491774,0.598827842057556,0.48969272747530945,-0.03414652480386972,0.3134904783820419,-0.9,-0.7,0.29966104964451346
f4N_DNA,0,0,-0.2874397694830675,-0.021171445851519394,0.10105198015731767,0,0,0,-0.23248794279427817,0,0.3223560811107407,0.20254018404927762,0.2570394237731447,0,0,0,-0.07898816968565449,0,0,0,0.2956994314296801,0,-0.037515675258958193,-0.24587598093575766,0.011213694979215833,0,0.009859927576844183,0.06565121795692903,0.297702885072478,-0.17857834371001707,-0.22994572203019953,0.357861885434514,0.04560883929341511,0.33419449827582676,0.24132140355324788,0.15984999242079334,0.07953162377667403,-0.23136516668180168,0,0,0.26065221388343607
Emi1,0,0,-0.30890038444668305,0.18959717122492442,0.19749161687413763,0,0,0,0.24315854780004123,0,0.43722619895964704,0.41417961041425616,0.14835330841628358,0,0,0,-0.1350887607228092,0,0,0,0.4165176094523593,0,0.29960828811055756,-0.3218305233478442,-0.22217815025640958,0,-0.224127016047201,0.24760398686656354,0.4165185341710137,0.21232829072413914,0.24562231036431653,0.3475180366111551,-0.3584303771788702,0.3644656010002648,0.3796226482800279,0.37596652508682155,-0.0996119417756012,0.2445560887292888,0,0,0.32251847660514316
Ect2,0,0,0.2905677687615757,0.018116083781747904,-0.1025564919043492,0,0,0,0.22994572203019953,0,-0.3223429691085547,-0.20587404077061686,-0.2569918073936143,0,0,0,0.08165782004955333,0,0,0,-0.299640915937414,0,-0.0672927256365574,0.2495617736497786,-0.007942420821071435,0,0.09477661241155695,-0.07074835471252101,-0.29991678887821954,0.17649304391833456,0.22836760014179366,-0.36159650166138735,-0.04214061764917884,-0.338139694325719,-0.24514241270327758,-0.1643669325746942,-0.07772967618187321,0.22857406951550324,0,0,-0.2649372075473925
Ecadherin_mRNA_H,-0.8,-0.7,0.30862276656050774,-0.2550755780109697,-0.20225563926259502,-0.7,-0.8,-0.7,-0.29509952238280357,-0.8,-0.5933095399840482,-0.49429852050268897,-0.37480451041247104,-0.7,0.8,0.6,0.10558147989239294,0.7,-0.8,-0.9,-0.5114708303219888,-0.8,-0.16294931767272627,0.3934275233189242,-0.0420165729190695,0.8,-0.042778477680974265,-0.33298233900222896,-0.48691607908678264,-0.07710404772178621,-0.2749685534591195,-0.4152220451621435,0.20797576719564687,-0.4296602471813122,-0.4588663541847125,-0.4576344467019678,0.031080133628047922,-0.2887423496517287,0.9,0.6,-0.2776933097210561
Cytokinesis,0,0,0.2889440724745503,0.019861261190819268,-0.10172768519915616,0,0,0,0.23136516668180168,0,-0.3235051833745971,-0.20437462525042985,-0.2577374860231779,0,0,0,0.08017158642218097,0,0,0,-0.297702885072478,0,-0.0643685991913087,0.2478317538280394,-0.009859927576844183,0,-0.007942420821071435,-0.06753830152268618,-0.299640915937414,0.17808082177946025,0.22857406951550324,-0.3599887846195867,-0.04430819776076725,-0.3363373699932664,-0.24357330222290483,-0.16195134424585278,-0.07922110234262959,0.22994572203019953,0,0,-0.2624922238640187
CyclinB,0,0,-0.29541540807122474,0.19122332523944463,0.18830769639669415,0,0,0,0.15432005724120584,0,0.36256882729271483,0.3385579406495619,0.3387791037392421,0,0,0,-0.05572489396112603,0,0,0,0.33560372184502574,0,-0.016765562091221473,-0.35845066251198643,-0.15534368415643382,0,-0.15655987643024577,0.1587623615887553,0.33773807892921237,-0.08845370487152068,0.15704647854696036,0.3908266863250564,-0.1595433673952667,0.3858912960329049,0.29969656971646386,0.29354505553565613,-0.009041029063656874,0.1554101167214326,0,0,0.24378117406169525
CyclinA_mRNA,0,0,-0.2897853795405498,0.27926616321209785,0.18129633755937538,0,0,0,0.2208865440054515,0,0.46902695064864186,0.44326895227924484,0.248254255620318,0,0,0,-0.11298404756317457,0,0,0,0.4524221527418432,0,0.3026498985914724,-0.37480096847869193,-0.05972133890334471,0,-0.06187227249083334,0.20459871585235515,0.4515085870663288,0.22712791040143343,0.22301929397128362,0.3675410192015893,-0.2970210042842866,0.3945371333611834,0.40242041094746017,0.4097652418265305,-0.05500282931984511,0.22230170877619923,0,0,0.2796755968034087
CyclinA,0,0,-0.2888498367073219,0.2777584735411079,0.18052922271270455,0,0,0,0.21951711939960322,0,0.4714809777024588,0.4425850574685552,0.2501154179894739,0,0,0,-0.11217314537001366,0,0,0,0.4513752932887747,0,0.29944135557620066,-0.3740248787636811,-0.05794362446537883,0,-0.05972133890334471,0.201486824406555,0.4524221527418432,0.12513366964717249,0.22230170877619923,0.36734749996652527,-0.29502009661588074,0.39396845286607557,0.40166954321535175,0.4079500733538244,-0.05313167664745825,0.2208865440054515,0,0,0.27764815526790965
CHK1,0,0,0.39990882851423115,-0.12034320952401818,-0.21433644839173033,0,0,0,-0.288852170441795,0,-0.4124440455005319,-0.3868357342769112,-0.38097285573582457,0,0,0,0.07210864388472416,0,0,0,-0.3886956308507781,0,-0.18313793377392906,0.39508792123383946,0.14765625696604184,0,0.14970243524140586,-0.08559400528636064,-0.3900411300832114,-0.08130444331492812,-0.2922604937230514,-0.5168766806888652,0.20251036406302664,-0.5320023253757383,-0.3606045068327827,-0.4424475531142565,0.021030909011313402,-0.2904644728481969,0,0,-0.28082237072010396
Cdk1,0,0,-0.2939202325159957,0.04025358131588116,0.16888074734222575,0,0,0,0.16793767644965651,0,0.3634629509098234,0.3380911918583035,0.32446259429590874,0,0,0,-0.057846620720234866,0,0,0,0.3375892892389515,0,0.021065101227035442,-0.3453922345287578,-0.13687790781706824,0,-0.13800916841004138,0.038918317724723164,0.33950765449345194,-0.05408809444282799,0.17040778892401792,0.3785322493812747,-0.1444568143108567,0.38081622644215396,0.30956900230680173,0.29257668890422256,0.0148064853478975,0.16893406183298462,0,0,0.23113449356420812
Cdh1,0,0,0.16703043540244827,-0.26065552436572437,-0.16314973126158433,0,0,0,-0.14681778680893906,0,-0.366981590604538,-0.34374014692623184,-0.2618636264259334,0,0,0,0.05998129293538503,0,0,0,-0.23416821139292496,0,-0.1649907816007018,0.2421817456215865,0.23330211484697946,0,0.23455001618307736,-0.11873967481343069,-0.2362577335587214,-0.05620506310672072,-0.14948738889106128,-0.2732234599374823,0.09289306656950815,-0.283138837195102,-0.2146258758273562,-0.3003255790040053,-0.0932416560319471,-0.1479007704588357,0,0,-0.23509557210251755
Cdc25C,0,0,-0.2952910234025968,0.04144898884998669,0.16949980236277115,0,0,0,0.16893406183298462,0,0.3648722677122944,0.3398247763894401,0.3253001057966635,0,0,0,-0.05892422063542622,0,0,0,0.33950765449345194,0,0.022799817356771158,-0.34727663926979957,-0.13800916841004138,0,-0.1397946440170808,0.040498340485961015,0.34145861171037034,-0.053733649461633705,0.17230677702190944,0.480487199385714,-0.14557362204759827,0.3829458466129822,0.31185248150063094,0.2944450716361708,0.014616426488867148,0.17040778892401792,0,0,0.2328082942376438
Cdc25B,0,0,-0.2857224049194117,0.21164296074746192,0.18142900842344162,0,0,0,0.2654382565546992,0,0.5817116873807204,0.4585509264086218,0.3570718733855803,0,0,0,-0.08587354388963778,0,0,0,0.458822378024183,0,0.13406749747787855,-0.36796907754903857,0.017163537743823586,0,0.014762936974707078,0.26417284697392546,0.45908135676838047,0.04666012575542243,0.26873491270471783,0.49511442226578356,-0.16747041523839493,0.5032638651548078,0.42575354146052574,0.4117854146406497,-0.004282254891977944,0.26722870873683247,0,0,0.248892031778559
Cdc25A,0,0,-0.18230835406800078,0.2521541787343861,0.19309432361627427,0,0,0,0.29598356885503124,0,0.4793973049492687,0.4481230494964564,0.358552338652505,0,0,0,-0.10341517079938892,0,0,0,0.46143201803228634,0,0.2571005932121924,-0.3702843269779915,-0.12279389560821971,0,-0.12462376172016043,0.18261979221778213,0.4626385214315338,0.17295243010782685,0.29893017994804427,0.24366297310329896,-0.30227653418624717,0.398151113333933,0.4298783530984417,0.3186181317273497,0.05911640447552243,0.29740205172742523,0,0,0.2662820916185066
Cdc20,0,0,0.3254198775115555,0.001408619711455629,-0.049519099756880625,0,0,0,-0.1778678799197836,0,-0.4041250234774402,-0.38228674037286814,-0.10628167708798397,0,0,0,0.24717221546425386,0,0,0,-0.3835696293867799,0,-0.17262660869706553,0.3589355083500567,0.21778789825839157,0,0.2194738352909312,-0.31983706720264404,-0.38384107570964515,-0.08317042888783188,-0.18015205404862475,-0.43444101742020597,0.19833016765671785,-0.43606721463666354,-0.3507196565596628,-0.34079802398483183,0.05199022051636326,-0.17911290785531345,0,0,-0.3719373505679896
ATR,0,0,0.4010615713227478,-0.12210041435213766,-0.21525239206972774,0,0,0,-0.2904644728481969,0,-0.40999680139103034,-0.3877827197964362,-0.3790900370178392,0,0,0,0.07307284043542578,0,0,0,-0.3900411300832114,0,-0.18683016451561502,0.39613699310789363,0.14970243524140586,0,0.15220997899517774,-0.08910419662813508,-0.38931787474800245,-0.08347983660232375,-0.19353693427739133,-0.5173040810811902,0.20478593469530676,-0.5328520237939631,-0.36170001707526256,-0.4446244882411782,0.023040941619484317,-0.2922604937230514,0,0,-0.28318813618858474
ApicalBasal_Pol,-0.9,-0.8,0.3156534552600869,-0.2571578888852598,-0.20370227472316732,-0.8,-0.9,-0.8,-0.2972196913704424,-0.9,-0.6210398229461193,-0.506458285834567,-0.3924271878779308,-0.8,0.9,0.7,0.10933380080434943,0.8,-0.9,-1,-0.5249972069788699,-0.9,-0.15996547159802724,0.4050893124845557,-0.04354905174834778,0.9,-0.0420165729190695,-0.3303978459604794,-0.5114708303219888,-0.0702568704754829,-0.2887423496517287,-0.43030715719156304,0.20738870302698076,-0.4452938469716411,-0.47636716666440054,-0.4645568136386922,0.023208969895379284,-0.29509952238280357,0.9,0.7,-0.28067091529011107
AMOT,-0.9,-0.8,0.2984716772164188,-0.24427988863706526,-0.1938590590624188,-0.8,-0.8,-0.7,-0.2796558716696066,-0.8,-0.600900074917877,-0.48434548036704667,-0.3781977725570777,-0.7,0.7,0.6,0.10518374591081636,0.6,-0.8,-0.9,-0.4964581756664204,-0.8,-0.1489993449296923,0.38836071300535935,-0.040764407713090554,0.9,-0.03865294265515917,-0.3026081071379582,-0.4873477416221669,-0.05888093439862237,-0.27561006693036033,-0.4126236740204246,0.1914934109073272,-0.42577889525179946,-0.45281201757082,-0.441121158314777,0.01852975217330924,-0.2792118104495161,0.8,0.5,-0.2670968690996483
A_Kinetochores,0,0,0.25115189761458817,-0.06598522675191346,-0.2883092747459265,0,0,0,-0.20355523619624064,0,-0.3286151617466115,-0.30835864800636015,-0.029287147373597992,0,0,0,-0.157513457358894,0,0,0,-0.3193010657997259,0,-0.09117812712454035,0.16337337977634628,0.05256413698549215,0,0.05376615121248703,-0.2112947539902454,-0.3173619557294683,-0.14780441266483363,-0.2040134990252612,-0.27507965646551924,0.20293459905747485,-0.2405692162586872,-0.20287741149893326,-0.27391682881773344,0.125383721026607,-0.20420003251103053,0,0,-0.1151129440627316
