Source,YAP,WT1,U_Kinetochores,TRIO,TAZ,Stress_Fibers,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,Myc,Mst1_2,Merlin,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
YAP,0.9,0.9,0.29949671579952997,0.9,0.8,0.8,0.6819321119242909,0.9,-0.8718777433766485,0,0.8,-0.8697290808392563,-0.7631938033171359,0.9882322116743198,-0.8,-0.7,-0.7,0.9,0.9,0.9,0.6151977827329734,0.18153102990927938,-1,0.9894120657090697,0.17574590594233724,0.8512982046886286,0.963992280000781,0.5604363848143776,0.6221424071464297,-0.9,-0.6,0.5134293770945291
WT1,0.7,0.6,0.254640522875817,0.6,0.7,0.6,0.5143714930135328,0.7,-0.5953160135035961,0,0.6,-0.5946136708661107,-0.49243031436459167,0.699341021416804,-0.7,-0.5,-0.6,0.7,0.8,0.7,0.4450552911927823,0.17527544351073762,-0.8,0.6994981179422836,0.16285714285714287,0.58670742279832655,0.6920375043333031,0.367827868852459,0.442827868852459,-0.8,-0.5,0.363734827264239
U_Kinetochores,0,0,0.0019679464507418873,0,0,0,-0.25234399563876647,0,-0.2822222222222222,0,0,-0.2777777777777778,-0.275,0.2,0,0,0,0,0,0,0.20311067490986848,-0.2123790072600124,0,0.2,-0.21703532655047802,0.32772727272727276,0.3383333333333333,-0.27878787878787875,-0.2626306735477041,0,0,0.2600929480196952
TRIO,0.8,0.7,0.2854368824860628,0.7,0.7,0.8,0.535984131980378,0.9,-0.5974446844081128,0,0.8,-0.5969900058788948,-0.4954772132523576,0.6997536945812808,-0.6,-0.7,-0.6,0.9,0.8,0.9,0.46246318640354217,0.2142915493735166,-0.7,0.6998118532455315,0.1944262295081967,0.5911029726691256,0.6950656866166595,0.38040555935292775,0.46048524062782814,-0.7,-0.7,0.37660760611580285
TAZ,0.8,0.7,0.2821498189919242,0.7,0.7,0.7,0.5370372981470861,0.8,-0.5974737061334999,0,0.7,-0.5970544918998527,-0.4955192357039932,0.6997397527651269,-0.7,-0.6,-0.7,0.9,0.9,0.8,0.4623284813491343,0.20994152046783626,-0.7,0.6998012916045703,0.18888888888888888,0.5913389613734903,0.6952841470700962,0.37988030777999426,0.4607498729973856,-0.8,-0.6,0.3752993595098858
Stress_Fibers,0.9,0.8,0.28642316987728755,0.8,0.8,0.7,0.6281255964208311,0.8,-0.7818180152784183,0,0.7,-0.7801807363649782,-0.6749243191604773,0.8938640041919725,-0.7,-0.6,-0.6,0.8,0.9,0.8,0.5620518236683716,0.1780992053627348,-0.9,0.8946190695530236,0.1715392053627348,0.7651584596447679,0.8757083998274027,0.49962848689771766,0.5649312692217766,-0.8,-0.5,0.47075707086765917
Replication,0,0,0.09516256080999136,0,0,0,-0.11646614621878755,0,0.5084996956243375,0,0,0.49927077930594554,0.4859241777777874,-0.4824717051377513,0,0,0,0,0,0,0.1662025705270213,0.05387341397472142,0,-0.49141052257509443,0.05638345413536398,-0.5389122255865523,-0.5639607898315947,0.02675053204017207,0.004720294459178551,0,0,0.2456918328808247
Rac1,0.9,0.8,0.3193947279193181,0.8,0.8,0.9,0.6079783839363098,0.9,-0.6944975140052283,0,0.9,-0.6937792763523758,-0.5911029726691256,0.7990246078583337,-0.7,-0.8,-0.7,1,0.9,1,0.5365227475320689,0.22748436748436748,-0.8,0.7991974588628515,0.2142915493735166,0.6854550727584912,0.7914259292671495,0.46048524062782814,0.535984131980378,-0.8,-0.8,0.44912907371923766
pRB,0,0,-0.2566132839715357,0,0,0,-0.6335087657655085,0,0.8581206457214103,0,0,0.8550492128514631,0.8490150400132711,-0.9781437768273344,0,0,0,0,0,0,-0.5724497962255924,-0.14485557734161003,0,-0.9802167250260453,-0.14031937495719596,-0.9334321078112641,-0.9452299520243761,-0.523876030349052,-0.5796904429847874,0,0,-0.474751315687617
Plk1_H,0,0,-0.0944132765298827,0,0,0,0.27596556913045034,0,0.2875,1,0,0.284,0.28181818181818186,-0.2,0,0,0,0,0,0,-0.22061348631459193,0.3722140486255043,0,-0.2,0.38219653549065313,-0.346524064171123,-0.3552795031055901,0.29116541353383457,0.28127530364372466,0,0,-0.2581786755289478
