Source,ZEB1_H,ZEB1,YAP,WT1,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,SMAC,Rac1,PTEN_c,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_29c,miR_200,Merlin,MCL_1,LEF1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FocalAdhesions,Fast_Migration,Ecadherin_mRNA_H,Ecadherin_mRNA,DR4_5,Cyto_C,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.9,0.9,0.7,0.6,0.9,0.6,0.9,0.7,0.7,0.9,1,0,0.9,-0.5,0.8,0.9,0.7,-0.7,-1,0.6,-1,-0.7,0,1,-0.6,0.8,0,0.7,0.8,0.7,-0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.8,-0.6
ZEB1,1,0.9,0.7,0.6,0.9,0.6,0.9,0.7,0.7,0.9,1,0,0.9,-0.5,0.8,0.9,0.7,-0.7,-1,0.6,-1,-0.7,0,1,-0.6,0.8,0,0.7,0.8,0.7,-0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.8,-0.6
YAP,0.6,0.6,0.9,0.9,0.6,0.9,0.5,0.8,0.8,0.7,0.7,0,0.9,-0.8,0.8,0.7,0.8,-0.8,-0.6,0.9,-0.6,-0.7,0,0.5,-0.7,0.9,0,0.9,0.9,0.9,-1,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.9,-0.6
WT1,0.6,0.6,0.7,0.6,0.4,0.6,0.5,0.7,0.6,0.7,0.5,0,0.7,-0.5,0.6,0.6,0.7,-0.7,-0.5,0.6,-0.5,-0.5,0,0.5,-0.6,0.7,0,0.8,0.7,0.7,-0.8,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.8,-0.5
Twist,0.9,0.9,0.7,0.6,0.7,0.6,0.9,0.7,0.7,1,0.8,0,0.9,-0.5,0.8,0.9,0.7,-0.7,-0.8,0.6,-1,-0.7,0,0.9,-0.6,0.8,0,0.7,0.8,0.7,-0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.8,-0.6
TRIO,0.6,0.6,0.8,0.7,0.7,0.7,0.6,0.7,0.8,0.6,0.7,0,0.9,-0.6,0.8,0.6,0.6,-0.6,-0.6,0.7,-0.7,-0.7,0,0.6,-0.6,0.9,0,0.8,0.9,0.8,-0.7,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.7,-0.7
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0.6,0.6,0.8,0.7,0.6,0.7,0.5,0.7,0.7,0.7,0.6,0,0.8,-0.6,0.7,0.6,0.7,-0.7,-0.6,0.7,-0.6,-0.6,0,0.5,-0.7,0.9,0,0.9,0.8,0.8,-0.7,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.8,-0.6
Stress_Fibers,0.5,0.5,0.9,0.8,0.5,0.8,0.4,0.8,0.7,0.6,0.6,0,0.8,-0.7,0.7,0.6,0.7,-0.7,-0.5,0.8,-0.5,-0.6,0,0.4,-0.6,0.8,0,0.9,0.8,0.9,-0.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.8,-0.5
SNAI2,1,1,0.7,0.6,0.8,0.6,0.9,0.7,0.6,1,0.9,0,0.8,-0.5,0.7,0.8,0.7,-0.7,-0.9,0.6,-0.9,-0.6,0,0.9,-0.6,0.7,0,0.7,0.7,0.6,-0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,-0.5
SNAI1,0.9,0.9,0.7,0.6,1,0.6,0.9,0.7,0.7,0.9,0.9,0,0.9,-0.5,0.8,0.9,0.7,-0.7,-0.9,0.6,-1,-0.7,0,0.9,-0.6,0.8,0,0.7,0.8,0.7,-0.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.8,-0.6
SMAC,-0.6,-0.6,-0.6,-0.5,-0.8,-0.5,-0.6,-0.5,-0.6,-0.7,-0.6,0.6,-0.8,0.4,-0.7,-0.7,-0.8,0.4,0.5,-0.5,0.7,0.6,-0.8,-0.6,0.5,-0.7,-0.6,-0.6,-0.7,-0.6,0.6,0.7,0,0.6,0.9,0.8,0.9,0.8,0.7,0.7,0.7,-0.8,-0.8,0.7,0.7,0.8,-0.6,0.5,0.5
Rac1,0.7,0.7,0.9,0.8,0.8,0.8,0.7,0.8,0.9,0.7,0.8,0,0.9,-0.7,0.9,0.7,0.7,-0.7,-0.7,0.8,-0.8,-0.8,0,0.7,-0.7,1,0,0.9,1,0.9,-0.8,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.8,-0.8
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK1,0.8,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.7,0.8,0.9,0,0.9,-0.7,0.8,0.8,0.6,-0.6,-0.8,0.8,-0.9,-0.8,0,0.8,-0.7,0.8,0,0.8,0.8,0.8,-0.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,-0.7,-0.8
N_bcatenin_H,1,0.9,0.6,0.5,0.8,0.5,0.9,0.6,0.6,1,0.9,0,0.8,-0.4,0.7,0.8,0.6,-0.6,-0.9,0.5,-0.9,-0.6,0,0.9,-0.5,0.7,0,0.6,0.7,0.6,-0.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7,-0.5
N_bcatenin,0.9,0.9,0.6,0.5,0.7,0.5,0.8,0.6,0.5,1,0.8,0,0.7,-0.4,0.6,0.8,0.6,-0.6,-0.8,0.5,-0.8,-0.5,0,0.8,-0.5,0.6,0,0.6,0.6,0.5,-0.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.7,-0.4
Mst1_2,-0.4,-0.4,-0.9,-0.8,-0.4,-0.8,-0.3,-0.8,-0.7,-0.5,-0.5,0,-0.7,0.7,-0.6,-0.5,-0.6,0.6,0.4,-0.8,0.4,0.5,0,-0.3,0.6,-0.7,0,-0.8,-0.8,-0.7,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.7,0.5
