Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,Rac1,Plk1,pAPC,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,Emi1,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
IAPs,0.6499342545293837,0.673607850724298,0.6084844446235048,-0.031984829817876564,0.8917084195778392,0.7361629587929752,0.6827205656990236,-0.5873611965608361,0.8930983787944389,-0.4731090358298459,-0.3772271774195748,0.7981065088757396,0.4413575980743273,-0.5814283731541379,-0.7876585171844215,-0.7,0.6232414865079006,0.6840908670919893,0.7982484948002189,0.5336581387768574,0.7,-0.37206417746964965,0.41613165904996396,-0.5873611965608361,-0.03204989201158873,-0.3635352998815639,0.08273061139481594,-0.5410304575848306,0.1904798185505115,-0.42403581580353417,-0.3635352998815639,-0.33133398078298304,0.01882823984566661,-0.9528696488440644,-0.8911690184520824,-0.9795992051467971,-0.3638253815650651,-0.5989871075530435,-0.5989871075530435,-0.5852576592580689,0.6013586925154442,0.6408035995250352,-0.6277032609072062,-0.6277032609072062,-0.8925738490830495,0.6164762219544424
Horizontal_Pol,0.6,0.6,0,0,0.7,0.6,0.7,0,0.9,0,0,0.8,0.6,-0.6,-0.7,-0.7,0,0.6,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
FoxM1,-0.13769913852448273,-0.14510191425251845,-0.35947157565161547,0.24891361078696148,-0.17550199258047128,-0.12312171252262441,-0.18392745170793232,0.06900493744607902,-0.18265953381355016,0.4759112848305863,0.3741059285721575,-0.17461820407410722,-0.08279624159962498,0.1825482975434589,0.20463420989416373,0.16074656846334118,-0.2509573198742322,-0.18782878988990548,-0.17592463459473723,-0.06770019620516404,-0.16148872679045095,0.38484330651723464,-0.42703336266115927,0.06900493744607902,0.2937901527168442,0.4833114507364681,0.0752836674618732,0.4365007642509827,-0.22440291135153542,0.4375761674784881,0.4833114507364681,0.44674736564179146,-0.032346479781016554,0.07251012206857013,0.06245335538093908,0.07009753601782046,-0.38737331750303705,0.07054906697537412,0.07054906697537412,0.010163981503733188,-0.02451983841446194,-0.03343218511635617,0.06940893655046655,0.06940893655046655,0.06365516169564278,-0.11885671661211475
Emi1,-0.3963346931423172,-0.3924017728035685,-0.4224184280272694,0.2114945356061694,-0.40259744830824706,-0.35790593304822577,-0.4403085826962162,0.06163777844541862,-0.4179891302900751,0.4443562117157464,0.1646488377612498,-0.3904357287463667,-0.2742664285595807,0.43722746167353044,0.46768234513952384,0.34955702769574587,-0.2579743848844298,-0.44817404916043274,-0.39359131678234033,-0.05845967493004698,-0.35119649477586784,0.44719320749638475,-0.39572082634685607,0.06163777844541862,0.27502449543449325,0.4429898185381613,0.24565212289623614,0.40383968563013795,-0.4242067724274004,0.405075269785023,0.4429898185381613,0.4172213687141381,-0.12694672816961733,0.06121603585427411,0.04571201734045771,0.055449487507522155,-0.35734822143408485,0.0639624207499619,0.0639624207499619,0.004820062403746277,-0.015470945172124195,-0.02211668767899558,0.06312189782574004,0.06312189782574004,0.046472094214029695,-0.34534939339260495
Cyto_C,-0.5676162003703796,-0.5854154296524393,-0.5790712859030371,0.03032848898784212,-0.7970534069981584,-0.6577032617815073,-0.5911863334387852,0.5250366738756403,-0.7975849056603773,0.44899938430833997,0.3479431564753875,-0.7,-0.4026021560316487,0.49052680714367103,0.6941402898217256,0.6,-0.5820936720182047,-0.5919625562328534,-0.7,-0.4601957766403769,-0.6,0.3502888756089368,-0.3896187034707089,0.5250366738756403,0.02949327262541162,0.33695111847555925,-0.07361735674571887,0.5106080464589818,-0.17268050170223975,0.39668458314519583,0.33695111847555925,0.3126149718140466,-0.01215938094443912,0.87219276582475,0.7969754253308128,0.8895233705362923,0.3324590194478292,0.5510578735103201,0.5510578735103201,0.537278525307186,-0.5624973147550021,-0.5995861681043972,0.5755453513142998,0.5755453513142998,0.7976261127596439,-0.5438822473455046
CyclinB,0.06882085606506386,0.06225833124914878,-0.3368632962356234,0.20769916625308413,-0.10948641472821319,0.06194968923309772,0.0681904588060181,0.24534016063861364,-0.1072429024046591,0.3516546756636801,0.3484879205318213,-0.10356611281680661,0.06393029254611854,-0.07008911586074673,-0.05918516050068928,0.09442840367909748,-0.2322367930795834,0.06851824680245308,-0.10468131420288493,-0.24409516188434516,-0.09490353642510715,0.3588347086513558,-0.40774610884368245,0.24534016063861364,0.1783594129428695,0.35929614858304176,-0.06365906617383991,0.41923327740885774,-0.20636601443750252,0.4173362735819894,0.35929614858304176,0.32395566044850044,-0.022784429966670083,0.2735230461762309,0.2714733428701769,0.2821946924920501,-0.36875523425998347,0.22038837024890695,0.22038837024890695,0.12137032451184597,-0.20428901176975697,-0.23274076566040067,0.2459276203169824,0.2459276203169824,0.28279792022805533,0.06659009856808074
CyclinA_mRNA,-0.4697112603112662,-0.4565231414772871,-0.45252518597030866,0.29600826533078883,-0.437227372939151,-0.421534461052316,-0.5032064951276216,-0.10320992713038657,-0.45549340244736863,0.47330474295116376,0.2633251113446562,-0.4170259841404701,-0.3060646188597631,0.4998079092655215,0.5281276823395432,0.36456386292834886,-0.22224812881626216,-0.5113900207163781,-0.4204717701426562,0.1062920625864571,-0.3662222222222222,0.47814270899583883,-0.43499843637595526,-0.10320992713038657,0.22464659033123047,0.4728594405025487,0.25514214651150796,0.44537173905733907,-0.3509917636330694,0.44403279682129543,0.4728594405025487,0.4458272107025043,-0.07552078863136506,-0.11841045460890606,-0.13155288291475062,-0.12876352735207028,-0.30719000278435027,-0.07587883318148318,-0.07587883318148318,-0.11917680035765761,0.1148726219245854,0.11833967974089876,-0.10186169757896982,-0.10186169757896982,-0.13832512315270934,-0.40394361454451666
CyclinA,-0.4808897857755059,-0.4734298959474933,-0.4538752283554981,0.2960667374439786,-0.4610981087025561,-0.4289055253281915,-0.5259140782391503,-0.10186169757896982,-0.48315792457743606,0.47512392163585726,0.2678314503013816,-0.45549340244736863,-0.30571969115521636,0.521893323650821,0.5542793851842068,0.4170259841404701,-0.2229397142796392,-0.5354881590470402,-0.4604131406080281,0.10320992713038657,-0.4204717701426562,0.4802372358635788,-0.4381329102375033,-0.10186169757896982,0.22278072102448626,0.47814270899583883,0.15310040079371262,0.4490665976320183,-0.35059011725596945,0.4476750962625247,0.47814270899583883,0.4469591124571231,-0.07281618742751894,-0.11504632348626335,-0.12876352735207028,-0.12457246596432466,-0.30895807088771426,-0.07568667664275845,-0.07568667664275845,-0.11966689852524529,0.11537878747547488,0.11865601720545778,-0.10154843917072875,-0.10154843917072875,-0.13653596818436362,-0.4094510940779702
Cdk1,0.016953836520835656,0.010845547711646652,-0.3414453181430237,0.05859625510927049,-0.13743892986322212,0.013765940325759448,0.00942585983858234,0.22224638198073313,-0.13775361393400726,0.3534289705711847,0.33535112891162877,-0.13255680765861852,0.02389565827695262,-0.011713872419930924,0.0035674100406107067,0.1210134051994517,-0.19828288603751126,0.00886986946251469,-0.13416791735843167,-0.22109986824581168,-0.12176798852014667,0.3629333287452954,-0.399282859331234,0.22224638198073313,0.06019004145263387,0.36314543958083184,-0.025263029374270957,0.40920259585572805,-0.196172372806905,0.40983651612520705,0.36314543958083184,0.32609332102833377,-9.92465690366722e-4,0.25265017694356195,0.2548537890398247,0.26337135160294894,-0.35197480790228275,0.19229384070419747,0.19229384070419747,0.1051605739588068,-0.1763137698839145,-0.20641425924581008,0.22280867648569935,0.22280867648569935,0.2672299294384706,0.01954540472674201
Cdh1,0.17761643379873876,0.1840591928267283,0.2359829608520665,-0.28258779981138316,0.22157860295720125,0.15255219255650115,0.2327172813824076,-0.023838875421947323,0.23503490477594152,-0.36575655713155,-0.2776987904313832,0.230913216846599,0.09492778335997448,-0.23055832188804165,-0.2589719392044656,-0.2232209091542913,0.16918586837410482,0.2389087688023362,0.23410143144231021,0.023918893477303402,0.22561302970894287,-0.26243498002578636,0.30062480931704216,-0.023838875421947323,-0.14270130256546548,-0.2627679523048412,-0.0837361163956039,-0.31164806353384333,0.15161494451257684,-0.3099355167828957,-0.2627679523048412,-0.33825157650921,-0.08303027387468256,-0.027119762158152753,-0.02629437362817017,-0.02780693910401032,0.24043704289794404,-0.019342375891468748,-0.019342375891468748,0.018647366340436212,-0.01833717005536421,-0.01437490285321288,-0.023452679141440547,-0.023452679141440547,-0.028152520576253726,0.14622006375223884
Cdc25C,0.014464257300968165,0.008323246241517106,-0.3417169615326822,0.05911483611472209,-0.13281658985230935,0.0118454257841483,0.006670452858893336,0.22109986824581168,-0.13255680765861852,0.35369850630471494,0.3343820081673861,-0.1210134051994517,0.022333865275890923,-0.008486396166598626,0.005044616980308542,0.09953488372093022,-0.19829894765571932,0.006235798913122832,-0.12176798852014667,-0.21907544285663536,-0.09953488372093022,0.36314543958083184,-0.3992742697097375,0.22109986824581168,0.06148564310098351,0.3623398913978824,-0.02440169538325237,0.5089082781248563,-0.19693746178101895,0.4096410381211257,0.3623398913978824,0.326575553197946,-0.0020454975019602714,0.24903614620923484,0.23911958661360705,0.2548537890398247,-0.3527918629953911,0.19189970847999666,0.19189970847999666,0.10470688129146861,-0.1762601992047683,-0.2062638246219281,0.22224638198073313,0.22224638198073313,0.2494000086493509,0.01693753670643744
Cdc25B,-0.1260653277630295,-0.133057052399564,-0.35353810778812955,0.22802324664229728,-0.18366067705462547,-0.11598810702524424,-0.164440461472534,0.12316397102435928,-0.18743017219325325,0.4685518152037419,0.3574531294660971,-0.17132946961714085,-0.08399764030650567,0.16343146969321018,0.18262698824983703,0.14358974358974358,-0.23119370359610053,-0.16715127055665757,-0.1718210361067504,-0.11998920476524082,-0.14358974358974358,0.47734129699481587,-0.4168722470636309,0.12316397102435928,0.2862613176937191,0.4736296358237751,0.07713473430047571,0.5259492218205174,-0.21703376305867045,0.5269508556281058,0.4736296358237751,0.44052474331206415,-0.025882318329750603,0.13171130329560346,0.11063425875123452,0.12709901646048563,-0.3765646600786917,0.1142935964131128,0.1142935964131128,0.04503463280426302,-0.07589664434324703,-0.09150945325423984,0.12467866312425453,0.12467866312425453,0.11382143975734796,-0.11235437162347346
Cdc25A,-0.33377041929728735,-0.3328808740840181,-0.3695682095122451,0.2704745684084474,-0.3065367012208497,-0.2953549386828961,-0.38279484465632857,-0.14324814821057757,-0.3264449415988689,0.4908880997873699,0.383928519487747,-0.3130142953727998,-0.2209950235203168,0.38022812619647517,0.40903347636916154,0.29224476258913273,-0.2201326030446736,-0.3908171069050502,-0.3170949575640848,0.1439363822925887,-0.29510104584414565,0.49565596958398955,-0.4397680030368309,-0.14324814821057757,0.20379911561770073,0.4937976449459927,0.19830238730180413,0.34830014808361326,-0.35838920554281195,0.45047494583407266,0.4937976449459927,0.363736401458761,0.0423154634023106,-0.16185267590792518,-0.17152867008424938,-0.17185624060290272,-0.29854206977016695,-0.10793807976564655,-0.10793807976564655,-0.14501541655939404,0.14746220203939694,0.15562585388502229,-0.14336434191061684,-0.14336434191061684,-0.18108944490817086,-0.28579514102582115
Cdc20,0.2091076599909413,0.21350755095693613,0.4121625856107577,-0.02943689688193311,0.2831970801750704,0.19162437602938145,0.25371763533094616,-0.26055019648311534,0.2891381530242586,-0.42958237044513564,-0.13221864284332846,0.265747149564051,0.14136247341880745,-0.25158308104068994,-0.27873240719588865,-0.2293661971830986,0.29858141308392233,0.2582561172082412,0.267118599669058,0.2562233719940634,0.22987465181058497,-0.43472468866545577,0.4830492772214551,-0.26055019648311534,-0.36497028145737936,-0.43062967411406106,-0.13021701521733092,-0.49260976133400886,0.2909010901419096,-0.4919400907939725,-0.43062967411406106,-0.4020353516860406,0.10264360466054179,-0.27951132089225356,-0.2574466269997687,-0.27822757938072107,0.44542737343842054,-0.24235389535994406,-0.24235389535994406,-0.12597585130495842,0.21914085152802093,0.24484060688122025,-0.2629241911853012,-0.2629241911853012,-0.2657774250337286,0.18433595880686857
Casp9,-0.645450667490561,-0.6706096044097208,-0.593047177364176,0.030818062877234688,-0.890241002320985,-0.7308083962558349,-0.6804873320122516,0.5755453513142998,-0.8918646984064914,0.4567056463003162,0.36053063261825763,-0.7975849056603773,-0.43219805083601043,0.5790237396590084,0.7859409091993985,0.7,-0.6055191364495596,-0.6820168450493573,-0.7977606717984604,-0.5250366738756403,-0.7,0.3578728644828557,-0.40066490225616513,0.5755453513142998,0.02577176183071882,0.3502888756089368,-0.07787640922617826,0.5249933623383216,-0.17355384103426746,0.408757508784013,0.3502888756089368,0.3169297297488133,-0.006945739235305448,0.8468843925842915,0.8895233705362923,0.9766536248175586,0.34475364950627,0.5839766350874569,0.5839766350874569,0.57027494799755,-0.5838095772074926,-0.6248748255642116,0.6133480418972594,0.6133480418972594,0.8911690184520824,-0.6099831202843988
Casp8,-0.6469013471473015,-0.671802035816895,-0.6097510843065292,0.030883827851775663,-0.8913090037215186,-0.7344800396712154,-0.681112081819029,0.6886262862521273,-0.892729380065744,0.46139672892121314,0.3627016462237541,-0.7978680879413724,-0.4342571219670132,0.5794963025663448,0.7866426820370263,0.7,-0.6315329217645002,-0.682590691522788,-0.798023471278567,-0.6330054584817668,-0.7,0.36016123275983214,-0.4040750837268323,0.6886262862521273,0.02609398040206933,0.3516801059508829,-0.07809751345697136,0.5322236683817884,-0.17483590085271733,0.4119317184554915,0.3516801059508829,0.3186516489277028,-0.00752470009558045,0.8542164572886796,0.8915367232908746,0.9805874959178063,0.38641589661698716,0.6048036816145306,0.6048036816145306,0.6934298759006656,-0.6094378299720522,-0.6494401701800809,0.7320626707068993,0.7320626707068993,0.992955383575775,-0.6119753350542542
Casp3,-0.7156023202964874,-0.7497490446760258,-0.6008143002202085,0.030453749332545254,-0.9784128132426341,-0.7955028676428378,-0.7643050374896172,0.6133480418972594,-0.9817121196514875,0.46070206595584795,0.36729353317352353,-0.8918646984064914,-0.45629433532816843,0.6619648396460063,0.8727286625810132,0.7975849056603773,-0.6201005322585708,-0.766813860140965,-0.8924763524417688,-0.5755453513142998,-0.7977606717984604,0.3612329902909983,-0.4059887461149419,0.6133480418972594,0.023133925188568737,0.3578728644828557,-0.08083494217455861,0.5331579794508984,-0.17312640448685174,0.41460740642169397,0.3578728644828557,0.31893528178699576,-0.00326302957026372,0.9089955181988761,0.9766536248175586,0.9549854124996271,0.35396557195249356,0.6074736253337638,0.6074736253337638,0.5940856952709078,-0.5983594325914896,-0.6422522481041939,0.6407837517028209,0.6407837517028209,0.9795992051467971,-0.667437791724519
Casp2,-0.3,-0.3,-0.49135135135135133,0.0125,-0.5,-0.4,-0.3,0.7979030144167758,-0.5,0.3844660194174757,0.26284667713239146,-0.4,-0.27593984962406015,0.2,0.4,0.3,-0.5865707913046373,-0.3,-0.4,-0.7,-0.3,0.2819548872180451,-0.29207920792079206,0.7979030144167758,0.04583333333333333,0.2,-0.05170068027210885,0.395,-0.1875609756097561,0.2923809523809524,0.2,0.26937799043062205,-0.09416342412451362,0.7,0.5,0.6,0.4122968726910057,0.8884664568875096,0.8884664568875096,0.986557599571352,-0.8685682578952006,-0.875600663472049,0.891957269340596,0.891957269340596,0.5,-0.3
BIM,-0.39631336405529954,-0.4,-0.5602847428814279,0.022703994537384774,-0.6,-0.4956043956043956,-0.4,0.8902494716115397,-0.6,0.4398272584786741,0.3164121300694191,-0.5,-0.33694883596824765,0.3,0.5,0.4,-0.5588126073261032,-0.4,-0.5,-0.797153024911032,-0.4,0.33418362182407124,-0.35842572062084255,0.8902494716115397,0.04707402812241522,0.27837837837837837,-0.06452380952380951,0.4702585076818206,-0.1952926682046321,0.360262891809909,0.27837837837837837,0.3100247402276101,-0.06328700711053652,0.7984158415841585,0.6,0.7,0.4373216617629966,0.8711253787550646,0.8711253787550646,0.8668702741951411,-0.7365446207896065,-0.850130034726791,0.978205097602031,0.978205097602031,0.6,-0.3927927927927928
BIK,-0.39631336405529954,-0.4,-0.5602847428814279,0.022703994537384774,-0.6,-0.4956043956043956,-0.4,0.8902494716115397,-0.6,0.4398272584786741,0.3164121300694191,-0.5,-0.33694883596824765,0.3,0.5,0.4,-0.5588126073261032,-0.4,-0.5,-0.797153024911032,-0.4,0.33418362182407124,-0.35842572062084255,0.8902494716115397,0.04707402812241522,0.27837837837837837,-0.06452380952380951,0.4702585076818206,-0.1952926682046321,0.360262891809909,0.27837837837837837,0.3100247402276101,-0.06328700711053652,0.7984158415841585,0.6,0.7,0.4373216617629966,0.8711253787550646,0.8711253787550646,0.8668702741951411,-0.7365446207896065,-0.850130034726791,0.978205097602031,0.978205097602031,0.6,-0.3927927927927928
BID,-0.3940740740740741,-0.4,-0.5269914840150774,0.023198048347748947,-0.6,-0.49170984455958544,-0.4,0.4830401240356602,-0.6,0.4148787177342489,0.2992126436781609,-0.5,-0.3229946524064171,0.3,0.5,0.4,-0.5138684869021948,-0.4,-0.5,-0.3949685534591195,-0.4,0.3151476618876562,-0.34088669950738915,0.4830401240356602,0.039504997620180865,0.2710843373493976,-0.060012464643559124,0.4513286713286713,-0.1713816618164444,0.34404371584699456,0.2710843373493976,0.28999096735343455,-0.04010070676737344,0.7967010309278351,0.6,0.7,0.313738591916558,0.45133322249552743,0.45133322249552743,0.44242329227323623,-0.49793604413644943,-0.5208301038213061,0.5631643476381447,0.5631643476381447,0.6,-0.3887323943661972
BCLXL,0.39773371104815863,0.4,0.5707353953493799,-0.0218815331010453,0.6,0.49736408566721585,0.4,-0.8929475174268994,0.6,-0.4535239235643367,-0.3308968253968254,0.5,0.34569321165145644,-0.3,-0.5,-0.4,0.5684239546434976,0.4,0.5,0.7983402489626557,0.4,-0.34780575954477294,0.3695571095571096,-0.8929475174268994,-0.05525094072227923,-0.2845161290322581,0.06956083711132481,-0.47880023005176164,0.2199368904926505,-0.37088172043010753,-0.2845161290322581,-0.3254646989347185,0.09217925506864803,-0.7990883190883191,-0.6,-0.7,-0.45752544259802336,-0.9768107876729484,-0.9768107876729484,-0.9732985569776778,0.8465732933469727,0.9579175179471129,-0.9827129758490741,-0.9827129758490741,-0.6,0.39545454545454545
