Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,Rac1,Plk1,pAPC,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,Emi1,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
ZEB1_H,0.9,0.9,0,0,0.9,0.9,1,0,0.9,0,0,0.8,0.9,-1,-1,-0.7,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ZEB1,1,0.9,0,0,0.9,0.9,1,0,0.9,0,0,0.8,0.9,-1,-1,-0.7,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Wee1,-0.08306227280341312,-0.07815792677235507,0.29106429217501983,-0.025202838111782394,-2.7069132970331395e-4,-0.07773511352353128,-0.08832218274041417,-0.05747714277085123,-0.002491327859216609,-0.39916338019080083,-0.31540565988187563,-1.1755736741333039e-4,-0.0711244157884338,0.0887417420877428,0.08834526935698526,-8.130081300813009e-4,0.16686375502726186,-0.08909549612023812,-9.671895179413654e-5,0.05779131073247544,8.130081300813009e-4,-0.3127884890670815,0.34735146918504245,-0.05747714277085123,-0.007900998370590441,-0.31362140105267755,0.07027539814674184,-0.45691409307413433,0.13228719319721288,-0.3577057179086373,-0.31362140105267755,-0.2739755460154765,-0.015750003698469583,-0.06428450906137237,-0.05958014071667089,-0.0649662536303633,0.3079078426467498,-0.05593573844290166,-0.05593573844290166,-0.010684163673407144,0.023886168910387955,0.033246016285471185,-0.05698941399960213,-0.05698941399960213,-0.061156076839665355,-0.07858359229511491
UbcH10,0.4929042070209578,0.4778503278408109,0.47686475619910207,-0.08519190885893034,0.4543938439783643,0.44883094041737176,0.5217308389034537,0.11285487590149437,0.47087523788802005,-0.49806716963340386,-0.26634335963200617,0.4285230136345161,0.3416847610427289,-0.5187054934826928,-0.5448378915245341,-0.37089716840536513,0.24223416942056866,0.5291409620418648,0.4313769613536472,-0.11632178270023368,0.3721230158730159,-0.5022623376489712,0.4577566753877778,0.11285487590149437,-0.24927721833273114,-0.4953928592177436,-0.293311228866235,-0.46697312961128956,0.3760193805819981,-0.46667494565845924,-0.4953928592177436,-0.4708037650528548,0.1176237467654323,0.12816099640181647,0.1389628180039139,0.13780159737199385,0.3288051524341508,0.08521927760554059,0.08521927760554059,0.12895074475107843,-0.12792816370462856,-0.1311036597635054,0.11108781393652145,0.11108781393652145,0.1452268782544012,0.43254359676496695
Twist,0.9,0.9,0,0,0.7,1,0.8,0,0.9,0,0,0.8,0.9,-0.8,-1,-0.7,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SNAI2,1,1,0,0,0.8,1,0.9,0,0.8,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SNAI1,0.9,0.9,0,0,1,0.9,0.9,0,0.9,0,0,0.8,0.9,-0.9,-1,-0.7,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SMAC,-0.570939234158175,-0.5872072308095363,-0.5930975759789051,0.03125037081886089,-0.7976845151953691,-0.6617083176014603,-0.5924637681159421,0.5336581387768574,-0.7981065088757396,0.4641865844792796,0.3633992033257218,-0.7,-0.41033327972502737,0.4918927819961577,0.6950148927098769,0.6,-0.5983437093909576,-0.5931222355856122,-0.7,-0.5653991573319305,-0.6,0.3635352998815639,-0.4038795571309601,0.5336581387768574,0.03567807099662201,0.34795851810345957,-0.07799816269349566,0.5248911423546063,-0.18947301823257454,0.410697684581272,0.34795851810345957,0.32603615602185276,-0.0248117660984334,0.8757179869466398,0.7976261127596439,0.8911690184520824,0.3508031794807878,0.5637671490446122,0.5637671490446122,0.5502583445337782,-0.5783897792448067,-0.6136280270059512,0.5873611965608361,0.5873611965608361,0.7981220657276995,-0.5489455261836376
Rac1,0.7,0.7,0,0,0.8,0.7,0.8,0,0.8,0,0,0.8,0.7,-0.7,-0.8,-0.7,0,0.7,0.9,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Plk1,0.25176254822551436,0.25366183356987176,-0.062136681099068856,-0.061511189983127566,0.30012744803664415,0.2381435728639188,0.29321925539206517,-0.2829421412569304,0.30885040826293275,0.05511250640929292,0.2775266062711968,0.2839892114708291,0.18312437407999285,-0.28951300864705976,-0.32270347501624663,-0.24676494676494679,0.015076400958477584,0.29778040024995445,0.2869460519342872,0.27835411178880853,0.2480127186009539,0.08256573500770661,-0.11105909046310455,-0.2829421412569304,-0.12746450458755013,0.08593182455222459,-0.17361094477711106,0.12111825812078827,0.1478272494344808,0.1187795328960227,0.08593182455222459,0.040246058478093,0.15094436157336658,-0.3204386583251246,-0.31856022925554306,-0.33144803504802595,0.006558688314669968,-0.2631378335723088,-0.2631378335723088,-0.2572211739255775,0.2538189967007322,0.2905605245532424,-0.28596909821701105,-0.28596909821701105,-0.33281208608039525,0.2269023747051507
pAPC,0.3513461204031671,0.35109588425462224,0.42515571375829503,-0.1790067899165509,0.39711438299110374,0.32067502119218866,0.39675084828467533,-0.24867006061852032,0.4075552949377109,-0.442721359704443,-0.1020015692359066,0.38071324961257713,0.253904731030317,-0.39377030931079327,-0.4257179476607078,-0.34060200115769457,0.322260321136454,0.4038222384257154,0.3831852558471078,0.24421695996411086,0.3419521731403409,-0.4480347184893188,0.49873899492709006,-0.24867006061852032,-0.38412854851339195,-0.44360704834248166,-0.23446757329566242,-0.5086538844059446,0.3052483740448472,-0.5075969694094307,-0.44360704834248166,-0.4154280923054916,0.20643432831164715,-0.2634857716121043,-0.24073078100911016,-0.2605370314238139,0.4640900024839099,-0.2325443951188519,-0.2325443951188519,-0.11390529418752857,0.2018662983090486,0.22307427332032223,-0.2510019636930578,-0.2510019636930578,-0.2481994079485868,0.3100124852882845
PAK1,0.8,0.8,0,0,0.9,0.8,0.9,0,0.9,0,0,0.8,0.8,-0.8,-0.9,-0.8,0,0.8,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
N_bcatenin_H,1,0.9,0,0,0.8,1,0.9,0,0.8,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
miR_34,-0.9,-0.8,0,0,-1,-0.9,-0.9,0,-0.9,0,0,-0.8,-0.9,0.9,0.9,0.7,0,-0.8,-0.8,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
miR_200,-1,-1,0,0,-0.8,-0.9,-0.9,0,-1,0,0,-0.9,-1,0.9,1,0.8,0,-1,-0.9,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
Merlin,-0.6,-0.6,0,0,-0.7,-0.6,-0.7,0,-0.8,0,0,-0.7,-0.6,0.6,0.7,0.6,0,-0.6,-0.8,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6
MCL_1,0.3981609195402299,0.4,0.5758192711482438,-0.021369817021990936,0.6,0.4979434447300771,0.4,-0.8941051127764931,0.6,-0.4595850879199236,-0.3358548477699135,0.5,0.3506341419302331,-0.3,-0.5,-0.4,0.5733668582308812,0.4,0.5,0.7986754966887417,0.4,-0.35348484348715237,0.37371129939029213,-0.8941051127764931,-0.058245573870573865,-0.28688524590163933,0.07143387993862677,-0.48233196810510276,0.22862998147816213,-0.37477716390423577,-0.28688524590163933,-0.33227248104008666,0.10254173471239339,-0.7992982456140351,-0.6,-0.7,-0.4729623809774532,-0.9797134692936342,-0.9797134692936342,-0.9766834722442999,0.9522040895454842,0.9623873084322607,-0.9849968498913009,-0.9849968498913009,-0.6,0.39629629629629626
LEF1,1,0.9,0,0,0.8,1,0.9,0,0.8,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
IQGAP1_LeadingE,0.5,0.5,0,0,0.6,0.5,0.6,0,0.8,0,0,0.7,0.5,-0.5,-0.6,-0.6,0,0.5,0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
