Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,SMAC,PTEN_c,Plk1,pAPC,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_29c,miR_200,MCL_1,LEF1,Lats1_2,IAPs,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,DR4_5,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8999338415233116,0.8999732673929024,0.7,0.6,-0.3429398148148148,0.2630281690140845,0.9,0.6,0.8999810579154236,0.7,0.5,0.8998966227471217,0.9999871187968956,0.035789473684210524,-0.5,0.45764569791781423,0.31743545111691324,0.8991574848924382,0.7,-0.7,-0.9999871187968956,0.6,-0.9999920431262558,-0.2598803002637452,0.9999890425969046,-0.6,-0.02,0.5768630806845966,0.6,-0.3688259109311741,-0.9,-0.9999821556031406,0,0.035789473684210524,0.38602968460111314,0.493,0.15186890935789615,0.36838998211091234,-0.25466736328805295,0.3735664335664336,0.493,0.45085347142309173,-0.09536888990406579,0.02,0,0,-0.35517993456924757,0.05514088250930356,0.05514088250930356,0.006512562814070352,-0.021108931987118957,-0.024237726098191213,0.05162280701754386,0.05162280701754386,0,0.8998674700889666,-0.8,-0.5
ZEB1,0.9999420334185822,0.8999791775117126,0.7,0.6,-0.34756586483390606,0.2704779903929443,0.9,0.6,0.8999852442083517,0.7,0.5,0.8999094461449586,0.9999899621069538,0.036279069767441864,-0.5,0.4620754716981132,0.323991563991564,0.899249935696948,0.7,-0.7,-0.9999899621069538,0.6,-0.9999938002758878,-0.27203007518796996,0.9999914632064197,-0.6,-0.02,0.5798004126558762,0.6,-0.3723676623226848,-0.9,-0.9999860973532837,0,0.036279069767441864,0.39357007211678496,0.4941422594142259,0.1651485884774782,0.37169481654047754,-0.26566534914361,0.3767806267806268,0.4941422594142259,0.45593119810201665,-0.10413852813852813,0.02,0,0,-0.3594238182187056,0.055616964114373446,0.055616964114373446,0.005904377880184332,-0.019759472391051337,-0.022727272727272728,0.05210640789693827,0.05210640789693827,0,0.8998838998767331,-0.8,-0.5
YAP,0.04349577636319227,0.14802683264676703,0.851847809137689,0.8849056603773585,-0.3710826745429049,0.2571038708799577,0.026848323170731707,0.8849056603773585,0.03605063341975752,0.7378947368421052,0.8,0.16417269999164258,0.060259005509684584,0.06919046697735073,-0.8,0.4885522261450247,0.38001833545847785,-0.006486429786866576,0.49757736224740656,-0.7095238095238096,-0.060259005509684584,0.8849056603773585,-0.0627174497472465,-0.2599420337452521,0.06122878916619754,-0.6666666666666667,-0.06574628645478542,0.4996707850926027,0.8849056603773585,-0.43754197025584496,-0.7427715968853518,-0.15944839301793295,0,0.06919046697735073,0.3126464868447855,0.49430899778627035,0.08364089389723599,0.4459791324985031,-0.23503689512616313,0.44840522406290423,0.49430899778627035,0.46071750702500125,-0.037454123823691544,0.06920912001865227,0.05143399810066477,0.06277902734043085,-0.39920370518612547,0.07251838271576015,0.07251838271576015,0.010651654025777769,-0.025724250878338795,-0.03440030629999896,0.07084738884175441,0.07084738884175441,0.051966212294081146,0.03425162650119358,-0.7296651522799933,-0.6
WT1,0.5688571254046789,0.584003989030167,0.7,0.6,-0.34728756866914756,0.2502683357939274,0.39591836734693875,0.6,0.48762399622106756,0.7,0.5,0.6581620983075736,0.4889478579635608,0.0502677942212826,-0.5,0.45985327385053515,0.33464163593420654,0.3316571269627645,0.6,-0.6,-0.4889478579635608,0.6,-0.4925652358176425,-0.2453601740661385,0.49068550497121927,-0.5,-0.035151515151515156,0.470334817892122,0.6,-0.3948654555755253,-0.7954802259887005,-0.5874202898550724,0,0.0502677942212826,0.3244568436896108,0.4325471415743789,0.10262943403744171,0.398133226565237,-0.23158721640116986,0.4018973470781221,0.4325471415743789,0.43923470319003527,-0.06106038442428345,0.035789473684210524,0,0.02,-0.3694461577672996,0.06240465416936005,0.06240465416936005,0.009610983981693364,-0.02527480228092539,-0.031693578752402286,0.060029182507616664,0.060029182507616664,0,0.547104066985646,-0.7,-0.4
Wee1,-0.08262832473293746,-0.0774828777287907,-0.048333333333333325,-0.03333333333333333,0.29106429217501983,-0.025202838111782394,-2.7894898726558043e-4,-0.03333333333333333,-0.08186050276768407,-0.048333333333333325,0,-0.07571901269255207,-0.08859752184553905,-0.05747714277085123,0,-0.39916338019080083,-0.31540565988187563,-0.07072688378743555,0.05815615512988691,0.048333333333333325,0.08859752184553905,-0.03333333333333333,0.08824132204696176,0.16686375502726186,-0.08893213088493573,0.03333333333333333,0.05779131073247544,-0.3127895002592519,-0.03333333333333333,0.34735146918504245,0.07242387535899256,0.07987033508472136,0,-0.05747714277085123,-0.007900998370590441,-0.31362140105267755,0.07027539814674184,-0.45691409307413433,0.13228719319721288,-0.3577057179086373,-0.31362140105267755,-0.2739755460154765,-0.015750003698469583,-0.06428450906137237,-0.05958014071667089,-0.0649662536303633,0.3079078426467498,-0.05593573844290166,-0.05593573844290166,-0.010684163673407144,0.023886168910387955,0.033246016285471185,-0.05698941399960213,-0.05698941399960213,-0.061156076839665355,-0.07811839401612856,0.06277986241400875,0
UbcH10,0.49284103687109326,0.4776202870321546,0.3701553348612172,0.29047619047619044,0.4768627700983089,-0.08519113800246872,0.4526961284223311,0.29047619047619044,0.502185465181882,0.36865168539325843,0.2,0.44871992796636234,0.5178744094547608,0.11285487590149437,-0.2,-0.4980596860610224,-0.26634163416746665,0.3416728548644944,0.1031901068459448,-0.3664433811802233,-0.5178744094547608,0.29047619047619044,-0.5441342215604583,0.24223213160446927,0.5290036167004221,-0.2894736842105263,-0.11632178270023368,-0.5022028875989639,0.29047619047619044,0.4577537693335282,-0.4721735921033125,-0.5023152044365963,0,0.11285487590149437,-0.24926914178747092,-0.4953516790839222,-0.29330993962853424,-0.46697173538110726,0.3760175639412494,-0.4666708479433728,-0.4953516790839222,-0.47079450916324905,0.11762304185096668,0.12816099640181647,0.1389628180039139,0.13780159737199385,0.32880262263575616,0.08521927760554059,0.08521927760554059,0.12895074475107843,-0.12792815646063346,-0.13110366146141833,0.11108781393652145,0.11108781393652145,0.1452268782544012,0.4319084256361121,-0.42671365145049356,-0.2
Twist,0.8999053663323437,0.8999617810051597,0.7,0.6,-0.3384116331096197,0.2586052033863308,0.7,0.6,0.8999729382315135,0.7,0.5,0.9998522569376508,0.7999815710665745,0.035789473684210524,-0.5,0.4526413155190133,0.3142483660130719,0.8988459694156556,0.7,-0.7,-0.7999815710665745,0.6,-0.9999886347492541,-0.25524326877657055,0.8999843217183396,-0.6,-0.02,0.5716270829873221,0.6,-0.3658888888888889,-0.9,-0.9999744946757636,0,0.035789473684210524,0.3740095432059065,0.491358024691358,0.14519243313763863,0.3659761200122461,-0.24924507168458784,0.3706522455978368,0.491358024691358,0.44460128100051605,-0.09115254799977868,0.02,0,0,-0.35128205128205126,0.05495200451722191,0.05495200451722191,0.006673796791443851,-0.021259913128765587,-0.024560049869006676,0.051441647597254,0.051441647597254,0,0.8998106332376183,-0.8,-0.5
TRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
