Source,YAP,WT1,Wee1,UbcH10,U_Kinetochores,TRIO,TAZ,Stress_Fibers,Replication,PTEN_c,pRB,Plk1_H,Plk1,pAPC,p27Kip1,p21,N_bcatenin,Myc,Mst1_2,miR_29c,Mad2,Lats1_2,FoxM1,FocalAdhesions,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,E2F1,Cytokinesis,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
YAP,0.9,0.9,-0.20648276638962929,0.3303118180825021,0.27315007900809196,0.9,0.8,0.8,0.48322995501007426,-0.8,-0.563034750460436,0.6808464931854687,0.5678615743380071,0.3994680684283719,-0.5455748059089701,-0.5538017049590452,0.8,0.6564282413148976,-0.8,0.9,-0.13350782990137858,-0.7,0.6928248304507989,0.9,0.4186620890812523,-0.0180457380201453,0.023181538520699575,-1,0.4556839218373116,0.024507201045945917,0.5681883110435968,0.6912972808479911,0.4182196241333753,0.6148560856508496,0.24256993906967367,0.46080002833012995,0.4198346705987722,-0.34195264859623425,0.5069470951659527,0.6564891228464215,0.5547871465205042,-0.10060682163396568,0.4746201273874873,-0.9,-0.6,0.3651533573366751
WT1,0.7,0.6,-0.16655567360851697,0.29774377867743523,0.25491353091353086,0.6,0.7,0.5,0.4450869884832149,-0.5,-0.5100331049821711,0.5587584409248162,0.49551454413282353,0.326341393666776,-0.49427151028074795,-0.45088455772113945,0.6,0.5961812297734628,-0.6,0.6,-0.10546598010834465,-0.5,0.6169969916823136,0.6,0.3792613559630543,0.039292415126946686,0.03540196221833877,-0.8,0.4413342965090946,0.0455868361679186,0.5024043145600452,0.617022261887244,0.4012086342076081,0.5245897048876363,0.2462189197780293,0.3606893106893107,0.346007743591124,-0.3171303976520067,0.42015175300889585,0.554935391368995,0.4949653505237711,-0.12332101239973599,0.4106893106893107,-0.7,-0.4,0.32586082334587435
Wee1,0,0,0.2686209429259853,-0.01777901434188208,-0.13060384217965912,0,0,0,-0.16311943523428937,0,0.10217939326796317,-0.43427360575623714,-0.4071599775761567,-0.31760612837091323,0.24306756854162548,0.24579579661076703,0,-0.1461110218345934,0,0,0.0784504908367254,0,-0.312371475064381,0,0.021973480244724695,0.2949804901936436,0.059047590725277724,0,-0.0943591976671352,0.060315480440132054,-0.2453328096836774,-0.16856012389224456,0.002215318582247933,-0.28963457814258364,0.08425317679554226,-0.16305728962674615,-0.4427421213468947,0.10380533690474772,-0.34605161037995436,-0.28299625153503793,-0.269872536643489,-0.02849006569952381,-0.16326110417695963,0,0,-0.1872828845286366
UbcH10,0,0,0.305057098129012,-0.06335291365637091,-0.1985525336126697,0,0,0,-0.20227100653104935,0,0.3233380442918936,-0.45114731814585,-0.44022959082251384,-0.2333416710805855,0.35894534101483055,0.15129683774214586,0,-0.07307762698551455,0,0,0.11690908130217367,0,-0.4295770613249673,0,-0.3187665939403873,0.23620848086393725,0.06212242118174242,0,0.1461871892841147,0.0631431690142908,-0.15468547430399804,-0.0680271558319296,-0.23206729653071187,-0.2249440041872731,-0.2818386045493301,-0.1965232402263389,-0.37464894396396753,0.3109748333908844,-0.39833928895164095,-0.38959131703251926,-0.3476009123595978,0.10879515111972989,-0.20024566897478996,0,0,-0.2962824835037513
U_Kinetochores,0,0,0.2605228183079569,-0.16202138263162985,-0.04277769004805489,0,0,0,-0.22502620686823568,0,0.2894769331830318,-0.35262877938798654,-0.3445926988934215,-0.12895293049209974,0.27529344704863057,0.12306359334802748,0,-0.04635663134138994,0,0,0.06454155867847435,0,-0.33535197915502146,0,-0.11285208854044382,-0.10088812888618667,-0.13702846682263028,0,0.1764040112819929,-0.13651704212051768,-0.12654536278220044,-0.04397930032916106,-0.15369476521518505,-0.17699099266905716,-0.24730694326999386,-0.21968733550715477,-0.21632310670397353,0.32836572617420223,-0.22189931774955224,-0.21887571645250176,-0.29108082645051875,0.04417411155099269,-0.2230696741304631,0,0,0.08031228981560565
TRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stress_Fibers,0.9,0.8,-0.19837891841703298,0.32419154252033977,0.26956870006558453,0.8,0.8,0.7,0.4746201273874873,-0.7,-0.5528961654859649,0.6532097933472658,0.5524386424687731,0.38254406785919,-0.5353372772454474,-0.531034482521408,0.7,0.6425306646675923,-0.7,0.8,-0.12795324868723781,-0.6,0.6767866451299348,0.8,0.4117661021852654,-0.0078117523139559775,0.024507201045945917,-0.9,0.44852521848311805,0.02772171374009334,0.5538017049590452,0.6742738542353063,0.41570068672949523,0.5946135257813274,0.24393246268798463,0.4391708315980648,0.4036262165829777,-0.33733086668798823,0.4883880628771829,0.6350217729642644,0.5423820646983298,-0.10605749500110781,0.46080002833012995,-0.8,-0.5,0.3578393761659208
Replication,0,0,0.3334928201716692,-0.03968291103959909,0.07737927141163584,0,0,0,-0.08953006136379649,0,0.19565619209218982,-0.3299714144339224,-0.3580632965584623,-0.25093145428909264,0.23865176517055095,0.32377716786125177,0,-0.17212171781078106,0,0,-0.005150639285362302,0,-0.17754631087690895,0,0.1764553143722503,0.05870911296591982,0.10105547670463808,0,-0.04303863851888904,0.10148950553974367,-0.3264790744593666,-0.36256302089395,-0.03032994481753748,-0.1768818897423578,-0.017863887446992337,0.014838740520521176,-0.2598440409535877,0.17893748554771732,-0.0017847895558721488,0.09910212870663822,-0.24498291123813276,0.0720586777950526,0.012029596341259049,0,0,0.09763305326637983
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
