Source,ZEB1_H,ZEB1,Twist,TGFb_secr,SNAI2,SNAI1,SMAC,Rac1,pRB,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,Fast_Migration,Ecadherin_mRNA,E2F1,DR4_5,Cyto_C,CyclinE,CyclinD1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
p27Kip1,0.3124185202664411,0.21932172563171232,0.2746567275158126,0.13178583711923675,0.4560873327719547,0.29176865056274803,-0.6,-0.016869525820625543,0.9985103152774031,-0.039739480977576215,0.8981669447411793,0.8955184921439088,0.5795505656736653,-0.8998139534883721,-0.29843629859266413,0.08569854944944393,0.06022927689594356,0.8,0.11646399844940902,-0.04682072829131652,0.5,-0.06682072829131652,-0.08440196078431372,-0.3300255325603921,-0.8998604083057058,0,-0.6,-0.9887166805252974,-0.899834522701417,-0.5,-0.3,-0.4,-0.3,-0.7,-0.7,-0.7,0.7,0.7,-0.7,-0.7,-0.3,0.5018321357823907
p21,-0.8311946793309188,-0.8465367203745473,-0.6664713277819231,-0.8542144107097845,-0.7124187658884359,-0.7569270811871684,-0.5,-0.871882984862904,0.8997671033478893,-0.7821435859706858,0.8996901626646011,0.6992195121951219,-0.6567066342913214,-0.8,0.7553672359842255,0.9637888161667453,0.690485065279907,0.7,-0.859743124392824,-0.7832841437312873,0.4,-0.6912287720791658,-0.6919655667144907,0.7523919942733568,-0.8,0,-0.5,-0.7963473679107862,-1,-0.4,-0.2,-0.3,-0.2,-0.6,-0.6,-0.6,0.6,0.6,-0.6,-0.6,-0.2,-0.6969801358531327
N_bcatenin_H,1,0.9,0.8,0.9,1,0.9,0,0.8,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0.6,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myc,-0.3372077416235832,-0.1969295984346188,-0.31796943521594684,-0.08699007622395928,-0.4872853312666428,-0.2971558908567487,0.7,0.060502896799113526,-0.8927966555183946,0.08662007654092088,-0.8917566176733395,-0.7815317697811175,-0.598259795203477,0.8979742094841274,0.3029050881548427,-0.196355512210258,-0.11063063063063064,-0.8997052321296979,-0.07661028709711001,0.09218944183282,-0.6,0.1150537634408602,0.12866896278460177,0.3468752117129157,0.9983528846136244,0,0.7,0.8651870293006697,0.9981246393054096,0.6,0.4,0.5,0.4,0.8,0.8,0.8,-0.8,-0.8,0.8,0.8,0.4,-0.5246263876482721
miR_34,-0.9,-0.8,-1,-0.8,-0.9,-0.9,0,-0.9,0,-0.8,0,0,-0.9,0,0.9,0.9,0.7,0,-0.8,-0.8,0,-0.7,-0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
miR_200,-1,-1,-0.8,-1,-0.9,-0.9,0,-1,0,-0.9,0,0,-1,0,0.9,1,0.8,0,-1,-0.9,0,-0.8,-0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
Merlin,-0.6,-0.6,-0.7,-0.6,-0.6,-0.7,0,-0.8,0,-0.7,0,0,-0.6,0,0.6,0.7,0.6,0,-0.6,-0.8,0,-0.7,-0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6
MCL_1,0.04191065118626956,0.10901067800124405,0.5708411505974855,0.03068091844813935,0.31103168821538846,0.21966461105701612,-0.8998093422306959,0.5005984856280593,0.4037858347769648,0.44220922388309286,0.3966446453695584,0.38031241294562274,-0.14407328415687343,-0.3620347952079833,-0.0709966960352423,-0.04024409540567879,-0.3718238283455675,0.5781793297054862,0.03744029055672189,0.4459761622780317,0.8,0.37370259481037926,0.376388655814734,-0.376858357037128,-0.3679238186820925,0,-0.8998093422306959,0.15328417096765878,-0.364790935539557,-0.8,-0.6,-0.7,-0.6,-0.9982493972173752,-0.9982493972173752,-0.998527749134387,0.9984069837339822,0.9987600479009979,-0.9989545154068196,-0.9989545154068196,-0.6,0.0593068785973774
LEF1,1,0.9,0.8,0.8,1,0.9,0,0.8,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0.6,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
IQGAP1_LeadingE,0.5,0.5,0.6,0.5,0.5,0.6,0,0.8,0,0.7,0,0,0.5,0,-0.5,-0.6,-0.6,0,0.5,0.9,0,0.9,0.8,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
